Boston Invite 2024,Club - Mixed ,13,7,2024
Devons,MA,2024-07-13,2024-07-14
https://play.usaultimate.org/events/Boston-Invite-2024/schedule/Mixed/Club-Mixed
Townies,1
teamInfo,,"Ithaca, New York",,https://www.facebook.com/towniesultimate,
0,Claire Sleigh
0,David Menard
0,Emily Mildner
0,Jon Hirschberger
0,Kameron Chambliss
0,Mary  Connerton
0,Jacob Groner
0,Raymond Yee
0,Samantha Hass
0,Sophia Hulbert
0,Yi (Jenna) Li
1,Simon Alford
2,Eli Robinson
11,Elizabeth LeeJohnson
11,James Mullmann
13,Claudia Miner
16,Eve Lesburg
17,Celia Doherty
19,Dylan Winchell
21,Nathaniel Chin
23,Emily Cook
24,Emily Zitek
31,Davith  Chan
91,Daniel Vandam
92,Sam Garncarz
b,r,e,a,k
Big Rig,8
teamInfo,,"Burlington, Vermont",,,
coaches,Ari Weitzman
0,Ava Jensen
0,Carl Crawford
0,Chase Drinkwater
0,Christopher Kiepert
0,Cyrus Rafter
0,Eli Standard
0,Elizabeth Leon
0,Kyle Weatherhogg
0,Lauren Clayter
0,Liz Crawford
0,Marisa Rafter
0,Maximilian Fontana
0,Nadia Scoppettone
0,Riley Knupp
0,Ryan Bliss
0,True Hanson
0,Zachary Watson-Stevens
0,Gavin Rice
9,Jack Rice
14,Caroline Stone
16,Marina Godley-Fisher
18,Ella Polli
19,Beorn Morrow-Caron
28,Declan Kervick
33,Parker Lin-Butler
44,Emily Pozzy
b,r,e,a,k
Lampshade,17
teamInfo,,"Cambridge, Massachusetts",,,
coaches,Abijith Krishnan
0,Aaron Epstein
0,Adam Alper
0,Anna Carton-Smith
0,Bobby Lovitch
0,Bryan Xian
0,Emily Wanzer
0,Jennifer Fiore
0,Karina Cruz
0,Liz Anusauskas
0,Molly Rockwood
0,Nancy  Jin 
0,Robert Shapiro
0,Rye Buckley
0,Varun Shah
0,Walden Ng
0,Zoe Colman
6,Justinne Guarin
14,Gregory Oreste
20,Kevin Murphy
24,Sajani Clerk
25,Alexander Hunkins
26,Anna Shorb
26,Jackson Gillenwaters
39,Eva McDermott
39,Victoria Zhang
69,Man Nguyen
b,r,e,a,k
Farm Show,16
teamInfo,,"Harrisburg, Pennsylvania",,https://www.facebook.com/farmshowulti,
0,Brittney Brown
0,Elizabeth Burke
0,Emily Higley
0,Gloria Boronow
0,Gracie Jackson
0,Jack Wisner
0,Jacob Taylor
0,Jose Maldonado
0,Kerianne Durkin
0,Kristen Dietrick
0,Zachary McIntire
6,Gavin Crowell
6,Jordan Roof
7,Bradley Dussinger
15,Christopher Man
16,Stacey Daniels
18,Seth Canetti
19,Theresa Diffendal
22,Evan Novacek
25,Ethan Krokonko
32,Zack Hunsberger
55,Timothy Brubaker
77,Spencer Whitcomb
b,r,e,a,k
Grand Army,9
teamInfo,,"Brooklyn, New York",https://linktr.ee/grandarmyultimate,https://www.facebook.com/GrandArmyUltimate,https://www.twitter.com/grandarmymixed
00,Alex Baroody
00,Alex Rafkin
00,Antonio Brewer
00,Bayle Smith-Salzberg
00,Casey Banta-Ryan
00,Connor Chin
00,David Hwang
00,Dena Behar
00,Dylan Leitner
00,Emily Wang
00,Emily Harris
00,Emma Chin
00,Gabriel Schechter
00,Jae Lee
00,Jimmy Wang
00,John Watters
00,Katia Krupa
00,Kayla Seeger
00,Lily Gould
00,Mark Gazzerro
00,Martin Bustamante
00,Mei Reffsin
00,Sonia Amaya O
