Mid-Atlantic Warm Up,College - Men ,27,1,2024
Williamsburg,VA,2024-01-27,2024-01-28
https://play.usaultimate.org/events/Mid-Atlantic-Warm-Up/schedule/Men/CollegeMen/
Dartmouth,8
0,Daniel Naiman
0,Jeffrey  Zhou
0,JiWon Woo
0,William Song
1,Alex Fialon
3,David Sullivan
4,Jed Cohen
10,Tyler Lehrfeld
14,Collin Gonzales-Tapley
18,Julian Ching Hei Chow
50,Caleb Mahle
b,r,e,a,k
RIT,3
teamInfo,RIT Spudheds,"Rochester, New York",,http://www.facebook.com/ritspudheds,http://www.twitter.com/spudheds
0,Bailey Sweetser
0,Daniel Pisetzner
0,Eamon O'Connor
0,Ethan Denlinger
0,Christopher Ventre
0,Ian Thompson
0,Jonah Witte
0,Logan Kelly
0,Max Deng
0,Michael McNeil
0,Nathan Templeman
0,Nathan Begly
0,Patrick Collins
0,Pau Drudis
0,Paul Anzelone 
0,Ross  Janezic 
0,Samuel Lloyd
0,Stephen Sampson
0,Tucker Routenberg
0,Tyler Gardner
0,William Chamberlin
2,Ryan McManus
8,Nicholas Deis
14,Kameron Kuszlyk
28,Jack Lowrey
30,Ethan Iannicelli
32,Isaac McClelland
34,Adrian Ricketts
37,James Murphy
47,Anthony Patti
57,Bryce Roman
67,Cooper Pinaud
b,r,e,a,k
SUNY-Binghamton,5
teamInfo,SUNY-Binghamton,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
0,Aaron Damsky
0,Charles Labarge
0,Matthew Nieto
0,praneeth Vijayakumar 
0,Ryan Dehn
0,Samuel Carter
6,Ryan LaBonte
6,Ari Wechsler
7,Lucien Betancourt
8,Leopold Fell
9,Tyler Leitner
14,Drew Holahan
17,Christopher Wells
20,Michael Levy
23,Luke Smith
29,Ethan Fried
33,Ian Burks
40,James Pardo
47,Peter Conelli
54,Nicholas D'Souza
54,Dylan Guzman
55,Garrett Barth
72,Neil  Costa
80,Jack Molloy
88,Edward  Wong
b,r,e,a,k
Case Western Reserve,4
teamInfo,Fighting Gobies[A],"Cleveland, Ohio",ultimate.case.edu,https://www.facebook.com/GobyWarriors/,https://twitter.com/fightinggobiesm
0,Sam King
1,Nathan Trudell
3,Denton Ryan
5,Jake Stahl
6,William Cui
7,Lucas Jones
8,Graham Galts
9,Andrew Noah
10,AJ Campbell
11,Owen  Gold
13,Mason Jester
16,Anil Driehuys
17,Sam Greenberg
21,Lekh Murthy
25,Jacob Rollins
26,Nitin Chockalingam
28,Nathaniel Poshkus
30,Aidan Gangai
33,Mace Korytko
45,Jason Zhou
52,Elias Hinson
76,Logan Heck
95,Ryan Coneway
b,r,e,a,k
Connecticut,12
teamInfo,UConn Huskies,"Storrs, Connecticut",https://www.instagram.com/uconnultimate/,,https://twitter.com/UConnMensUlti
coaches,Jeremy Bernier
0,Alexander Manos
0,Austin Rey
0,Christopher Fan
0,Coleman Ross
0,Dillon Burke
0,Dominic Rendero
0,Jiahao Wang
0,John Carrenard
0,John Mathew
0,Eviatar Ashkenazi
0,Krystian Pawlowski
0,Matteo Festa
0,Nicholas Lambert
0,Noah Arce-Caliskan 
0,Tim Ayers
0,Von Lindenthal
0,Will Dougherty
0,Zhanbo Wang
0,Ryan Chan
0,Sam O'Sullivan
4,Malcolm Ferguson
5,Sean Colello
6,Ryan Miller
12,Evan Card
20,Joshua Kaplan
37,James Tibolla
b,r,e,a,k
Virginia Commonwealth,13
teamInfo,Biscuit Villains,"Richmond, Virginia",,,https://twitter.com/vcu_villains
0,Carson Torok
0,David Rocco
0,Evan Fagen
0,Jason Dresen
0,Korey White
0,Larkin Steenstra
0,Matthew Mitrani
0,Selvaganesh Jeyamani
0,William Clough
2,Jack McGowan
7,Eric Dominguez-Martinez
17,Morgan Living
18,James White
22,Matthew Taleghani
33,Jacob Tongier
44,Cole Snavely
64,Aidan Totten
69,Antonio Sumler
88,Liam Dunn
99,Cash Allen
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
William & Mary,Pennsylvania,13,7,"01/27/2024, 08:00",Pool A,Final
Dartmouth,Mary Washington,11,6,"01/27/2024, 08:00",Pool A,Final
William & Mary,Mary Washington,13,7,"01/27/2024, 09:35",Pool A,Final
Dartmouth,Pennsylvania,10,7,"01/27/2024, 09:35",Pool A,Final
William & Mary,Dartmouth,9,10,"01/27/2024, 12:45",Pool A,Final
Pennsylvania,Mary Washington,13,4,"01/27/2024, 12:45",Pool A,Final
pool,Pool B
James Madison,Boston University,11,7,"01/27/2024, 09:35",Pool B,Final
Richmond,American,11,5,"01/27/2024, 09:35",Pool B,Final
James Madison,American,13,7,"01/27/2024, 11:10",Pool B,Final
Richmond,Boston University,8,9,"01/27/2024, 11:10",Pool B,Final
James Madison,Richmond,12,10,"01/27/2024, 12:45",Pool B,Final
Boston University,American,11,8,"01/27/2024, 12:45",Pool B,Final
pool,Pool C
RIT,Liberty,9,13,"01/27/2024, 08:00",Pool C,Final
Carnegie Mellon,Johns Hopkins,13,8,"01/27/2024, 08:00",Pool C,Final
RIT,Johns Hopkins,9,11,"01/27/2024, 09:35",Pool C,Final
Carnegie Mellon,Liberty,12,9,"01/27/2024, 09:35",Pool C,Final
RIT,Carnegie Mellon,8,11,"01/27/2024, 11:10",Pool C,Final
Liberty,Johns Hopkins,9,8,"01/27/2024, 11:10",Pool C,Final
pool,Pool D
Case Western Reserve,Connecticut,10,9,"01/27/2024, 08:00",Pool D,Final
SUNY-Binghamton,Virginia Commonwealth,12,8,"01/27/2024, 08:00",Pool D,Final
Case Western Reserve,Virginia Commonwealth,12,5,"01/27/2024, 11:10",Pool D,Final
SUNY-Binghamton,Connecticut,11,9,"01/27/2024, 11:10",Pool D,Final
Case Western Reserve,SUNY-Binghamton,6,10,"01/27/2024, 12:45",Pool D,Final
Connecticut,Virginia Commonwealth,10,7,"01/27/2024, 12:45",Pool D,Final
b,r,e,a,k
clusters,Crossover
cluster,Crossovers
Dartmouth,SUNY-Binghamton,9,7,"01/27/2024, 14:20",,Final
James Madison,Carnegie Mellon,12,6,"01/27/2024, 14:20",,Final
William & Mary,Connecticut,10,9,"01/27/2024, 14:20",,Final
Pennsylvania,Case Western Reserve,8,9,"01/27/2024, 14:20",,Final
Boston University,Johns Hopkins,9,8,"01/27/2024, 14:20",,Final
Richmond,Liberty,12,7,"01/27/2024, 14:20",,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Richmond,Case Western Reserve,12,14,"01/28/2024, 11:30",Finals,Final
Richmond,William & Mary,11,10,"01/28/2024, 09:45",Semis,Final
Boston University,Case Western Reserve,5,13,"01/28/2024, 09:45",Semis,Final
Dartmouth,Richmond,11,12,"01/28/2024, 08:00",Quarters,Final
William & Mary,Carnegie Mellon,12,11,"01/28/2024, 08:00",Quarters,Final
SUNY-Binghamton,Boston University,8,11,"01/28/2024, 08:00",Quarters,Final
Case Western Reserve,James Madison,12,10,"01/27/2024, 08:00",Quarters,Final
bracket,3rd Place
William & Mary,Boston University,13,6,"01/28/2024, 11:30",3rd Place,Final
bracket,5th Place
James Madison,Carnegie Mellon,7,8,"01/28/2024, 13:15",5th Place,Final
Dartmouth,James Madison,11,13,"01/28/2024, 09:45",5th Semis,Final
Carnegie Mellon,SUNY-Binghamton,13,9,"01/28/2024, 11:30",5th Semis,Final
bracket,7th Place
Dartmouth,SUNY-Binghamton,1,0,"01/28/2024, 13:15",7th,Final
b,r,e,a,k
brackets,Ninals
bracket,9th Place
Connecticut,Liberty,12,10,"01/28/2024, 13:15",Ninals,Final
Connecticut,Virginia Commonwealth,15,2,"01/28/2024, 11:30",Ninals Semis,Final
Liberty,Pennsylvania,11,8,"01/28/2024, 11:30",Ninals Semis,Final
Connecticut,American,14,4,"01/28/2024, 08:00",Ninals Quarters,Final
Virginia Commonwealth,Johns Hopkins,11,10,"01/28/2024, 08:00",Ninals Quarters,Final
Liberty,Mary Washington,12,9,"01/28/2024, 09:45",Ninals Quarters,Final
RIT,Pennsylvania,10,15,"01/28/2024, 09:45",Ninals Quarters,Final
bracket,11th Place
Virginia Commonwealth,Pennsylvania,0,15,"01/28/2024, 13:15",11th,Final
bracket,13th Place
Johns Hopkins,RIT,15,10,"01/28/2024, 13:15",13th,Final
American,Johns Hopkins,8,12,"01/28/2024, 09:45",13th Semis,Final
RIT,Mary Washington,13,7,"01/28/2024, 11:30",13th Semis,Final
bracket,15th Place
American,Mary Washington,11,6,"01/28/2024, 13:15",15th,Final
b,r,e,a,k
