East Coast Invite 2024,College - Women ,30,3,2024
Frederica,DE,2024-03-30,2024-03-31
https://play.usaultimate.org/events/East-Coast-Invite-2024/schedule/Women/CollegeWomen/
Tufts,12
0,Grace Schifilliti
0,Kirsten Mauer
0,Lucy Perkins
0,Nellie Clark
0,Sara Bauman
3,Elise Freedman
3,Analise Castillo
5,Britney DeRoehn
7,Elyse Hall
12,Nisha Nayak
14,Taylor Kenneth
18,Irene Ren
27,Jess Montgomery
28,Emily Seto
44,Gabriela  Ewing
77,Johanna Guarin
81,Carly Cameron
97,Marta Hill
b,r,e,a,k
Ohio,8
teamInfo,Stacked Cats,"Athens, Ohio",https://sites.google.com/site/stackedou/home%20,,https://twitter.com/StackedOU
0,Ella Wise
04,Rebecca Scholl
06,Lauren Eggleston
07,Jessica Funk
08,Rachel Grant
09,Ashleigh Harrison
11,Morgan Hayden
12,Danica Kollmorgen
14,Aaliyah Edwards
17,Kalli Teeters
18,Anastasia Petroff
19,Izzy Craig
21,Rachel Hasseltine
22,Lindsey Rodgers
26,Avery Chialastri
28,Madi Moen
30,Jennie Koomar
35,anna Jones
39,Ella Karmol
69,Cora Turney
b,r,e,a,k
Brown,1
teamInfo,Shiver,"Providence, Rhode Island",,,
0,Addison Kerwin
0,Aila Gutierrez
0,Alice Cannon
0,Chloe de Campos
0,Dana Richie
0,Devin Allard-Neptune
0,Emily Bao
0,Etta Robb
0,Julien Song
0,Margherita Rampichini
0,Margot Champigneulle
0,Molly McHenry
0,Nora Starhill
0,Olivia Rodriguez
0,Linnaea McGuinness
0,Sally Hirschwerk
0,Sunday Labrucherie
1,Loretta Karpinski
5,Rita Feder
88,Anjali Shah
99,Kunzang Namgyal
b,r,e,a,k
UCLA,13
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
coaches,Tiffanie Gallo,Cheryl Prideaux
0,Jade Gregory
0,Julia Kamm
0,Kasey Parks
0,Katryn Heine
0,Leah Wildmann
0,Lilet Brooks
0,Lise Tucker
0,Melis Kasaba
0,Mikaela Magtoto
0,Anneliese Phillips
0,Grace Loia-Lopez
0,Mya Mitchell
0,Samantha Appleton-Sackett
0,Wiona  Tan
0,Zhiyue Jiang
2,Sabrina Belkin
10,Minoo Bastani
95,Isabelle Germain
b,r,e,a,k
SUNY-Binghamton,11
teamInfo,Big Bear,"Binghamton , New York",https://bigbearultimate.wordpress.com/,https://www.facebook.com/binghamtonultimate/,
coaches,Danica Vasa
0,Ava Zuckerman
0,Billie Feigin
0,Carolina Weiss
0,Chaya Spokony
0,Cianna Burr
0,Cornelia Fell
0,Anastasia  Mamkin
0,Katherine Romero
0,Leah Rosenheim
0,Nicole Luparello
0,Rose Burtt
0,Sarah Landman
0,Sofia Sinta
5,Melissa Torchio
10,Danielle Dattler
18,Arianna Edwards
23,Emily Cook
24,Jolie Krebs
25,Ancilla Marie Inocencio
31,Jaine Paradis
72,Lauren Marshall
b,r,e,a,k
Cornell,4
teamInfo,Wild Roses,"Ithaca, New York",,,
0,Alexis  Rapacioli
0,Claire Sleigh
0,Elena Caplinger
0,Emily Kulp
0,Gabriella Cabrera
0,Hayley Lorenz
0,Ireanne Cao
0,Lili Sprague
0,Linda Marone
0,Mary  Connerton
0,Olivia  Dramer
0,Parker McLaughlin
0,Viveka Plassmann
0,Zoe Bishop
5,Ruby Li
7,Annie Wu
12,Helen Lim
13,Claudia Miner
16,Eve Lesburg
17,Celia Doherty
18,Sheldon Ennis
b,r,e,a,k
Virginia,15
teamInfo,Hydra,"Charlottesville, Virginia",https://sites.google.com/a/virginia.edu/womens-ultimate-frisbee-club-at-the-university-of-virginia/,https://www.facebook.com/HydraNFriends/,https://twitter.com/HydraNFriends
coaches,Emma Colavincenzo,Keila Strick
0,Ava Foulk
0,Aviva Kosto
0,Breanna  Donahue
0,Bridget Williams
0,Carolina Otal
0,Dorian Gaines
0,Dorothy Beck
0,Elsa Norman
0,Emily Schroeder
0,Emma  Vorathiankul
0,Ivy Watson
0,Keisha Enriquez
0,Kelsey Bernal
0,Leila Troxell
0,Madeline Crowe
0,Megan Kennedy
0,Nora LeVasseur
0,Olivia Bearman
0,Rachel Lisner
0,Rebecca Bang
0,Rose Haron
0,Ryann Boudreau
0,Shea Ruzich
0,Sydney Rohrbach
8,Sydney Mannion
11,Paulina Pelaez
27,Irene Chen
b,r,e,a,k
Carnegie Mellon,2
teamInfo,Money Mellons,"Pittsburgh, Pennsylvania",https://www.andrew.cmu.edu/user/ultimate/mmellons/,,https://twitter.com/cmwultimate
04,Kailey Rugani
05,Audi Lin
06,Tippi Li
09,Victoria Chen
11,Manaen Hu
12,Tzushan Chu
13,Sam Leong
15,Eunbean Lee
16,Maddie Philhower
18,Karen Li
19,Kj Suggs
21,Emily Ma
24,Ella Maxwell
25,Chen Ye
28,Dorie Yue
31,Michelle Bank
35,Alyssa Yang
36,Lucy Gunther
47,Kai Yen Amanda Koh
48,Marissa Ma
71,Isabella Krisky
73,Mia Sanborn
b,r,e,a,k
Yale,18
teamInfo,Ramona,"New Haven, Connecticut",http://www.yale.edu/ramona,https://www.facebook.com/yaleramona,https://twitter.com/yaleramona
coaches,Shane Skriletz,Joshua (Slater) Levey
0,Cosima Deetman
0,Destiny Montero 
0,Ella Moran
0,Emilia Oliva
0,Felicia Zheng
0,Han Pimentel-Hayes
0,Liddy Boland
0,Annabelle Brothers
0,Caroline Sun
0,Louise Puchalla
0,Maya Franz
0,Morgan Taylor
0,Peregrine Todd
0,Sophia DeLuca
3,Ai-Li Hollander
10,Wilhelmina Graff
13,Sungshil Johnson
15,Caroline Eldridge
19,Lila Brady
23,Mary He
b,r,e,a,k
Columbia,3
teamInfo,Chimera,"New York , New York",,,https://twitter.com/cultimatewomen
coaches,Amy Elizabeth Leder,Kaylee Viets
0,Alexandra Koletsos
0,Alicia Yang
0,Annabelle Wechsler
0,Eva Supanc
0,Grace Perrin
0,Hughlyn Wong
0,Isabelle Puhl
0,Jillian Magtoto
0,Kyra Ramesh Krishna
0,Martina Irurita
0,Naomi Miller
0,Sareena Parikh
0,Vicky Wei
17,Ji Yoon Sim
24,Eastelle Ding
26,Nina Debry
b,r,e,a,k
Penn State,9
teamInfo,Crisis,"University Park, Pennsylvania",https://psuwomensultimate.weebly.com/,,https://twitter.com/crisisultimate
0,Alexandra  Loomis
0,Annalie Ayers
0,Ashlyn Soteres
0,Brooke Sherman
0,Devynn Quigley
0,Gianna Purpura
0,Haley Young
0,Isabella Vergona
0,Mary Cate McCarthy
0,Megan Wilson
0,Natalie Babitzke
0,Marilynn Capps
0,Victoria Lenze
3,Mackenzie Mangette
16,Marissa Palumbo
17,Sophia Pemble
18,Olivia Steinberg
32,Elilta Abera
b,r,e,a,k
West Chester,16
teamInfo,West Chester,"West Chester, Pennsylvania",https://dubcultimate.wixsite.com/wcuwomensultimate,https://www.facebook.com/westchesterultimate/,@WcuWomens
0,Edna Masic
0,Emily Fox
0,Emily Fry
0,Emma Hamilton
0,Gabrielle Febbo
0,Jen Vu
0,Madelyn McCullough
0,Rachel Scranton
0,Ramey Bonass
0,Vanna Wang
0,Ana Maria  Maloney
11,Grace Tollinger
29,Diana Vu
b,r,e,a,k
s,t,a,g,e,s
pools,Match Play
pool,Pool A
Northeastern,Ohio,13,5,"03/30/2024, 08:00",Pool A,Final
Columbia,Pennsylvania,6,13,"03/30/2024, 08:00",Pool A,Final
Virginia,Penn State,13,5,"03/30/2024, 08:00",Pool A,Final
Brown,SUNY-Binghamton,9,8,"03/30/2024, 08:00",Pool A,Final
West Chester,Cornell,5,11,"03/30/2024, 08:00",Pool A,Final
Wisconsin,Yale,15,2,"03/30/2024, 08:00",Pool A,Final
Michigan,Tufts,7,10,"03/30/2024, 09:45",Pool A,Final
Carnegie Mellon,Northeastern,2,8,"03/30/2024, 09:45",Pool A,Final
Vermont,Cornell,15,3,"03/30/2024, 09:45",Pool A,Final
Brown,North Carolina,3,11,"03/30/2024, 09:45",Pool A,Final
Penn State,Yale,6,8,"03/30/2024, 09:45",Pool A,Final
Pennsylvania,UCLA,13,7,"03/30/2024, 09:45",Pool A,Final
North Carolina,SUNY-Binghamton,14,7,"03/30/2024, 11:30",Pool A,Final
Vermont,Ohio,15,4,"03/30/2024, 11:30",Pool A,Final
Carnegie Mellon,Columbia,7,6,"03/30/2024, 11:30",Pool A,Final
Virginia,Michigan,5,11,"03/30/2024, 11:30",Pool A,Final
Tufts,Wisconsin,9,3,"03/30/2024, 11:30",Pool A,Final
UCLA,West Chester,8,1,"03/30/2024, 11:30",Pool A,Final
Yale,Pennsylvania,4,15,"03/30/2024, 13:15",Pool A,Final
Virginia,Northeastern,2,15,"03/30/2024, 13:15",Pool A,Final
Wisconsin,Columbia,13,4,"03/30/2024, 13:15",Pool A,Final
Brown,Penn State,9,7,"03/30/2024, 13:15",Pool A,Final
Ohio,Cornell,8,5,"03/30/2024, 13:15",Pool A,Final
SUNY-Binghamton,West Chester,13,6,"03/30/2024, 13:15",Pool A,Final
North Carolina,Northeastern,15,6,"03/30/2024, 15:00",Pool A,Final
Vermont,Pennsylvania,15,9,"03/30/2024, 15:00",Pool A,Final
UCLA,Yale,12,7,"03/30/2024, 15:00",Pool A,Final
Brown,Michigan,8,15,"03/30/2024, 15:00",Pool A,Final
Cornell,Carnegie Mellon,10,6,"03/30/2024, 15:00",Pool A,Final
Penn State,Tufts,2,15,"03/30/2024, 15:00",Pool A,Final
Wisconsin,Virginia,12,8,"03/30/2024, 16:45",Pool A,Final
Vermont,North Carolina,15,11,"03/30/2024, 16:45",Pool A,Final
SUNY-Binghamton,Columbia,11,8,"03/30/2024, 16:45",Pool A,Final
Ohio,Carnegie Mellon,13,6,"03/30/2024, 16:45",Pool A,Final
Tufts,UCLA,15,2,"03/30/2024, 16:45",Pool A,Final
Michigan,West Chester,15,2,"03/30/2024, 16:45",Pool A,Final
b,r,e,a,k
brackets,Sunday Brackets
bracket,1st Place
Vermont,North Carolina,0,0,"03/31/2024, 13:15",Finals,Scheduled
Vermont,Northeastern,15,3,"03/31/2024, 09:45",Semis,Final
North Carolina,Tufts,9,8,"03/31/2024, 09:45",Semis,Final
Vermont,Wisconsin,15,5,"03/31/2024, 08:00",Quarters,Final
Northeastern,Pennsylvania,10,8,"03/31/2024, 08:00",Quarters,Final
North Carolina,Michigan,13,9,"03/31/2024, 08:00",Quarters,Final
Tufts,Ohio,11,6,"03/31/2024, 08:00",Quarters,Final
bracket,3rd Place
Northeastern,Tufts,0,0,"03/31/2024, 13:15",3rd Place,Scheduled
bracket,5th Place
Wisconsin,Ohio,0,0,"03/31/2024, 11:30",5th Semis,In Progress
Pennsylvania,Michigan,0,0,"03/31/2024, 11:30",5th Semis,In Progress
bracket,7th Place
bracket,9th Place
Cornell,Brown,0,0,"03/31/2024, 09:45",9th Semis,In Progress
SUNY-Binghamton,UCLA,7,8,"03/31/2024, 09:45",9th Semis,Final
Brown,Virginia,9,8,"03/31/2024, 08:00",9th Quarters,Final
SUNY-Binghamton,Carnegie Mellon,12,6,"03/31/2024, 08:00",9th Quarters,Final
bracket,11th Place
bracket,13th Place
Virginia,Carnegie Mellon,0,0,"03/31/2024, 11:30",13th Place,Scheduled
bracket,15th Place
Yale,West Chester,0,0,"03/31/2024, 09:45",15th Semis,In Progress
Penn State,Columbia,8,5,"03/31/2024, 09:45",15th Semis,Final
bracket,17th Place
b,r,e,a,k
