TCT Select Flight Invite East 2024,Club - Women ,27,7,2024
Sylvania,OH,2024-07-27,2024-07-28
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-East-2024/schedule/Women/Club-Women/
Ozone,1
11,Kaylyn Gordon
12,Sophie Walden
13,Amanda Frakes
14,Liz Walters
17,Moriah Becquer
19,Jenna Boyd
22,Emma Lien
23,Rebekah Seyfert
24,Abby Acker
26,Jordan Eissner
27,Karissa Jenesse
28,Carly Cameron
33,Jessica Tiller
35,Kristin Turk
37,Georgia Hansen
49,Heather Fielding Gebhardt
57,Emily Tucker
87,Amanda Borders
89,Bekah Miller
93,Mei Lin Branit
99,Electa Ward
b,r,e,a,k
Brooklyn Book Club,13
teamInfo,,"Brooklyn, New York",http://bkbookclubultimate.weebly.com/,https://facebook.com/BrooklynBookClub,https://twitter.com/bkbookclub
coaches,Karen Chalif,Andrew Jones
0,Evangeline Abraham
0,Ivy Tsang
0,Kaylee Viets
0,Leah Garber
0,Lily Eisner
0,Maia Donald
0,Melody Leung
0,Annabel White
0,Ashton Carrick
0,Molly Baraff
0,Sareena Parikh
3,Sora Akiyoshi
3,Amy Elizabeth Leder
3,Chi Chi Wakabayashi
10,Michal Pearl
10,Kimberly Tan
11,Natalie Sweet
39,Naomi Miller
44,Talia Kula
b,r,e,a,k
San Antonio Problems,11
teamInfo,,"San Antonio, Texas",,,
0,Allison Waters
0,Ashley Abrigo
0,Brittany Wheaton
0,Cameron Olsen
0,Eleanor Burg
0,Gabriella Wehrung
0,Jiayin Li
0,Julia  Riley
0,Karina Herrera
0,Kinsey Neas
0,Kriselle Tubongbanua
0,Lillian Morrison
0,Lily Jimenez
0,Mia Loseff
0,Shailie Thakkar
0,Tyler Boston
0,Wren Vogel
5,Rose Gremillion
11,Sarah Lindsay
13,Jasmine Anand
17,Sabrina Talley
43,Lily Zeng
b,r,e,a,k
Lake Erie Walleye,6
teamInfo,,"Cleveland, Ohio",https://sites.google.com/view/clewclubultimate/home,,https://twitter.com/CleWalleyesUlt
1,Julie  Kastanis 
2,Meghan Drews
3,Anna Weiss
4,Anna Brosch
5,Tia Edwards
9,Anna Farrington
10,Abbey Geib
11,Kristen Brown
14,Delphine Casper
17,Amy Melena
19,Enya Luo-Wimmer
22,Julia Rouge
23,Brianna Blair
25,Julie Chen
26,Emily Johr
27,Natalie  Thornton
33,Kelsi DeSimone
36,Christine Pagett
39,Audrey Kwun
44,Ashley Mitchell
63,Selena Liu
71,Eleanor Stein
78,Sophia Vaccaro
88,Kristin Reid
95,Morgan Reminder
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Ozone,Crush City,11,10,"07/27/2024, 08:30",Pool A,Final
Zephyr,Dish,15,6,"07/27/2024, 08:30",Pool A,Final
Ozone,Dish,15,4,"07/27/2024, 10:15",Pool A,Final
Zephyr,Crush City,5,10,"07/27/2024, 10:15",Pool A,Final
Ozone,Zephyr,10,8,"07/27/2024, 12:00",Pool A,Final
Crush City,Dish,14,8,"07/27/2024, 12:00",Pool A,Final
pool,Pool B
Indy Rogue,Juice Box,12,13,"07/27/2024, 08:30",Pool B,Final
Heist,Agency,14,11,"07/27/2024, 08:30",Pool B,Final
Indy Rogue,Agency,15,8,"07/27/2024, 10:15",Pool B,Final
Heist,Juice Box,14,7,"07/27/2024, 10:15",Pool B,Final
Indy Rogue,Heist,11,15,"07/27/2024, 13:45",Pool B,Final
Juice Box,Agency,8,9,"07/27/2024, 13:45",Pool B,Final
pool,Pool C
Outrage,Stellar,13,11,"07/27/2024, 08:30",Pool C,Final
Vengeance,Shiver,15,6,"07/27/2024, 08:30",Pool C,Final
Outrage,Shiver,9,10,"07/27/2024, 12:00",Pool C,Final
Vengeance,Stellar,15,9,"07/27/2024, 12:00",Pool C,Final
Outrage,Vengeance,5,15,"07/27/2024, 13:45",Pool C,Final
Stellar,Shiver,7,11,"07/27/2024, 13:45",Pool C,Final
pool,Pool D
Wicked,San Antonio Problems,12,8,"07/27/2024, 10:15",Pool D,Final
Lake Erie Walleye,Brooklyn Book Club,7,13,"07/27/2024, 10:15",Pool D,Final
Wicked,Brooklyn Book Club,10,12,"07/27/2024, 12:00",Pool D,Final
Lake Erie Walleye,San Antonio Problems,7,14,"07/27/2024, 12:00",Pool D,Final
Wicked,Lake Erie Walleye,15,5,"07/27/2024, 13:45",Pool D,Final
San Antonio Problems,Brooklyn Book Club,8,7,"07/27/2024, 13:45",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Wicked,Vengeance,0,0,"07/28/2024, 13:15",Final,Scheduled
Ozone,Wicked,11,15,"07/28/2024, 09:45",Semifinal,Final
Vengeance,Heist,11,10,"07/28/2024, 09:45",Semifinal,Final
Ozone,Indy Rogue,13,10,"07/28/2024, 08:00",Quarterfinal,Final
Shiver,Wicked,5,15,"07/28/2024, 08:00",Quarterfinal,Final
Vengeance,Brooklyn Book Club,14,10,"07/28/2024, 08:00",Quarterfinal,Final
Crush City,Heist,10,11,"07/28/2024, 08:00",Quarterfinal,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Third
Ozone,Heist,0,0,"07/28/2024, 13:15",Third,Scheduled
bracket,Fifth Place Bracket
Indy Rogue,Shiver,0,0,"07/28/2024, 11:30",Fifth Semifinal,Scheduled
Brooklyn Book Club,Crush City,0,0,"07/28/2024, 11:30",Fifth Semifinal,Scheduled
bracket,Seventh Place
bracket,Ninth Place Bracket
Juice Box,Outrage,0,0,"07/28/2024, 11:30",Ninth Semifinal,Scheduled
San Antonio Problems,Zephyr,0,0,"07/28/2024, 11:30",Ninth Semifinal,Scheduled
Juice Box,Dish,12,6,"07/28/2024, 08:00",Ninth Quarterfinal,Final
Lake Erie Walleye,Outrage,4,15,"07/28/2024, 08:00",Ninth Quarterfinal,Final
San Antonio Problems,Stellar,12,10,"07/28/2024, 09:45",Ninth Quarterfinal,Final
Agency,Zephyr,8,12,"07/28/2024, 09:45",Ninth Quarterfinal,Final
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
Dish,Lake Erie Walleye,0,0,"07/28/2024, 11:30",Thirteenth Semifinal,Scheduled
Stellar,Agency,8,15,"07/28/2024, 11:30",Thirteenth Semifinal,Final
bracket,Fifteenth Place
b,r,e,a,k
