2024 Great Lakes Men's Regional Championship,Club - Men ,21,9,2024
Westfield,IN,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Great-Lakes-Mens-Regional-Championship/schedule/Men/Club-Men/
Chicago Machine,1
teamInfo,,"Chicago, Illinois",http://www.chicago-machine.com,https://www.facebook.com/machineultimate,https://twitter.com/MachineUltimate
coaches,James Highsmith,Alex Champe,Dan Donovan
0,Wilson Matthews
01,Andrew Sjogren
04,Henry Goldenberg
05,Johnny Bansfield
06,Walt Jansen
07,Jack Shanahan
10,Victor Luo
11,Nathan Goff
12,Kyle Rutledge
13,Benjamin Preiss
14,Jake Steslicki
17,Keegan North
18,Jeffrey Gao
19,Paul Arters
23,Xavier Payne
24,Jacob Bruner
27,Daan De Marrée
31,Walden Nelson
54,John Lithio
55,Pawel Janas
61,Raymond Lu
71,Malik Auger-Semmar
74,Luke Brennan
77,William Wettengel
88,Tim Schoch
91,Joe White
b,r,e,a,k
I-69,8
teamInfo,,"Indianapolis, Indiana",,,
69,Anthony Grigoletti
69,Benjamin Close
69,Bradley Kennis
69,CJ Knarr
69,Cole Hyzer
69,Gavin Hensley
69,Hank Havlin
69,Jack Galle
69,Jack Kempe
69,Jacob Fella
69,Jake Wahl
69,Jason Kempe
69,Jesse Rumsey
69,Joel Close
69,Joseph Cari
69,Mace Chope
69,Marcus Evans
69,Matthew Weaver
69,Nathan Close
69,Noah  Wahl
69,Owen Woodward
69,Richard Ware
69,Sedrik Sweet
69,Theodore Faur
69,Travis Carpenter
b,r,e,a,k
Scoop,12
teamInfo,,"Akron/Cleveland, Ohio",,,
0,Brady Aneshansel
0,Brandon Sasser
0,Caden Bahry
0,Derek Lin
0,Griffin Slesinger
0,Ian Knaus
0,Jay Bucciarelli
0,John  Iannetta 
0,Mason Clay
0,Matthew Sullivan
0,Nathan Trudell
0,Sydney Shobel
0,Zach Shell
2,Garrett Holman
5,Jake Stahl
7,Gavin Latona
14,Osvaldo Velez-Martinez
15,Mark Hribar
19,Michael Atkinson
21,Ben Alexander
23,Noah Spaetti
24,Pete Digre
69,George Mallinos
76,Logan Heck
77,Vonterio Duncan
b,r,e,a,k
Diesel,13
teamInfo,,"Ann Arbor, Michigan",,,https://twitter.com/DieselUlti
0,Austin Engel
0,Benjamin Clark
0,Brendan Moore
0,Brendan Parzynski
0,Collin Henig
0,Daniel Chen
0,Dom Zampardo
0,Erik Huemiller
0,Jaden Hanold
0,Jinfu Niu
0,Nicholas Colucci
0,Robert Cann
0,Scott Cann
6,Parker Henderson
9,Alexander Nessel
12,Andrew Vieregge
17,Isaac VanDeCar
23,Joey Fishkind
24,Jon Jamison
27,Bingqian Pan
42,Noah Schwalb
78,Matthew Bell
b,r,e,a,k
Omen,7
teamInfo,,"Cincinnati, Ohio",,,https://twitter.com/omen_ultimate
0,Brady Smith
0,Ian Hailey
0,Landon Sagle
0,Nathan Ploeger
0,Steven Kolp
0,Zachary Robinson
1,Elliot Skindzier
2,Nicholas Betsch
3,Nate Berman
8,Tim Settles
10,Calvin Caldwell
11,David Collins
12,Mike Finke
13,Kyle Romard
16,Dylan Hall
18,Michael Bruggeman
26,Jack Havey
30,Zachary Ford
32,Chris Ellis
35,Jared Regruth
45,Trey Dynes
58,Kydan Young
69,Michel Domenella
69,Nick Loughran
78,Michael Ames
96,Daniel Khoe
b,r,e,a,k
Beacon,2
teamInfo,,"Grand Rapids, Michigan",,,https://twitter.com/BeaconUlti
00,Jacob Felton
01,Gabe Ecenbarger
02,Justin Perticone
03,Jackson Willits
04,Trevor Polisuk-Balfour
06,Jordan Gabrielse
07,Ryan Lee
11,Michael Mansfield
13,James Baker Jr
14,Sawyer Fil
15,Alex Bertoia
18,Malachi Neil
21,Justin Von Kulajta Winn
27,Colin Fremeau
32,Elliot Davis
34,Colin Beauregard
35,Mitchell Savage
37,Gabriel Dobrozsi
41,Gregory Moreno
45,Aiden Rudy
51,Joseph Cubitt
54,Aaron Schwieterman
61,Caleb Stanish
77,Matthew Martell
81,Alec DenBraber
84,Michael Weber
b,r,e,a,k
Enigma,11
teamInfo,,"Dayton, Ohio",,https://www.facebook.com/pages/Enigma/112703698822469?ref=hl,
0,Ben Min
0,Benny Rider
0,Andrew Fassler
0,Avery Moeller
0,Dawson Jenkins
0,Jeff Kula
0,Mazen Syed
0,Peter Haverland
0,Samuel Lemmon
8,Nate Olander
9,Jake Blue
10,Riley Ulmer
12,Paul Zaleski
16,Taylor Chatfield
17,Granite Lesko
17,Daniel Mac Manus
21,Ben Knoth
22,Tobiah Weyer
22,Spencer Kimball
24,Andrew Greenfield
32,Philip Kletzli
42,Brandon Henry
43,Stephen Moore
52,Ian Mack
98,Jarod Garel
99,Christian Colon
b,r,e,a,k
Mischief,14
teamInfo,,"Livonia, Michigan",,,
0,Eseosa Aguebor
3,David Emmett-Hulet
00,James Visnaw
01,Ibrahim Mourad
02,Thomas Piaskowski
03,Alex Mardlin
04,Spencer Weiss
07,Simeon  Russell  
09,Benjamin Gould
12,Josh Kneisel
16,Josh Niemi
22,Francisco Sara
27,Henry Keller
31,Caleb Holt
33,Alex Remski
34,Alexander Waterhouse
36,Brian Bloom
42,Roan Martin-Hayden
55,John-Mark Toth
57,Michael McGrath
67,Stephen Bloetscher
68,Gerald Chizmadia
69,Noah Gillespie
81,Camden Hayden
86,Nick Akers
88,Mekhi PhillipsRincher
b,r,e,a,k
Chimney,6
teamInfo,,"Cleveland, Ohio",,,
0,Anil Driehuys
0,Benjamin March
0,David Picone
0,Dmitriy Estrin
0,Elias Hinson
0,Evan Howey
0,Gabe Dombroski
0,Jacob Rollins
0,Kevin Nicholl
0,Kunwoo Shin
0,Sam King
0,Sean Newell
0,Nathaniel Poshkus
0,Richard Klena
0,Tristan Greiner
0,Vlad Estrin
1,Joshua Lyder
2,Malachi Marshall
4,Jacob Bultman
4,Zac Byrnes
7,Sam Greenberg
9,Christopher Auman
12,Jacob Schwartz
22,TJ Kalvas
66,Tom Duellman
82,Dutch Kirkman
b,r,e,a,k
Flying Dutchmen,3
teamInfo,,"Columbus, Ohio",,,
0,Camron Chambers
0,Ephraim Connor
1,Lloyd Furuta
2,Sion Agami Contreras
3,David Braden
4,Joe Spofforth
5,Eliot Alexander
8,Michael Kromer
9,Austin Riegel
11,Jason Wherry
12,Alec Mathena
16,Anthony Sanderell
17,Nicholas Ondrejko
18,Andrew DePuy
20,Zachary Wigington
21,Alex Rudy
23,Kyle Murray
24,Tanion Misawayee
25,Nick Sophocleous
31,Lucas Nestor
50,Kenton Lawson
55,Eric Coglianese
81,Eric Wright
91,Tyler McCarthy
96,Aaron Lott
99,Alex Warrington
b,r,e,a,k
Black Lung,10
teamInfo,,"Lexington, Kentucky",,,https://twitter.com/blacklungulti?lang=en
0,Christopher Powers
0,Cole Bernstein
