Ow My Knee 2024,Club - Men ,17,8,2024
Schenectady,NY,2024-08-17,2024-08-18
https://play.usaultimate.org/events/Ow-My-Knee-2024/schedule/Men/Club-Men/
Shade,1
teamInfo,,"New York, New York",https://instagram.com/shadeulti,http://gagopakaraoke.com/home,https://www.twitter.com/shadeulti
0,Eric Moore
0,Eric Tagliaferre
0,Eric Zhang
0,Evan Walter
0,Griffin Kao
0,Jacob Coonin
0,Jacob Price
0,Kaizen Conroy
0,Nick Maida
0,Oliver Walke
0,Ryan Brown
0,Ryan Saffa
2,Jack Rogot
3,Brandon Shaw
8,Nathan Brown
8,Noah Gross
9,Jasper Beardslee
15,Azeez Adeyemi
17,Curtis Pakgross
22,Alan Henzy
23,Otto Gomez
25,Benjamin Toruño
44,Andrew Rodman
45,Colton Doering
61,Matthew Weintraub
69,Peter Luo
b,r,e,a,k
MOB Ultimate,8
teamInfo,,"Baltimore, Maryland",,https://www.facebook.com/MOB-Ultimate-114315757422122,https://twitter.com/MOBUltimate1
0,Alan Nguyen
0,Benjamin Lopez
0,Elijah Best
0,Grant Sullivan
0,Jack Mountain
0,Jackson Klingenberg
0,Jeremy Allen
0,Owen Singer
0,Peter Lamousin
0,William Lamousin
1,Benjamin Guest
2,Jeremy Martin
3,Christopher Haslbeck
4,Richard Forbes
7,Alexander Wright
9,Jason Hawkins
9,Patrick Corkum
12,Douglas Trach
13,Manuel Miranda
16,Buddy Terry
18,Landon Jones
21,Ian Shull
64,Stylianos Mastoras
95,Xavier Stewart
99,Liam Jones
b,r,e,a,k
Crossfire,9
teamInfo,,"Boston , Massachusetts",,,
0,Benjamin Whidden
0,Diego  Aldana
0,Ethan  Zhang
0,Ethan Wagner
0,Ian Bowe
0,Kyle Roke
0,Zach Last
0,Zachary Ewing
5,Ryan Dozer
6,Aidan Carter
10,Jonathan Monderer
12,David Rocamora
43,Joseph Casente
55,Nicholas Hudgins
84,Andrew Rogers
b,r,e,a,k
Chemical X,16
teamInfo,,"State College, Pennsylvania",,,
0,Dan Goodspeed
0,David Bowers
0,Brandon Shunk
0,Dorsey Strasburger
0,Ethan Landis
0,Jaden Sailer
0,Ronald Ratliff
0,Sanjeev Sridhar
0,William Olsen
00,trevor Baker
00,Kellen Smith
00,Luke Pedersen
00,Alex Fairbanks
00,jacob Humenik
00,Dalton Thomas
00,Derek Johnson
18,Devin Christian
96,Isaiah Irwin
b,r,e,a,k
Lantern,2
teamInfo,,"Boston, Massachusetts",https://www.instagram.com/lanternultimate/?hl=en,,https://twitter.com/lanternultimate
0,Brendan Blaney
02,Alan Yi
03,Derek Wiseman
05,Thomas Dougherty
06,Igor Smola
07,Daniel Benson
10,Brian Walsh
11,Cameron Park
12,Michael Carando
13,Matt Kolk
14,Marc Gleason
17,John Repucci
18,Ryan Rockett
19,John Buchanan
21,Joshua Remington
25,Matthew Ayers
27,David Owyang
35,Russell Katz
37,Dylan Baroody
47,Bryce Markel
62,Cody Karjadi
63,Griffin Smith
73,Eric Peters
75,Benjamin Ma
78,Noah Urrutia
99,Luka Govedic
b,r,e,a,k
Alibi,7
teamInfo,,"Albany, New York",,,
coaches,Nicholas Granados-Kramer
0,Nate Belluche
00,Orestis Narliotis
00,Simon Phippen
00,Xavier Ortiz-Reyes
00,Adam Kohn
00,Aidan Mclaren
00,Ben Kleinman
00,Caleb Bashant
00,Charles Labarge
00,Connor Braddock
00,Daniel Bishop
00,Devin Hendricks
00,Ezra Cotton
00,Griffin Malcolm
00,Jacob Grabois
00,Jared Gregorek
00,John Angerame
00,Jonathan Willman
00,Kai LaMothe
00,Kevin Roux
00,Matthew O'Brien
00,Matthew Lustbader
00,Mirsad Markovic
00,Mitchell McDonald
b,r,e,a,k
Beef Depot,10
