Heavyweights 2024,Club - Men ,6,7,2024
Aurora,IL,2024-07-06,2024-07-07
https://play.usaultimate.org/events/Heavyweights-2024/schedule/Men/Club-Men/
Flying Dutchmen,1
2,Tafika-Kenan Valhmu
00,Leo Ohkerrmann
04,Jackson McCausland
05,Jonny Holstead
09,Patrick LaVallee
11,Jacob Scobey-Polacheck
12,Zach Vosberg
13,Jonathan Schlaefer
14,Ken Adams
15,Charlie Benforado
16,Jack Dipaolo
19,Ryan Waller
20,Reid Lancaster
22,Jack Loomis
24,Justin Stubbe
32,Max Carpenter
33,Patrick Guarasci
36,Sam Stocklein
51,Alex Henige
88,Brian Benge
99,Zane Stein
b,r,e,a,k
Diesel,12
teamInfo,,"Ann Arbor, Michigan",,,https://twitter.com/DieselUlti
0,Benjamin Clark
0,Brendan Parzynski
0,Charlie Rosenfeld
0,Collin Henig
0,Daniel Chen
0,Dom Zampardo
0,Erik Huemiller
0,Jaden Hanold
0,Robert Cann
0,Scott Cann
6,Parker Henderson
12,Andrew Vieregge
17,Isaac VanDeCar
19,Aidan Hale
23,Joey Fishkind
24,Jon Jamison
27,Bingqian Pan
b,r,e,a,k
NOMAD,13
teamInfo,,"Edina / St. Louis Park , Minnesota",https://www.nomadultimate.com/home,,
0,Benjamin Mimick
0,Dillon Riebe
0,James (Jac) Cullen
0,Jasper Priest
0,Quinn Lander
0,Robert Wilson
0,Johnny Quick
2,Luke Rubin
3,Ross Krueger
9,Andrew Yakes
11,Eli Lessin Burris
12,Jack Mintz
14,Will Hager
16,Joe McGurgan
17,Aaron Casey-Fix
21,Mikey  Wagner
22,Boden Oelhafen
23,John Rice-Slothower
33,Brett Duncan
34,James Briscoe
44,Graham Imholte
55,Jack McIntyre
66,Clayton Rabe
95,Derek Krueger
99,Jim Shope
b,r,e,a,k
TYDL,20
teamInfo,,"Chicago, Illinois",,,
coaches,Justin Forman,Jordan Dong
0,Andrew Tauer
0,Elton Howard
0,Jack Onyschak
0,Parker Hirschle
0,Rohit Fuldeore
0,Rohit Fuldeore
0,Lucas Donat
9,Chris Markiewicz
27,Mario Ortiz
44,Joseph Epplin
80,Aidan Wonderling
88,Roman Ramaker
b,r,e,a,k
s,t,a,g,e,s
pools,M PP
pool,Pool A
Flying Dutchmen,Roundhouse,0,0,"07/06/2024, 09:00",Pool A,Scheduled
STL Moonar,Timber,0,0,"07/06/2024, 09:00",Pool A,Scheduled
Flying Dutchmen,STL Moonar,0,0,"07/06/2024, 10:45",Pool A,Scheduled
OPE,Timber,0,0,"07/06/2024, 10:45",Pool A,Scheduled
Timber,Roundhouse,0,0,"07/06/2024, 12:30",Pool A,Scheduled
OPE,STL Moonar,0,0,"07/06/2024, 12:30",Pool A,Scheduled
Flying Dutchmen,Timber,0,0,"07/06/2024, 14:15",Pool A,Scheduled
OPE,Roundhouse,0,0,"07/06/2024, 14:15",Pool A,Scheduled
Flying Dutchmen,OPE,0,0,"07/06/2024, 16:00",Pool A,Scheduled
STL Moonar,Roundhouse,0,0,"07/06/2024, 16:00",Pool A,Scheduled
pool,Pool B
Knights of Ni,DCVIII,0,0,"07/06/2024, 09:00",Pool B,Scheduled
Chimney,Trident II,0,0,"07/06/2024, 09:00",Pool B,Scheduled
Knights of Ni,Chimney,0,0,"07/06/2024, 10:45",Pool B,Scheduled
Zoboomafoo,Trident II,0,0,"07/06/2024, 10:45",Pool B,Scheduled
Trident II,DCVIII,0,0,"07/06/2024, 12:30",Pool B,Scheduled
Zoboomafoo,Chimney,0,0,"07/06/2024, 12:30",Pool B,Scheduled
Knights of Ni,Trident II,0,0,"07/06/2024, 14:15",Pool B,Scheduled
Zoboomafoo,DCVIII,0,0,"07/06/2024, 14:15",Pool B,Scheduled
Knights of Ni,Zoboomafoo,0,0,"07/06/2024, 16:00",Pool B,Scheduled
Chimney,DCVIII,0,0,"07/06/2024, 16:00",Pool B,Scheduled
pool,Pool C
Haymaker,Scoop,0,0,"07/06/2024, 09:00",Pool C,Scheduled
Void,Rubicon Rapids,0,0,"07/06/2024, 09:00",Pool C,Scheduled
Haymaker,Void,0,0,"07/06/2024, 10:45",Pool C,Scheduled
Dreadnought,Rubicon Rapids,0,0,"07/06/2024, 10:45",Pool C,Scheduled
Rubicon Rapids,Scoop,0,0,"07/06/2024, 12:30",Pool C,Scheduled
Dreadnought,Void,0,0,"07/06/2024, 12:30",Pool C,Scheduled
Haymaker,Rubicon Rapids,0,0,"07/06/2024, 14:15",Pool C,Scheduled
Dreadnought,Scoop,0,0,"07/06/2024, 14:15",Pool C,Scheduled
Haymaker,Dreadnought,0,0,"07/06/2024, 16:00",Pool C,Scheduled
Void,Scoop,0,0,"07/06/2024, 16:00",Pool C,Scheduled
pool,Pool D
I-69,TYDL,0,0,"07/06/2024, 09:00",Pool D,Scheduled
Diesel,NOMAD,0,0,"07/06/2024, 09:00",Pool D,Scheduled
I-69,Diesel,0,0,"07/06/2024, 10:45",Pool D,Scheduled
Bux,NOMAD,0,0,"07/06/2024, 10:45",Pool D,Scheduled
NOMAD,TYDL,0,0,"07/06/2024, 12:30",Pool D,Scheduled
Bux,Diesel,0,0,"07/06/2024, 12:30",Pool D,Scheduled
I-69,NOMAD,0,0,"07/06/2024, 14:15",Pool D,Scheduled
Bux,TYDL,0,0,"07/06/2024, 14:15",Pool D,Scheduled
I-69,Bux,0,0,"07/06/2024, 16:00",Pool D,Scheduled
Diesel,TYDL,0,0,"07/06/2024, 16:00",Pool D,Scheduled
b,r,e,a,k
brackets,M BP
bracket,M CHAMPIONSHIP BRACKET
bracket,M 3RD PLACE GAME
bracket,M 5TH PLACE BRACKET
bracket,M 7TH PLACE GAME
bracket,M 9TH PLACE BRACKET
bracket,M 11TH PLACE GAME
bracket,M 13TH PLACE BRACKET
bracket,M 15TH PLACE GAME
bracket,M 17TH PLACE BRACKET
bracket,M 19TH PLACE GAME
b,r,e,a,k
