TCT Pro-Elite Challenge East 2024,Club - Women ,13,7,2024
Fredericksburg,VA,2024-07-13,2024-07-14
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-East-2024/schedule/Women/Club-Women/
Brute Squad,1
teamInfo,,"Boston, Massachusetts",https://brutesquadultimate.com/,https://www.facebook.com/BruteSquadUltimate/,https://twitter.com/100percentBS/
coaches,Robert Brazile
02,Edi Lam
04,Lien Hoffmann
05,Gigi Downey
06,Sara Mar
07,Laura Ospina Gomez
09,Kelly Hyland
10,Floor Keulartz
11,Samiya Ismail
13,Becky Malinowski
15,Emily Kemp
17,Angela Zhu
18,Caroline Tornquist
20,Dorothy DiMascio-Donohue
21,Nicole Chan
22,Julia Zwierzynski
23,Colette Pellegrini
28,Amy Zhou
29,Caitlyn Lee
83,Zoe Hecht
88,Nastasia Tangherlini
96,Maria Angelica Forero Becerra
99,Lia Schwartz
b,r,e,a,k
Parcha,7
teamInfo,,"Pittsburgh, Pennsylvania",https://pittsburghclubw.wixsite.com/pghclubw,https://facebook.com/PghClubW/,https://twitter.com/pghparcha
01,Helen Wu
02,Makenzie Priest
03,Domenica Sutherland
06,Celeste Picone
07,Maria Stang
08,Rachel Hidek
09,Claire Stout
10,Erin McCann
11,Sara Liang
12,Natalie Barnhart
13,Anna Browne
16,Rosanna Vitiello
18,Isabella Krisky
20,Charlotte Koerner
21,Allison Milligan
23,Hannah Boyd
24,Morgan Johnson
27,Shannon Haupt
29,Linda Morse
33,Lexie Thomas
34,Jenna Goulart
36,Carolyn Normile
48,Yara El-Khatib
66,Rachel Graber
71,Linn Bjanes
b,r,e,a,k
Starling Ultimate,10
teamInfo,,"Northampton, Massachusetts",https://www.instagram.com/starlingultimate?igsh=MWR6amY2NnE1czA2cw==,https://www.facebook.com/starlingultimate,
coaches,Jason Thompson,Justin Pierce
0,Adrienne Wells
0,Allyse Fazio
0,Corinna Rhum
0,Danica Vasa
0,Emily Stanger
0,Isla Cusick
0,Joanie Cha
0,Kylie Sterling
0,Lauren Doyle
0,Madyson Bendanillo
0,Mariana Lopes
0,Maryann Platt
0,Maureen Dougherty
0,Neeyati Johnson
0,Paige Howell
0,Ruthie Tabatchnick
0,Sage Campbell
0,Sarah Thomann
0,Shaylen Harger
0,Gabbi Perry
8,Hannah Chang
13,Sterling Morrone
14,Haley Grajewski
17,Lisa Silberkleit
24,Faith Summers
27,Taylor Simpson
b,r,e,a,k
Pine Baroness,16
teamInfo,,"New Brunswick, New Jersey",,https://www.facebook.com/PineBaroness,
0,Dana  Marxen
0,Emily Reckenbeil
0,Emily Cichocki
0,Alice Weng
0,Jess Stitt
0,Marcella Macalalag
0,Maya Slavin
0,Micah McGrath
0,Kate Douthat
0,Stephanie Hartson
1,Michaela Dudley
2,Celia Smits
3,Jennifer Willemsen
8,Jessica Waugaman
9,Naomi Van Doornik
12,Thalia Sakowicz
14,Jill Sternthal
22,Kelsey Cadagin
47,Angela Li
b,r,e,a,k
Scandal,2
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/scandalultimate,https://twitter.com/ScandalUltimate
0,Maddy Boyle
0,Malisa Dang
0,Marie Perivier
0,Nada Tramonte
0,Raha Mozaffari
0,Theresa Hackett
0,Tyler Smith
0,Allison Wallace
0,Amanda Murphy
0,Claire Trop
0,Florence Brooks
0,Jackie Wang
0,Jessica Sourbeer
0,Kameryn Groom
0,Kelly Ross
1,Ashleigh Jentilet
7,Kira Flores
8,Kathryn Ritzmann
9,Annelise Peters
16,Margaret Walker
23,Laurel Oldershaw
42,Lisi Lohre
46,Graham Cunningham
b,r,e,a,k
Iris,8
teamInfo,,"Québec, Quebec CA",,https://www.facebook.com/irisultimate,https://www.twitter.com/iris_ultimate
coaches,Alison Fischer,Jamie Hoover
0,Chloé Emond
0,Emma Urness
0,Florence Dionne
0,Joy Zhou
0,Anouchka Beaudry
0,Julia Biris
0,Justine Dionne
0,Marie Levesque 
0,Maude Roy
0,Maude Samson
0,Maude Laniel-Ducharme
0,Naomi Peterson
0,Pénélope Robert
0,Roxanne Goderre
0,Sophie Lyonnais
0,Virginie Maltais
0,Alessia Vinet
2,Laure Drouin-Jacques
3,Charlotte Christin
6,Anne Charpentier
12,Julia Topart
88,Nina Heloir
b,r,e,a,k
Grit,9
teamInfo,,"Washington, District of Columbia",https://gritultimate.wordpress.com/,https://www.facebook.com/GritUltimate,https://www.twitter.com/GritUltimate
coaches,Samantha Broaddus,Kristine Gill
00,Emma Jones
01,Paige Nelson
04,Madison West
06,Eliana Harnage
08,Elizabeth Wu
10,Kinsey Miller
11,Tayara Romero
13,Hana Choi
16,Mimi Tran
17,Alison Fowler
21,Jordan Sorensen
21,Sarah Badawi
23,Sarah Lord
24,Grace Stephan
28,Stacy Lu
33,Alexandra Greer
36,Leo Dienstfrey
41,Shannon Sullivan
45,Emma  Vorathiankul
54,Genevieve Leo
66,Chloe Wade
