Bid in the Bend 2024,Club - Mixed ,27,7,2024
South Bend,IN,2024-07-27,2024-07-28
https://play.usaultimate.org/events/Bid-in-the-Bend-2024/schedule/Mixed/Club-Mixed
Columbus Chaos,1
teamInfo,,"Columbus, Ohio",,,https://twitter.com/cbusmixed/
0,Abby Thompson
0,Arden Piepho
0,Caleb Andrews
0,Casey Schomer
0,Cat Turney
0,Corinn Rains
0,Eric Border
0,Haley Morman
0,Hannah Wilder
0,Jacob Rathjens
0,Jason Rosser
0,Jeffrey Brauning
0,Joseph Rains
0,Kayla Hamm
0,Meg Zeng
0,Philip Emry
0,Xena Vilevac
2,Clark Seese
3,Clare Abdallah
11,Annie DiClemente
17,Benjamin Reith
20,Ian Vilevac
72,Shane Spiegel
76,Jordan Kinde
95,Allyson Perkins
98,Brian Griffiths
b,r,e,a,k
POW!,17
teamInfo,,"East Lansing, Michigan",,,
0,Alexander Krantz
0,Brendan Moore
0,Taylor Harder
0,Tessa Versace
01,Bethany  Burgess
03,Aariona Fox
05,Julia Danci
06,Sarah Stephenson
07,Audrey Jesue
11,Lucie Roy
16,Megan Isherwood
17,Brandt Hofman
31,Evan Hamp
32,Evelyn Russell
55,Joshua Wright
81,Noah Sawyer
90,Ryan Courtney
b,r,e,a,k
ConSTLation,13
teamInfo,,"St. Louis, Missouri",https://www.instagram.com/constlationultimate/,,
0,Sean Eberle
02,Kiersten Ruff
03,Catherine Evers Smith
04,Sabrina Lavezzi
05,Raiyan Hamilton
06,Rusty McDonald
10,Devin Belvin
11,Wyatt Lien
12,Shannon Granger
13,Kristina Kohl
16,Kevin DeAngelis
17,Madison Stiebel
19,April Ratliff
21,Lucien Kisch
27,Anna Cochran
29,Nina Fogel
36,Ian Soderlund
37,Erin Mann
39,Sandy Gu
72,Nicholas Reinders
73,Dustin Tierney
77,Greg  Ryterski
88,Mario Tran
b,r,e,a,k
Indiana Pterodactyl Attack (IPA),8
teamInfo,IPA,"Clarksville, Indiana",,https://www.facebook.com/IPA.Ultimate/,
0,Abby Colson
0,Elizabeth Schaaf
0,Emery Jonas
0,Greyden Jonas
0,Jennifer Estenson
0,Joel Norfleet
0,Manuel Urquilla
0,Rebecca Dyer
3,Jessica Neal
26,Indigo Jonas
41,Jacob Van Dyke
44,Trenton Schroeder
48,Fletcher Jonas
49,Matt Rosenfield
75,Colter Jonas
88,Caleb Combs
b,r,e,a,k
Stackcats,12
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/stackcatsultimate/,@stackcatsultimate
0,Ava Kolodziej
0,Caden Canavan
0,Daniel Lore
0,Edith Jaucian
0,Haili McConnell
0,Hannah Zhou
0,Isaiah Cochran
0,Juan Amador
0,Maeve Hickey
0,Matthew Zabawski
0,Matthew Mayorga
0,Rachel Hunt
0,Rhea Joshi
0,Sean Wagner
2,Collin Kemp
12,Vanessa Tran
14,Dennis Gisler
14,Claire Szilagyi
23,Hector Moreno
23,Elizabeth Gisler
24,Ethan Datwyler
26,Matthew Golz
b,r,e,a,k
Queen City Gambit,2
teamInfo,,"Cincinnati, Ohio",,,
0,Aaron Ho
0,Aislinn DeSieghardt
0,Camilo Barrera
0,Emily Kemen
0,Eric Reed
0,Hayley Samson
0,Ryan Hummel
0,Travis Lynch
0,Troy Stapleton
0,Wesley  Sexton
2,Alex Hamilton
4,Sam Moushey
18,Lydia Riddell
20,Dave Richmond
25,Josh Keyser
