2024 Founders Men's Sectional Championship,Club - Men ,7,9,2024
Allentown,PA,2024-09-07,2024-09-08
https://play.usaultimate.org/events/2024-Founders-Mens-Sectional-Championship/schedule/Men/Club-Men/
Garden State Ultimate,1
teamInfo,,"New Brunswick, New Jersey",http://gardenstateultimate.com/,,https://twitter.com/gardenstateulti
coaches,Derek  Oberleiton,Bill Sanborn,Gregory Stolowski
0,Alex Machado
0,Alexander Cretella
0,David Perry
0,Donovan Hugel
0,Dyllon Jeng
0,James Kennelly
0,Jeremy Hess
0,Julius Clyburn
0,Noriaki To
0,Tej Murthy
0,Vedant Sachdeva
1,Max Charles
1,John Nguyen
2,Matt LaBar
3,Victor Wu
4,Jordan Richmond
4,Jack Waxman
6,Dmitry Suvorov
6,Miles Eckardt
8,Michael Dzelzgalvis 
11,Scott Xu
16,Luke Barry
21,Alec Bakholdin
27,Matt Krauss
41,Aidan Magee
93,Kainoa Chun-Moy
b,r,e,a,k
Hazard,9
teamInfo,,"Pittsburgh, Pennsylvania",https://www.instagram.com/hazard_pgh,,https://twitter.com/HazzyUltimate
0,Brendan Copp
0,Casey Santa
0,Christopher Wohl
0,Alexander Smith
0,Ethan Campion
0,Jonathan Stokes
0,Keven Gregg
0,Michael Mercer
0,Robert Zhang
0,Will Girard
0,Zachary Harrington
2,Drew Girard
9,Justin Fraser
11,Tristian Yanalitis
12,Logan Wright
12,Ben Lyle
13,Zachary Risinger
17,Steven Bizon
38,Jing Lin
41,Jacob DeWoody
47,Lawson Fisher
50,Zach Dahm
52,Jonathan McGee
92,Wally Gaida
99,Andrew Grogan
b,r,e,a,k
CITYWIDE Special,7
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/citywidespecial/,https://twitter.com/cwultimate
0,Alex Forde
0,Andrew Haviland
0,Colin Clapper
0,Colin Jarvis
0,Elliot Meyer
0,Evan Lutz
0,Gregory Dardaris
0,JaJuan Sanders
0,Joseph Oswald
0,Justin Li
0,Lucius Christie
0,Nicholas Alexander
0,Raymond Wright
0,Ryan Foster
0,Zachary Weiser
1,Nicholas  Lutz
5,David Ellis
8,Santiago Oliveros Vidal
9,Sam Gilden-Weiner
13,Jeremy Eland
17,Devin Foster
18,Cameron Rabinowitz
25,Giovanni Ruggirello
29,Chris Vanni
56,Marshall Lian
85,David DeColli
b,r,e,a,k
Chemical X,18
teamInfo,,"State College, Pennsylvania",,,
0,Dalton Thomas
0,Alex Fairbanks
0,Kellen Smith
0,Luke Pedersen
0,Ronald Ratliff
