Santa Barbara Invite 2024,College - Men ,26,1,2024
Goleta,CA,2024-01-26,2024-01-28
https://play.usaultimate.org/events/Santa-Barbara-Invite-2024/schedule/Men/CollegeMen/
Cal Poly-SLO,1
teamInfo,SLOCORE,"San Luis Obispo, California",http://slocore.com,https://www.facebook.com/slocoreultimate/,https://twitter.com/CORE_ultimate
coaches,Tim Gilligan,Cody Mills
0,Benson Cady
0,Hayden King
0,Joseph Thachet
0,Marley Sussman
0,Micah Fong
0,Oliver Faase
7,James Whealan
8,Max Gade
9,Dodger Middlebrook
05,Alex Yannelli
06,Keaton Orser
12,Bailey Prochaska
14,Rafael Castillo
15,Anton Orme
16,Garrett Bush
24,Jamieson Rear
27,Wyatt Colburn
30,Seamus Robinson
33,Leo Lauritzen
34,Owen Gresko
36,Zach Riley
45,Alex Nelson
50,Kyle Lew
72,Carson Crouch
81,Calvin Brown
b,r,e,a,k
British Columbia,9
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",,,
coaches,Ari Nitikman
2,Edward Ross-Zhu
3,Erez Kassirer
5,James Lehmann
6,Matthew Wood
7,Filip Kragl
8,Devon Bringeland-Powell
11,Justin Podnar
14,Davis Toth
16,Justin Luna
17,Jesse Watt
19,Jake Yuen
23,Nicholas Cheng
24,Wesley Choi
25,Bryn McColl
27,Zephaniah Ko
31,Graeme Hanks
44,Ryan Phan
71,Victor Tiet
72,Wesley  Wong
73,Angus Chan
77,Ryan Graves
83,Nathan Roorda
97,Colin Wu
b,r,e,a,k
Oklahoma Christian,10
teamInfo,Eagles,"Edmond, Oklahoma",https://oceagles.com/sports/ultimate,,twitter.com/@OCEaglesulti
coaches,Garrett Taylor
0,alex santai
0,Caleb Lance
0,Christian Johnson
0,Colin Dunn
0,Gage Cowan
0,John Liaz
0,Joshua Gill
0,Daniel Griffin
0,Logan Hammersmith
0,Micah Tatro
0,milton adina
0,Ryan  Loui-Ying
0,Samuel Roberts
0,Surafel Sharpe
2,Thomas Preston
10,Cameron White
14,Keagan Gustin
15,TJ Lee
17,logan krehbiel
24,Kong Hui Lim
60,Emmanuel Kameri
69,Couper Kerns
b,r,e,a,k
Chicago,18
teamInfo,Fission,"Chicago, Illinois",http://junkultimate.weebly.com/,https://www.facebook.com/UChicagoUltimate/,https://twitter.com/UChi_Fission
0,Aiden Tandiono
0,Ben Brink
0,Caleb Friedman
0,Christopher Nowak
0,Cory McCormack
0,Emmanuel Abayev
0,Gabriel Chalker
0,Gavin Kelly
0,Joseph Sifakis
0,Joseph Kaplan
0,Josh Edington
0,Leon Tan
0,Malank Goel
0,Matthew Wieseltier
0,Michael Hlavaty
0,Han Zhang
0,Quinn Hauck
0,Tom Dupor
0,Trevor Ung
5,Peter Deckerman
6,Jocelyn Sun
10,Eliot Lajaunie
11,Daniel Ruskay-Kidd
13,Dylan Zhou
18,Dale Decatur
28,Grant Harris
b,r,e,a,k
Grand Canyon,17
teamInfo,Lopes,"Phoenix, Arizona",https://clubsports.gcu.edu/club-sports/ultimate-frisbee/,https://www.facebook.com/gculopesultimate/,https://twitter.com/GCUUltimate
0,Asher Searles
0,Ben Morse
0,Brandon Alatorre
0,Eli Schaberg
0,Eli Berthiaume
0,Ethan Schmille
0,Ezekiel Taylor
0,Logan Richards
0,Lukas Czarnota
0,Micah Willis
0,Nathaniel  Johnston
0,Noah Portis
0,Thomas Blum
0,Trevor Gurski
1,Martin Mason
4,Nikolas  Rivera
12,Bryan Fuglestad
19,Blaise Clum
20,Cael Kubly
22,Nathan Paauw
29,Everitt Meer
33,Jonah  Rominski
54,Xander Shenberger
55,Ryan Williams
b,r,e,a,k
Oregon,3
teamInfo,Ego,"Eugene, Oregon",,https://www.facebook.com/OneBigEgo/,https://twitter.com/egotime
coaches,Braedon Petrus
0,Jack Gleason
3,Keali Mccarter
4,Alex Hall-Witt
8,Adam Wulkan
9,Marcus Beidler
06,Jackson Knox
11,Benjamin Keigwin
14,Nicholas Cao
15,Chander Boyd-Fliegel
17,Jason Gutstadt
18,Marco Muralles
19,Callahan Phinney
21,Jonah Hammes
22,Tyler Feeney
23,Julian Saunt
26,Raekwon Adkins
27,Mason  Weybright
28,Max Massey
34,Adam McNichols
36,Gabriel Nobis
45,Beckett Sessums
48,Ben Horrisberger
70,Griffin van Rhyn
72,Aaron Kaplan
77,Jackson Heglie
81,Emmett Warner
b,r,e,a,k
Victoria,11
teamInfo,Vikes,"Victoria, British Columbia CA",www.uvicultimate.com,https://www.facebook.com/UVictimUltimate,https://twitter.com/uvictimultimate
0,Dylan Cochrane
0,Evan MacNair
0,Fraser Buck
0,Hunter Cochrane
0,Isaac Greenham
0,Jake Douglas
0,James Edgell
0,Jonah Mani
0,Kian Oliver
0,Lochlan Margison
0,Matthew Kadota
0,Nathan Dailly
0,Tyler  Jones
0,William Alexander
0,Zhangsong Gao
3,Duncan Armstrong
07,Nyle Lebbell
12,Markus Hernandez
14,Ian Robinson
27,Ian McLaren
53,Benjamin Savage
55,Ben Baird
69,Max Pettenuzzo
69,Jordan Atchison
72,Timothy Friesen
81,Theo Davis
88,Ben Lefevre
99,Anderson Grafton-Freeze
b,r,e,a,k
Stanford,16
teamInfo,Stanford Men's Ultimate Team,"Stanford, California",,,
0,Delfino Li
0,Denzel Cofie 
0,Egan Tardif
0,Eli Meyers
0,Everett Lee
0,Henry Boeschen
0,James Talbot
0,Alex Ecker
0,Alexander Belfiore
0,Benjamin Fernandez
0,Benjamin Chen
0,Joshua Koch
0,Leo Jacoby
0,Max Lee
0,Morgan Wyatt
0,Sepehr Asgari
10,Charles Shi
12,Charlie Shors
20,Matan Abrams
26,Max Vandervelden
48,Brendon Gu
88,Shiley Einav
89,Jerred Smith
b,r,e,a,k
California-Santa Cruz,8
teamInfo,Slugs,"Santa Cruz, California",https://www.instagram.com/slugultimate/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
0,Ethan Rogers
0,Evangel Hightower-Rojas
0,Joseph Donovan
0,Kelvin Lloyd
0,Kien Warren
0,Marcos Schram
0,Seamus Shogren
0,Selim Jones
0,Shane Stearns
0,Toby Warren
0,Milan Moslehi
0,Noah Chang-Linenberg
0,William Snyder
0,William Davies
1,Charlie Jia
7,Cyrus Isaacs
11,Devin Acuna
12,Davin Sieu
19,Jackson Friday
21,Benjamin Pratt
27,Samuel Kaplan
44,Aidin Terris
45,Tyler Weng
75,Bodie Shargel
77,Mario Ambrose
b,r,e,a,k
Southern California,19
teamInfo,USC Lockdown,"Los Angeles, California",https://www.uscmensultimate.org/,https://www.facebook.com/uscmensultimate/,https://www.twitter.com/uscmensultimate/
0,Andrew Nemeth
0,Arone Saldana
0,Cameron Davis
0,Akilesh Swamy
0,Alex Tang
0,David Anderson
0,David  Olson
0,Eli Dorn
0,Giancarlo Rodriguez
0,Gregor Tillman
0,Jack Molloy
0,Jesse Packel
0,June Bae
0,Mike DiLoreto
0,Owen Zhou
0,Shi Zhang
0,Skylar Funk
2,Dox Raskin
5,Mateusz Pienkowski
10,Daniel Hochberg
13,Thomas Johnson
14,Jack Fassett
28,Quinn Booth
77,Clay Kaufman
99,Alexander Zambidis
b,r,e,a,k
Colorado State,12
teamInfo,Hibida,"Fort Collins, Colorado",,,https://twitter.com/csuhibida
b,r,e,a,k
Utah,7
teamInfo,Zion Curtain,"Salt Lake City, Utah",https://www.zioncurtainultimate.com/,https://www.facebook.com/pages/ZCU-Zion-Curtain-Ultimate/162698807137761,https://twitter.com/zioncurtainulti
0,Zev Gorfinkle
02,Oscar Brown
04,Jackson Hammond
05,Rainor Alin
07,Elijah Watchalotone
08,Will Selfridge
09,Ethan Hilding
14,Ian Cunningham-Ward
15,Connor Farrell
17,Connor Lund
18,Joey Ginsburg 
25,Alex Forsberg
28,Thomas Duke
30,Jack Valentine
33,Cameron Porter
34,Malcolm Starr
42,Jonas Regehr
47,Jake Ryan
73,Aiden Coutin
75,Sawyer Ransom
77,Austin Hasbrook
82,Andrew Elliott
87,Max DeBroux
89,Oliver Cecchini
96,Dane Miller
99,Grayson Rettberg
b,r,e,a,k
California,4
teamInfo,Ursa Major,"Berkeley, California",https://www.youtube.com/@calmensultimate6634,https://www.facebook.com/CalMensUltimate/,https://twitter.com/calmensultimate
coaches,Evan Magsig,Daniel Silverstein
00,Gavin May
02,Jack Dinsmore
04,Samuel Laur
05,Robert McCabe
06,Kushal Khangaonkar
07,Anish Shrestha
09,Evan Kandell
13,Emery Goulet
14,Dexter Clyburn
19,Dylan Pearson
21,Ridge Huang
23,Vincent Su
24,Carter Lankford
25,Cameron Taleghani
26,Aditya  Vunnum
27,Mitchell Gibson
32,Camden Mah
33,Lucas Intagliata
36,Kainoa Hottendorf
43,Gabriel Gatewood-Wolfe
77,Kyle Riley
81,Drew Vetteth
84,Edward Morris
97,Eric Johnson
b,r,e,a,k
California-Santa Barbara,15
teamInfo,Black Tide,"Santa Barbara, California",,https://www.facebook.com/black.tide.50?fref=ts,https://twitter.com/UCSB_Ultimate
0,Anthony Barbalinardo
0,Cameron Lay
0,Derek Rojas
0,Joah Siegel
0,Tyler Janous
0,Wyatt Dunn
3,Max Combs
4,Everett Grass
6,Colin Baylis
7,Cole Bushner
9,Christian Van Stralen
10,Daniel Hwang
11,Brendan McGuinness
12,Dosym Kunhardt
14,Maxwell Fong
15,Michael Demonteverde
15,Leo Ford
21,Nathan Johnson
22,Luke Weaver
23,Ian Ilgenfritz
23,Alex Cheng
24,Austin Thornburgh
26,Rowan King
27,Phillip Loo
30,Elijah Geduldig
31,Jackson Hill
32,Isaac Duan
33,Liam Kilbridge
38,Ryan Grossklaus
69,Sam Nosler
b,r,e,a,k
Cal Poly-SLO (B),20
teamInfo,SLOB,"San Luis Obispo, California",,,
0,Ari Dean
0,Beau Usry
0,Brandon Howell
0,Caleb Rosen
0,Colin Moore
0,Daniel Monge
0,Drew Larson
0,Elliot DeJong
0,Garrett Kunkler
0,Henry Frierson
0,Jack Karpinski
0,Layne Sutton
0,Luca Perri
0,Kamron Kelley
0,Matthew Lu
0,Nathan Shaffer
0,Owen  Lutz
0,Quintan Davis
0,Sumanth Thokala
0,Zach Kwast
1,Jack Toyama
2,Alec Gibbs
3,Paul Nassar
14,Marcus Hawley
16,Cody Krawczyk
16,Zachary Wallpe
20,Josh Hall
23,Griffin Dyal
26,Cole Aymond
27,Landon Block
28,Wyatt Barnes
77,Matthew Chak
99,Owen Peay
b,r,e,a,k
Brigham Young,2
teamInfo,CHI,"Provo, Utah",http://www.byuchiultimate.com/,https://www.facebook.com/ByuMensUltimate,@BYUCHIUltimate
0,Chad Yorgason
0,Curtis Watkins
0,Evan Miller
0,Jacob Boyce
0,Jonathan Miller
0,Jonathan Hicken
0,Joseph Baird
0,Justin Mecham
0,Benjamin McBride
0,Koven Card
0,Mckay Yorgason
0,RJ Christensen
0,Sean McDonald
0,Simon Dastrup
0,Tyler Jensen
5,Jensen Wells
7,Brody Dobson
14,Zachary Burnside
18,Logan Clarke
19,Zachary Saetrum
23,Bryce Kerr
23,Trevor Kelley
91,Kalten Toone
b,r,e,a,k
Washington,5
teamInfo,Sundodgers,"Seattle, Washington",,https://www.facebook.com/uwultimate,https://twitter.com/sundodgers
coaches,Dongyang Chen,Trent Dillon
00,Akash Shrestha
00,Andrei (Andy) Stanciu
00,Carter Bayer
00,Chackgarin Brown
00,Charles Craemer
00,David Ng
00,Delano Muongchan
00,Elijah Espinola
00,Griffin Lo
00,Gus Elovitz
00,Harrison Prow
00,Isaac Woldemariam
00,Keishin Lam
00,Leonardo Kruse
00,Luke Horris
00,Martin Le
00,Mateo Holguin
00,Micah Glickman-Flora
00,Nathan Siegel
00,Nicholas Yin
00,Owen Kuwayti
00,Quinton Yap
00,Ryan Liao
00,Souma Yabuki
00,Vaughn Dillender-Kinast
00,Vince Nguyen
00,Vivek Shah
b,r,e,a,k
UCLA,6
teamInfo,Smaug,"Los Angeles, California",https://instagram.com/smaugultimate,,https://twitter.com/smaugultimate
coaches,Felicia Yang,William Brotman,Brandon Nadres
0,Alexander Clare
0,Calvin Wicks
0,Cameron Gray
0,Jackson Jewett
0,Jacob Snodgress
0,Loic Billaut
0,Luca Spycher
0,Matthew Barcellos
0,Meelan Shari
0,Michael Tao
0,Miles Fisher
0,Peter Shanahan
0,Emmett Brosowsky
0,Ethan Klein
0,Sam Hirschhorn
0,Zachary Rosen
0,Zack  Hirschhorn
9,Luca Adams
15,Calvin Bird
25,Devon Stuart
25,Marshall Wildmann
47,Riley Kirkman-Davis
56,Ian Tsai
b,r,e,a,k
California-San Diego,13
teamInfo,Air Squids,"San Diego, California",,,
coaches,Zac Goldberg,Bryce Lozinski
0,Aidan Reedy-Schneider
0,Bradley Zanteson
0,Charlie Wilson-Jackson
0,Cireus Eghtessadi-Reed
0,Eli D'Amico
0,Ethan Wang
0,Ghislain Demeester
0,Janeil Guada
0,John Loftus
0,Jonathan McGurrin
0,Matthew Deckerman
0,Nate Becker
0,Nilesh Mukundan
0,Ryan Barry
0,Trey Scheid
0,Tyler May
0,Tyler Kurpanek
0,Tynan Sander
00,Max Gibson
12,Hillel Avital
40,Adam Tran
41,Spencer Rebman
53,Daniel Pryke
87,Ryan Trinh
b,r,e,a,k
Northwestern,14
teamInfo,Lake Effect,"Evanston, Illinois",https://www.nutultimate.com,,
coaches,Penelope Wu
0,Nathan Rachwalski
1,Isidore Donnelly
2,Bernie Waldman
4,Kevin Su
5,Gabriel Bassin
6,Andrew Shen
7,Jett House
8,Ian Falck
11,Jordan Bass
13,Jack Daenzer
21,Benjamin  Fried
22,Charlie Geci
23,Eliav Brooks-Rubin
24,Ayush Gaggar
37,Ezra Danzig
42,Ezra Rich
44,Ethan Less
55,Jack Peckham
68,Emmett Broustis 
88,Elijah Hansen
97,Julian Baldwin
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Round Robin
pool,Pool A
Cal Poly-SLO,Oklahoma Christian,15,7,"01/27/2024, 09:45",Pool A,Final
Grand Canyon,Chicago,9,11,"01/27/2024, 09:45",Pool A,Final
British Columbia,Grand Canyon,0,0,"01/27/2024, 11:30",Pool A,Scheduled
Oklahoma Christian,Chicago,11,7,"01/27/2024, 11:30",Pool A,Final
Cal Poly-SLO,Grand Canyon,15,5,"01/27/2024, 13:15",Pool A,Final
British Columbia,Chicago,12,6,"01/27/2024, 13:15",Pool A,Final
Oklahoma Christian,Grand Canyon,4,4,"01/27/2024, 15:15",Pool A,In Progress
Cal Poly-SLO,British Columbia,0,0,"01/27/2024, 15:15",Pool A,Scheduled
Cal Poly-SLO,Chicago,0,0,"01/27/2024, 17:00",Pool A,Scheduled
British Columbia,Oklahoma Christian,0,0,"01/27/2024, 17:00",Pool A,Scheduled
pool,Pool B
Oregon,Southern California,15,7,"01/27/2024, 11:30",Pool B,Final
California-Santa Cruz,Victoria,10,12,"01/27/2024, 11:30",Pool B,Final
Oregon,Victoria,0,0,"01/27/2024, 13:15",Pool B,Scheduled
Stanford,Southern California,0,0,"01/27/2024, 13:15",Pool B,Scheduled
Oregon,Stanford,0,0,"01/27/2024, 15:15",Pool B,Scheduled
California-Santa Cruz,Southern California,0,0,"01/27/2024, 15:15",Pool B,Scheduled
Victoria,Stanford,0,0,"01/27/2024, 18:45",Pool B,Scheduled
Oregon,California-Santa Cruz,0,0,"01/27/2024, 18:45",Pool B,Scheduled
California-Santa Cruz,Stanford,0,0,"01/27/2024, 20:30",Pool B,Scheduled
Victoria,Southern California,0,0,"01/27/2024, 20:30",Pool B,Scheduled
pool,Pool C
Utah,California-Santa Barbara,12,9,"01/27/2024, 13:15",Pool C,Final
Colorado State,Cal Poly-SLO (B),15,7,"01/27/2024, 13:15",Pool C,Final
California,California-Santa Barbara,0,0,"01/27/2024, 15:15",Pool C,Scheduled
Utah,Cal Poly-SLO (B),0,0,"01/27/2024, 15:15",Pool C,Scheduled
Colorado State,California-Santa Barbara,0,0,"01/27/2024, 17:00",Pool C,Scheduled
California,Utah,0,0,"01/27/2024, 17:00",Pool C,Scheduled
California,Colorado State,0,0,"01/27/2024, 18:45",Pool C,Scheduled
California-Santa Barbara,Cal Poly-SLO (B),0,0,"01/27/2024, 18:45",Pool C,Scheduled
California,Cal Poly-SLO (B),0,0,"01/27/2024, 20:30",Pool C,Scheduled
Utah,Colorado State,0,0,"01/27/2024, 20:30",Pool C,Scheduled
pool,Pool D
Brigham Young,California-San Diego,0,0,"01/27/2024, 13:15",Pool D,Scheduled
Washington,Northwestern,0,0,"01/27/2024, 13:15",Pool D,Scheduled
Brigham Young,UCLA,0,0,"01/27/2024, 15:15",Pool D,Scheduled
California-San Diego,Northwestern,0,0,"01/27/2024, 15:15",Pool D,Scheduled
Washington,California-San Diego,0,0,"01/27/2024, 17:00",Pool D,Scheduled
UCLA,Northwestern,0,0,"01/27/2024, 17:00",Pool D,Scheduled
Brigham Young,Northwestern,0,0,"01/27/2024, 18:45",Pool D,Scheduled
Washington,UCLA,0,0,"01/27/2024, 18:45",Pool D,Scheduled
UCLA,California-San Diego,0,0,"01/27/2024, 20:30",Pool D,Scheduled
Brigham Young,Washington,0,0,"01/27/2024, 20:30",Pool D,Scheduled
b,r,e,a,k
pools,Friday Exhibition 
pool,Exhibition
Brigham Young,California-Santa Barbara,0,0,"01/26/2024, 19:00",Exhibition,Scheduled
Cal Poly-SLO,Brigham Young,0,0,"01/26/2024, 20:30",Exhibition,Scheduled
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,Championship
bracket,Third Place
bracket,Fifth Place
bracket,Seventh Place
bracket,Ninth Place
bracket,Eleventh Place
bracket,Thirteenth Place (Reseeded 4's)
bracket,Fifteenth Place
b,r,e,a,k
pools,Sunday Consolation
pool,Reseeded 5's
b,r,e,a,k
