2024 USA Ultimate Masters Championships,Grand Masters - Men ,19,7,2024
Aurora,CO,2024-07-19,2024-07-22
https://play.usaultimate.org/events/2024-USA-Ultimate-Masters-Championships/schedule/Men/grand-masters-men/
Rusted Metal,7
05,Martin Wasserman
06,Christopher Martin
07,Benjamin Davis
08,Chase McCoy
09,Robert Berg
10,Brian Keefe
12,Jeff Dritz
17,James Quill
24,Jared Payne
26,Matt Thomas
27,Joseph (Joey) Shapiro
31,Adam Zingsheim
34,Joshua Cooper
37,Jacob Schumacher
47,Dan Kang
71,Marc Furigay
74,Jacob Cooper
79,Charles Cooper
81,Mati Chessin
88,Grant Zukowski
92,Anthony Panozzo
b,r,e,a,k
Johnny Walker,2
teamInfo,,"Denver, Colorado",,,
0,C Ryan Morgan
04,Lenny Correll
05,Keith Borsheim
06,David Bacci
07,Brian Carroll
09,James Beeby
10,Aaron Moredock
11,Mike D'Onofrio
12,Darin Delay
13,Mitchell Schminke
14,Ryan Segal
16,Steven Rouisse
17,Brett Kolinek
21,Ryan Balch
23,Jeff Berget
24,Andrew Mangan
25,Justin Salvia
26,Joe Iannacone
28,Joel Crandall
29,Bob Krier
33,Jamian Jacobs
37,Chris Gwinner
42,Andrew Thompson
45,Bart Watson
53,Andrew Sheehan
77,Kelly Swiryn
88,Michael Lun
99,Scott Salvati
b,r,e,a,k
Black Cans,9
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/profile.php?id=100010702788224,
00,Ernesto Ricourt
00,Gregory Heltzer
00,Jarnail Bajwa
00,Jeff Hale
00,John Agan
00,Joseph Cuneo
00,Josh Sohn
00,Keven Moldenhauer
00,Mark Worley
00,Matthew Gordon
00,Michael Stephen
00,Mike Randow
00,Andrew Weisman
00,Ben Banyas
00,Ben Friedenson
00,Bobby Gordon
00,Adam Sigelman
00,Robert Luhrs
00,Sean McComb
00,Wei Lu
03,Chris Muller
07,Peter MacArthur
24,Alex Ghesquiere
35,Paul Butterfoss
44,Robert (Robbie) Gillies
47,Thomas Nicholson
83,Calvin Oung
b,r,e,a,k
Junkyard,8
teamInfo,,"Morrisville, North Carolina",,,
01,Alexander (Sandy) Hartwiger
02,Mike Moore
03,Robbye River Brooks
04,Joseph Ax
05,Tim Lupo
06,Brian Lowther
07,Terry Kramer
08,Michael Gastaldo
09,Chrystian Plachco
10,Jimmy Holtzman
11,Joel Wooten
12,Mark Strazzer
15,Jesse Overby
16,Patrick Hard
17,Jeff Loperfido
18,David Snoke
19,James Mangum
25,Jack Galloway
27,Sion Stone
32,Josh Berkowitz
37,Nick Poore
43,Kevin Calcagno
64,Sam Boyarsky
67,Benjamin Cohen
75,Martin Vilsoe
76,Troy Revell
86,Thomas Cleveland
88,Michael Cox
b,r,e,a,k
Peralta,15
teamInfo,,"Seattle, Washington",,,
07,John Ryan
09,David Ignacio
11,Michael Berkenwald
12,Justin Deng
13,Craig Black
16,Dean Stevens
17,Jayadev Athreya
20,Justin Twenter
22,Dan Eriksen
27,Brandon Smock
29,Gary Owen
30,Taesan Hose
31,Alpha Chen
37,Richard Coker
38,Thomas Rowland
39,Joe Cater
41,Carlos D'Avis
44,Cody Bean
52,William Whitwell Bailey
54,Jason Arends
61,Jordan Irvin
71,Daniel Macklin
77,Rob Katz
81,Colin Clauset
97,James Evans
b,r,e,a,k
Kalakala,3
teamInfo,,"Seattle, Washington",,,
00,Brian Benjamin
01,Benjamin Wiggins
02,Douglas Kawasaki
03,Dave Zucker
05,Jon Ladd
06,Tim Warden-Hertz
07,Moses Rifkin
10,Joshua Lang
14,Sam Chatterton-Kirchmeier
15,Krishna Rao
16,Giora Proskurowski
17,David Lott
18,Charlie Ellis
20,Michael Caldwell
21,David Bestock
23,Ian Buchanan
24,John Goldmark
25,Adam Simon
33,Robert Bruggner
34,Andrew Lovejoy
36,Charles Reis
40,Denis Blount
43,Aldan Shank
55,Eric Feise
84,Arnold Larson
84,Ted McClure
b,r,e,a,k
Eldors,5
teamInfo,,"Santa Barbara, California",,,
0,Chris Sherwood
0,Ian Ranahan
01,Brandon Steets
02,Whit Clark
05,Taylor Cascino
06,Idris Nolan
