Commonwealth Cup Weekend 1 2024,College - Men ,17,2,2024
"Axton, Martinsville",VA,2024-02-17,2024-02-18
https://play.usaultimate.org/events/Commonwealth-Cup-Weekend-1-2024/schedule/Men/CollegeMen/
Maryland,1
0,Ian Neal
0,Jacob Felton
0,Jahiem Upchurch
0,James Pekel
0,Joe Claramunt
0,Jonathan Newman
0,Juraj Hurny
0,Landon Hall
0,Richard Dragicevich 
0,Rowan Jamieson
0,Samuel Rysko
0,Stephane  Manzi
0,Tyler Shanahan
b,r,e,a,k
Carolina Flyers Youth Academy U20,5
teamInfo,,"Raleigh, North Carolina",https://theaudl.com/flyers/youth-academy,,https://twitter.com/FlyersAcademy
0,Benjamin Kinnaird
0,Brayden Morrison
0,Clemens Liu
0,Cole Zemon
0,Elijah Taylor
0,Endymion Ashton Liu
0,Gabriel Redding
0,Jack Frega
0,JD Woodruff
0,Jonah Weiss
0,Kyler Wieties
0,Maxwell Shearer
0,Milo Ciccone
0,Noah Young
0,Sam Garber
0,Tanner Plentl
0,Willem Boshoff
5,William Basden
84,Owen Hall
b,r,e,a,k
Wake Forest University,12
teamInfo,"Well Oiled Machine, Baby","Winston-Salem, North Carolina",http://groups.wfu.edu/ultimate/,https://www.facebook.com/groups/64778716459,https://twitter.com/WFUltimate
coaches,Michael Ridge
0,Adam Manuel
0,David Maschler
0,Ethan Rodriguez
0,Gavin Godfrey
0,Harold Henderson
0,Jake Spain
0,Josh Chu
0,Luke Warfield
8,Aidan Norris
13,Cash Workinger
16,Jackson DeWitt
17,Donovan DeWitt
18,Kieran Petrunich
77,Sam Shear
96,Caden Quinn
b,r,e,a,k
s,t,a,g,e,s
pools,M PP
pool,Pool A
Maryland,West Virginia,13,4,"02/17/2024, 09:00",Pool A,Final
Pittsburgh (B),Virginia (B),13,2,"02/17/2024, 09:00",Pool A,Final
Maryland,Virginia (B),13,2,"02/17/2024, 10:45",Pool A,Final
Pittsburgh (B),West Virginia,13,6,"02/17/2024, 10:45",Pool A,Final
Maryland,Pittsburgh (B),13,6,"02/17/2024, 12:30",Pool A,Final
West Virginia,Virginia (B),13,0,"02/17/2024, 12:30",Pool A,Final
pool,Pool B
Davidson,South Carolina (B),13,3,"02/17/2024, 09:00",Pool B,Final
Messiah,North Carolina State (B),12,5,"02/17/2024, 09:00",Pool B,Final
Davidson,North Carolina State (B),10,5,"02/17/2024, 12:30",Pool B,Final
Messiah,South Carolina (B),11,5,"02/17/2024, 12:30",Pool B,Final
Davidson,Messiah,10,9,"02/17/2024, 14:15",Pool B,Final
South Carolina (B),North Carolina State (B),7,6,"02/17/2024, 14:15",Pool B,Final
pool,Pool C
Elon,North Carolina (B),13,7,"02/17/2024, 09:00",Pool C,Final
Cedarville,Michigan (B),13,2,"02/17/2024, 09:00",Pool C,Final
Elon,Michigan (B),13,5,"02/17/2024, 10:45",Pool C,Final
Cedarville,North Carolina (B),13,7,"02/17/2024, 10:45",Pool C,Final
Elon,Cedarville,9,11,"02/17/2024, 14:15",Pool C,Final
North Carolina (B),Michigan (B),10,9,"02/17/2024, 14:15",Pool C,Final
pool,Pool D
Liberty,Wake Forest University,13,2,"02/17/2024, 10:45",Pool D,Final
Carolina Flyers Youth Academy U20,Davenport,8,12,"02/17/2024, 10:45",Pool D,Final
Liberty,Davenport,12,8,"02/17/2024, 12:30",Pool D,Final
Carolina Flyers Youth Academy U20,Wake Forest University,13,6,"02/17/2024, 12:30",Pool D,Final
Liberty,Carolina Flyers Youth Academy U20,8,11,"02/17/2024, 14:15",Pool D,Final
Wake Forest University,Davenport,4,13,"02/17/2024, 14:15",Pool D,Final
b,r,e,a,k
brackets,M BP
bracket,CHAMPIONSHIP BRACKET
Maryland,Messiah,0,0,"02/18/2024, 09:30",QUARTERS,Scheduled
Liberty,Elon,0,0,"02/18/2024, 09:30",QUARTERS,Scheduled
Davidson,Pittsburgh (B),0,0,"02/18/2024, 09:30",QUARTERS,Scheduled
Cedarville,Davenport,0,0,"02/18/2024, 09:30",QUARTERS,Scheduled
bracket,3RD PLACE GAME
bracket,5TH PLACE BRACKET
bracket,7TH PLACE GAME
bracket,9TH PLACE BRACKET
West Virginia,North Carolina State (B),0,0,"02/18/2024, 11:15",9TH QUARTERS,Scheduled
Carolina Flyers Youth Academy U20,Michigan (B),0,0,"02/18/2024, 11:15",9TH QUARTERS,Scheduled
South Carolina (B),Virginia (B),0,0,"02/18/2024, 11:15",9TH QUARTERS,Scheduled
North Carolina (B),Wake Forest University,0,0,"02/18/2024, 11:15",9TH QUARTERS,Scheduled
bracket,11TH PLACE GAME
bracket,13TH PLACE BRACKET
bracket,15TH PLACE GAME
b,r,e,a,k
