Vacationland 2024,Club - Men ,3,8,2024
South Portland,ME,2024-08-03,2024-08-04
https://play.usaultimate.org/events/Vacationland-2024/schedule/Men/Club-Men/
Scoop,1
11,Cameron Park
13,Matt Kolk
14,Marc Gleason
18,Ryan Rockett
19,John Buchanan
21,Joshua Remington
25,Matthew Ayers
35,Russell Katz
37,Dylan Baroody
47,Bryce Markel
59,Thomas Yoxsimer
62,Cody Karjadi
63,Griffin Smith
73,Eric Peters
75,Benjamin Ma
80,John Riley
82,Samuel Speciale
85,Brian Munroe
90,Luka Govedic
b,r,e,a,k
Skeleton Squad,15
teamInfo,,"Needham, Massachusetts",,,https://twitter.com/Squad_Ult
b,r,e,a,k
Crossfire,20
teamInfo,,"Boston , Massachusetts",,,
0,Zachary Ewing
00,Jacob Daitzman
05,Ryan Dozer
06,Aidan Carter
07,Jonathan Monderer
11,Nicholas Hudgins
12,Ethan  Zhang
15,Benjamin Whidden
17,Theodore Businger
22,Joel Escobar Amurrio
23,Andrew Okyere
28,David Rocamora
30,Walter Stuart
36,Ethan King
38,Ben Grimes
41,Maddox Weisz
43,Joseph Casente
69,Dennis Poirier III
84,Andrew Rogers
97,Ian Bowe
b,r,e,a,k
El Niño,11
teamInfo,,"Oakland Park, Florida",http://elninoultimate.com,,https://twitter.com/ElNinoUltimate
0,Cesar Ramirez
0,Franco Basualto Sanchez
0,Greg Hulet
0,Kevin Rooney
0,Nicholas Rauch
0,Nicholas Lester
0,Nicholas Montes
4,Ben Bronstein
6,Michael Fioramonti
11,Christian Luneburg
13,Jorge Fernandez
15,Wes Geisenberger
18,Daniel Zambrano 
27,Olin Rhoads
29,Francisco Benito-Agostini
97,Ricardo Conde
b,r,e,a,k
Odyssey,14
teamInfo,,"Medford , Massachusetts",,,
0,Joe Brod
0,Thomas Cronin
1,Ryan Prescott
3,William Pascoe
4,Michael Walker
6,Benjamin Weber
8,Nicholas Kochersperger
8,Qijin Chau
10,Elliot Mintz
11,Jack Hogan
11,Kyuhyun Kim
12,Trevor Spadafora
13,Noah Schnipper
20,Adrian Baker
21,Jason Berube
26,Jack McShane
36,Henry Berger
38,Nicholas  Dell'Amore
50,Timothy Corkery
52,Gabriel Rhodes
58,James Wickham
63,Jonathan Coombs
b,r,e,a,k
Resurgam,18
teamInfo,,"Freeport, Maine",,,
b,r,e,a,k
MBTA,21
teamInfo,,"Boston, Massachusetts",,,https://twitter.com/MbtaUltimate
0,Aidan Hwang
0,Aidan Di Salvo
0,Michael Gold
0,Nathaniel Dorson
0,Oscar Wilmerding
0,Skyler Davidman
0,Kevin Donohue
0,Tucker Zakon-Anderson
0,Tyler Goldner
4,Thomas Purcell
7,Alex Ma
14,James Greytok
20,Jakob Farnham
31,Matthew Rock
32,Jake Gilden
33,Bennett Hartley
52,Benjamin Rubasch
82,JP Collins
b,r,e,a,k
BAG,12
teamInfo,,"Somerville, Massachusetts",,,
b,r,e,a,k
Alibi,13
teamInfo,,"Albany, New York",,,
0,Benjamin Tandlmayer
0,Charles Labarge
0,Charlie Heffernan
0,John Angerame
0,Kai LaMothe
0,Matthew Lustbader
0,Mirsad Markovic
0,Nate Belluche
0,Nicholas Monteferrante
0,Simon Phippen
1,Jared Gregorek
2,Jonathan Willman
3,Aidan Mclaren
5,Matthew Kerendian
6,Matthew O'Brien
9,Devin Hendricks
10,Kevin Roux
18,Caleb Bashant
25,Griffin Malcolm
30,Xavier Ortiz-Reyes
31,Connor Braddock
41,Jacob Grabois
55,Logan Stone
91,Adam Kohn
b,r,e,a,k
Motive,17
teamInfo,,"Albany, New York",,,
0,Aaron Hamilton
0,Daniel Ault
0,Eric von Allmen
0,Jefferson Huang
0,Josh Bates
0,Justin Ault
0,Mohammed Siddiqui
0,Nick Mendes
0,Ryan Skinner
0,Tyler Fitzgerald
0,Tyler Stack
5,Reid Slingerland
10,Joshua-Paul Atkinson
16,Luke Youngmann
60,Vincent Manolis
b,r,e,a,k
Mystik Dan,22
teamInfo,,"Newton, Massachusetts",,,
0,Logan Ziegler
01,Robert Starck
03,Joe Burroughs
05,Nicolas Sauska
06,Nicholas Cross
07,Colin Nelson
10,James Kenneally
11,Jackson Lutz
14,Evan Deobald
18,Cooper Bay
22,William Squire
24,Ryland Fiscus
30,Michael Roach
68,James Neville
77,Daniel Biundo
99,Jason Deal
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Scoop,Big Wrench,0,0,"08/03/2024, 11:00",Pool A,Scheduled
Colt,Haymaker,0,0,"08/03/2024, 11:00",Pool A,Scheduled
Scoop,Haymaker,0,0,"08/03/2024, 13:00",Pool A,Scheduled
Colt,Big Wrench,0,0,"08/03/2024, 13:00",Pool A,Scheduled
Scoop,Colt,0,0,"08/03/2024, 13:00",Pool A,Scheduled
Haymaker,Big Wrench,0,0,"08/03/2024, 13:00",Pool A,Scheduled
pool,Pool B
Mephisto,Shade,0,0,"08/03/2024, 11:00",Pool B,Scheduled
Red Tide,Ascension,0,0,"08/03/2024, 11:00",Pool B,Scheduled
Mephisto,Ascension,0,0,"08/03/2024, 13:00",Pool B,Scheduled
Red Tide,Shade,0,0,"08/03/2024, 13:00",Pool B,Scheduled
