Heavyweights 2024,Club - Mixed ,6,7,2024
Aurora,IL,2024-07-06,2024-07-07
https://play.usaultimate.org/events/Heavyweights-2024/schedule/Mixed/Club-Mixed
PBHG,1
teamInfo,,"Winnipeg, Manitoba CA",,https://www.facebook.com/PBHGultimate/?ref=br_rs,https://twitter.com/pbhgultimate?lang=en
6,Ethan Chochinov
01,Max Howes
02,Matthew Page
03,Amber Steinke
09,Jordyn Turner
10,Rachel Mann
13,Carissa Ness 
15,Hillary Rempel
16,Corey Diamond-Burchuk
17,Cameron Tramley
18,Will Medwick
22,Matthew Waldman
26,Josh Kerr
28,Samuel Friesen-Beardsell
30,Alexi Gagnon
32,Tom Boyle
37,Diana Faucher
62,May Nguyen
71,Kiera Ashley
76,William McLeod
88,Caleb Neufeld
91,Heather Herms
98,Madeline Schwartz
b,r,e,a,k
Queen City Gambit,8
teamInfo,,"Cincinnati, Ohio",,,
0,Aaron Ho
0,Aislinn DeSieghardt
0,Camilo Barrera
0,Emily Kemen
0,Eric Reed
0,Cori LaMere
0,Hayley Samson
0,Jade Link
0,Lexi Yearout
0,Morgan Novean
0,Ryan Hummel
0,Travis Lynch
0,Troy Stapleton
0,Wesley  Sexton
2,Alex Hamilton
3,Connor Shirley
4,Sam Moushey
15,Michael Horner
18,Lydia Riddell
20,Dave Richmond
25,Nick Siegert
27,Jacob Royster
34,Eric Brinkman
37,Grace Heldwein
63,Katherine Fry
99,Maddie Samson
b,r,e,a,k
Jabba,9
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/JabbaULT,https://twitter.com/JabbaChi
0,Abby Jones
0,Anishi Desai
0,Danny Nguyen
0,David Castillo
0,Jailene Famania
0,Jessica Tennant
0,Bethany DaRin
0,Liam Condon
0,Marissa Leff
0,Mike L'Hommedieu
0,Nadeem Demian
0,Sarah Warren
7,Amber Waite
9,Jorge Duarte
11,Kelly Kulig
13,Rene Quintana
17,Lindsey Waite
20,Matt Afryl
24,Dylan Mcgarr
27,Ryan Logan
32,Faith Zou
37,Carolina Szoepe
41,Benjamin Wallerstedt
69,Chan Woo Park
71,Anna Martinello
97,Julian Baldwin
b,r,e,a,k
Madison United Mixed Ultimate,16
teamInfo,,"Madison, Wisconsin",,,
0,Abby Seltzer
0,Amanda Strickland
0,Anna Wozniak
0,Grace Bao
0,Keith McCarthy
0,KYLIE MOYNIHAN
0,Luke Bodnar
0,Megan Childers
0,Sarah Guenther
0,Zach Hallum
3,Jordan Speicher
10,James Rosenberger
11,Kaylin Weber
12,Kevin Scopoline
16,Kyle Halstater
16,Jeremy Wilson
22,Maximilian Nytko
25,David Cann
29,Yuhao Wu
32,Maggie Lincoln
89,Patrick Kopp
96,Andrew Taber
b,r,e,a,k
Pixel,17
teamInfo,,"Detroit, Michigan",,https://www.facebook.com/pixeldetroitultimate/,https://twitter.com/pxlultimate
0,Abbigail Dorn
0,Acacia Farber-Krug
0,Arlene Dai
0,Joshua Osinski
0,Kathryn Hunter
0,Mary Tracy
0,Trevor Kyle
4,Connor Lang
8,Trey Taliaferro
18,Matt Hummel
28,Channing Watson
33,Chad Dunne
34,Joshua Adams
39,Christopher Arevalo
47,Lucas Parnell
b,r,e,a,k
Bird,7
teamInfo,,"Minneapolis, Minnesota",http://www.birdultimate.com/,https://www.facebook.com/BirdUltimate,https://twitter.com/MNBirdUltimate
coaches,Caleb Szydlo
0,David Stemper
0,Ella Mullin
0,Emilia Porter
0,Grace Milhaupt
0,Greta Friedrichs
0,Katherine Wilmes
0,Katie Fan
0,Lauren Roach
0,Lucas Bulger
0,Noah Johnson
0,Nora Mitchell
0,Rebekah Reason
0,Tyler Latham
7,Wyatt Crow
9,Eva Clements
11,Simon Koeper
12,Aidan Clements
19,Eva Fischer
23,Clancy Ferris
24,Nathan Phillips
27,Josh Yira
27,Isabel Clayter
29,Jack Mallmann
34,Nolan Bessler
44,Jonathan Lovagnini
b,r,e,a,k
Impact,2
teamInfo,,"Wichita, Kansas",,https://www.facebook.com/ImpactUltimate/,https://twitter.com/ImpactUltimate
03,Dustin Dye
04,Luke Hampton
07,Jonathan Mercer
08,Hannah Roberts
09,David Jochems
10,Carissa  Dye
11,Karley Appleby
12,Kristin Whitehead
13,Nicholas Appleby
14,Kiana Broadley
15,Bethany Hampton
19,Joel Hampton
21,Reid Christensen
22,Kyle Schluben
23,Madison Boadu
26,Ryan Orland
29,Eric LaPietra
33,Cody Rebholz
35,Kristoffer Broadley
47,Jacob Pleasant
56,Courtney Szczap
81,Patrick Loganbill
88,Abigail Ned
91,Joselyne Hernandez
b,r,e,a,k
Skyhawks,15
teamInfo,,"South Bend, Indiana",,https://www.facebook.com/Skyhawks-427022961197953/,@SkyhawksUlti
0,Allison Kielhold
0,Andrea Hochwald
0,Andy LaFree
0,Bradley Vaal
0,Camden Wozniak
0,Christopher Miller
0,Claire Hackl
0,Cole Strickling
0,Drew Schramm
0,Emily Balsbaugh
0,Jared Christophel
0,Jessica Baca
0,Kristi Muhlenkamp
0,Leah Kauffman
0,Michael Ntende
0,Morgan Miller
0,Ryan Ntende
0,Samuel Easley
0,Sean Driscoll
7,Margo Wang
22,Matthew Muhlenkamp
33,Margaret Coad
42,Sean McGuinness
69,William Theisen
b,r,e,a,k
Mousetrap,10
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/mousetrapulti,https://twitter.com/MouseTrapUlti
0,Camille O'Connell
0,Catherine Morita
0,Henry Fremont
0,Ida Sobotik
0,Jacob Johnson
0,Kali Stanger
0,Kevin Hallman
0,Lily Shu
0,Lily Mae Abels
0,Lorenzo Castaneda
0,Lulu Nicks
0,Madeline Sorenson
0,Serena Xu
0,Spencer Olsson
0,Veronica Judson
5,Kaden Mettel
7,Zeke Witter
8,Hans Kittleson
8,Ben Schewe
11,Benjamin Liska
12,Zach Laubscher
15,Harper Brooks-Kahn
28,Eleanor Knauss
31,Thomas Jungbluth
49,Benjamin Petersen
77,Clay Kaufman
b,r,e,a,k
ELevate,18
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/ELevateUltimate,https://twitter.com/ElevateUltimate
0,Alyssa Lane
0,Bridget Doherty
0,Chris Wang
0,Emily Williams
0,George Tobin
0,Hannah Olivares
0,Ian Crane
0,Maggie Johnson
0,Mallorie Hsieh
0,Meris Goldfarb
0,Michael Sundby
0,Naomi Clear
0,Shamaul Dilmohamed
0,Sophia Siegel
1,Will Hsieh
2,Hannah Sahyouni
7,Laura Rolfes
9,Joshua Ludtke
13,Callie Floyd
22,Rory Coleman
24,Aaron Bryant
29,Maria Aiura
35,Brendan Eltzroth
81,Jake Smith
91,Liz Biggane
b,r,e,a,k
Mastodon,23
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/MastodonUltimate/?ref=aymt_homepage_panel,https://www.twitter.com/MastodonUlti
0,Bee Rickenbach
0,Dominic Ottens
0,James Alvin
0,Justin Marshall
0,Kara Vogel
0,Kate McKay
0,Lai Jiang
0,Noah Webster
0,Ryan Wenger
0,Sarah Fahlberg
0,Veiga Goethel
0,Edward Moy
