2024 USA Ultimate Masters Championships,Masters - Men ,19,7,2024
Aurora,CO,2024-07-19,2024-07-22
https://play.usaultimate.org/events/2024-USA-Ultimate-Masters-Championships/schedule/Men/Masters-Men/
Boneyard,1
teamInfo,,"Triangle, North Carolina",,https://www.facebook.com/boneyardultimate,https://twitter.com/boneyardUlt
00,Aaron Saylor
00,Allan Laviolette
00,Brett Matzuka
00,Brian Clark
00,Brian Casey
00,Casey Degnan
00,Christian Gaeta
00,Delrico Johnson
00,Eric Martin
00,Evan Howey
00,George Lampron
00,Jared Inselmann
00,Jarrett Bowen
00,Joey Cretella
00,Josh Mullen
00,Joshua Hartzog
00,Matt Zumbrum
00,Matthew Wilson
00,Matthew Thomas
00,Michael Pannone
00,Michael Panna
00,Noah Saul
00,Player Pierce
00,Roosevelt Ward
00,Shane Sisco
00,Taylor Pope
00,Tristan Green
b,r,e,a,k
"JOIN, or DIE.",7
teamInfo,,"Philadelphia, Pennsylvania",,,
coaches,Jake Rainwater
0,Adam Sutherland
0,Andre Martinez
0,Andrew Haviland
0,Brandon Pastor
0,David Brandolph
0,Eric Hoover
0,Eric Gallagher
0,Jesse Lieberman
0,Devin Murray
0,Dustin Damiano
0,Matt Bode
0,Matt Esser
0,Philip Nelson
0,Robert Roos
0,Ross Littauer
0,Steve Rosso
2,Charlie Muniz
7,Bryant Dean
8,Luke Ryan
17,Stephen Ng
20,David Baer
22,Carlton Rouse
25,Edward Brakoniecki
29,Chris Vanni
35,Ryan Forster
73,Mark Flores
76,Adam Kracht
86,Justin Solis
b,r,e,a,k
BART,10
teamInfo,,"Bay Area, California",,,
00,Dan  Greeley
00,David Langhals
00,Geoff Rexroth
00,Jacob Serrano
00,Jake Rifkin
00,Jeremy Kharrazi
00,Jordan Seaberg
00,Justin Hinman
00,Karl Frazier
00,Marcello Molinaro
00,Matthew Crawford
00,Michael Denevan
00,Nick Buccelli
00,Riley O'Neill
00,Robert Srinivasiah
00,Simone Stolzoff
00,Skylohr Taylor
00,Spencer Herrick
00,Tom Murphy
00,Tyler Condit
00,Victor Smith
00,Zachary Bruno
00,Aaron Leung
00,Andrew Riggs
00,Brenton Kimmi
00,Bryant Wolf
17,Chris Godek
b,r,e,a,k
Firm Handshake,16
teamInfo,,"Alexandria, Ohio",,,
00,Adam Carberry
00,Ben Sever
00,Brandon Cannell
00,Clark Bauman
00,David Bentrovato
00,Eliot Alexander
00,Gregory Gerbus
00,Joe Taris
00,Justin Mattingly
00,Matt Woods
00,Michael Jahn
00,Scott Schriner
00,Shawn McCarthy
00,Tim Meyers
00,Timothy San Pedro
00,Nicholas Wetzel
00,Nick Hamilton
12,Mitch Cihon
17,NATE BOTTI
47,Phil Cherosky
b,r,e,a,k
Voltron2020,2
teamInfo,,"Seattle, Washington",,,https://twitter.com/voltron2020
00,Andrew Hagen
00,Chris Rupp
00,Christian Foster
00,Clay Dewey-Valentine
00,Craig Harkey
00,Danny Karlinsky
00,Jacob Speidel
00,Jason Yun
00,Jason (Jay) Clark
00,Jeremy Norden
00,Julian Hausman
00,Mario O'Brien
00,Matthew Rehder
00,Michael Spear
00,Morgan Hibbert
00,Nick Stuart
00,Phil Murray
00,Riley Meinershagen
00,Sam Harkness
00,Simon Montague
00,Steven Mogielski
00,Tanner Halkyard
00,Timothy Gehret
00,Tom Doi
00,Will Chen
77,Sam Pickel
b,r,e,a,k
King Louie,8
teamInfo,,"Saint Louis, Missouri",,,
00,Alex McClure
00,Allen Jones
00,Ben Clark
00,Blake Larson
00,Brenton Hard
00,Bryan Marciniak
00,Chase Johnson
00,Daniel Brennan
00,David Valentine-Elam
00,David Storey
00,Dustin Tierney
00,George Brell
00,Grant Eschmann
00,Henry Samson
00,Henry Sundermann
00,Joel Mann
00,Kellen Key
00,Max Morgan
00,Michael Faaborg
00,Michael Wilbanks
00,Nathan Gibbons
00,Patrick Porter
00,Ryan Meinkoth
00,Ryan Jarvis
00,Shannon Granger
00,Timothy Halfmann-Morris
b,r,e,a,k
Kansas City Masterpiece,15
teamInfo,,"Kansas City, Missouri",,,
00,Logan Nesseth
69,Michael Montesano
69,Mike French
69,NATE SCEARCY
69,Patrick Loganbill
69,Patrick Lansdon
69,Peter (PJ) Matulka
69,Reid Christensen
69,Ryan Tuschhoff
69,Samuel Cheyney
69,Tim Dinh
69,Tom Atchity
69,ALEX GAREIS
69,Bruce Campbell
69,Bryon Brooks
69,Cory Green
69,Danny Kurz
69,David Slagle
69,Everett Arruda
69,Isaac Blick
69,Jacob Pfeifer
69,Jacob Rickwa
69,Joe Young
69,Joe Nickels
69,Jordan Ast
69,Karl Kraemer
69,Lee Clark
b,r,e,a,k
Fade,9
teamInfo,,"Brooklyn, New York",,,
69,Albert Lee
69,Alex Ornik
69,Anthony Havens
69,Bennett Taren
69,Brian Moore
69,Calvin Vannoy
69,Chris Nelson
69,Dan Bush
69,Henry Zhang
69,Ivan Peng
69,J. Zachary Saffa
69,Jacob Price
69,Jacob Sachs
69,Jordan Hupp
69,Kevin Hsu
69,Mac Little
69,Matthew Olivetti
69,Matthew Lemar
69,Matthew Mclaughlin
69,Max Dyer
69,Michael Sender
69,Nicholas Eng
69,Nick Jewell
69,Nitai Deitel
69,Stefan Dicker
b,r,e,a,k
Woolly Mammoth,5
teamInfo,,"Tamallando, Florida",,https://www.facebook.com/WoollyUltimate,https://twitter.com/WoollyUltimate
00,Andrew Roca
00,Anthony Lopez
00,Aron Andino
00,Brandon Perales
00,Brett Egger
00,Cameron Amey
00,Daniel Vockeroth
00,David Vatz
00,Dustin Rooffener
00,Dustin Travaglini
00,Jason Silverman
00,John Fonte
00,Joseph Crinkley
00,Kevin Halprin
00,Mark Mendelevitz
00,Matt Matheny
00,Matt Ryan
00,Matt Chandler
00,Morgan Bambace
00,Roger King
00,Ronald Peterman
00,Ryan Chard
00,Stephen Poulos
00,Stephen Kaywell
00,Stephen Ierardi
00,Tom Chrzanowski
00,Travis Catron
b,r,e,a,k
Johnny Encore,3
teamInfo,,"Denver, Colorado",,https://www.youtube.com/watch?v=WBMWd49rtu8&t=108s,
0,Andrew Larocque
0,Ben Lohre
0,Curtis Salcedo
0,David Protter
0,David Wiseman
0,Dennison Bechis
0,James Cantwell
0,Jay Froude
0,Jesse Roehm
0,Owen Westbrook
0,Ryan Lacy
0,Vincent Ciaramitaro
0,Wil St. Charles
0,Zach Zebarth
8,Matt Bristol
10,Von Alanguilan
11,Killian Burns
11,Colton Steiner
17,John Dunlop
27,Steve Schwab
29,Michael Schwenk
33,Eric Hubbard
34,Henry Konker
35,Todd Wolma
36,Bryan Downey
42,Andrew Priester
51,Andrew (AJ) Stolson
83,Zachary Nager
b,r,e,a,k
Gravy Train,14
teamInfo,,"Seattle, Washington",,https://www.facebook.com/groups/gravytrainultimate,
00,Trevor Corsello
02,Kevin Black
04,Jason Laxague
05,Jon Fok
06,Stephen Hain
08,John Hall
09,Philip Chan
12,Edward Layne
13,Carl Richmond
14,Sean Galagan
16,Jeremy Liu
17,Evan Perkiss
20,Charlie Kiel
21,Ryan Shin
23,Mark Bangcaya
24,Greg Wycklendt
26,Chauncey Holland
31,Spencer Nelson
32,Jimmy Longley
33,Aaron Bernstein
35,Bryan Chong
37,Brian Le
62,Erik Schmidt
64,Kenneth Lawler
67,Timothy Ellis
68,Joseph Gooden
69,Gordon Meyer
b,r,e,a,k
DC UnCurrent,12
teamInfo,,"D.C., District of Columbia",,,
0,Aden Richards
0,Adolfo Rojas
0,Andrew Crumpler
0,Andrew Ryan
0,Cameron Westbury
0,Christopher Grenier
0,Daniel Hartsoe
0,James McIntyre
0,Jeremiah Leblanc
