Presidents' Day Invite 2024,College - Men ,17,2,2024
La Jolla,CA,2024-02-17,2024-02-19
https://play.usaultimate.org/events/Presidents-Day-Invite-2024/schedule/Men/CollegeMen/
Washington,8
teamInfo,Sundodgers,"Seattle, Washington",,https://www.facebook.com/uwultimate,https://twitter.com/sundodgers
coaches,Dongyang Chen,Trent Dillon
0,Charles Craemer
0,Cyrus Clapp
0,Andrei (Andy) Stanciu
0,Carter Bayer
0,Elijah Espinola
0,Gus Elovitz
0,Harrison Prow
0,Owen Kuwayti
0,Quinton Yap
0,Micah Glickman-Flora
0,Nathan Siegel
0,Vaughn Dillender-Kinast
0,Vivek Shah
1,Isaac Woldemariam
2,David Ng
8,Martin Le
11,Luke Horris
13,Nicholas Yin
16,Ryan Liao
21,Keishin Lam
32,Souma Yabuki
33,Leonardo Kruse
34,Akash Shrestha
44,Delano Muongchan
48,Vince Nguyen
55,Mateo Holguin
73,Chackgarin Brown
95,Griffin Lo
b,r,e,a,k
Cal Poly-SLO,1
teamInfo,SLOCORE,"San Luis Obispo, California",http://slocore.com,https://www.facebook.com/slocoreultimate/,https://twitter.com/CORE_ultimate
coaches,Tim Gilligan,Cody Mills
0,Joseph Thachet
4,Marley Sussman
5,Alex Yannelli
7,James Whealan
8,Max Gade
9,Dodger Middlebrook
06,Keaton Orser
10,Oliver Faase
12,Bailey Prochaska
14,Rafael Castillo
15,Anton Orme
16,Garrett Bush
24,Jamieson Rear
25,Hayden King
26,Benson Cady
27,Wyatt Colburn
30,Seamus Robinson
33,Leo Lauritzen
34,Owen Gresko
36,Zach Riley
45,Alex Nelson
50,Kyle Lew
64,Micah Fong
72,Carson Crouch
81,Calvin Brown
b,r,e,a,k
Utah State,9
teamInfo,Scotsmen,"Logan, Utah",,https://www.facebook.com/profile.php?id=100089442176571,https://twitter.com/USUMensUltimate
coaches,Eric Holt,Zach Balls
0,Zach Larsen
01,Elijah Huber
02,Seth Wilson
03,Kysen Lyons
05,Samuel Huntzinger
06,Tucker Jewkes
07,Conrad Anhder
08,Scott Jackson
09,Dallin Opperman
11,Zachary Mulkey
16,Boston Musgrave
17,Jackson Egbert
19,Brigham Radmall
22,Ryan Beck
23,Anthony Mounga
24,Jonny Hoffman
25,Henry Nguyen
38,Chase Smith
45,Alan Poulsen
47,Calvin Clark
66,Truman Phillips
80,Jake Osborne
92,Jaren Newswander
95,Brock Hyatt
b,r,e,a,k
California-Irvine,16
teamInfo,Nightlife,"Irvine, California",https://www.instagram.com/nightlife_ultimate/,,
coaches,Jacob Walsh
0,Paolo Brinas
01,Arnav Amin
02,Cory Yonemura
10,Cameron Horne
12,Shun Iwata
14,Joel Akiyoshi
14,Trevor Walker
16,Josiah Sweet
18,Alan Yuen
20,Brady Cason
22,Ben Schroeder
23,Jinfu Niu
26,isaiah hernandez
28,Nathan Leslie
36,Cheng-Yu Liu
55,Spencer Sih
