Stanford Invite 2024,College - Men ,2,3,2024
Stevinson,CA,2024-03-02,2024-03-03
https://play.usaultimate.org/events/Stanford-Invite-2024/schedule/Men/CollegeMen/
Oregon,1
teamInfo,Ego,"Eugene, Oregon",,https://www.facebook.com/OneBigEgo/,https://twitter.com/egotime
0,Jack Gleason
3,Keali Mccarter
4,Alex Hall-Witt
6,Jackson Knox
8,Adam Wulkan
9,Marcus Beidler
11,Benjamin Keigwin
14,Nicholas Cao
15,Chander Boyd-Fliegel
17,Jason Gutstadt
18,Marco Muralles
19,Callahan Phinney
21,Jonah Hammes
22,Tyler Feeney
23,Julian Saunt
24,Mica Glass
26,Raekwon Adkins
27,Mason  Weybright
28,Max Massey
34,Adam McNichols
36,Gabriel Nobis
45,Beckett Sessums
48,Ben Horrisberger
70,Griffin van Rhyn
72,Aaron Kaplan
77,Jackson Heglie
81,Emmett Warner
b,r,e,a,k
Tulane,12
teamInfo,Tucks,"New Orleans, Louisiana",,https://www.facebook.com/TulaneUltimateFrisbee/,https://twitter.com/TUultimate
0,Noah Zelkin
5,Micah Wagner
03,Joseph Wagner
08,Miles Wachsteter
09,Grayson Broderick
10,Jesse Katz
11,Levi Smetana
12,Benjamin Nevis
13,Axel Nielsen
14,Hudson DeGroff
15,Owen Harris
17,Andre Dumez
18,Darbhi Durvasula
23,Sam Davies
25,Charlie Smith
29,Jeffrey Greenblatt
30,Talon Spears
40,Graham Koeberl
51,Nikhil Modayur
55,Roman Spears
77,Jonah Yurman
97,Casper Graham
b,r,e,a,k
Grand Canyon,8
teamInfo,Lopes,"Phoenix, Arizona",https://clubsports.gcu.edu/club-sports/ultimate-frisbee/,https://www.facebook.com/gculopesultimate/,https://twitter.com/GCUUltimate
coaches,Brendan Carriel
0,Ben Morse
0,Brandon Alatorre
0,Carson Russell
0,Eli Schaberg
0,Eli Berthiaume
0,Ethan Schmille
0,Ezekiel Taylor
0,Jeremiah Coleman
0,Logan Richards
0,Lukas Czarnota
0,Micah Willis
0,Nathaniel  Johnston
0,Noah Portis
0,Thomas Blum
0,Trevor Gurski
1,Martin Mason
4,Nikolas  Rivera
12,Bryan Fuglestad
20,Cael Kubly
22,Nathan Paauw
29,Everitt Meer
33,Jonah  Rominski
54,Xander Shenberger
55,Ryan Williams
b,r,e,a,k
Southern California,13
teamInfo,USC Lockdown,"Los Angeles, California",https://www.uscmensultimate.org/,https://www.facebook.com/uscmensultimate/,https://www.twitter.com/uscmensultimate/
0,Andrew Nemeth
0,Arone Saldana
0,Cameron Davis
0,Akilesh Swamy
0,Alex Tang
0,David Anderson
0,David  Olson
0,Eli Dorn
0,Giancarlo Rodriguez
0,Gregor Tillman
0,Jack Molloy
0,Jesse Packel
0,June Bae
0,Mike DiLoreto
0,Owen Zhou
0,Shi Zhang
0,Skylar Funk
2,Dox Raskin
5,Mateusz Pienkowski
10,Daniel Hochberg
13,Thomas Johnson
14,Jack Fassett
28,Quinn Booth
77,Clay Kaufman
99,Alexander Zambidis
b,r,e,a,k
Washington University,2
teamInfo,Contra,"St. Louis, Missouri",contra.wustl.edu,,twitter.com/wucontra
0,Ethan  Zhang
0,Evan Tompkins 
0,Jackson Freeman
0,Michael Coyne
9,Nicholas Jeschke
01,Noah Stovitz
02,Rohan Patel
03,Cameron Freeman
06,Bennett Schwartz
07,Sam Schwartz
08,Joel Brown
13,Wilson Tryon
14,Ian Grochocinski
15,Jacob Tindall
15,Jake Hyman
17,Isaac Trommer
18,Noah Kaller
21,Christopher Heron
23,David Bix
24,Seth Fisher-Olvera
25,Benjamin Deppen
26,Raphael Epstein
28,Elie Weitzman
33,Nicolas Sprague
36,Jakob Ayala
44,Isaac Fenster
69,Charles Gluck
81,Nate Ackerman
96,Joe Hess
b,r,e,a,k
Western Washington,11
teamInfo,DIRT,"Bellingham, Washington",,,
coaches,Kristin (Charlie) Eide
0,Calvin Dodge
0,Colin Bogar
0,David Leahy
0,Deacon Campbell
0,Dominic Olson
0,Ben Hanson
0,Graham Peck
0,Jaimen Grove
0,Logan Manta-Kennedy
0,Naren Fuller
3,Brian Fosmark
05,Eliot Lundt
09,Elijah Diamond
11,Byron Jordan
11,Niko Butt
14,Arlo Breslauer 
17,Thomas Simms
39,Mason Herndon
42,Peter Eklund
47,Zoli Ishikawa-szabo
74,Ethan Kelley
88,Hayden Zaske
b,r,e,a,k
Stanford,7
teamInfo,Stanford Men's Ultimate Team,"Stanford, California",,,
0,Declan Murphy Zink
0,Delfino Li
0,Denzel Cofie 
0,Egan Tardif
0,Eli Meyers
0,Everett Lee
0,Henry Boeschen
0,James Talbot
0,Alex Ecker
0,Alexander Belfiore
0,Benjamin Chen
0,Benjamin Fernandez
0,Joshua Koch
0,Leo Jacoby
0,Max Lee
0,Morgan Wyatt
0,Sepehr Asgari
10,Charles Shi
12,Charlie Shors
20,Matan Abrams
26,Max Vandervelden
48,Brendon Gu
88,Shiley Einav
89,Jerred Smith
b,r,e,a,k
Cal Poly-SLO (B),14
teamInfo,SLOB,"San Luis Obispo, California",,,
0,Ari Dean
0,Beau Usry
0,Brandon Howell
0,Caleb Rosen
0,Carson Ingalls
0,Colin Moore
0,Daniel Monge
0,Drew Larson
0,Elliot DeJong
0,Garrett Kunkler
0,Henry Frierson
0,Jack Pearson
0,Jack Karpinski
0,Kamron Kelley
0,Layne Sutton
0,Luca Perri
0,Martin  Doherty
0,Matthew Lu
0,Nathan Shaffer
0,Nico Laurenson
0,Owen  Lutz
0,Philippe Bakhirev
0,Quintan Davis
0,Sumanth Thokala
0,Zach Kwast
1,Jack Toyama
2,Alec Gibbs
3,Paul Nassar
14,Marcus Hawley
16,Zachary Wallpe
16,Cody Krawczyk
20,Josh Hall
23,Griffin Dyal
26,Cole Aymond
27,Landon Block
28,Wyatt Barnes
77,Matthew Chak
88,Alex Herman
90,Ty Soria
99,Owen Peay
b,r,e,a,k
California-Santa Cruz,3
teamInfo,Slugs,"Santa Cruz, California",https://www.instagram.com/slugultimate/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
0,Dylan Terris
0,Ethan Rogers
0,Evangel Hightower-Rojas
0,Joseph Donovan
0,Kelvin Lloyd
0,Kien Warren
0,Marcos Schram
