2024 Wisconsin Swiss,Club - Mixed ,22,6,2024
Hartland,WI,2024-06-22,2024-06-23
https://play.usaultimate.org/events/2024-Wisconsin-Swiss/schedule/Mixed/Club-Mixed
Gene Parmesan,1
teamInfo,,"Minneapolis, Minnesota",,,
0,Alex Kaplan
0,Alex Kensgaard
0,Alyxandra Averkamp
0,Brent Novey
0,Graham Brayshaw
0,Patrick Cashman
0,Paul Norgaard
0,Rachel Elbing
0,Rebekah Swanson
0,Sam Valesano
0,Stephanie Pieper
0,Kathryn Cleveland
1,Jeffrey Trosvig
4,Andrew Lawrence
4,Tony Michaelson
7,Brianna Andrighetti
9,Tyler McKean
9,Brian Thompson
16,Lindsay Trosvig
17,Kristina Golling
78,Jeremy Keiser
88,Patrick Jensen
96,Brian Edgerton
97,Megan Asturias
b,r,e,a,k
Minnesota Star Power,6
teamInfo,,"Minneapolis/ St. Paul, Minnesota",http://minnesotastarpower.weebly.com/,http://www.facebook.com/MinnesotaStarPower/,https://twitter.com/mnstarpower
0,Alex Kraft
0,Claire Cech
0,Joey Tillman
0,Josh Hendrickson
0,Kajsa Beatty
0,Lily Monorom
0,Gretchen Pohl
0,Izzy Anderson
0,Madeline Kreider Carlson
0,Peter Rogers
0,Rebecca Kline
0,Steven Anderson
1,Cole Jensen
4,Zachary Bye
5,Daniel Schultz
10,Tristan Grovender
11,Rachel Thompson
14,Lucas Kempf
17,Joe Hendrickson
21,Tyler Mahony
24,Jessica Haller-Chew
40,Thomas Walker
b,r,e,a,k
Pushovers,5
teamInfo,,"Lake Elmo, Minnesota",,,
0,Alexander Kucich
0,Erick Knudson
1,Derek Anderson
2,Tyler Wolf Williams
3,Carly Rasmussen
4,Hannah Hackenmueller
6,Patrick Wozniak
7,Michael Scharlau
8,Erin Marshall
9,Kendra Anderson
10,Kyra Anderson
12,Joseph Ling
15,Molly Horstman Olson
17,Laura Coleman
18,Anne Underwood
20,Sydney Gelhorn
21,Donovan ODowd
24,Anna Benishek
25,Jalen Bolton-Steiner
31,Ross Screaton
39,Elizabeth Curtiss
42,Sam Baker
57,Christopher O'Mara
62,Marcus Cannon
94,Sylvie Mercil
95,Eric Volkmeier
b,r,e,a,k
Mad Udderburn,2
teamInfo,,"Madison, Wisconsin",https://www.Instagram.com/madudderburn,https://www.facebook.com/MadUdderburn,https://twitter.com/mad_udderburn
0,Adam Klopfenstein
0,Alex Larsen
0,Bo Strauss
0,Brittany Hoegh
0,Grace Compton
0,Henry Mans
0,Kylee Martens
0,Paige Steinbauer
0,Thomas Guerin
1,Justin Chenevert
2,Hannah Nygard
4,Joey Knutson
5,Mia Wieben
