2024 Southeast Mixed Regional Championship,Club - Mixed ,21,9,2024
Bermuda Run,NC,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Southeast-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
'Shine,1
teamInfo,,"Nashville, Tennessee",https://www.nashvilleultimate.com/nashville-shine-mixed,https://www.facebook.com/nashvilleshineultimate,https://twitter.com/nashvilleshine
0,Doug Richardson
0,Elena Rubino
0,Grace Castro
0,Grace Robinson
0,Jesse Shofner
0,Katharine Gilbert
0,Margaret Quinn
0,Mia Letterie
0,Mikeie Reiland
0,Nadine Rowen
0,Rachel Kramer
0,Rebecca Henley
0,Tori Taylor
0,Victor Pria
9,Christopher Calhoun
12,Phillip Dougherty
17,Rachel Barr
17,Eli Motycka
18,Jacob Flowers
33,Jordan Hill
45,Sylvia Brown
74,Avi Ghitterman
85,Daniel Lynch
93,Adam Carr
95,Trip Adams
98,Matt Ractliffe
b,r,e,a,k
Space Force,6
teamInfo,,"Huntsville, Alabama",http://linktr.ee/spaceforceulti,,
coaches,Chris Brackbill,Andy Sieja
3,Paige Carver
01,Mia Griner
02,Melanie Thomas
03,Sara Mog
04,Eric Sjostrom
05,William Bianca
06,Natalie Wilson
07,Caroline Taylor
10,Matthew Radcliffe
11,Jeremiah Branson
14,Jakeem Polk
15,Grace Marshall
17,Mattea Swegles
19,Victoria Ellingson
20,Isaiah Mason
24,Emily  Branson
25,Callahan Diercks
26,Luke Hudgin
27,Michael Volz
32,Lauren Klinzak
43,Jacob Miller
44,Samantha Hill
55,Elijah Jaime
69,Michael Poe
81,Jamie Ferrie
99,Mac McClellan
b,r,e,a,k
Murmur,5
teamInfo,,"Athens, Georgia",,,
0,Cole Chanler
1,Katharine Kellogg
2,Carter Neuman
3,Fiona Cashin
4,Sami Chambers 
5,Ryan Hill
6,Matthew Cook
7,Henry Siebentritt
9,Sam Batson
10,Isaac Huntington
11,Quincy Booth
12,John Langstaff
13,Jake Powell
14,Matthew Fazzalaro
15,Jack Krugler
19,Elle Mayer
20,Scott Whitley
21,Samantha Li
22,Anna Gustafson
25,Collin Hill
36,Zach Brennan
39,Brooke  Thompson
42,Martha Wilber
77,Ki Greene
99,Olivia Ford
b,r,e,a,k
Storm,2
teamInfo,,"Charlotte, North Carolina",,https://www.facebook.com/CharlotteStormUltimate/,https://twitter.com/CLTstorm
coaches,Andrew Manca,Briana Campbell,Jacob Tice
0,Alexandra Magid
0,Alix Robbins
0,Catherine Nansalo
0,Connie Cui
0,Hannah Boettcher
0,Jonathan Lyle
0,Jordan Harn
0,Matthew Cameron
0,Maxwell Wallach
0,Nathan Lyle
0,Zachary Clark
1,Brandon Malecek
8,Kallen Busker
9,Julie Eagle Malecek
13,Jocelyn Keung
14,Alexander Guedouar
22,Natasha Bedoya-Ross
