2024 USA Ultimate Masters Championships,Great Grand Masters - Men ,19,7,2024
Aurora,CO,2024-07-19,2024-07-22
https://play.usaultimate.org/events/2024-USA-Ultimate-Masters-Championships/schedule/Men/great-grand-masters-men/
Immortals,7
teamInfo,,"Salt Lake City, Utah",,,
00,Aaron Coleman
00,Alexander (AC) Cross
00,Casey Sullivan
00,Colby James Smith
00,Eric Bedard
00,Herb Kaup
00,Keith Monohan
00,Kevin Monohan
00,Kib Dacklin
00,Lars Fjelstad
00,Mark Gross
00,Mark McGhee
00,Michael Knapp
00,Patrick Prendergast
00,Paul Schiess
00,Rhetick Sengupta
00,Ry Koteen
00,Scott Runkel
00,Seton Stiebert
00,Stephen Feldman
00,Steve Thoennes
00,Tim Laverty
00,Todd Grace
02,Sean Graff
b,r,e,a,k
Relics,1
teamInfo,,"San Francisco Bay Area, California",,,https://twitter.com/ultimaterelics
0,Anthony Wagner
0,Clayton Hurd
0,Daniel Francis
0,Eliot Linforth-Hall
0,Harris Masket
0,Hartti Suomela
0,Kevin Lee
0,Mark Driver
0,Philip Watanabe
0,Robert Briant
0,Russell Furr
0,Spencer Reeder
0,Stephen LaBonge
0,Steve Joye
2,Daryl Nounnan
4,Alan Harder
5,Peter Wells
8,Mark Pletcher
10,Brett Mitchell
12,Ian Appleyard
14,Simon Verghese
16,Jason Seidler
16,Peter Nieh
18,Adam Smith
24,Jim Middlebrook
42,Colin Smith
60,Tal Tversky
77,Joey Stewart
b,r,e,a,k
Zombiemaker,10
teamInfo,,"Chicago, Illinois",,,
00,Angelo Artemakis
01,Wayne Tang
02,Michael Gwinn
05,John Asnis
06,Matt Watenpool
08,Noam Frankel
10,Michael Hixenbaugh
12,Eric Newman
13,Frank Menendez
16,Tim Monahan
17,Jerry Parks
18,Alan Salzberg
21,Chris Wreden
25,Darrin Speegle
28,Ernie Miyashita
31,Michael Balas
33,Dave Donat
41,Scott Dietrich
43,Paul Grafing
49,Jay Howk
55,Tom Plamondon
64,Mark Abney
72,Mike Tomaszewski
80,Jake Stake
99,Danial Bognich
b,r,e,a,k
WreckAge,16
teamInfo,,"Boston, Massachusetts",,,
00,Erik Sebesta
02,Rich Franck
03,Andy Liu
04,Jason Dumont
05,Shaun Logan
12,Richard Dorff
17,Manuel Lamontagne
23,Clayton Cardin
26,Scott Butler
55,John Turi
58,Cimarron Buser
65,David Delorenzo
70,Alex Rothenberg
77,David Juitt
b,r,e,a,k
Johnny Cashed,2
teamInfo,,"Boulder, Colorado",,,
00,Arnold Sanchez
00,Brendon Pardington
00,Charles Greaves
00,David (Buzz) Ellsworth
00,Eric Albright
00,Frank Phillips
00,Gabriel Fuzat
00,Heath Mackay
00,Jason Brask
00,Jason Wedekind
00,Jeremy Friedman
00,Jeremy Brown
00,Karl Mimmack
00,Kevin Cale
00,Kevin Broughton
00,Kevin Hamm
00,Kip Weatherwax
00,Matt Babler
00,Phil Quatrochi
00,Steve Quach
00,Thomas Glass
00,Tim Galvin
00,Wesley Williams
00,William (Tad) Miller
11,Matthew Krei
15,Jim Nolte
b,r,e,a,k
PAIN,8
teamInfo,,"Decatur, Georgia",,,
00,Andy Nix
00,Brent Lee
00,Chris Stone
00,Gregory Allpow
00,Will Seto
02,Bryant Depenbrok
03,Grant Cashin
04,Richard Whitcomb
05,David Goode
11,Rex Taylor
14,Sean Brown
18,Alan Reeves
21,James Allen
23,Calvin Lin
28,Tim Ray
40,Dan Konisky
43,Richard (Jay) Pigford
44,Marc Seto
67,Jason Kirkpatrick
72,Tim Coppinger
99,Christopher Dawson
b,r,e,a,k
Kingdome,9
teamInfo,,"Seattle, Washington",,,@kingdomedisc
04,David Chickering
07,Craig Chambers
09,Dylan Righi
10,Terrence Crowley
11,Jude LaRene
15,Michael Vacirca
19,Noah Tannen
20,Bryan M McGriff
31,Ryan  Dean
34,Bruce Pooler
42,Alex Blanton
64,Forrest Trepte
65,Robert Vogel
66,Benjamin Gordon
73,Michael Lapin
75,Richard Kwun
88,Patrick Colacrrcio
91,Aubrey Cohen
b,r,e,a,k
Shelf Life,15
teamInfo,,"King George, Virginia",,,
0,Nickolas Hight
00,Rabah Sbitani
00,Rod Hannon
00,Seth Martin
00,Stephen Vernon
00,Thomas Smith
00,Wayne Swanson
00,Barney Krucoff
00,Brian Barney
00,Brian Hatchl
00,Bryan Greenwald
00,Derek Stordahl
00,George Knight
00,Guy Babineau
00,Henry Ferland
00,John Lawther
00,John O'Neill
00,Jonathan Simon
00,Mark Simons
00,Mark Dixon
00,Melissa Iwaszko
00,Michael Akkerman
00,Michael Smiley Glowczynski
00,Michael Sewell
33,Sanjeev Khanna
73,H. Edward Midden
84,Patrick Walker
b,r,e,a,k
Surly GGM,3
teamInfo,,"Minneapolis, Minnesota",https://www.surlyultimate.org/,,
0,Boe Quisenberry
00,Dan Rydel
00,John Fenske
00,Kenneth Faase
00,Richard (Ricky) Eikstadt
06,Andrew Rutledge
07,Paul Anderson
08,Joe Cesario
10,Don Tom
11,Mark Enright
12,Randy Gage
13,Jeremy Alden
16,David Steglich
18,Seth Grossinger
19,Sean McCall
28,Eric Enge
32,Trent Troyer
34,John Hock
36,Russ Adams
44,Britt Atack
70,Pericles Nacionales
71,John Klaus
73,Tom Kremer
75,Nicholas Rahn
76,Mike Helmecki
79,Steve Ridgely
88,David Remucal
b,r,e,a,k
Graveyard,5
teamInfo,,"Morrisville, North Carolina",,,
00,Ed Fox
03,Keith Doucette
04,Christoph Boshoff
06,Eric Davis
07,Clayton Coltman
08,Dwayne Purper
09,Leonard Magargee
10,Sean Britton
11,Garrett Dyer
13,Nathan Fritze
14,Rodney Guajardo
16,Bryan Vance
17,Nat Taylor
23,Louis Lessard
24,Andrew Brewer
25,Trey (George) Katzenbach
30,Jon Proctor
35,Michael Jolley
69,Jean-Yves Goliard
77,Matt (Jonathan) Hull
88,John (Rusty) Sewell
99,Danny Lee
b,r,e,a,k
Magnificent 7,14
teamInfo,,"Texas, Texas",,,
00,Bradley Strahan
00,Carl Edwards
00,Chris Cosgrove
00,Dan Wachter
00,David Armstrong
00,David Edwards
00,Derek Unger
00,Eugene Downing
00,Francisco Puga
00,Greg Lopp
00,Jay Banner
00,Jeff Vilord
00,Jody Ayers
00,Joey Barcio
00,Joseph Knize
00,Marcus (Mark) May
00,Mark Jenesse
00,Mike Welch
00,Mike Jaris
00,Ramiro Santana
00,Rob Seidenberg
00,Rocky Payne
00,Scott Cilento
00,Sean Tenney
00,Tim Allen
b,r,e,a,k
Gritty,12
teamInfo,,"Philadelphia, Pennsylvania",,,
00,Graham Fletcher
00,Woo Jin Ho
05,Jaideep Talwalkar
13,Matthew Kye
14,Edward Avery
15,Adam Zagoria
19,David Skurnick
21,Robert Cochrane
22,Keith Hartington
23,Thomas Heal
24,Samson Sackett
26,Jeremy Singer
27,Tom Lumley
29,Brad Moser
33,Jonathan Moore
34,Drew Manalo-Lamanna
36,Roy Hoffman
42,Joseph Campbell
66,Kao Wang
70,Jon Brandt
72,Kyung Cho
74,Brian Kempf
99,Eliot Desilva
b,r,e,a,k
No Country 50,4
teamInfo,,"New England, Massachusetts",,,
01,Alex De Frondeville
03,James (Jim) Johnston
05,Howard Liu
10,Marshall Goff
11,Philip Lawrence
15,Jamie Hoover
18,Daniel Sage
19,Jon Bakija
24,Joel Thompson
25,Daniel McConville
32,Paul Zaleski
37,Phil Vlahakis
44,Christian Hajok
51,Yohan Baril
56,TREVOR ZIMMER
61,Jeff Talbot
69,Hicham Laaouan
72,Duane Bronson
74,Alexis Papadimitriou
77,Daniel Kos
88,James (Jim) Parinella
b,r,e,a,k
Burnside Five-0,6
teamInfo,,"Portland, Oregon",,,
0,Adam Rasmussen
0,Arthur Pearce
0,Christopher Kroenke
0,Dan Anderson
0,Ethan Daniels
