2024 Northeast Men's Regional Championship,Club - Men ,21,9,2024
Devens,MA,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Northeast-Mens-Regional-Championship/schedule/Men/Club-Men/
DiG,1
teamInfo,,"New York, New York",,,https://twitter.com/nyc_blueprint
coaches,John Raynolds,Ryan Thompson
0,Andrés Rodríguez Hernández
0,Carter Wang
0,Evan Ma
0,Garrett Wibbelsman
0,Henry Phan
0,Hiroshi Yuasa
0,Jeffrey Voss
0,Jesse Gan
0,John Kern
0,Max Cohen
0,Noam Fisherman
0,Noel Sierra
0,Owen Marschall
0,Robert Breyer
0,Ruozhou Ye
0,Samuel Pollack
0,Sergio Rojas Leal
1,Sam Alston
7,Walter Roosa
10,Andrew Edelman
11,Patrick Stegemoeller
15,Daniel Meiland
17,Isaac Kaplan
24,Jacob  Cowan
55,Leo Jordan
64,Leo Xiao
b,r,e,a,k
Lantern,16
teamInfo,,"Boston, Massachusetts",https://www.instagram.com/lanternultimate/?hl=en,,https://twitter.com/lanternultimate
0,Brendan Blaney
02,Alan Yi
03,Derek Wiseman
05,Thomas Dougherty
06,Igor Smola
09,Sung-Jae Park
10,Brian Walsh
11,Cameron Park
12,Michael Carando
13,Matt Kolk
14,Marc Gleason
17,John Repucci
18,Ryan Rockett
19,John Buchanan
21,Joshua Remington
25,Matthew Ayers
27,David Owyang
35,Russell Katz
37,Dylan Baroody
47,Bryce Markel
59,Thomas Yoxsimer
62,Cody Karjadi
63,Griffin Smith
73,Eric Peters
75,Benjamin Ma
78,Noah Urrutia
b,r,e,a,k
Mephisto,4
teamInfo,,"Montreal, Quebec CA",,https://www.facebook.com/mephistoultimate,
coaches,Alexandre Lemieux,Charles Bariteau
0,Antoine Dubé
0,Charles Guay
0,Maxime Guy
0,Melvyn Brichet
0,Jonathan Baril
6,Paul Hooley
10,William St-Pierre
12,Thomas Lalonde-Landry
15,Raphael Salvas
19,Felix Leonard
20,Julien Bernat
21,Gabriel Monfette
22,Ywan Cohonner
29,Jacob Duquette
30,Philippe Le Bourdais
35,Eliott Heloir
38,Antoine Rousseau
43,Thomas Duplaix
49,Félix-Antoine Daigle
62,Jérémie Giard
69,Liam McKeown
84,Dylan Lacombe Burgoyne
b,r,e,a,k
Sprout,5
teamInfo,,"Amherst, Massachusetts",,,
01,Forrest Williams
02,Ryan Dinger
03,Ben Feeney
04,Ethan Lieman
05,Daniel Kang
06,Nadav Berkman
07,Galen Harwood
08,Tomo Liou
10,Rustin Ingold-Smith
11,Michael Ising
13,Calan Kirkpatrick
15,Jonah Stang-Osborne
17,Nima Lhamo
18,Sam Green
21,Ben Ayres
22,Arthur Aucoin
23,Kristof Rohaly-Medved
24,Jonah Barry
25,Cameron Levine
27,Caelan McSweeney
37,Gavin Abrahamsson
38,Leo Narbonne
42,Liam Gallinagh
66,Roan Dunkerley
68,Benjamin Nelson
95,Luca  Harwood
b,r,e,a,k
Red Circus,10
teamInfo,,"Halifax, Nova Scotia CA",,https://www.facebook.com/rcultimate/,https://twitter.com/rcultimate?lang=en
00,Alexis Plourde
00,Andrew Xu
00,Brent Wallace
00,Breton McPhee
00,Dylan MacDonald
00,Grant MacDonald
00,James McKenna
00,Joey Njeim
00,Léo Hébert-Creeggan
00,Liam Vigar
00,Luke Dyer
00,Oscar Hébert-Creeggan
00,Ryan Molin
00,Tim MacIsaac
00,Travis Foster
00,Will Dickson
02,Oliver Porter
12,Bailey Darling
14,Kyle Chapman
19,Greer Hunt
23,Joshua Turner
45,Liam Archibald
77,Ben Wortman
83,Garrett Jung
88,Scott Hansen
91,Andrew Johnston
b,r,e,a,k
Skeleton Squad,15
teamInfo,,"Needham, Massachusetts",,,https://twitter.com/Squad_Ult
0,Alec Jacobson
0,Arron Danehy
0,Blake Read
0,Cajetan Evans
0,Calvin Jungreis
0,Jake Agnew
0,JT Kirages
0,Julian Li
0,Logan Reimbold-Thomas
0,Matt Brown
0,Michael Katz
0,Daniel Lee
0,Michael van der Loo
0,Sam O'Sullivan
0,Theodore Taussig
0,Thomas Dyett
0,Timothy Lambert
0,Walker Mayerchak
8,Michael Vitiello
13,Patrick Leach
22,Chris Zhang
31,Collier Cobb
69,Jackson Killilea
99,Griffin Majer
b,r,e,a,k
s,t,a,g,e,s
pools,Pool play
pool,Pool A
DiG,Magma Bears,13,6,"09/21/2024, 09:00",Pool A,Final
Red Tide,Scoop,10,12,"09/21/2024, 09:00",Pool A,Final
DiG,Scoop,13,7,"09/21/2024, 10:45",Pool A,Final
Red Tide,Magma Bears,13,3,"09/21/2024, 10:45",Pool A,Final
pool,Pool B
PoNY,Big Wrench,13,5,"09/21/2024, 09:00",Pool B,Final
Phoenix,Colt,12,10,"09/21/2024, 09:00",Pool B,Final
PoNY,Phoenix,12,8,"09/21/2024, 10:45",Pool B,Final
Colt,Big Wrench,11,7,"09/21/2024, 10:45",Pool B,Final
pool,Pool C
GOAT,Lantern,13,3,"09/21/2024, 09:00",Pool C,Final
Blueprint,Shade,5,7,"09/21/2024, 09:00",Pool C,Final
GOAT,Shade,13,4,"09/21/2024, 10:45",Pool C,Final
Blueprint,Lantern,13,8,"09/21/2024, 10:45",Pool C,Final
pool,Pool D
Mephisto,Skeleton Squad,13,3,"09/21/2024, 09:00",Pool D,Final
Sprout,Red Circus,13,8,"09/21/2024, 09:00",Pool D,Final
Mephisto,Sprout,11,9,"09/21/2024, 10:45",Pool D,Final
Red Circus,Skeleton Squad,13,5,"09/21/2024, 10:45",Pool D,Final
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
DiG,GOAT,0,0,"09/21/2024, 12:45",,Scheduled
PoNY,Mephisto,15,14,"09/21/2024, 12:45",,Final
Sprout,Colt,0,0,"09/21/2024, 12:45",,Scheduled
Shade,Red Tide,0,0,"09/21/2024, 12:45",,Scheduled
Phoenix,Red Circus,15,8,"09/21/2024, 12:45",,Final
Scoop,Blueprint,0,0,"09/21/2024, 12:45",,Scheduled
b,r,e,a,k
brackets,First Place Bracket
bracket,First Place
b,r,e,a,k
brackets,Third Place Bracket
bracket,Third Place
b,r,e,a,k
brackets,5th Place
bracket,5th Place
b,r,e,a,k
brackets,Seventh Place
bracket,7th Place
b,r,e,a,k
clusters,4th Place Crossovers
cluster,Crossover
Magma Bears,Lantern,0,0,"09/21/2024, 12:45",,Scheduled
Big Wrench,Skeleton Squad,15,11,"09/21/2024, 12:45",,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
b,r,e,a,k
brackets,13th Place Bracket
bracket,13th Place Bracket
b,r,e,a,k
brackets,15th
bracket,15th
b,r,e,a,k
brackets,11th
bracket,11th
b,r,e,a,k
