Philly Open 2024,Club - Men ,3,8,2024
Allentown,PA,2024-08-03,2024-08-04
https://play.usaultimate.org/events/Philly-Open-2024/schedule/Men/Club-Men/
Pittsburgh Temper,1
8,Drew Woods
18,John Brancato
19,Andrew Marshall
21,Andrew  Seiden
28,Jared Kim
34,William Suitt
35,Ryan Blazejewski
35,Adam Wright
83,Raymond Feng
88,Michael Lovisa
b,r,e,a,k
Winc City Fog,17
teamInfo,,"Winchester, Virginia",,,@TheRealWincCity
0,Christopher Patschak
0,Jeffrey Gale
0,John Maxwell
0,Kyle Derr
0,Luke Willis
0,Nathan Morgan
0,Nathaniel Belk
0,Quinn Redick
0,Ryan Lowe
0,Shawn Miller
0,Thomas Edwards
1,Benjamin Scott
4,Brendan Jarrell
6,Josh Bollinger
9,Daniel Hillgren
13,Joshua Carter
16,Ryan Heenan
22,Patrick Vorathiankul
26,Hamilton  Wasnick
43,Jacob Ham
44,Austin Paynter
77,Goutham Kommanaboyina
84,Dylan Wallace
b,r,e,a,k
EZ,20
teamInfo,,"Wilmington, Delaware",,,
0,Ben Helpin
0,Cameron Ogden
0,Chris Senf
0,Erik Rasmussen
0,Jonathan Neifert
0,Joseph Wheeler
0,Kevin Mason Jr
0,Nick Merson
0,Nick Berent
0,Ryan Cox
0,Sebastian Pestritto
0,Tremont Moore
0,Tyler Camp
0,Will Hayes
4,Brandon Reith
7,Brian Healy
12,Daniel Jahnsen
13,Eric Jansson
13,Stephen Garrett
14,Mike Alexander
19,Cortize Hicks
19,Andrew Blemings
66,Stephen Cockerill
b,r,e,a,k
Crypt,6
teamInfo,,"Richmond, Virginia",https://linktr.ee/rvacrypt,https://www.instagram.com/rvacrypt/,https://twitter.com/rvacrypt
coaches,Trent Tolley,Andy Routzahn
0,Griffin Schutte
01,Corey Vaccaro
02,Nicolas West
03,Jacob Tongier
04,Keegan McMenamin
07,Eric Peake
09,Alexander Williamson
11,Luke Sahli
12,Sam Bean
13,Austin Smith
14,Jack Whitehead
17,Andrew Byers
19,Jackson Rebraca
20,Dylan Hitt
21,Akram Abudheer
24,Trent Cooper
25,Joseph Burton
27,Jericho Payne
34,Phillip Martin
47,Alper Kutlug
56,Owen Donovan
57,Matias Pineiro
69,Yannick Albert
81,Colin Doescher
84,Jack Kanehann
99,Antonio Sumler
b,r,e,a,k
Pittsburgh Stealers,7
teamInfo,,"Pittsburgh, Pennsylvania",,,@stealerspitt
0,Adam Assaad
0,Alexander Kirages
0,Ben Banyas
0,Clarke Piatt
0,Fletcher Hayden
0,Jacob Sigeti
0,Seth Williams
0,Thomas Selwood
0,Will Meyer
4,Joshua Morton
6,Zachary Esakof
12,Max Sprigg-Dudley
17,Chris Chang
18,Elliot Hare
22,Jackson Trone
23,Eliot Duncan
29,Everitt Meer
75,Luke Gochis
84,Nicholas Blair
b,r,e,a,k
BDC,18
teamInfo,,"Washington , District of Columbia",,,
1,Brandon Fleming
2,Christiaan Sengers
4,Ethan George
5,Isaac Trommer
7,Mateo Schneider
8,Tyler New
9,William Shields
10,William Hines
10,Bryan Frumkin
13,Evan Garrison
14,Andres Huenneke
14,Elias Humes
16,Ethan Bartlett
16,Kennon Arnold
16,Adam Friedman
17,James Correnti
17,Brad Weir
19,Vikram Deepak
38,Lucius Kahng
62,Colin Kramer
63,Sean Jung
65,Connor Walsh
69,Scotty Crabtree
85,Owen Edwards
87,Thomas Dillon
b,r,e,a,k
Scoop,19
teamInfo,,"Akron/Cleveland, Ohio",,,
0,Brady Aneshansel
0,Brandon Sasser
0,Caden Bahry
0,Derek Lin
0,Andrew Ploskunak
0,Griffin Slesinger
0,Jay Bucciarelli
0,John  Iannetta 
0,Mason Clay
0,Matthew Sullivan
0,Nathan Trudell
0,Sydney Shobel
0,Zach Shell
2,Garrett Holman
5,Jake Stahl
7,Gavin Latona
14,Osvaldo Velez-Martinez
15,Mark Hribar
19,Michael Atkinson
21,Ben Alexander
23,Noah Spaetti
24,Pete Digre
25,Jason Bailey
69,George Mallinos
76,Logan Heck
77,Vonterio Duncan
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Pittsburgh Temper,Diesel,0,0,"08/03/2024, 13:30",Pool A,Scheduled
CITYWIDE Special,Beef Depot,0,0,"08/03/2024, 13:30",Pool A,Scheduled
Pittsburgh Temper,Beef Depot,0,0,"08/03/2024, 15:20",Pool A,Scheduled
CITYWIDE Special,Diesel,0,0,"08/03/2024, 15:20",Pool A,Scheduled
Pittsburgh Temper,CITYWIDE Special,0,0,"08/03/2024, 17:10",Pool A,Scheduled
Diesel,Beef Depot,0,0,"08/03/2024, 17:10",Pool A,Scheduled
pool,Pool B
Chimney,Bomb Squad,0,0,"08/03/2024, 13:30",Pool B,Scheduled
Ghostbusters,Buffalo Frostbite,0,0,"08/03/2024, 13:30",Pool B,Scheduled
Chimney,Buffalo Frostbite,0,0,"08/03/2024, 15:20",Pool B,Scheduled
Ghostbusters,Bomb Squad,0,0,"08/03/2024, 15:20",Pool B,Scheduled
Chimney,Ghostbusters,0,0,"08/03/2024, 17:10",Pool B,Scheduled
Bomb Squad,Buffalo Frostbite,0,0,"08/03/2024, 17:10",Pool B,Scheduled
pool,Pool C
John Doe,SUPA FC,0,0,"08/03/2024, 13:30",Pool C,Scheduled
Hazard,Long Island Riff Raff,0,0,"08/03/2024, 13:30",Pool C,Scheduled
John Doe,Long Island Riff Raff,0,0,"08/03/2024, 15:20",Pool C,Scheduled
Hazard,SUPA FC,0,0,"08/03/2024, 15:20",Pool C,Scheduled
John Doe,Hazard,0,0,"08/03/2024, 17:10",Pool C,Scheduled
SUPA FC,Long Island Riff Raff,0,0,"08/03/2024, 17:10",Pool C,Scheduled
pool,Pool D
Rumspringa,MOB Ultimate,0,0,"08/03/2024, 13:30",Pool D,Scheduled
Harvey Cats,Rebels,0,0,"08/03/2024, 13:30",Pool D,Scheduled
Rumspringa,Rebels,0,0,"08/03/2024, 15:20",Pool D,Scheduled
Harvey Cats,MOB Ultimate,0,0,"08/03/2024, 15:20",Pool D,Scheduled
Rumspringa,Harvey Cats,0,0,"08/03/2024, 17:10",Pool D,Scheduled
MOB Ultimate,Rebels,0,0,"08/03/2024, 17:10",Pool D,Scheduled
pool,Pool E
Town Hall Stars,Winc City Fog,0,0,"08/03/2024, 13:30",Pool E,Scheduled
Magma Bears,EZ,0,0,"08/03/2024, 13:30",Pool E,Scheduled
Town Hall Stars,EZ,0,0,"08/03/2024, 15:20",Pool E,Scheduled
Magma Bears,Winc City Fog,0,0,"08/03/2024, 15:20",Pool E,Scheduled
Town Hall Stars,Magma Bears,0,0,"08/03/2024, 17:10",Pool E,Scheduled
Winc City Fog,EZ,0,0,"08/03/2024, 17:10",Pool E,Scheduled
pool,Pool F
Crypt,BDC,0,0,"08/03/2024, 13:30",Pool F,Scheduled
Pittsburgh Stealers,Scoop,0,0,"08/03/2024, 13:30",Pool F,Scheduled
Crypt,Scoop,0,0,"08/03/2024, 15:20",Pool F,Scheduled
Pittsburgh Stealers,BDC,0,0,"08/03/2024, 15:20",Pool F,Scheduled
Crypt,Pittsburgh Stealers,0,0,"08/03/2024, 17:10",Pool F,Scheduled
BDC,Scoop,0,0,"08/03/2024, 17:10",Pool F,Scheduled
b,r,e,a,k
brackets,Bracket Play (1st to 8th Placement)
bracket,1st Place Bracket
bracket,3rd Place Bracket
bracket,5th Place Bracket
bracket,7th Place Bracket
b,r,e,a,k
brackets,Bracket Play (9th to 16th Placement)
bracket,9th Place Bracket
bracket,11th Place Bracket
bracket,13th Place Bracket
bracket,15th Place Bracket
b,r,e,a,k
brackets,Bracket Play (17th to 24th Placement)
bracket,17th Place Bracket
bracket,19th Place Bracket
bracket,21st Place Bracket
bracket,23rd Place Bracket
b,r,e,a,k
