HoDown Showdown 2024,Club - Mixed ,10,8,2024
Asheville,NC,2024-08-10,2024-08-11
https://play.usaultimate.org/events/HoDown-Showdown-2024/schedule/Mixed/Club-Mixed
Murmur,1
teamInfo,,"Athens, Georgia",,,
1,Katharine Kellogg
2,Carter Neuman
3,Fiona Cashin
4,Sami Chambers 
5,Ryan Hill
6,Matthew Cook
7,Henry Siebentritt
9,Sam Batson
10,Isaac Huntington
11,Quincy Booth
12,John Langstaff
14,Matthew Fazzalaro
15,Jack Krugler
19,Elle Mayer
20,Scott Whitley
21,Samantha Li
22,Anna Gustafson
25,Collin Hill
36,Zach Brennan
39,Brooke  Thompson
42,Martha Wilber
77,Ki Greene
99,Olivia Ford
b,r,e,a,k
Catalyst,8
teamInfo,,"Charlotte, North Carolina",,,
coaches,Kevin Foster
00,Abby Woolington
00,Alice  Whisnant
00,Alyssa Fulcher
00,Andrew Deuschle
00,Ashley King
00,Ashley Previtte
00,Brian Stepanek
00,Charles Villano
00,Daniel Dehlin
00,David Maser
00,Emily  Hovis
00,Erin  McDonough
00,Ethan Rhodes
00,Hailey Finlay
00,Jade Turner
00,John Christiansen
00,Jon Drawdy
00,Kendall Reichbach
00,Kevin Escott
00,Lillian Garcia
00,Lucy Endean
00,Michael Marder
00,Sheridan Cleave
00,Spencer Rhodes
00,Walker Terrell
00,Will Heisner
b,r,e,a,k
Steamboat,9
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://twitter.com/cincysfb
03,Lauren DeMarks
05,Ryan Gorman
07,Michael Partusch
08,Matt Maksimoski
11,Landon Hunter
13,Kristin Baxter
16,Elizabeth Burkhardt
17,Elsa Mabey
19,Laura Madigan
20,Liam Mulligan
21,Julia Desrosiers
22,Brittany Winner
28,Jeff Haney
29,Jocelyn Palyo
35,Adithya Deepak
44,Kemper Ackermann
48,Ryan Grabowski
50,Ryan Walker
51,Zion Oh
54,Jacob Fields
59,Maple Adkins-Threats
78,Aidan Stevens
79,Jessica Honerlaw
b,r,e,a,k
Holler!,16
teamInfo,,"Knoxville, Tennessee",,,
0,Baron West
0,Bethany Bailey
0,Cait Hamilton
0,Colby Summers
0,Erica Zuhr
0,Evelyn Williams
0,Grace Fielder
0,Michelle Van Guilder
0,Nathan Kenner
0,Olufunmilola (Love) Anjonrin-Ohu
0,Logan McDavid
