Cooler Classic 35,Club - Mixed ,17,8,2024
North Lake,WI,2024-08-17,2024-08-18
https://play.usaultimate.org/events/Cooler-Classic-35/schedule/Mixed/Club-Mixed
LIT Ultimate,1
73,Dustin Tierney
99,Emily Cooper
b,r,e,a,k
Mousetrap,10
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/mousetrapulti,https://twitter.com/MouseTrapUlti
0,Alexander Gravatt
0,Camille O'Connell
0,Catherine Morita
0,Henry Fremont
0,Ida Sobotik
0,Jacob Johnson
0,Kali Stanger
0,Kevin Hallman
0,Lily Shu
0,Lily Mae Abels
0,Lorenzo Castaneda
0,Lulu Nicks
0,Madeline Sorenson
0,Serena Xu
0,Spencer Olsson
0,Veronica Judson
5,Kaden Mettel
7,Zeke Witter
8,Ben Schewe
11,Benjamin Liska
12,Zach Laubscher
15,Harper Brooks-Kahn
28,Eleanor Knauss
31,Thomas Jungbluth
49,Benjamin Petersen
77,Clay Kaufman
b,r,e,a,k
Point of No Return,11
teamInfo,,"Stevens Point, Wisconsin",,https://www.facebook.com/PointOfNoReturnUltimate/,@PointUltimate
0,Hazel Radtke
0,Katherine Ebensperger
0,Thomas McKenna
6,Kevin Reimer
08,Kaylee Gransee
09,Grant Hellestad
10,Pedro Ivo Saldanha
12,Haley Densow
13,Kenadee Bailey
15,Abby Jones
17,Katie Daily
19,Stephanie Kumbier
20,David Jones
21,Joel Hielema
22,Kaitlin Horgan
23,Luke Rospert
25,Blaise Andrich
25,Chase Everett
26,Gerene Taylor
31,Steve Piazza
37,Karen Katz
40,Joe Verstegen
44,Steven Swan
59,rebecca marsh
62,Kyle Taylor
87,David Horgan
b,r,e,a,k
Pandamonium,14
teamInfo,,"Twin Cities , Minnesota",,,https://twitter.com/pandamentals
0,Carl Nelson
0,Dan Distad
0,Eric Vandermolen
0,Erik Bredesen
0,Jesse Peterson-Brandt
0,Jessie Andersen
0,Julia Clare
0,Alison Kidd
0,Anna Danila
0,Katherine Johnson
0,Ming Cheng Chew
0,Mito Imagawa
0,Stephanie O'Connor
0,Vincent Belsito
0,Whitney Leming-Salisbury
2,Ben Finkelstein
7,Brianna Andrighetti
9,Brian Thompson
17,Taylor Van Oosbree
17,Raechell Nelson
22,Mikhail Golben
42,Meghin Davis
53,Katherine Frantz
89,Micah Peterson-Brandt
b,r,e,a,k
The Force,15
teamInfo,,"Minneapolis, Minnesota",,,
0,Austin Lee
0,Brittany Faust
0,BROOKE ROBBINS
0,Albert Wu
0,Amanda Huber
0,Carly St. Martin-Norburg
0,Chizoba Anosike
0,Emma Goldstein
0,Grace Taylor
0,Ilian Decorte
0,Joseph Sheehan
0,Laura Kiernan
0,Lucy Kuempel
0,Russell Smith
0,Sierra Boldenow
0,Zoe Bakken-Heck
1,Caitlin Reis
3,Andrew Pipp
3,Remy Eisendrath
6,Jesse Stratton
42,Malik Earle
46,Rachel Kapsch
68,Cameron Dolbow
84,Christian Elmquist
b,r,e,a,k
Stackcats,17
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/stackcatsultimate/,@stackcatsultimate
0,Abby Karls
0,Caden Canavan
0,Daniel Lore
0,Edith Jaucian
0,Haili McConnell
0,Matthew Zabawski
0,Matthew Mayorga
0,Mia Fischel
0,Morgan Sweeney
0,Rachel Hunt
0,Robin Erdakos
0,Ryan Kantor
0,Sean Wagner
0,Isaiah Cochran
0,Joseph Roarty
0,Juan Amador
0,Maeve Hickey
12,Vanessa Tran
14,Dennis Gisler
14,Claire Szilagyi
23,Hector Moreno
23,Elizabeth Gisler
24,Ethan Datwyler
26,Matthew Golz
b,r,e,a,k
I-70 United,23
teamInfo,,"Columbia/St. Louis, Missouri",,,https://twitter.com/LoCoultimate
0,Demi White
0,Erika McIntyre
0,Jacob Schweikert
0,Jadin Johnson
0,Janice Ntimba
0,Joel Williams
0,Kaleb Schweikert 
0,Laura Little
0,Michael Nece
0,Bailey Harbit
0,Noelle Hogrebe
0,Rob Jones
7,Joshua Stegman
11,Colin O'Brien
12,Victoria Dissmore
22,Breyon Johnson
28,Chase Johnson
81,Nate Ackerman
b,r,e,a,k
Lake Superior Disc,28
teamInfo,,"Duluth, Minnesota",,,
0,Cole Carignan
01,Alex Hubley
04,Clayton Bracht
05,Aaron Kueffer
06,Anne Senechalle
07,Erika Jacobson
10,Yiming Liu
11,Zach Wood
13,Sam Voigt
14,Jill Geyer
16,Cedar Corey Flatau
19,Ella King
22,Finnley PEhl
23,Cory Kurkowski
24,Sarah Lehnertz
28,Karisa Mueller
31,Kjell Olmanson
33,Tabler Elliott
42,Sarah Bakko
49,Alex Gran
51,Alex Roth
69,Reagan Nguyen
71,Aaron Pinney
73,Ashley Kantor
89,Julia Record
93,Ann Farley
b,r,e,a,k
Prion,18
teamInfo,,"Champaign, Illinois",www.prionultimate.com,,
0,Aaron O'Connor
0,Angela Gavic
0,Anne Cook
0,Boyd Rinehart
0,Dani Hartt
0,Danielle Merrifield
0,Evan Bossenbroek 
0,Giovi Kelly
0,Grace Cook
0,Jocelyn Gonzalez
0,Katherine Koch
0,Pupetch Nimnark
0,Scott Nelson
2,Jeremy Goodsitt
10,Kevin Zhang
13,Elena Gratton
18,Eleanor Vandel
20,Mukil Guruparan
22,Spencer Sadler
22,Andrew Almeter
29,Jake Corley
34,Emma Worrell
42,Kevin Tan
45,Matthew Oujiri
47,Artemis Andsager
69,Eric Badger
b,r,e,a,k
Frostbite,24
teamInfo,,"Milwaukee, Wisconsin",https://linktr.ee/frostbiteult,https://www.facebook.com/FrostbiteUlt/,https://twitter.com/FrostbiteUlt
4,Jason Moens
02,Oliver Rytman
03,Carly Serketich
06,Adam Wadlington
07,Jared Peyer
09,Hayes Barry
11,Julie Haley
12,Heather Erickson
13,Megan Wetzell
14,Jeff Schubert
15,Aubrey Motherwell
16,Claire Lo
19,Nicole Vujosevich
22,Alicia Sprecher
25,TJ Bartczak
26,Chris Kuecker
27,Kensington Naze
30,Tyler Ignatowski
40,Paul Grinstead
42,Daniel Burss
52,Jared Matthews
69,Abraham Frolichstein-Appel
96,Justice Sanders
97,Lauren Dyckes
99,Riley Johnson
b,r,e,a,k
Limbo,25
teamInfo,,"St. Paul, Minnesota",,,
0,Hannah Slind
0,Hudson Borchardt
0,Norah Gonzalez
0,Sean Prichard
1,Charles Schulz
2,Miles Collins
7,Katie Sherer
8,Sarah Heuss
10,Henry Weismann
15,Kiernan Bartlett
16,Peter Nuon
17,James Lehner
22,Donna January
24,Adi Megiddo
28,Claire Knopf
30,Adam Ali
33,Jackson Meehan
37,Seamus McMurrer
43,Dominick Navarre
44,Danny Holton
51,Nora de Rege
54,Sawyer Neske
69,Dylan Lian
b,r,e,a,k
Madison United Mixed Ultimate,19
teamInfo,,"Madison, Wisconsin",,,
0,Anna Wozniak
0,Carolyn Juergens
0,Amanda Strickland
0,Grace Bao
0,Keith McCarthy
0,KYLIE MOYNIHAN
0,Luke Bodnar
0,Nicholas Jacobson
0,Sarah Guenther
0,Theresa Olson
0,Zach Hallum
3,Jordan Speicher
11,Kaylin Weber
12,Kevin Scopoline
16,Kyle Halstater
16,Jeremy Wilson
22,Margrethe Hippensteel
25,David Cann
29,Yuhao Wu
32,Maggie Lincoln
89,Patrick Kopp
96,Andrew Taber
99,Emma Cosby
b,r,e,a,k
Melt,26
teamInfo,,"Saint Paul, Minnesota",,https://www.facebook.com/MeltUltimateMN/,https://twitter.com/MeltUltimateMN
0,Aidan Zander
0,Alyssa Kleppe
0,Arthur Cheney
0,Caitlin Martin
0,Frieda Manthei
0,Hailey Shoemaker
0,Hannah Higar
0,Hattie Tschida
0,Hugh Hanlon
0,John Simpson
0,Julia Mueller
0,Julia Solberg
0,Kiersten Lee
0,Lauren Thon
0,Madison  Deile
0,Michael Hall
0,Sam Eherenman
0,Vanessa Villasenor
5,Sebastian Blue
8,Varun Sarathy
30,Helen Walz
57,Lucy Weld
73,Charlie Enders
85,Christian Conway
b,r,e,a,k
Mad City Vibes,22
teamInfo,,"Madison, Wisconsin",http://madcityvibes.com/,https://www.facebook.com/madcityvibes,
coaches,Craig Howering
0,Flynn Vogt
04,Kathleen O'Connell
07,Gavin Mathes
08,Benjamin Stark
10,Elizabeth Daniels
11,Alex Piff
12,Kristi Mousley
14,Anna Robinson
16,Brittany Schwartz
18,Anna Jenstead
20,Martha Miltko
21,Jake Illing
22,Rebecca Rutledge
23,Jayd Phelps
28,Caleb Tollefson
32,Hannah Segaloff
38,Grant Hallan
44,Amara Seth
63,Kevin Lyles
67,Caleb Main
82,Logan Campbell
86,Matt LaFever
91,Jasmine Jolitz
b,r,e,a,k
Mastodon,20
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/MastodonUltimate/?ref=aymt_homepage_panel,https://www.twitter.com/MastodonUlti
0,Bee Rickenbach
0,Dominic Ottens
0,Hannah Seeley
0,Josh Pogue
0,Justin Marshall
0,Kara Vogel
0,Lai Jiang
0,Ryan Wenger
0,Sarah Fahlberg
0,Veiga Goethel
0,Edward Moy
0,Emma Larson
2,Dylan Petersen
5,Alex Huml
7,Amzie Yurko
9,Erik Nuenninghoff
15,Amanda Roesch
16,Alec Li
18,Brooke Lewis
b,r,e,a,k
Great Minnesota Get Together,21
teamInfo,,"Falcon Heights, Minnesota",,,
0,Andrew Zumbusch
0,Brandon Woody
0,Daniel Herrera
0,Daniel Le-Tran
0,David Collom
0,Dustin Berglin
0,Erin Moeller
0,Jennifer Degen
0,Katie Pace
0,Lauren McPherson
0,Matthew Bailey
0,Randy Gage
0,Sam Pepe
2,Lauren Hagen
4,Kelsey Mork
17,Ellie Clarin
20,Paul Westin
32,Charles Robshaw
38,Alexis Wood
50,Carl Aanestad
88,Melissa Lo
b,r,e,a,k
Lemonade Ultimate,27
teamInfo,,"Minneapolis, Minnesota",,,
0,Athena Bolton-Steiner
0,Donald Post
0,James Freimuth
0,Jessica Sigler
0,Joseph Cregan
0,Alexis Trousil
0,Maxwell Baker
0,Nathaniel Rowe
0,Neil DeVries Smith
0,Quin Villwock
0,Rosa Rudolph
0,Stella Bultman
0,Tim Pumper
0,Xander Hall
7,Kabor Namarra
13,Joshua Kuhn
14,Maria Schrupp
14,William Anderson
20,Ryan Cole
27,Nora Verner
28,Laura Osterlund
33,Greta Wilbur
37,Allison Chien
77,Josh Lopez
88,Jadon Eyberg
99,Sigurd Ostlie-Olson
b,r,e,a,k
s,t,a,g,e,s
pools,T1 Clipped Pools
pool,Pool A
LIT Ultimate,Pushovers,15,5,"08/17/2024, 08:30",Pool A,Final
No Touching!,Moontower,14,11,"08/17/2024, 08:30",Pool A,Final
LIT Ultimate,No Touching!,15,12,"08/17/2024, 10:45",Pool A,Final
Moontower,Pushovers,6,15,"08/17/2024, 10:45",Pool A,Final
pool,Pool B
Bird,Fatal Attraction,10,15,"08/17/2024, 08:30",Pool B,Final
Mad Udderburn,Northern Comfort,13,11,"08/17/2024, 08:30",Pool B,Final
Bird,Northern Comfort,11,12,"08/17/2024, 10:45",Pool B,Final
Mad Udderburn,Fatal Attraction,13,14,"08/17/2024, 10:45",Pool B,Final
b,r,e,a,k
pools,T2 Clipped Pools
pool,Pool C
Jabba,Boomtown Pandas,15,11,"08/17/2024, 08:30",Pool C,Final
ConSTLation,Toast!,9,13,"08/17/2024, 08:30",Pool C,Final
Jabba,Toast!,14,11,"08/17/2024, 10:45",Pool C,Final
ConSTLation,Boomtown Pandas,11,12,"08/17/2024, 10:45",Pool C,Final
pool,Pool D
Mousetrap,The Force,15,5,"08/17/2024, 08:30",Pool D,Final
Point of No Return,Pandamonium,15,12,"08/17/2024, 08:30",Pool D,Final
Mousetrap,Point of No Return,14,9,"08/17/2024, 10:45",Pool D,Final
Pandamonium,The Force,15,7,"08/17/2024, 10:45",Pool D,Final
b,r,e,a,k
pools,T3 Pools
pool,Pool E
I-70 United,Lake Superior Disc,15,10,"08/17/2024, 08:30",Pool E,Final
Stackcats,Lake Superior Disc,15,6,"08/17/2024, 10:45",Pool E,Final
Stackcats,I-70 United,15,7,"08/17/2024, 12:45",Pool E,Final
pool,Pool F
Prion,Frostbite,15,10,"08/17/2024, 08:30",Pool F,Final
Prion,Limbo,15,6,"08/17/2024, 10:45",Pool F,Final
Frostbite,Limbo,11,10,"08/17/2024, 12:45",Pool F,Final
pool,Pool G
Mad City Vibes,Melt,9,14,"08/17/2024, 08:30",Pool G,Final
Madison United Mixed Ultimate,Melt,15,7,"08/17/2024, 10:45",Pool G,Final
Madison United Mixed Ultimate,Mad City Vibes,12,6,"08/17/2024, 12:45",Pool G,Final
pool,Pool H
Great Minnesota Get Together,Lemonade Ultimate,14,9,"08/17/2024, 08:30",Pool H,Final
Mastodon,Lemonade Ultimate,11,10,"08/17/2024, 10:45",Pool H,Final
Mastodon,Great Minnesota Get Together,13,12,"08/17/2024, 12:45",Pool H,Final
b,r,e,a,k
clusters,Cross
cluster,Gold Crossover
LIT Ultimate,Fatal Attraction,15,9,"08/17/2024, 12:45",,Final
No Touching!,Mad Udderburn,14,11,"08/17/2024, 12:45",,Final
b,r,e,a,k
brackets,Gold Bracket
bracket,1st Place
LIT Ultimate,Fatal Attraction,0,0,"08/18/2024, 12:45",1st,Scheduled
LIT Ultimate,Pushovers,15,12,"08/18/2024, 10:45",1st Semis,Final
No Touching!,Fatal Attraction,10,14,"08/18/2024, 10:45",1st Semis,Final
LIT Ultimate,Bird,15,6,"08/18/2024, 08:30",1st Quarters,Final
Pushovers,Mad Udderburn,15,12,"08/18/2024, 08:30",1st Quarters,Final
No Touching!,Northern Comfort,12,8,"08/18/2024, 08:30",1st Quarters,Final
Moontower,Fatal Attraction,8,15,"08/18/2024, 08:30",1st Quarters,Final
Bird,Mousetrap,15,6,"08/17/2024, 12:45",1st Pre-Q,Final
Pushovers,Toast!,15,11,"08/17/2024, 12:45",1st Pre-Q,Final
Northern Comfort,Point of No Return,11,7,"08/17/2024, 12:45",1st Pre-Q,Final
Moontower,Jabba,13,12,"08/17/2024, 12:45",1st Pre-Q,Final
bracket,3rd Place
Pushovers,No Touching!,10,15,"08/18/2024, 12:45",3rd,Final
bracket,5th Place
Bird,Northern Comfort,13,9,"08/18/2024, 12:45",5th,Final
Bird,Mad Udderburn,13,12,"08/18/2024, 10:45",5th Semis,Final
Northern Comfort,Moontower,13,12,"08/18/2024, 10:45",5th Semis,Final
bracket,7th Place
Mad Udderburn,Moontower,11,14,"08/18/2024, 12:45",7th,Scheduled
b,r,e,a,k
brackets,Silver Bracket
bracket,9th Place
Prion,Point of No Return,10,11,"08/18/2024, 12:45",9th Semis,Scheduled
Toast!,Mousetrap,15,9,"08/18/2024, 12:45",9th Semis,Final
Jabba,Prion,11,12,"08/18/2024, 10:45",9th Quarters,Final
Boomtown Pandas,Point of No Return,11,15,"08/18/2024, 10:45",9th Quarters,Final
Toast!,Madison United Mixed Ultimate,14,12,"08/18/2024, 10:45",9th Quarters,Final
Stackcats,Mousetrap,11,12,"08/18/2024, 10:45",9th Quarters,Final
The Force,Prion,3,15,"08/17/2024, 14:45",9th Pre-Q,Final
Boomtown Pandas,Mastodon,15,7,"08/17/2024, 14:45",9th Pre-Q,Final
Pandamonium,Madison United Mixed Ultimate,12,14,"08/17/2024, 14:45",9th Pre-Q,Final
ConSTLation,Stackcats,9,13,"08/17/2024, 14:45",9th Pre-Q,Final
bracket,11th Place
bracket,13th Place
Jabba,Boomtown Pandas,12,11,"08/18/2024, 12:45",13th Semis,Final
Madison United Mixed Ultimate,Mousetrap,0,0,"08/18/2024, 12:45",13th Semis,Scheduled
bracket,15th Place
b,r,e,a,k
brackets,Bronze Bracket
bracket,17th Place
ConSTLation,Pandamonium,9,12,"08/18/2024, 12:45",17th Semis,Final
Mastodon,The Force,0,0,"08/18/2024, 12:45",17th Semis,Scheduled
ConSTLation,Mad City Vibes,15,8,"08/18/2024, 08:30",17th Quarters,Final
Great Minnesota Get Together,Pandamonium,12,15,"08/18/2024, 08:30",17th Quarters,Final
Mastodon,I-70 United,13,10,"08/18/2024, 08:30",17th Quarters,Final
Melt,The Force,8,12,"08/18/2024, 08:30",17th Quarters,Final
Frostbite,Mad City Vibes,8,9,"08/17/2024, 14:45",17th Pre-Q,Final
Great Minnesota Get Together,Lake Superior Disc,11,9,"08/17/2024, 14:45",17th Pre-Q,Final
I-70 United,Limbo,10,9,"08/17/2024, 14:45",17th Pre-Q,Final
Melt,Lemonade Ultimate,14,9,"08/17/2024, 14:45",17th Pre-Q,Final
bracket,19th Place
bracket,21st Place
Great Minnesota Get Together,Melt,0,0,"08/18/2024, 14:45",21st,Scheduled
Mad City Vibes,Great Minnesota Get Together,12,13,"08/18/2024, 10:45",21st Semis,Final
I-70 United,Melt,4,15,"08/18/2024, 10:45",21st Semis,Final
bracket,23rd Place
Mad City Vibes,I-70 United,0,0,"08/18/2024, 14:45",23rd,Scheduled
b,r,e,a,k
pools,Cheese Pool
pool,25th-28th Pool
Frostbite,Limbo,0,0,"08/18/2024, 10:45",25th-28th Pool,Scheduled
Lake Superior Disc,Lemonade Ultimate,0,0,"08/18/2024, 10:45",25th-28th Pool,Scheduled
Frostbite,Lemonade Ultimate,0,0,"08/18/2024, 12:45",25th-28th Pool,Scheduled
Lake Superior Disc,Limbo,0,0,"08/18/2024, 12:45",25th-28th Pool,Scheduled
Frostbite,Lake Superior Disc,0,0,"08/18/2024, 14:45",25th-28th Pool,Scheduled
Limbo,Lemonade Ultimate,0,0,"08/18/2024, 14:45",25th-28th Pool,Scheduled
b,r,e,a,k
