2024 Northwest Men's Regional Championship,Club - Men ,21,9,2024
Corvallis,OR,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Northwest-Mens-Regional-Championship/schedule/Men/Club-Men/
Sockeye,1
teamInfo,,"Seattle, Washington",https://www.seattlesockeye.org/,https://www.facebook.com/SeattleSockeye/,https://twitter.com/SeattleSockeye/
0,Asher Lantz
0,Cedar Hines
0,Daniel Chen
0,Dongyang Chen
0,Geoffrey Tucker Kalmus
0,Jasper Dean
0,Ocean Hines
0,Parker Howard
0,Max Ramstad
0,Shane Worthington
0,Stanley Birdsong
2,Brice Dixon
3,Mitch  Kulczak
5,Elijah Diamond
6,Phil Murray
6,Ryan Shigley
8,Max Gade
9,Spencer Lofink
12,Garrett Martin
16,Trent Dillon
21,Lucas Chen
22,Declan Miller
23,Xander Cuizon Tice
28,Grant Harris
38,Manuel Eckert
73,Chackgarin Brown
b,r,e,a,k
SOUF,8
teamInfo,,"Seattle , Washington",,,
0,Akash Shrestha
0,Alexander Kabat
0,Carter Bayer
0,Derin Cropp
0,Joshua Robancho
0,Justin Jones
0,Matthew Wyatt
0,Matthew Liu
0,Nathan Siegel
0,Quinnan Mack
0,Roman Tanen
0,John Le
0,Vivek Shah
0,Zachary Sanders
0,Zhi Chen
1,Stephan Keo
1,Isaac Woldemariam
2,Jalil Morris
2,David Zhou
7,Langley Fitzpatrick
9,Abraham Gebreyesus
10,Alan Huang
12,Leo Kitchell
12,Jordan Smith
63,Victor Ramirez
77,Austin Hasbrook
b,r,e,a,k
Portland TremOR,9
teamInfo,,"Portland, Oregon",,,
0,Angus Grant
0,CHAD MCCORMICK
0,David Pearce
0,Dylan Schroeder
0,Gavin Gee
0,Isaac Blumklotz
0,Matt Brown
0,Miles Renbarger
0,Owen Poissant
0,Samuel Harrington
0,Ted Shorack
0,Will Sinkford
0,Wyatt Cook
0,Zach Heiden
2,Tyler MacMaster
7,Evan Mack
10,Branden Brooksby
14,Bendeguz Pigniczky
18,David Allen
22,Jonathan Lee
28,Thomas Duke
30,Nathaniel Griffith
31,Robert Richardson
81,Ryan Wolfe
98,Matt Rix
98,Elliot Brandt
b,r,e,a,k
Make it Rain,16
teamInfo,,"Seattle, Washington",,,
b,r,e,a,k
Rhino Slam!,2
teamInfo,,"Portland, Oregon",http://www.rhinoultimate.com/,https://www.facebook.com/pages/Portland-Rhino/406995056021898,https://twitter.com/RhinoUltimate
0,Ben Thoennes
0,Benjamin Liu-May
0,Dylan Freechild
0,Felix Moren
0,Matthew Rehder
0,Max Massey
0,Owen Murphy
0,Raphael Hayes
0,Spencer Latarski
0,Vinh Bui
0,Will Lohre
3,Joseph Marmerstein
5,Adam McNichols
8,Nathan  Knutson 
9,Christopher Strub
9,Josh Moore
11,Mica Glass
14,Jack Hatchett
15,Chander Boyd-Fliegel
27,Trevor Smith
29,David Sealand
30,Sam Franer
34,Henry Ing
41,Daniel Lee
53,Eli Friedman
72,Aaron Kaplan
b,r,e,a,k
Junco,10
teamInfo,,"Portland, Oregon",,,
coaches,August Schwartz
0,Anson Parker
0,Azen Jaffe
0,Benjamin Travers
0,Blake Murray
0,Connor Concannon
0,Jack Hochberg
0,Jack Carol
0,Jericho Stern
0,Jesse Wang
0,Leo Finley
0,Martis Artis
0,Mattia Cassell
0,Nicholas Dahms
0,Peter Huizenga
0,Ryan Schluter
0,Tadao Kumasaka
9,Jedi Casas
10,Christopher Olson
16,Nicholas Domenichini
17,Carl Justin Hermosura
19,Owen Heh
24,Nam Vo
31,William Beck
32,Hal Robinson
34,Sam Gordon-Koven
91,Little Dipper
b,r,e,a,k
Switchback,7
teamInfo,,"Seattle, Washington",https://switchbackultimate.com/,,https://twitter.com/Switchback_Ulti
0,Daman Mulye
2,Ray Ye
4,Erik Johansson
6,Maxwell Sheffield
7,Bailey Wu
8,Samuel Hinson
10,Davis Wright
12,Brendan Wallace
14,Michael Fielden
15,Alex Semaca
16,Jacob Dreves
17,Max Bommarito
23,Bobby Eleveld
24,Steven Benaloh
26,Arthur Abbate
27,Aaron Glickman
30,CB Wolf
32,Souma Yabuki
33,Quinn Edgerton
37,Jack Landrigan
39,Phillip Korolog
42,Nolan Stoppel
47,Sawyer  Blair
52,Soren Dahl
92,Jacob Keister
95,Brendan Bogel
b,r,e,a,k
