Royal Experience 2024,Club - Men ,3,8,2024
Olathe,KS,2024-08-03,2024-08-04
https://play.usaultimate.org/events/Royal-Experience-2024/schedule/Men/Club-Men/
DeMo,8
teamInfo,,"Broomfield, Colorado",,,
0,Ahanu Reiva
0,Carter Gonzalez
0,Joseph Dal Santo
0,Joshua Camp
0,Sovannareach  Yoeun
0,Tim McSweeney
0,Tyler Shepard
0,Will Sweeney
0,Maxwell Bogue
0,Micheal Giampaoli
5,Kevin Dunne
5,Kyle Mullin
12,Daniel Warner
13,Jacob Ploeger
14,Ziming (Josh) Shan
29,Matthew Dirkes
34,Jeremy Gordon
42,Samuel Goertzen
69,Christopher Baines
92,Kyle Follmer
b,r,e,a,k
Friendly Fire,14
teamInfo,,"Kansas City, Missouri",,,https://x.com/KC_FriendlyFire
0,Alejandro (Alex) Perez
0,Alex Webber
0,Derek Carter
0,Jake Nielesen
0,James Bailey
0,Josiah Randleman
0,Justin Horned
0,Kaleb La Francis
0,Kieu Duong
0,Matt Dierksheide
0,Matthew Roy
0,Matthew Engelbart
0,Matthew Dusin
0,Michael Montesano
0,Nathan  TenNapel
0,Zachary Kertz
6,Creighton Miller
7,Colin Donajkowski
11,Handel Aiken
11,Matthew Taylor
15,Joseph Davis
16,Peter Spexarth
19,Sam Phipps
59,John Wildman
61,Aiden Jacobs 
88,John Redmond
b,r,e,a,k
Scythe,12
teamInfo,,"Omaha, Nebraska",http://www.bonehorn.com,https://www.facebook.com/scytheultimate/?ref=aymt_homepage_panel&eid=ARBvN0gED3WPXSN3wd5-QYuW_bTwDmgrDEb19ZeuZ2OAuYE13vdyfwSQASticEyPyGjIcpYB9Q0sfBVB,@ScytheUltimate
0,Dylan Kuehn
0,Isaiah  Bray-Johnson
0,Josh Lickteig
0,Kingdon Hawes
0,Zachary Lin
4,Philip Samuels
10,David Zheng
13,Dennis Pederson
15,Nich Rush
24,Kobe  Bray
28,Josh Kryzer
35,Kyle Carson
39,Thomas Sitorius
42,Chas Busch
54,Eamon  Sughroue
72,John Bevans
77,Michael Swanger
85,Peyton Thurman
b,r,e,a,k
STL Moonar,13
teamInfo,,"St. Louis, Missouri",,,
0,Conrad Rauhaus
0,Dillon McGinnis
0,Josh Lowe
0,Kaden Schleeper
0,Kyle Johnson
0,Trent Wetherington
0,Victor Chaidez
0,Thomas Abbate
0,Zachary Gibson
1,Hector Chaidez
3,Wesley Fransen
6,Brandon Skoba
8,Jonathan Zawitkowski
8,Timothy Duggan
9,David Zilkie
10,Jacob Geisen
15,Evan Sebastian
22,Aidan Byrne
24,Adam Sherberg
25,Nathan Kamp
30,Will Sanders
42,John Markiewicz
43,JP Torack
77,Kevin Asaro
81,Zachary Szatkowski
b,r,e,a,k
Dreadnought,5
teamInfo,,"Fayetteville, Arkansas",,,https://twitter.com/DreadnoughtUlti
0,Cole Peterson
0,David Belvardi
0,Jonathan Rothfus
0,Matthew Imm
0,Peter Cook
0,Reed James
1,Zach Whaley
1,Alex Fialon
5,Sheldon Shinn
8,Clayton Adams
11,Jake Mitchell
12,Drew Taylor
14,Matthew Ball
18,Joan Garcia
20,Sam Wilson
31,Dylan Custer
34,Joseph Filipek
36,Justin MIlls
38,Nathaniel Moffatt
50,Jacob Wakefield
57,Jared Hines
66,Mark Belvardi
67,Spencer Patterson
69,Andrew Watson
71,Tommy  Medford
81,Joel Stennett
b,r,e,a,k
NOx,4
teamInfo,,"Kansas City, Missouri",,,
0,Brett Dare
0,Cory Green
0,Darien Parr
0,Aidan Moody
0,Erick  Neilson
0,Josiah Burger
0,Karl Kraemer
0,KJ Bryant
0,Jeffrey Laubscher
0,Matthew Piontek
0,Steven Burdge
1,Stephen Karst
4,Gabriel Valencia
5,Drew Eve
12,Mark Yonker
25,Joe Miller
25,Anthony Chartier
27,Brandyss Sherman-Hall
69,Tyler Kalm
98,Garret Heiberger
99,Jordan Becquer
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Red Lotus,Nomads,13,10,"08/03/2024, 09:00",Pool A,Final
DeMo,STL Goonar,13,6,"08/03/2024, 09:00",Pool A,Final
Red Lotus,STL Goonar,13,11,"08/03/2024, 11:00",Pool A,Final
DeMo,Nomads,13,8,"08/03/2024, 11:00",Pool A,Final
Red Lotus,DeMo,10,13,"08/03/2024, 13:00",Pool A,Final
Nomads,STL Goonar,13,8,"08/03/2024, 13:00",Pool A,Final
pool,Pool B
Kansas City Smokestack,Choice City Hops,13,3,"08/03/2024, 09:00",Pool B,Final
Clutch,Loaded Panda,13,4,"08/03/2024, 09:00",Pool B,Final
Kansas City Smokestack,Loaded Panda,13,2,"08/03/2024, 11:00",Pool B,Final
Clutch,Choice City Hops,13,3,"08/03/2024, 11:00",Pool B,Final
Kansas City Smokestack,Clutch,11,10,"08/03/2024, 13:00",Pool B,Final
Choice City Hops,Loaded Panda,13,12,"08/03/2024, 13:00",Pool B,Final
pool,Pool C
Carbon,Sprawl,7,13,"08/03/2024, 09:00",Pool C,Final
Knights of Ni,Friendly Fire,13,6,"08/03/2024, 09:00",Pool C,Final
Carbon,Friendly Fire,13,9,"08/03/2024, 11:00",Pool C,Final
Knights of Ni,Sprawl,13,10,"08/03/2024, 11:00",Pool C,Final
Carbon,Knights of Ni,5,13,"08/03/2024, 13:00",Pool C,Final
Sprawl,Friendly Fire,13,6,"08/03/2024, 13:00",Pool C,Final
pool,Pool D
NOx,Scythe,13,11,"08/03/2024, 09:00",Pool D,Final
Dreadnought,STL Moonar,9,13,"08/03/2024, 09:00",Pool D,Final
NOx,STL Moonar,9,13,"08/03/2024, 11:00",Pool D,Final
Dreadnought,Scythe,9,13,"08/03/2024, 11:00",Pool D,Final
NOx,Dreadnought,9,13,"08/03/2024, 13:00",Pool D,Final
Scythe,STL Moonar,13,11,"08/03/2024, 13:00",Pool D,Final
b,r,e,a,k
brackets,Brackets
bracket,Championship
NOx,Sprawl,0,0,"08/04/2024, 09:00",Pre-Semis,Scheduled
Clutch,STL Goonar,13,4,"08/04/2024, 09:00",Pre-Semis,Final
Knights of Ni,Red Lotus,13,7,"08/04/2024, 09:00",Pre-Semis,Final
STL Moonar,Kansas City Smokestack,5,13,"08/04/2024, 09:00",Pre-Semis,Scheduled
DeMo,NOx,11,12,"08/03/2024, 15:00",Pre-Pre-Semis,Final
Choice City Hops,Sprawl,9,13,"08/03/2024, 15:00",Pre-Pre-Semis,Final
Clutch,Carbon,15,7,"08/03/2024, 15:00",Pre-Pre-Semis,Final
STL Goonar,Scythe,13,12,"08/03/2024, 15:00",Pre-Pre-Semis,Final
Knights of Ni,Loaded Panda,13,2,"08/03/2024, 15:00",Pre-Pre-Semis,Final
Dreadnought,Red Lotus,10,13,"08/03/2024, 15:00",Pre-Pre-Semis,Final
STL Moonar,Nomads,13,12,"08/03/2024, 15:00",Pre-Pre-Semis,Final
Friendly Fire,Kansas City Smokestack,7,13,"08/03/2024, 15:00",Pre-Pre-Semis,Final
bracket,9th Place
DeMo,Dreadnought,0,0,"08/04/2024, 13:00",Finals,Scheduled
DeMo,Scythe,13,9,"08/04/2024, 11:00",9th Post-Quarters,Final
Dreadnought,Friendly Fire,13,7,"08/04/2024, 11:00",9th Post-Quarters,Final
DeMo,Choice City Hops,13,10,"08/04/2024, 09:00",9th Quarters,Final
Carbon,Scythe,7,13,"08/04/2024, 09:00",9th Quarters,Final
Loaded Panda,Dreadnought,3,13,"08/04/2024, 09:00",9th Quarters,Final
Nomads,Friendly Fire,11,12,"08/04/2024, 09:00",9th Quarters,Final
bracket,5th Place
bracket,13th Place
Carbon,Nomads,13,0,"08/04/2024, 13:00",Finals,Final
Choice City Hops,Carbon,11,13,"08/04/2024, 11:00",13th Semis,Final
Loaded Panda,Nomads,5,13,"08/04/2024, 11:00",13th Semis,Final
bracket,3rd Place
bracket,7th Place
bracket,11th Place
Scythe,Friendly Fire,13,7,"08/04/2024, 13:00",Finals,Scheduled
bracket,15th Place
Choice City Hops,Loaded Panda,0,0,"08/04/2024, 13:00",Finals,Scheduled
b,r,e,a,k
