2024 Northwest Mixed Regional Championship,Club - Mixed ,21,9,2024
Corvallis,OR,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Northwest-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Red Flag,1
teamInfo,,"Vancouver, British Columbia CA",,https://www.instagram.com/redflagultimate/,https://twitter.com/redflagulti
coaches,Alexander Lam
0,Koji Suzuki
0,Rex Yuen
5,Tiffany Zhang
6,Brayden Gee
8,Justin Podnar
9,Julia Zhou
10,Gagan Chatha
11,Julie Lee
12,Rvee  Brillantes
13,Kevin Tong
14,Avery Lee-Pii
15,Davis Toth
17,Madison Ong
19,Jake Yuen
20,Collefas Mot
21,Ellen Au-Yeung
24,Peter Yu
25,Bryn McColl
35,Amelie Marshall
48,Zellema Mot
73,Jamie Jung
86,Samson Hoy
87,Neo Debroux
88,Devon Bringeland-Powell
93,Mika Kurahashi
98,Lauren Szeto-Fung
b,r,e,a,k
Spoke,8
teamInfo,,"Seattle, Washington",,,
0,Ahna Weeks
0,Alexander Trautman
0,Iris Lippert
0,Jessica Crowley
0,Karen Hill
0,Kate Crawford
0,Ky Lewis IV
0,Lauren Holzman
0,Maddy Grassy
0,Nico Darringer
0,Oliver Hirn
0,Rebecca Shapiro
0,Sam Pickel
0,Stephen Gussin
3,Gabriel Ryan
10,Melanie Lindsey
12,Brent Lo
17,Molly Wieringa
17,Jacob Lambert
24,Andrew Lynch
24,Stephen Burkot
25,Justin Washington
27,Tom Crawford
29,Max Sevier
44,Grace Young
b,r,e,a,k
Porch Bears,9
teamInfo,,"Portland, Oregon",,,
0,Andrew Schwartz
0,Carey Jacquinot
0,Casey Clapp
0,David Marble
0,Eric Laughlin
0,Ian Lawson
0,Jacob Artz
0,Jon Snyder
0,Joseph Leo Pepper
0,Kayla Nowlin
0,Lauren Lynch
0,Lyudmila Likhonina
0,Samuel Adamson
0,Siri Bohacek
3,Kendall Jorgensen
3,Daniel Young
11,Emily Flanders
13,Kelly Hansen
15,Alice White-Cyr
23,Max Vogel
23,Rheggie  enrique carranza
26,Austin Kelly
28,Brandy Turcotte
28,Tahlia Hodes
56,Valerie Peacock
69,Helen Mead
b,r,e,a,k
Hive,16
teamInfo,,"Portland, Oregon",,https://www.facebook.com/HiveUltimate,https://twitter.com/Hive_Ultimate
0,Abby Dunn
0,Cameron Lamont
0,Dane Miller
0,Jeremy Randolph-Flagg
0,Katherine Schauer
0,Marissa Bertuccio
0,Mira Larrance
0,Pete Overright
0,Sierra Gray
2,Colleen Nakanishi
4,Abby VanLeuven
7,Devon Graham
9,Andrew Akins
11,Connor Klitgaard
11,Jonah Goldberg
13,Katelyn Osborne
14,Haley Bartolomei
14,Ava Peterson
22,Timothy Wood
22,Raju Roleru
29,Dean Romine
66,Matt Primovic
77,Mikah Keetch
80,Liam Bateman
80,Nathan Braun
90,Samuel Perreth
b,r,e,a,k
BFG,2
teamInfo,,"Seattle, Washington",,,https://twitter.com/SeattleBFG
coaches,Reid Koss
0,Jason Yun
01,Anthony Goss
02,Kimberly Schlesinger
03,Mario O'Brien
04,Lucia Williams
05,Michael O'Brien
06,Jocelyn Sun
07,Anna Cauchy
11,Sadie Jezierski
12,Kaitlynne Roling
13,Aaron Wolf
15,Eliana Moskovitz
16,Samantha Rodenberg
17,Thomas Li
18,Conor Belfield
19,Derek Mourad
20,Alexa Kirkland
22,Lukas Ambrose
23,Linnea Soo
24,Cheryl Hsu
25,Tommy Lin
27,Jeffrey Pape
28,Leah Bar-On Simmons
46,AnnaMaria Pape
50,Gavin Leahy
99,Christian Foster
b,r,e,a,k
TT,7
teamInfo,,"Vancouver, British Columbia CA",,,
coaches,Cody Hubbard
0,Bríonagh Healy
1,Shahaan Oshidary
3,Mandy Li
6,Isabella  Lin
7,Kai Creed
8,Liana Salviejo
11,Carlos ieong
13,Evan Chen
14,Janny Chen
16,Ethan Lozada
17,Stefanie Del Gobbo
18,William Ieong
21,Alexandra Chin
23,Crystal Kerr
23,Barry Walsh
24,Adéwálé Groden-Gilchrist
27,Daniel Bower
28,Jessie Chen
30,Alex Ta
32,Danie Proby
36,Bowen Liu
47,Benjamin Blackford
49,Yun Hua
69,Shaelyn Woo
73,Angus Chan
77,Billy Chai
b,r,e,a,k
Grit City,10
teamInfo,,"Tacoma, Washington",www.gritcityultimate.com,https://www.facebook.com/profile.php?id=100090202771262,https://twitter.com/GritCityUlti?s=20
2,Hunter Hill
3,Andrew Page
4,Melissa Ostendorf
5,Lydia Carle
7,Zachery Laycock
8,Sarah Ciambrone
9,Zac Nix
10,Jake Dunoyer
11,Nicholas Poolman
12,Veronica Tse
13,Jessica Haga
16,Christina Chelf
22,Maryjo Sampang
24,Crystal Still
30,Brandon Ishise
34,Jacob Helfrich
35,Jeffrey Abeshima
36,Kira Belnap
39,Michael Leaumont
42,Riley Meinershagen
55,Alishia Orloff
57,Matthew Ostendorf
64,Kenneth Lawler
69,Carl Richmond
88,Eleanor Hoekman
99,Rebecca Dorety
b,r,e,a,k
Igneous Ultimate,15
teamInfo,,"Bend, Oregon",https://sites.google.com/view/bendultimate/club-teams/igneous-ultimate,,
0,Caleb Campbell
0,Emily Lasselle
0,Holland Bills
0,James Palmiter
0,Josephine Bourne
0,Leo Wolf
0,Madeleine Franz
0,MOLLY WILMOTH
0,Zac Hintz
4,Sidra Pierson
15,Michaela Loar
18,Jackson Henry
24,Douglas Taylor
40,Geoffrey Zath
82,Lucas Henry
84,Anna Tinker
88,Robin Hayakawa
91,Kenneth Peters
b,r,e,a,k
Seattle Mixtape,3
teamInfo,,"Seattle, Washington",https://shop.beultimate.com/collections/seattle-mixtape,https://www.instagram.com/seattlemixtape,https://twitter.com/SeattleMIXtape
coaches,Michael Caldwell
0,Marc Anthony Munoz
05,Ciona Antolin
07,Gabrielle Perl
10,Lexi Garrity
11,Bert Cherry
12,Lucy Tanner
14,Mohammud Tilmo
17,Aimie Kawai
18,Husayn Carnegie
19,Alexa Romersa
21,Jesse Bolton
22,William Katz
23,David Shipway
24,Zeppelin Raunig
26,Ada Wright
27,Dominic Cavalero
29,Michael Buyco
34,Sabina Hartnett
42,Brian (Dominic) Jacobs
50,Cassandra Wong
58,Paige Kercher
71,Arianne Lozano
72,Rowan Lymp
86,Denise Blohowiak
