2024 South Central Men's Regional Championship,Club - Men ,21,9,2024
Denver,CO,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-South-Central-Mens-Regional-Championship/schedule/Men/Club-Men/
Johnny Bravo,1
teamInfo,,"Colorado, Colorado",http://bravoultimate.org/,https://www.facebook.com/Johnny-Bravo-Ultimate-111884215492137/,https://twitter.com/BravoUltimate
0,Alex Atkins
1,Tobias Brooks
2,Jay Froude
3,Jackson Cochran
6,Erik Hotaling
7,Jonathan Nethercutt
8,Daniel Landesman
9,Atkin Arnstein
10,Grant Lindsley
11,Seth Faris
13,Saeed Semrin
15,Dennison Bechis
22,Connor Olson
24,Mathieu Agee
25,Conor Tabor
27,Tyler Nguyen
30,Sam VanDusen
31,Kai Marshall
35,Todd Wolma
46,Nanda Min-Fink
47,Seth Wells
59,Noah Coolman
66,Aylen Learned
75,Matt Jackson
81,Nathan Buchholz
88,Quinn Finer
b,r,e,a,k
Doublewide,2
teamInfo,,"Austin, Texas",https://wellnasty.com/,https://www.facebook.com/DoublewideTX/,https://twitter.com/doublewidetx
0,Evan Swiatek
0,Gavin Babbitt
0,Hayden Stone
0,Jake Worthington
0,Jason Hustad
0,John (Jack) Dowling
0,Mason Zetsch
0,Matt Chambers
0,Noah Powell
0,Saaketh Palchuru
1,Kolbe Bauer
2,Jacob Kaplan
2,Emmanuel Bilolo
4,Samuel Morrall
5,Jacob Radack
9,Jackson Potts
10,Alec Wilson Holliday
10,Owen Smith
10,Xavier Fuzat
16,Timothy Mosher
20,Chase Cunningham
22,Taylor Masterson
33,Aaron Barcio
45,Kade Morris
50,Matthew Armour
88,Duncan Fitzgerald
b,r,e,a,k
(washed),4
teamInfo,washed,"Denver, Colorado",,,
01,Robert Coffin
69,Rodrigo  Gould Rodriguez
69,Ryan Liberman
69,Ryan MacFadyen
69,Samuel Stewart
69,Stephen Gross
69,Zachary Karpen
69,Aaron Monahan
69,Andrew Bredeson
69,Andrew Priester
69,Andrew Larocque
69,Chris LaRocque
69,Curtis Salcedo
69,Dan Kjellerson
69,David Wiseman
69,Douglas Hawthorne
69,Henry Furuta
69,James Koerner
69,Jarred Canning
69,Jeffrey Adams
69,Joel Clutton
69,John Dunlop
69,John Sullivan
69,Kaplan Maurer
69,Liam Rawson
69,Mark Rauls
b,r,e,a,k
Fungi,3
teamInfo,,"Denver, Colorado",,,
0,Dexter Luecke
0,Flynn Nyman
0,Greg Olson
0,James Miller
0,Jonathon Morris
0,Joshua Morris
0,Mason Kiefer
0,Morgan Scott
0,Oliver Cunningham
0,Rory Lenny
0,Shaan Narayan
0,Spencer Hawkins
0,Will Wallace
5,Sam Keller
7,Sam Ruiz Harding
8,Matthew McLean
11,Colton Steiner
13,Theodore Watkins
15,Abe Gambert
21,Jasper Pearcy-Kahn
22,Daniel Sponaugle
24,Jorge Delgado
30,Sten Larson
33,Adam Federbusch
34,Cody Spicer
80,Cade Colston
b,r,e,a,k
Alamode,9
teamInfo,,"San Antonio, Texas",,,
0,Drew Gullahorn
0,Lambert Tio
0,Paul Wheaton
0,Joshua Gammon
0,Will Promecene
1,Skye Knight
1,Andrew Muller
2,Darrell Davis
2,Justin Shelby
7,Gavin Hart
9,Kevin McGloin
10,Chase Stegall
12,Thomas Plaxton
13,George Tharakan
17,Anthony Shelton
23,Jordan Salazar
28,Axel Anderson
34,Blake Marlowe
44,David Haeussler
47,John Shelley
69,Christian Paterka
81,Jacob Rosen
88,Brad Ellis
91,Austin Wehrheim
92,Benjamin Andrade
b,r,e,a,k
Brawl,5
teamInfo,,"Dallas, Texas",,,@dallasbrawl
0,Kyle Turner
2,Myles Armstrong
01,Eric VerPloeg
02,Zachary Wenner
04,Lennon Dycus
05,Nand Patel
07,Samuel Garza
08,Mason Kelley
10,Andrew Maloney
11,Matthew Sutton
15,Frederick Christen
16,Aaron Smith
17,Darren Phillips
22,Scott Zachary
24,Ben Meister
