2024 Mid-Atlantic Mixed Regional Championship,Club - Mixed ,21,9,2024
Frederica,DE,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Mid-Atlantic-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
AMP,1
teamInfo,,"Philadelphia, Pennsylvania",http://www.phillyamp.com,https://www.facebook.com/PhillyAMP,https://www.twitter.com/phillyamp
coaches,David Baer
0,Chris Zaleski
01,Delrico Johnson
02,Robert Roos
03,Rachel Alfano
05,Lindsay McKenna
06,Thomas Nye
07,Max Trifillis
08,Jordan Rhyne
09,Brandon Pastor
10,Benish Benjamin
11,Nelly Fickett
13,Eric Witmer
15,Layne Dodge
18,Emily Shields
22,Liz Hart
23,Will Zamsky
24,Danielle Walsh
25,Nate Little
27,Luke Greenley
33,Jana Graham
34,Olivia Steinberg
70,Jake Butrica
73,Veronica Kolegue-Spalaris
77,Taylor Conroy
88,Paul Owens
99,Eric Nardelli
b,r,e,a,k
HVAC,12
teamInfo,,"Washington DC, District of Columbia",https://forms.gle/HYj1SoK9RH69efqcA,https://www.facebook.com/hvacultimate,https://twitter.com/hvacultimate
coaches,Aman Chawla
0,Ayla Volante
0,Ben Frattini
0,Carolyn Fante
0,Ali DePaolo
0,Hayden Oyos
0,Helen Turvene
0,Josh Levin
0,Krista Woodward
0,LT Tucker
0,Malcom Fox
0,Maya Collins
0,Patrick Kenney
0,Rosemary Ventura
12,Sai Priyatam Tayi
13,Austin Pelli
17,Stephen Ng
17,Landrum Beard 
18,Has Bhatti
20,Sean Mizoguchi
23,Jonathan Tiernan
24,Luke Rosentel
24,Zuzanna Rybicka
27,Tyler Coleman
28,Kyle Duffy
42,KiKi Kenneally
95,Miriam  Gorbach
b,r,e,a,k
PS,8
teamInfo,,"Allentown, Pennsylvania",,https://www.facebook.com/peepshowultimate/?ref=bookmarks,
0,Emily Polefka
0,Janet  Ro
0,Kaitlin Watts
0,Karen Hranek
0,Kimberly Polefka
0,Logan Stormont
0,Luke Laubscher
0,Alexis Randall
0,Alyson Brokaw
0,Brett Bealer
0,Matthew Foley
0,Matthew Congdon
0,Matthew Mos
0,Christopher Tomasetti
0,Dylan Edelman
0,Naomi Miller
0,Timothy East
0,Tom Pribicko
0,Zachary Sizemore
1,Abigail Thompson
1,Steven Parker
14,Seval Kanik
34,Emily Parker
52,Michelle Dirkse
80,Christopher Cruz
84,Matt Lubitz
b,r,e,a,k
Delabear,13
teamInfo,,"Wilmington, Delaware",,,
01,Kelly Wojtan
02,Jillian Cohen
03,Eric Hoover
05,Rory Smith
07,Caitlin Gleason
08,Ricky Evans
12,Rachel Owrutsky
14,Matt Reenstra
15,Graham Coughlin
16,Frank Gillan
17,Elise Colomb
18,Megan Frazier
19,Joseph Goodell
20,Andrew Klarner
21,Andrew Weitzman
24,Annabelle Laughlin
25,Kristen Mathieson
26,Suzanne Sirianni
28,Leah Boucher
32,Jeffrey Andrews
37,Brent Schroeder
42,Catherine Mollmann
44,Nicholas Moon
56,Zachary Hunt
64,Tabitha Earls
91,Dom Gallo
b,r,e,a,k
Rally,2
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/DCRallyUltimate,https://twitter.com/RallyUltimate
coaches,Geoff Horsfield,David Maniloff,Layne Scherer
0,Jenny Fey
0,Jessica  Oh
0,Margot Nissen
0,Marika Korpinen
1,Zachary Norrbom
2,Katina Russell
3,Jared Bennett
3,Brandon Lamberty
3,Franklin Ahrens
4,Ellen Mueller
5,Graham Turner
5,Will Tober
8,Kristin Franke
9,Emily Kiver
13,Ethan Ruh
15,Julia Harris
16,Yiding Hou
19,Noah Newberger
23,Sami Smalling
24,Anthony McLean
25,Taylor Coursey
28,Claire Lee
32,Rebecca Driver
55,Gabriel Webster
56,Jimmy Clarke
99,Alan Kolick
b,r,e,a,k
Fireball,11
teamInfo,,"Washington, District of Columbia",,,
0,Adam Hoehn
0,Aden Richards
0,Adilina Malave
0,Amy Bahr
0,Christina Chang
0,Daniel Hartsoe
0,Daniela Reeve
0,Jacob (Jake) Horowitz
0,Jessica Chen
0,Britney Lane
0,Calvin Oung
0,Kelly Wallace
0,Marie Collins
0,Mark Kresowik
0,Nicole Kresowik
0,Sumi Onoe
0,Wei Lu
8,Jonathan McRae
9,Bradley Scott
12,Melissa Iwaszko
13,Chris Muller
14,Victoria Higgins
21,Andrew Allen
22,Robert Luhrs
25,Marcus Thaw
b,r,e,a,k
Jumbo Slice,7
teamInfo,,"Washington, District of Columbia",https://t.co/YsrsJQD7yb,,https://twitter.com/jumbosliceulti
coaches,Joe (Peanut) Dweck,Kai Jensen
0,Conor Tidgewell
0,Erin Crider
2,Sonia Meyer
5,Grant Kunkel
6,Luke Pascale
8,Erica Yee
9,Alice Emch
11,Juliet Bishop
12,Kalene Morozumi
13,Nicole Getter
13,Diego Asencio
14,Joshua Bransford
15,Kylie Auble
17,Christopher King
21,Matt McGoogan
23,Olivia Arellano
33,Julianna Gohman
42,Madalyn  Sica
43,Jake Rovner
44,Nathan Wong
63,Jon Pressimone
80,Alexander Daley
84,Daniel Friedman-Brown
87,Carl Johnson
88,Clara Honigberg
94,Daniel Selwyn
b,r,e,a,k
Axolotls,14
teamInfo,,"Hoboken, New Jersey",https://www.instagram.com/theaxolotlsultimate/,,
0,Eveline Shiao
01,Reed Rawhouser
02,Austin Uhl
03,Bridget Williams
04,Moriah Kam
05,Scott Harvey-Arnold
08,Valentina Vasquez Olarte
10,Izumi Matsuda
11,Joanna Chen
12,Daniel Lee
13,Pete Isler
16,Sarah Bright
17,Iris Kim
18,Jeremy Lonnman
25,Benjamin Nichols
26,Megan Ma
28,LISA FLANAGAN
29,Eric Cooney
31,Jessica Uscamayta
33,Russell Borenstein-Burd
35,Rae Conklin
37,Evan Feeney
