Colorado Summer Solstice 2024,Club - Mixed ,22,6,2024
Boulder,CO,2024-06-22,2024-06-23
https://play.usaultimate.org/events/Colorado-Summer-Solstice-2024/schedule/Mixed/Club-Mixed
shame.,1
teamInfo,,"Fort Collins, Colorado",,https://www.facebook.com/shame.ultimate/,https://twitter.com/ultimate_shame
0,Elizabeth Murphy
0,Joseph Anderson
0,Matthew Russell
0,Robin Fassett-Carman
0,Sandy Brown
0,Simon Montague
0,Thomas Brewster
4,Sarah Itoh
5,Danielle Love
9,Sam Goldstein
10,Dani Tran
14,Jade McLaughlin
15,Spencer Tibbs
25,Marilyn Reich
26,Owen Westbrook
27,Chris Gauen
29,Casey Wu
32,Kevin Johnson
33,Alexandra Daniels
48,Aubree Dietrich
51,Grace Brown
56,Jacob Juszak
88,Kasey Anderson
97,Sarah Pesch
99,Rory Veldman
b,r,e,a,k
Sego,8
teamInfo,,"Salt Lake City, Utah",,,
0,Aimee Gerold
0,Alexander Knock
0,Chanel van Ginkel
0,Connor Lund
0,Deanna Bozone
0,Eleanor Wachtel
0,Ellie Finigan
0,Hanna Shluker
0,Jack Valentine
0,Morgan  Williams 
0,Noah Li
0,Susan Truong
0,Lucy Leary
1,Zach Wolfe
1,Taylor Williams
4,Eugene L'Heureux
7,Ben Jones
11,Trey Taylor
16,Ben Guthrie
18,Mckenzie Finigan
23,Casstique Williams
28,Mack Hodges
44,Zachary Nebeker
69,Kevin Versteeg
90,Liz Bunderson
b,r,e,a,k
Shipwreck,13
teamInfo,,"San Diego , California",,,https://twitter.com/sdshipwreckulti
0,Andrea Duran
0,Courtney Lau
0,Daichi Siegrist
0,Elias Marsh 
0,Kenneth Magoon
0,Kezha Neale-Sacks
0,Leiasa Horanic
0,Liann Kline
0,Matthew Deckerman
0,Maya Anthony
0,Paul Han
0,Samuel Altshuler
0,Sierra Landaiche
0,Sylvia Liang
0,Teaghan Lynch
0,Tyler Kurpanek
0,Tyler Wallace
4,Emily Blazar
5,Ty Torregrosa
13,Nick Hollon
19,James Rapoza-Lee
19,Kelly Loo
48,Mikhail Stal
b,r,e,a,k
Green Chiles,12
teamInfo,,"Denver, Colorado",https://www.instagram.com/greenchilesultimate/,,
0,Harper Ellsworth
0,Ian Whitman
0,Isabella  Choi
0,Kate Hubbard
0,Kelly Moses
0,Kianna Davis
0,Mackenzie Saunders
0,Margaret Huth
0,Mark Kharakh
0,Matt Cornish
0,Matt Slowinski
0,Max Cormier
0,Miki Climer 
0,Nico Cappella
0,Rachael Reddin
0,Sarah Fee
0,Shane Abeshaus
0,Aaron Wida
0,Anna Lockwood
0,Augy Cohn
0,Colleen Amori
0,Daniela Pereira
17,Will Eckert
27,Ginie Eckert
27,Mary Clarke Worthington
43,Timothy Bliss
b,r,e,a,k
"All Jeeps, All Night.",17
teamInfo,,"Boulder, Colorado",,,
0,Alexandra (Ola) Czastkiewicz
0,Amelia Mitchell
0,Andreas Michalski
0,Benjamin Gross
0,Brianna Hibner
0,Lilianna Houston
0,Tate Williams
0,Tom Nummy
3,Jennifer Taylor
5,JT Taylor
11,Killian Burns
24,Kristen Brenner
69,Isaiah Lyons-Galante
77,Carrera Horton
b,r,e,a,k
Love Tractor,2
