2024 Northwest Plains Men's Sectional Championship,Club - Men ,7,9,2024
Milwaukee,WI,2024-09-07,2024-09-08
https://play.usaultimate.org/events/2024-Northwest-Plains-Mens-Sectional-Championship/schedule/Men/Club-Men/
Mad Men,1
6,Daniel Cabrera
13,Daniel Stork
17,Anthony Lesnar
20,Carter Whalen
22,Owen Mitchell
25,Kyle Orians
84,Aaron Bauer
99,Grant Dunbar
b,r,e,a,k
Knights of Ni,4
teamInfo,,"Golden Valley, Minnesota",,,https://twitter.com/ulti_ni
0,Brooks Hidaka
0,Cade Ashland
0,Carter Petrella
0,Alex Kozitza
0,Daniel Stahlhut
0,Max Wolpert
0,Michael Ruble
0,Owen Lehmkuhl
0,Saurav Dubey
2,Erik Quam
3,Thomas Donahue
4,Jason Finkelstein
6,Grayson Pangburn
7,Danny Gollin
9,Joe Simonelli
11,Justin Wollin
14,Lucas Kempf
15,William Hassell
24,Brendan Gessner
26,Sam Resnick
28,Greg Cepuran
41,Samuel Bumsted
44,Ethan Ode
74,Jakob Yedo
84,Jake Kretschmer
90,Cody Rondeau
b,r,e,a,k
Timber,13
teamInfo,,"Stevens Point & Fox Cities, Wisconsin",,https://www.facebook.com/TimberUltimate/,https://twitter.com/TimberUltimate
0,Zackory Runke
05,Brian Ristau
06,Peyton Winkelman
07,Logan Mueller
09,Aaron Lichtenwalner 
11,Nicholas Tompkins
12,Chad Heldt
13,Zach Lepak
14,Jack Kiel
19,Christian Piccioni
20,Thomas Doro
21,Anthony Moore
23,Ryan Zdroik
24,Austin Zdroik
27,edwin Moore
30,Caleb Smith
34,Kirk Prince
36,Jason Brahan
37,Ben Schoenebeck
39,Benjamin Tittle
87,Zachery Eller
88,Jeremiah Kramasz
95,Mitchell Wood
b,r,e,a,k
Zoboomafoo,5
teamInfo,,"Madison, Wisconsin",https://www.instagram.com/zoboomafrisbae/,,
0,Benjamin Waltman
0,Daniel Lang
0,Donte  Buckingham 
0,Isaac Casey-Hrenak
0,Jacob Calbaum
0,Jared Scheinberg
0,Kyle East
0,Noah Nicol
0,Sam Pieper
0,Tafika-Kenan Valhmu
1,August Williams
3,Max Sponseller
3,Arthur Carne
6,Nicholas Tangwall
8,Samuel Erickson
13,Noah Pollack
13,Ryan Munger
14,Kai DeLorenzo
15,Jack Dipaolo
19,Nico Ranabhat
44,Alex Kreuger
88,Kieran Mandli
91,Michael Merwin
99,Jacob Meves
b,r,e,a,k
Void,12
teamInfo,,"Milwaukee , Wisconsin",,,
0,Kaden Christiansen
03,Jeanluc Rivas
04,Ali Shamsa
05,Jordan Mills
07,Jordan Liff
08,Matthew Munson
11,Jonathan Snell
13,Max Klessig
16,Jake Tee
17,Elias Magallanes Jr.
19,Dylan Schuster
22,Eli Hubbard
24,Jack Drolen
28,Kyle Reader
29,Samuel Dirks
34,George Scheibel
39,Francis Nuguid
44,Benjamin Bolz
83,John Gunville
85,John Wall
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Mad Men,NOMAD,13,5,"09/07/2024, 08:30",Pool A,Final
HouSE,KFC,0,0,"09/07/2024, 08:30",Pool A,Scheduled
Mad Men,KFC,13,2,"09/07/2024, 10:30",Pool A,Final
HouSE,NOMAD,0,0,"09/07/2024, 10:30",Pool A,Scheduled
Mad Men,HouSE,0,0,"09/07/2024, 12:30",Pool A,Scheduled
NOMAD,KFC,0,0,"09/07/2024, 12:30",Pool A,Scheduled
pool,Pool B
General Strike,OPE,13,10,"09/07/2024, 08:30",Pool B,Final
Bux,Rubicon Rapids,13,7,"09/07/2024, 08:30",Pool B,Final
General Strike,Rubicon Rapids,13,8,"09/07/2024, 10:30",Pool B,Final
Bux,OPE,12,10,"09/07/2024, 10:30",Pool B,Final
General Strike,Bux,0,0,"09/07/2024, 12:30",Pool B,Scheduled
OPE,Rubicon Rapids,0,0,"09/07/2024, 12:30",Pool B,Scheduled
pool,Pool C
Mallard,Nomads,13,1,"09/07/2024, 08:30",Pool C,Final
DINGWOP,DCVIII,13,12,"09/07/2024, 08:30",Pool C,Final
Mallard,DCVIII,13,3,"09/07/2024, 10:30",Pool C,Final
DINGWOP,Nomads,13,10,"09/07/2024, 10:30",Pool C,Final
Mallard,DINGWOP,13,3,"09/07/2024, 12:30",Pool C,Final
Nomads,DCVIII,0,0,"09/07/2024, 12:30",Pool C,Scheduled
pool,Pool D
Knights of Ni,Void,13,5,"09/07/2024, 08:30",Pool D,Final
Zoboomafoo,Timber,10,13,"09/07/2024, 08:30",Pool D,Final
Knights of Ni,Timber,13,9,"09/07/2024, 10:30",Pool D,Final
Zoboomafoo,Void,13,3,"09/07/2024, 10:30",Pool D,Final
Knights of Ni,Zoboomafoo,0,0,"09/07/2024, 12:30",Pool D,Scheduled
Void,Timber,0,0,"09/07/2024, 12:30",Pool D,Scheduled
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
bracket,2nd Place Bracket
bracket,5th Place Bracket
bracket,7th Place
bracket,9th Place Bracket
bracket,11th Place
bracket,13th Place
bracket,15th Place
b,r,e,a,k
