Southwest D-I College Women's Regionals,College - Women ,27,4,2024
San Luis Obispo,CA,2024-04-27,2024-04-28
https://play.usaultimate.org/events/Southwest-D-I-College-Womens-Regionals-2024/schedule/Women/CollegeWomen/
Stanford,1
30,Betsy Barba
31,Brianna  Loza
32,Angela Sheu
37,Leah Cederborg
44,Nat Gaffney
66,Melody Ma
71,Linnea Moe
77,Skye Huang
81,Koharu Masuda
97,Mia Schwinghammer
b,r,e,a,k
California-Santa Barbara,2
teamInfo,Burning Skirts,"Goleta, California",,https://www.facebook.com/BSkirts/,https://twitter.com/BSkirts?lang=en
coaches,Hani Pajela,Kaitlyn Weaver
0,Marlaina Lascano
0,Olivia Crump
00,Julia Hasbrook
02,Sofia Eden
03,Nina Schmier
04,Kailani Latimer
06,Jillian Fischer
08,Laura Blume
09,Aliyah Latham
11,Vienna Lee
12,Grace Craig
13,Riley Raker
14,Devin Quinn
16,Kaia Emery
17,Catrina Sada
18,Ella Khoury 
19,Sophie Havranek
20,Carrie Teichrow
23,Ariana O'Shea
24,Gabby Wang
27,Danielle Michiels
32,Cindy Yang
33,Emma Crump
44,Daisy Cuthbert
45,amelia Whitacre
82,Helen Sweeney
b,r,e,a,k
California,7
teamInfo,Pie Queens,"Berkeley, California",http://www.piequeens.org,https://www.facebook.com/piequeensultimate,https://www.twitter.com/piequeens
coaches,Andrew Berry,Kirstin Johnson,Janelle Lee,Danielle Ngo
05,Virginia Brogan
07,Caledonia Krieger
08,Mara Baylis
09,Betsy Siegal
10,Olivia Kim
11,Amanda Lopatin
12,Amy Weiss
14,Carolynn Brooks
17,Michelle Moshkovoy
18,Jayna Wu 
19,Lena Sundin
21,Savannah  Cary 
24,Carmen Joines
27,Cassidy Gilmore
33,Tia Chang
34,Maya Roma
35,Sophia Faaland
36,Lianna  van Hout
56,Anne Welman
71,Georgia Cardosa
82,Sammie Smith
91,Kayli Stowe
b,r,e,a,k
California-San Diego (B),10
teamInfo,UC San Diego Berserk Coalition,"La Jolla, California",https://recreation.ucsd.edu/competitive-sports/teams/w-ultimate/,,
00,Adeline Rickard
00,Alexandra Gilden
00,Allison Cafferata
00,Amita Stowitts
00,Angela Zhang
00,Ariana Zaragoza
00,Ashley Duong
00,Ava Beisenstein
00,Bella Ely
00,Bita Rahman
00,Bri Conlon
00,Cate Stone
00,Chelsea Schaf
00,Emma Rourke
00,Eva York
00,Evalie Rehor
00,Haley Stringer
00,Heidi Galan
00,Isabella Zaragoza
00,Kelly Loo
00,Kimmi Wang
00,Laura Tapia-Ponce
00,Liana Kitchel
00,Marisa Viola
00,Marlo Ramada
00,MaryClare Kinsella
00,Olivia Dance
00,Paola Gunier
00,Porsche Noble
00,Renee Jones
00,Riley Liu
00,Skye Baesen
00,Sophie Toussaint
00,Xuan Ly
00,Yasmin Jaber
b,r,e,a,k
Arizona State,15
teamInfo,Caliente,"Tempe, Arizona",https://calienteultimate.wordpress.com/,https://www.facebook.com/ASUWomensUltimateCaliente,https://twitter.com/CalienteASU
01,Kailee Galassi
03,Ella Zeiders
08,Ciara Jones
09,Paige Myos
10,Megan Kirchhardt
11,Sydney Johnson
15,Lauren Taylor
18,Isabella Melton
22,Candy Piedra Rojas
23,Miriam Hoyos Martinez
24,Sriya Sridhar
31,Sayaka Noya
32,Isabella Lenz
33,Els Shepard
36,Anna Fiore
37,Elleythea Smith
57,Neerja Gohil
65,Ashley Hummel
69,Cam  Bauman
78,Iscent George
87,Katelyn Kern
b,r,e,a,k
California-San Diego,3
teamInfo,UCSD D-Co Womxn's Ultimate,"San Diego , California",http://www.psychoultimate.com/,https://www.facebook.com/pg/dragoncoultimate/about/?ref=page_internal,@d_co_ultimate
coaches,Avery Jones,Kelli Iwamoto,Samantha Wool
00,Abigail Shilts
00,Ananya Shaligram
00,Annika Ross
00,Antonia Thommes
00,Audrey Schneider
00,Cassidy Morgan
00,Danielle  Weatherwax
00,Dylan Mullaney
00,Emiko Shiota
00,Emma Smith
00,Emma  Toussaint
00,Jessie Finkelor
00,Josefina O'Toole
00,Kaitlyn Straight
00,Kezha Neale-Sacks
00,Margot Nissen
00,Marguerite Church
00,Mars Bau
00,Nicole Moran
00,Parissa Teli
00,Samantha  Medina
00,Sophia Fitch
00,Teaghan Lynch
00,Xuan Feldman
00,Yariel Perkins
11,Emma Ellefson-Frank
b,r,e,a,k
UCLA,6
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
0,Jade Gregory
0,Jade Nakama
0,Julia Kamm
0,Kasey Parks
0,Katryn Heine
0,Leah Wildmann
0,Leyao (Ina)  Chang
0,Lilet Brooks
0,Lise Tucker
0,Melis Kasaba
0,Mikaela Magtoto
0,Anneliese Phillips
0,Cristina Garcia
0,Dorsa Zahedi
0,Grace Loia-Lopez
0,Mya Mitchell
0,Samantha Appleton-Sackett
0,Wiona  Tan
0,Zhiyue Jiang
2,Sabrina Belkin
10,Minoo Bastani
95,Isabelle Germain
b,r,e,a,k
San Diego State,11
teamInfo,SDSU Gnomes,"San Diego, California",http://arc.sdsu.edu/womens_frisbee/,https://www.facebook.com/sdsugnomes,https://twitter.com/sdsuGNOMES
coaches,Teresa Feng,Sean Frawley,Kristen Pojunis
01,Caroline Allen
02,Nelly Arreaga
03,Isabelle Escobar
04,Leiah Martinez
08,Zoe Jeziorski
09,Olivia Heumann
10,Parker Velazquez
11,Sydney  Kim 
13,Eden Cahill
15,Ashley Barber
18,Meagan Freeman
19,Phoebe Roberts 
19,Noelle Sexton
21,Meredith Serrano
22,Sarina Shah
23,Elena Miller
24,Jenna Mansfield
25,Cali Rookey
28,Melodi  Abasta
29,Camryn Rogers
36,Sadie Reiter
b,r,e,a,k
Grand Canyon,14
teamInfo,FalLopes,"Phoenix, Arizona",,,
03,Jadia Blake
04,Anika Freshour
05,Rachel  Spoelstra
07,Melody Stablein
08,Audra Wallenmeyer
11,Alexis Lambert
13,Marissa  Hurst
16,Myla Pryor
19,Chloe Brandow
20,Chloe Rodriguez
23,JoAnn Walker
24,Sarah Mullisen
25,Isabel Schmidt
28,Ellie Terhune
29,Kaitlyn Cotter
33,Halianne Accetturo
36,Madeleine  Schlesinger 
87,Lindley Webster
b,r,e,a,k
California-Santa Cruz,5
teamInfo,Sol,"Santa Cruz, California",,,
00,Haruna Krumholz
00,Helena Hess
00,Juliette Delany
00,Lexie Buckley
00,Madeline Trilling
00,Makena Johnson
00,Paige Jenkins
00,Piper Miller
00,Prunella Crombie Presberg
00,Rachel  Chang
00,Ruby Gholston
00,Ruby Sutherlin Sovern
00,Tara Advani
00,Tina Zhu
00,Viola Deszily
00,Yael Kaplan
00,Zane Smith
00,Carmen Morris
00,Goodness Nwakudu
00,Molly Bingham
04,Justine Martinez
07,Monica O'Brien Saez
11,Gretchen Berndt
23,Katharina Leitner
24,Grace Bradley
55,Marley Standard
b,r,e,a,k
California-Davis,4
teamInfo,Rogue,"Davis, California",http://ucdrogueultimate.weebly.com/,https://www.facebook.com/UCDRogue,https://twitter.com/ucdrogue
00,Shiyi Zhang
02,Morgan Strong
03,Lucy Mertz
04,Kiana Miller
05,Samantha Burns
08,Sarah Azrin
09,Mackenna Weems
10,Quinlin Schug
11,Caroline Donohew
12,Breana Marin
13,Leah Cole
14,Kasey Zeng
15,Aijia Wang
16,Katelyn Mann
17,April Lu
19,Ria Rajput
21,Katie Angstadt-Leto
22,Emily Denio
24,Kayden Delvo
27,Lucille Knowles
28,Natalie Chueh
33,Emily Chou
52,Elly Labay
77,Mariam Emerson
81,Yuriko Iguchi
b,r,e,a,k
Santa Clara,12
teamInfo,Santa Clara RAGE,"Santa Clara, California",,,
00,Amelia Koenig
00,Anna Keenan
00,Ella Morey
00,Emily  Asperger
00,Grace Knight
00,Hannah Johnson
00,Harena Senai
00,Katheryne Boardman
00,Lili Delaney
00,Maddy Burns
00,Nina Huaracayo
00,Olivia Vidal
00,Rosalie Wessels
00,Sarah Abruzzo
00,Seana Corners
00,Shannon Li
00,Shea Mulqueeney
00,Sophie Jacqmotte Parks
16,Kayleigh Vu
26,Emi Takeuchi
b,r,e,a,k
California-Irvine,13
teamInfo,Grass Ninjas,"Irvine, California",http://grassninjaultimate.wixsite.com/home,https://www.facebook.com/grassninjasuci?fref=ts,https://twitter.com/UCIgrassninjas
coaches,Jeff Hagen
03,Makayla Phea
05,Lynn Truong
06,Alexis Chau
07,Alvina Chow
09,Ava Eckburg
13,Dhara Gebo
14,Viviana Moreno
17,Norah Patel
18,Karen Hua
20,Sylvia Ng
21,Ziran Ge
22,Eugene Hong
23,Shirley Zou
24,Alexia Dunker
27,Nicole Nielsen
33,Xinyue Xiao
49,Zoe Wu
77,sobek li
95,Mona Takuma
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Stanford,California (B),15,0,"04/27/2024, 10:45",Pool A,Final
Southern California,Cal Poly-SLO,6,7,"04/27/2024, 10:45",Pool A,Final
Stanford,Cal Poly-SLO,9,1,"04/27/2024, 12:30",Pool A,Final
Southern California,California (B),7,3,"04/27/2024, 12:30",Pool A,Final
pool,Pool B
California-Santa Barbara,Arizona State,15,2,"04/27/2024, 09:00",Pool B,Final
California,California-San Diego (B),13,4,"04/27/2024, 09:00",Pool B,Final
California-Santa Barbara,California,9,7,"04/27/2024, 12:30",Pool B,Final
California-San Diego (B),Arizona State,7,5,"04/27/2024, 12:30",Pool B,Final
pool,Pool C
California-San Diego,Grand Canyon,12,7,"04/27/2024, 09:00",Pool C,Final
UCLA,San Diego State,15,5,"04/27/2024, 09:00",Pool C,Final
California-San Diego,UCLA,8,7,"04/27/2024, 12:30",Pool C,Final
San Diego State,Grand Canyon,7,6,"04/27/2024, 12:30",Pool C,Final
pool,Pool D
California-Davis,California-Irvine,13,3,"04/27/2024, 10:45",Pool D,Final
California-Santa Cruz,Santa Clara,15,1,"04/27/2024, 10:45",Pool D,Final
California-Davis,California-Santa Cruz,8,12,"04/27/2024, 12:30",Pool D,Final
Santa Clara,California-Irvine,8,5,"04/27/2024, 12:30",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,First Place
Stanford,California-Santa Barbara,8,7,"04/28/2024, 12:30",1st Place,Final
Stanford,California-Santa Cruz,15,3,"04/27/2024, 14:15",1st Pl Semis,Final
California-San Diego,California-Santa Barbara,8,9,"04/27/2024, 14:15",1st Pl Semis,Final
bracket,Second Place
California-Santa Barbara,California-San Diego,0,0,"04/28/2024, 14:15",2nd Place,Cancelled
California-Santa Cruz,California-San Diego,9,13,"04/28/2024, 12:30",2nd Pl Semis,Final
California-Santa Cruz,California,12,7,"04/28/2024, 09:00",2nd Pl Quarters,Final
California-Davis,California-San Diego,6,7,"04/28/2024, 09:00",2nd Pl Quarters,Final
UCLA,California,3,8,"04/27/2024, 14:15",2nd Pl Prequarters,Final
Cal Poly-SLO,California-Davis,5,8,"04/27/2024, 14:15",2nd Pl Prequarters,Final
bracket,Fourth Place
California-Santa Cruz,California-Davis,0,0,"04/28/2024, 14:15",4th Place (Game to Go),Scheduled
California-Davis,California,8,6,"04/28/2024, 12:30",4th Pl Semis,Final
California-Davis,Southern California,15,7,"04/28/2024, 10:45",4th Pl Quarters,Final
Cal Poly-SLO,California,8,9,"04/28/2024, 10:45",4th Pl Quarters,Final
UCLA,Southern California,8,11,"04/28/2024, 09:00",4th Pl Prequarters,Final
San Diego State,Cal Poly-SLO,2,13,"04/28/2024, 09:00",4th Pl Prequarters,Final
Southern California,Santa Clara,11,3,"04/27/2024, 14:15",4th Pl Qualifiers,Final
San Diego State,California-San Diego (B),9,7,"04/27/2024, 14:15",4th Pl Qualifiers,Final
bracket,Sixth Place
California,Southern California,0,0,"04/28/2024, 14:15",6th Place,Scheduled
Southern California,Cal Poly-SLO,10,7,"04/28/2024, 12:30",6th Pl Semis,Final
bracket,Eighth Place
Cal Poly-SLO,UCLA,0,0,"04/28/2024, 14:15",8th Place,Scheduled
San Diego State,UCLA,5,10,"04/28/2024, 12:30",8th Pl Semis,Final
San Diego State,Santa Clara,7,6,"04/28/2024, 10:45",8th Pl Quarters,Final
California-Irvine,UCLA,2,10,"04/28/2024, 10:45",8th Pl Quarters,Final
Santa Clara,Grand Canyon,12,5,"04/28/2024, 09:00",8th Pl Prequarters,Final
California-Irvine,California-San Diego (B),7,6,"04/28/2024, 09:00",8th Pl Prequarters,Final
Grand Canyon,Arizona State,7,3,"04/27/2024, 14:15",8th Pl Qualifiers,Final
California (B),California-Irvine,7,8,"04/27/2024, 14:15",8th Pl Qualifiers,Final
bracket,Thirteenth Place
Grand Canyon,California-San Diego (B),8,5,"04/28/2024, 10:45",13th Place,Final
bracket,Fifteenth Place
Arizona State,California (B),5,6,"04/28/2024, 10:45",15th Place,Final
b,r,e,a,k
