Stanford Invite 2024,College - Women ,2,3,2024
Stevinson,CA,2024-03-02,2024-03-03
https://play.usaultimate.org/events/Stanford-Invite-2024/schedule/Women/CollegeWomen/
British Columbia,1
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",http://www.recreation.ubc.ca/sport-clubs/ultimate-w/,https://www.facebook.com/UBCWomensUltimateSC/,https://twitter.com/ubcwomensulti
coaches,Danie Proby,Robbie Brennan
0,Amelie Marshall
0,Anna Luo
0,Avery Lee-Pii
0,Bryelle Wong
0,Ella Bolan
0,Helena Tremblay
0,Isabella  Lin
0,Jamie Jung
0,Jenalyn Ng
0,Mandy Li
0,Meagan Gillis
0,Meagan Chau
0,Mijoo Lee
0,Sarah Zhang
0,Shaelyn Woo
0,Yun Hua
1,Leo Devonshire
3,Claire Weng
4,Anna Goddu
10,Miu Shiraiwa
17,Madison Ong
29,Julie Lee
93,Mika Kurahashi
b,r,e,a,k
California-San Diego,8
teamInfo,UCSD D-Co Womxn's Ultimate,"San Diego , California",http://www.psychoultimate.com/,https://www.facebook.com/pg/dragoncoultimate/about/?ref=page_internal,@d_co_ultimate
coaches,Avery Jones,Kelli Iwamoto,Samantha Wool
0,Ananya Shaligram
0,Annika Ross
0,Antonia Thommes
0,Audrey Schneider
0,Cassidy Morgan
0,Danielle  Weatherwax
0,Dylan Mullaney
0,Emiko Shiota
0,Jessie Finkelor
0,Josefina O'Toole
0,Kaitlyn Straight
0,Kezha Neale-Sacks
0,Margot Nissen
0,Mars Bau
0,Nicole Moran
0,Samantha  Medina
0,Sophia Fitch
0,Teaghan Lynch
0,Xuan Feldman
0,Yariel Perkins
0,Emma  Toussaint
11,Emma Ellefson-Frank
18,Emma Smith
28,Parissa Teli
38,Abigail Shilts
b,r,e,a,k
Texas,13
teamInfo,Melee,"Austin, Texas",https://texaswomensultimate.github.io/home/,,https://twitter.com/txmelee?lang=en
coaches,Lorraine Guerin,Bennett Wachob
0,Anna Morosky
0,Bhajleen Kaur
0,Caroline Mulry
0,Catie Graves
0,Chloe Chen
0,Elizabeth Meyer
0,Emory Hanna
0,Georgia McDonald
0,Karalie Morrison
0,Karina Kumar
0,Katalia Gensler
0,Kris Hanks
0,Leanne Holmes 
0,Lilliana Forrest
0,Megan Palladino
0,Meredith Anderson
0,Reshmi Patel
0,Sophia Gazis 
0,Sydney White
0,Tamiya Smith
0,Abigail Koehn
0,Amelia Smith
16,Ana Mussiett
b,r,e,a,k
UCLA,12
teamInfo,BLU,"Los Angeles, California",http://uclaclubsports.com/index.aspx?path=wuf,https://www.facebook.com/UCLABLU,https://www.twitter.com/blultimate
coaches,Cheryl Prideaux,Tiffanie Gallo
02,Sabrina Belkin
04,Grace Loia-Lopez
08,Dorsa Zahedi
09,Wiona  Tan
10,Minoo Bastani
11,Katryn Heine
12,Julia Kamm
13,Melis Kasaba
15,Leah Wildmann
16,Jade Nakama
17,Cristina Garcia
18,Kasey Parks
19,Lise Tucker
23,Mikaela Magtoto
25,Lilet Brooks
27,Samantha Appleton-Sackett
28,Leyao (Ina)  Chang
30,Jade Gregory
32,Mya Mitchell
48,Anneliese Phillips
77,Zhiyue Jiang
95,Isabelle Germain
b,r,e,a,k
Vermont,2
teamInfo,Ruckus,"Burlington , Vermont",,https://www.facebook.com/UVMRuckus/,https://twitter.com/ruckusultimate
coaches,Daron Byerly,Sara Jacobi,Elizabeth Leon
0,Dylan Wilcox
0,Ella Monaghan
0,Haley  Hemeon
0,Isabel Berman
0,Julia Kezer
0,Annie Pozzy
0,Lauren Clayter
0,Mae Browning
0,Maria Muller
2,Lucinda Toppen
12,Leah Silverman
14,Caroline Stone
14,Tatum Cubrilovic
16,Sophia Nolan
17,Riley Knupp
18,Ella Polli
22,Rita Narbonne
23,Nika Rockafeller
26,Nadia Scoppettone
33,Sophie Acker
44,Emily Pozzy
77,Kennedy McCarthy
b,r,e,a,k
California-Santa Barbara,7
teamInfo,Burning Skirts,"Goleta, California",,https://www.facebook.com/BSkirts/,https://twitter.com/BSkirts?lang=en
coaches,Kaitlyn Weaver
02,Sofia Eden
03,Nina Schmier
04,Kailani Latimer
06,Jillian Fischer
08,Laura Blume
09,Aliyah Latham
11,Vienna Lee
12,Grace Craig
13,Riley Raker
14,Devin Quinn
16,Kaia Emery
17,Catrina Sada
18,Ella Khoury 
19,Sophie Havranek
20,Olivia Crump
20,Carrie Teichrow
22,Julia Hasbrook
