Northeast Classic 2024,College - Men ,30,3,2024
Middletown,NY,2024-03-30,2024-03-31
https://play.usaultimate.org/events/Northeast-Classic-2024/schedule/Men/CollegeMen/
Vermont (B),1
teamInfo,Chill Dev,"Burlington, Vermont",,https://www.facebook.com/Team.Chill.33/,https://twitter.com/team_chill?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
00,Aris Kurtz-Papadopoulos
03,Samson Hurwitz
04,Owen Hartford
07,James Tinker
08,James Owen
09,Hessain Tamang
10,Botond Erdos
11,Arbin Tamang
12,Charlie Bolduan
13,Linus Mehring
14,Mateo Bolen
15,Samuel Holmes
16,Ethan Wolf
17,Lance Lawida
19,Matthew Owen
23,Sean O'Neil
27,Teddy Hanley
28,Kai Sessions
29,James Bellizia
33,Griffin Wilczynski
37,Peter Carlson-Belanger
47,Gavin Wilczynski
69,Charlie Clark
72,Krane Davis
88,Matthew Gaetano
95,Asher Levy
b,r,e,a,k
Wesleyan,5
teamInfo,Nietzsch Factor,"Middletown, Connecticut",,https://www.facebook.com/nietzschfactor/,https://twitter.com/nietzschfactor
0,Amit Piryatinsky
0,Aran Sheehan
0,Benjamin Schietinger
0,Denis Cha
0,Ezekiel Appel
0,Giancarlo Fedolfi
0,Jesse Herzog
0,Thomas Lyons
0,Trevor Gold
2,Sy Schoen
5,Oliver Wang
6,Alexander Rubenstein
11,Theodore Businger
15,Elliot Miller
17,Adam Sussbauer
19,Daniel Becker
21,Thomas Kan
22,Dash Merrill
23,Isaac Janiak Stein
27,Jonah  Yas
29,Daniel Gessel
30,Daniel Glickman
32,Julian Fried
36,Ethan King
42,Chase Yahn-Krafft
50,Judah Hoffenberg
52,Eli Fellus
59,Jack Noble
67,Ulysses Conrad
77,Dylan McCaleb
88,Will Clemans
b,r,e,a,k
SUNY-Cortland,4
teamInfo,Team Rocket,"Cortland, New York",,,https://twitter.com/cortlandulti?s=21
00,Alexander Servinskas
00,Angel Chauca
00,Christopher Lee
00,Connor McNeill
00,Devon Blackwood
00,Dylan Foutch
00,Ethan Laderman
00,Harrison Kelly
00,Jack-Henry Whalen
00,James  Prendergast
00,James Weilert
00,Matthew Prendergast
00,Maxwell Tolan
00,Michael Moran
00,Michael DeVillers
00,Riley Drew-Cross
00,Ryan  Trendell
00,Ryan Joyce-Turner
00,Ryan Tart
00,Tyler Uruburu
00,zachary jackson
02,Luke Barrett
03,Brian Wise
09,Christopher Caneiro
10,Leonardo  Rodriguez 
13,Damon Carroll
23,Mark Weidman
25,Aidan Russo
31,Anthony Graff
97,James Marino
b,r,e,a,k
College of New Jersey,3
teamInfo,Revolution,"Ewing, New Jersey",http://www.tcnj.edu/~frisbee/revolution/index.php,,https://twitter.com/TCNJ_Revolution
0,Brayden Messinger
0,Christian Cota
0,Christian Alino
0,Christopher Bonadio-Cappiello
0,Dominick Brown
0,Joseph Pappone
0,Nick Caporuscio
0,Philip Aufiero
0,Raymond Wright
0,Ryan Whitmore
4,John Supple
8,James Fencik
10,Matt Demareski
13,Marco Guadagno
18,Shawn McStravock
27,Cormac Riley
31,Nathanael Moore
36,Macy Desmond
37,Evan Sapirman 
61,Ryan Boyle
b,r,e,a,k
Ithaca,6
teamInfo,Nawshus Ultimate,"Ithaca, New York",,,
03,Bodhi Williams
04,Thomas Cronin
07,Sydney Assile
08,Carter Cigan
09,Evan Mandell
11,Jamie Falkovich 
14,Benji Turansky
15,Ben McKelvey
16,Khai Geller
17,Zebadiah Staples
19,Calvin LaPierre
20,Jack Butler
22,Jaden Fitch
24,Joshua Krizar
25,Jalen Bolton-Steiner
27,Noah Kamens
30,Noah Holmgren
32,Michael Colombo
77,Cyrus Edlund-Farsad
97,Vincent  Masotti
b,r,e,a,k
Amherst Regional,2
teamInfo,Hurricanes,"Amherst, Massachusetts",,,@canesultimate
coaches,Joe Costello
0,Cael Danylchuk
0,Conall Gahan
0,Declan Sullivan-Flynn
0,Elias Lundquist
0,Elliot Phifer
0,Ellis Rubin
0,James Pitts
0,James Wilson
0,Joseph Hazlip
0,Julian Camera
0,Mason Cianfrani-Shin
0,Mihir Shenoy
0,Myles Redington
0,Nolan Ross
0,Pearl Strong
0,Quinn Strehorn
0,Rowan Reichard
0,Yatharth Rajakumar
0,Aidan Martin-Weinbaum
0,Alden Pope
3,Ben Feeney
6,Andrew Leutz
b,r,e,a,k
Rhode Island,7
teamInfo,RIUT,"Kingston, Rhode Island",,https://www.facebook.com/MensRIUT/,https://twitter.com/mensriut?lang=en
0,Brian Szewczyk
0,Carson Paull
0,Chase Flint
0,Christopher Gibbons
0,Connor Ham
0,Evan Trombley
0,Evan Fallon
0,Aaron Iwanski
0,Aidan Sykes
0,Jason Berube
0,Joshua Klemm
0,Luke Jensen
0,Michael Downing
0,Mike Amighi
0,Nick Karalus
0,Terry Cummings
0,Thomas Vinagre
1,Harry Thompson
4,Riley Franklin
16,Joshua Benros
22,Brad Fowler
b,r,e,a,k
SUNY-Binghamton (B),15
teamInfo,SUNY-Binghamton B,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
4,Rory Jacobs
8,Christopher Adami
11,Christian Cincotta
15,Lucas Hopkins
16,Austin Cincotta
18,Samuel Levine
19,Patrick Pellittiere
21,Dennis Ahmetaj
27,Mert Yolseven
30,Jonathan Appel
32,Christopher Leon
35,Quinlan Schultz
37,Caleb Carpenter
38,Aidan Goode
43,Zisis Zias
52,Noah Capello
66,Alex Pulsifer
72,Ryan Ragaini
87,Kyle Veith
88,Matthew Stancampiano
93,Matthew Tibbals
97,Ethan Weiss
b,r,e,a,k
Swarthmore,14
teamInfo,Earthworms,"Swarthmore, Pennsylvania",,,https://twitter.com/WormsUltimate?s=20
0,Aaron Thammavongxay
0,Abdul Aziz Jeter
0,Adin Aberbach
0,Alex Wuttig
0,Alvin  Lugo
0,Atesh Camurdan
0,Caleb Scott-Joseph
0,Chaitanya Motwane
0,Charlie Salinas
0,Emerson Bassen-Alexander
0,Ethan Sheppard
0,Grady Savage
0,Isaac Levenstein
0,Jasper Ferncrombie
0,Joe Austrian
0,Jude Hemmins
0,Kai Williams
0,Michael Lu
0,Miles Fleisher
0,Nikhil Tignor
0,Siddhant Ranka
0,Toby Thornburg
3,Ivan Fransazov
10,Rohan Mandayam
12,Brandon Daniel-Morales
22,Akiva Sherin
25,Mateo Casalino
30,Daniel Perrin
66,Leo Rothenberg
88,Ryan Jin
b,r,e,a,k
SUNY-Geneseo,8
teamInfo,Snail,"Geneseo, New York",,,@geneseoultimate
00,Justin Blakesslee
01,Brian Gonzalez
02,John McKiernan
03,Benjamin Campbell
04,Noah Ofri-Akman
06,Danny Fox
07,Ben Michlinski
08,Samuel Bonesteel
09,Zay Chaw
11,Andrew Thompson
12,George Privitera
13,Donovan Grey
14,David Sweeney
17,Jake Park
17,Jake Park
19,Spencer Wagner
20,Christian Arriaga
21,Colden Grossman
23,Collin McEnroe
24,Sam Moritz
25,Jason Strickland
26,Colby Drechsler
29,Mason Michel
35,Lucas Rosa
47,Bradley Casto
62,John Marple
77,Nicholas Smolinski
99,Ethan Mevs
b,r,e,a,k
Vermont (C),16
teamInfo,Chill B,"Burlington, Vermont",,https://www.facebook.com/Team.Chill.33/,https://twitter.com/team_chill?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Caleb Morehouse
0,Colin Fain
0,Emmett Cline Lucey
0,Ethan Riddell
0,Jack Giese
0,Jacob McCoy
0,Max Schibel
0,RobertAidan Smith
10,Liam Boyles
19,Ryan Gallagher
33,Jasper Turner
b,r,e,a,k
Rensselaer Polytech,13
teamInfo,Trudge,"Troy, New York",http://frisbee.union.rpi.edu/,https://www.facebook.com/pages/RPI-Trudge-Ultimate/150465975037160,https://twitter.com/rpitrudge
0,Jaedon Alleyne
0,Nathan Crowell
0,Nicco Tebbano
0,Tristan Guan
0,Tyler Dean
1,Matteo Rathgeber
2,Katherine Wright
3,Samantha Heinzman
4,Leighton Scott
5,Nick Mendes
6,Somber Xie
7,Nyssa Gandhi
7,Joseph  Jacobs
9,Ethan Mihlstin
10,Christopher Toko
12,William McPherson
13,Rowan Smith
14,Benjamin Driscoll
14,Ashley Woodson
15,Evan Maseto
