TCT Elite-Select Challenge 2024,Club - Women ,17,8,2024
Indianapolis,IN,2024-08-17,2024-08-18
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2024/schedule/Women/Club-Women/
6ixers,1
teamInfo,,"Toronto, Ontario CA",,https://www.facebook.com/6ixersUltimate/,https://twitter.com/6ixersultimate
coaches,Matt Caldwell
0,Alyssa Mason
0,Jade Huangfu
0,Karen Hatch
01,Krystal Dos Santos
03,Jessie Tsang
10,Danielle Leung
13,Makayla Power
15,Tyama Lyall
16,Sabrina Trung
19,Katie McMullen
28,Rachel Cooc
30,Zi Cen (Monica) Wang
31,Sarah Lam
33,Maia List
37,Devanee Dewey
53,Christine  Jurychuk
55,Wynne Gee
70,Brittney Dos Santos
78,Amanda Hadwen
80,Jessica Gao
88,Grace Wang
b,r,e,a,k
Nightlock,7
teamInfo,,"Bay Area, California",http://www.nightlockult.com/,https://www.facebook.com/NightlockUlt/,https://twitter.com/nightlockult/
coaches,Sabrina Ciccarelli
3,Eliza Chang
5,Anne Gordon
7,Kelly Liu
8,Angela Aie
11,Elizabeth Pugh
12,Ziyue Chen
13,Mei Bruist
14,Carolynn Brooks
15,Audrey  Sheehy
16,Thalia Ward
18,Jessalyn Siu
21,Nicole Canning
22,Amelia Hawkins
22,Kaitlin Swinnerton
24,Jackelyne Nguyen
27,Cassidy Gilmore
30,Nami Sumida
31,Lauren Yamasaki-Liske
34,Maya Roma
44,Kara Hammer
48,Macy Vollbrecht
51,Emily Denio
73,Sarah Pihl
99,Xinzhi Zou
b,r,e,a,k
Pop,10
teamInfo,,"Minneapolis, Minnesota",http://popultimate.wordpress.com/,https://www.facebook.com/popultimate,https://twitter.com/PopUltimate
coaches,Donald Wood
0,Emily Mulhern
0,Erin McFadden
0,Eugenia Garza
0,Frankie Saraniti
0,Lisa Qiu
0,Madelyn Lander
0,Makella Daley
0,Melissa LaFrance
0,Rachel Gage
0,Shelby Meyer
0,Stephanie Wood
0,Clara Gale
0,Elise Gallup
0,Allegra Johnson McKee
0,Anik Regan
0,Josie Fenske
0,Liliana Hobday
0,Zella Sahar
0,Carly Eckstrom
10,Martha Lien
13,Elly Fireside-Ostergaard
16,Lisa Barnes
19,Isabel Demo
55,Emery Gerndt Otopalik
b,r,e,a,k
Tabby Rosa,16
teamInfo,,"Gainesville, Florida",,https://www.facebook.com/TabbyRosaUltimate,https://twitter.com/TabbyRosaFL
0,Ainsley Dalton
0,Alexis Burgess
0,Blake Yusk
0,Bowen Xu
0,Hannah Waite
0,Kaylen Chiang
0,Leanette Negron
0,Lindsey Evans
0,Madeline O'Sullivan
0,Maia Mikulcik
0,Michelle Floyd
0,Naomi Anderson
5,Lindsi Allman
6,Jemima Tolentino
13,Jaylynne Hocutt
28,Melani Morales
b,r,e,a,k
Schwa,2
teamInfo,,"Portland, Oregon",https://www.oregonschwa.com/,https://www.facebook.com/schwaultimate,https://twitter.com/SchwaUltimate
0,Lillian Weaver
0,Mariel Hammond
0,Morgan Caldwell
0,Rachel Hess
0,Zoe Luke
0,Aubri Bishop
0,Danielle Runzo
