AC Session I,College - Men ,8,3,2014
https://play.usaultimate.org/events/AC-Session-I/schedule/Men/CollegeMen/
Queens-Kingston,1
0,Dylan Maxwell
0,Jordan McGregor
0,MATT WRIGHT
0,FELIX LASCELLES-PALYS
0,Enoch Chan
0,DYLAN CATTANACH
0,Cameron Nugent
0,Andrew Ma
0,RYAN WILSON
0,KYLE THOMPSON
0,BRIAN NIEPAGE
0,RYAN WALSH
0,ANDY (SUN JAE) KIM
0,JAKOB PUGI
0,David Wu
0,VICTOR LI
0,KENNETH DICK
0,Jared Westreich
0,BENJAMIN YEUNG
0,STEVEN JEFFERYS
0,Jason Duiella
0,Noah Liberman
0,Fraser Titley
0,RYAN EVIN
0,Graham Mount
0,Benjamin Blackford
0,DAVID MURRAY
0,MIHAJLO ANTONIJEVIC
3,Andrew Carroll
10,ANDREW HICKMAN
b,r,e,a,k
SUNY-Albany,9
00,Harrison Spelman
00,VINCENT PETRUCCI
00,PAUL TRAVERS
00,Colin Aldrich
00,Isaiah Casiano
00,Peter-John Ferrebee
00,George Dalton
00,William Rynn
00,Bradley Clark
00,Kevin O'Brien
00,Sean Fagan
00,Jared Robinson
00,MICHAEL WOODS
00,William Thomas
00,Dylan Bruhns
00,Eric Russo
00,JACOB BERGER
b,r,e,a,k
Maryland-Baltimore County,16
00,Nathaniel (Bob Ross) Dorr
00,Tyler Stocksdale
00,Bradley Scott
00,AUSTIN DUFF
00,Benjamin Price
00,Jason Pon
00,Joe Skura
00,Zachary Hall
00,Dale Appleman
00,THOMAS HERVEY
00,BRADY SMITH
00,David Morris
00,Justin Taylor
00,Emmett Cummings
00,Chris McSherry
00,Eric Clarkson
00,Daniel Dresser
00,Phillip Bloxsom
b,r,e,a,k
Rowan,8
0,SCOTT PEDERSEN
0,Eric Ulbrich
0,Christopher Alaimo
0,WILLIAM HOFFMAN
0,SHANE PHILIPPI
0,NICHOLAS COSTANTINI
0,tyler bishof
0,Christopher Lesniak
0,KEVIN RODIER
0,ANDREAS GABRIELSEN
1,RYAN SHAMY
4,Robert Altieri
03,ANDREW HAUPIN
16,BRANDON RUSSO
18,DAVID NELSON
22,Collin Hurler
42,CHRISTOPHER GALLO
57,RYAN MURPHY
72,Michal Helmstetter
81,ANDREW WEIDNER
85,Michael Campanella
b,r,e,a,k
Army,7
0,ROBERT FELIX
0,Joseph Woolfork
0,Ian Betzel
0,adam childs
0,Philip Crawford
0,JULEN TOTORICA
1,ROBERT WINTERSTEEN
3,SAMUEL HARTFORD
4,NATE PIERINGER
5,CHRISTIAN CARRON
6,Lewis (Alec) Chosewood
7,Mackenzie Carter
9,FRANK FINK
11,CHASE PEDRON
12,ALEX MOORES
20,Michael Richardson
23,MITCHELL SMITH
25,ALEC HERRERA
35,RANGER KING
44,TYLER BERTLES
49,GEOFFREY MOORES
88,JACOB BATES
b,r,e,a,k
Central Connecticut State,2
0,DANIEL FAVALE
0,MATTHEW BOLLARO
0,Steven Lee
2,Andrew Thai
3,Christopher Monroe
6,Christopher Cox
7,Ricky Lewandowski
16,Eric Dollinger
17,James Vitali
24,Jordan Revis
29,DAVID JUSTICE
30,DANIEL STEVENS
32,ETHAN GIRARD
66,Garrett Santi
77,Matthew Fasano
96,Jacob Aldrich
97,Jack Kusinski
b,r,e,a,k
Stockton,15
00,Colin McManimon
00,Chris Smith
00,NICHOLAS CAPORASO
00,CARL MCKAIG
00,MIKE CALLORI
00,Kevin Diamond
00,STEVE ONOREVOLE
00,John Fenlon
b,r,e,a,k
MIT,10
0,ALEXANDER  JACKSON
0,HAO LI
0,Douglas Chambers
0,BANKS HUNTER
0,Jonathan Lambert
0,THOMAS AVILA
0,Jonathan Uesato
3,BRANDON TRAN
4,JOEL BROOKS
8,DILLON GARDNER
11,Gil Goldshlager
20,Brandon Nadres
42,Hao Shen
b,r,e,a,k
Millersville,3
0,AARON HEATH
00,Kyle Roseberry 
00,William Heberlein
