Motown Throwdown,Club - Men ,26,7,2014
Sylvania,OH,2014-07-26,2014-07-27
https://play.usaultimate.org/events/Motown-Throwdown-2014/schedule/Men/Club-Men/
Brickyard,8
0,J.J. Yarbrough
0,DAVID CHANDLER
0,Benjamin Gerroll
0,David Hortemiller
0,Andrew Warren
0,Alexander Hutton
0,Samuel Sohn
0,Andrew Fuller
0,William (Drew) Shepherd
0,Jason Yoder
0,Nickolas Hutton
0,STEVEN HIGHTSHUE
1,Jarod Brock
10,Connor Halloran
22,Kyle Cox
28,Joseph Cari
32,John Cecil
33,Phillip Simcox
37,Travis Carpenter
40,Brian Ventura
44,Donovan Triplett
51,Chris Ginet
51,Nathan Page
66,ERIC LEONARD
91,Eric Johnson
b,r,e,a,k
Beachfront Property,1
0,MICHAEL CALDERBANK
0,Drew Levorsen
0,ANDREW PAUL EDWARDS
0,BEN CARVER
0,Milo Korman
0,Alejandro Younger
0,Michael Ng
0,Alex Nimmer
0,Kyle Sternkopf
0,Jeffrey Spetter
2,MARK MASTRANGELO
3,Casey Degnan
6,Bradley Bolliger
8,Canaan Murray
10,Robert Lau
14,David Geeslin
16,Nick Lindeke
28,Tom Abell
33,Wesley Groth
73,Justin Reeverts
81,Michael McCafferty
b,r,e,a,k
Enigma,9
01,Michael Mills
02,Evan Wilder
04,STEPHEN HARRELL
05,TODD CHAMBERLAIN
06,JASMINDER GREWAL
08,Alex Flamm
09,Zach Peugh
10,Chad Gregory
11,Michael Koho
13,Benny Rider
15,Brian Walsh
16,KAZ TEOPE
17,Alex Semaca
19,Dylan Corwin
20,BRANDON RUSH
22,Matthew Muhlenkamp
24,LUKE MUGGE
27,Ian Cannon
37,Tony Donato
54,Avery Moeller
66,ZACH KNIGHT
68,DAN MINER
73,Adam Luthman
76,Jordan Kinde
88,MATTHEW MCDONALD
b,r,e,a,k
Super Phun Tyme,16
69,JOHANN BRITTING
69,Jake Smith
69,Ben Whitfield
69,Adam Swejk
69,Kyle Bayes
69,NICK DELUGA
69,Jason Howard
69,Benjamin Reith
69,Stephan Dober
69,Albert Chen
69,Steven Miraglia
69,Zachary Weaver
69,Patrick Gleason
69,Connor Lenhart
69,Nicholas Coleman
69,RYAN MEIER
b,r,e,a,k
MKE,7
0,Joseph Lindsay
0,Dan Magnant
0,ZACHARY KNOBLOCH
0,Dan Margulis
0,Evan Swiatek
0,KURT EGAN
0,Ryan Sutter
0,ZACHARY CASTILLO
0,COREY SMITH
0,MATTHEW BENDER
0,JOHN LAFAVOR
0,STEVEN JANSEN
0,Joseph Blankenheim
0,Nick Wismans
0,Max Palzewicz
0,Ben Ben Hirschman
0,Scott Wenzel
7,Matthew Caballero
8,Jacob Knobloch
8,Troy Holland
23,Steven Wick
49,Tim Posl
92,Kevin Brown
b,r,e,a,k
City Park Ultimate,2
3,Robert Dennis
7,Aaron Hirshberg
01,Trent Cooper
02,Evan Moe
03,DEREK THATCHER
04,SEAN NEWLIN
05,SEAN WILLETT
06,Evan Kerr
08,ERICK BATCHELER
09,Colin Berry
11,Tim Strutzenberg
12,Jacob Grund
12,Jack Sanders
13,DANIEL SCHMIDT
14,Jaime Thatcher
14,JOSH PURMAN
15,Jonathan Beavers
22,Alexander Constant
23,Jamison DiSalvo
24,JOSEPH WANDREI
28,Niko Beauchamp
42,MAXWELL WILLARD
52,Jacob Kersten
77,Eric Shomo
b,r,e,a,k
Jurassic Shark,10
00,ALEX GILSON
00,Alex Smith
00,Dafeng Chen
00,Eric Hubbard
00,DANNY HUNT
00,Marc Soldini
00,Brendan Schwalm
00,Patrick Krantz
00,RYAN HOFFER
00,MONTE JONES
00,CHAD SCHRAMM
00,Evan Hughes
10,DREW WOOD
33,Austin Winner
b,r,e,a,k
Hustle,15
00,Wesley Howell
00,Alvin Miles
04,Theodore Lannert
07,Patrick Sharp
10,SEAN MYERS
15,Luke Byerly
19,JAMES HORNE
21,Frank Ontaneda
23,Keegan North
25,Josh Keyser
27,DANIEL HEROLD
33,Liam Holthaus
36,Neil Narayan
47,Zach Kaylor
49,Tanner Segbers
54,BEN JANSEN
66,Tommy Tappel
82,BENJAMIN SAGE
94,AMBROSE DOBROZSI
98,JASON THREM
99,Kegan Carroll
b,r,e,a,k
Smokestack,6
0,David Picone
0,Aidan Shapiro-Leighton
0,DANIEL LEHMAN
0,Erik Lindberg
0,Jason Beffel
0,Ethan Yourd
0,Jeffrey Brauning
0,Jacob Lunn
3,Joseph Marmerstein
3,Daniel Young
4,Richard Stacklin
5,Amir Kaghazwala
6,Michael Fioramonti
10,Eric Zarobila
17,Adam Davenport
23,Kyle Murray
25,MATT TEDESCO
26,Zach Johnston
55,Adnan Raslan
69,COLIN DUKLES
82,Dutch Kirkman
99,Robert Strohmeyer
b,r,e,a,k
CAKti,11
1,Zack Valletta
02,Jonathan Mast
03,Richard Copley
05,Josh Graber
06,Matt Woods
07,Stephan Maxe
08,PAUL FOLK
09,KYLE PLATT
10,Anthony Davis
12,Eric Brenner
13,Doug Meislahn
17,nathanael Rodd
20,CAMDEN HAYES
21,DANIEL MORGAN
23,MICHAEL MALINOWSKI
25,ALEX RUFF
26,Jacob Lamier
27,Felipe Delgado
29,Christian Martin
42,P. Mike Rattanasengchanh
69,Adam Green
99,KYLE BENSEN
b,r,e,a,k
Flying Pig,14
0,Blake Weaver
2,Stephen Babcock
3,Elliot Skindzier
5,Jake Kenniv
6,Jack Ford
7,Anthony Lokar
8,Stephen Hale
9,Gage Edblom
10,Craig Kaiser
14,Michael Crouchley
15,Eric Taylor
18,Kevin Parker
20,Austin Herriott
21,Geoffrey Hulsether
22,Dominic Schuster
24,JOHN PAUL BORT
28,Evan Wethington
30,Jordan Monnin
33,Tyler Morrison
43,Stephen Kenny
44,Landon Sagle
91,Joe White
b,r,e,a,k
Black Market,3
0,YUSUKE ASAI
0,Eric Bultman
0,Chris Johnson
1,Daniel Vockeroth
2,Joe Sidrys
3,Michael Armstrong
4,Zachary Schwulst
6,Kevin Cleary
8,Johnny Saniat
9,Joe Simonelli
11,JONATHAN MCKOY
12,Chris O'Connell
13,Daniel Miller
16,Kevin DeAngelis
19,Steven Czechowski
22,Brian Rathunde
23,Ryan Smith
29,James Roush
34,Christopher O'Hara
46,KEVIN BIRCHOK
53,Joe Berry
57,Max Richards
80,Peter Bennett
81,Chris Buchta
b,r,e,a,k
BroCats,5
0,KYLE HONE
0,CAMERON HEIGHTLAND
0,Andrew Ball
0,Lloyd Furuta
0,Douglas Breglia
0,SCHUYLER REDDING
0,Nigel Daniels
0,TRAVIS NEAL
0,Nicholas Wetzel
0,William Kent Butler
0,Mike Bruce
0,MARK HRITZ
0,MATTHEW DOWNIE
0,ALEXANDER DOKSA
0,JAMES HERRON
0,DANIEL OLSON
0,CONNOR HUNT
0,Adam Cellar
0,Kevin Hanzel
0,ERIC CONVERSE
4,ANDREW BAUMGARTNER
12,Mitch Cihon
21,Connor Haley
28,MICHAEL JURATOVAC
44,Luke Eastman
63,Andrew Foley
99,Andrew Grogan
b,r,e,a,k
Spoiler,13
0,MICHAEL ROBERTS
0,Max Teener
0,ALEXANDER ROBERTS
0,Jack Singleton
0,Benjamin Bielajew
0,Noah Weber
0,JOSEPH GIANCARLO
0,Victor Arena
0,Michael Digiovanni
0,Matt Cornish
0,Alexander Gaggino
2,TODD HERSHBERGER
7,Jonathan Lee
17,Andrew Foldesi
17,Jake Moyer
22,Nathan Adamski
26,Owen Funk
38,ANDREW HOISINGTON
41,Daniel Lee
66,Daniel Fonte
74,John Fonte
83,Andrew Curtin
87,Josh Becker
91,Nicholas Simopoulos
b,r,e,a,k
Layons,4
02,Sergio Jimenez
04,Pablo Herrera
08,Andres Sotomayor
12,Daniel Santamaria Beltran
14,Santiago Lizarazo
16,Andres Hernandez
17,Daniel Herrera
20,CANYI HUANG LI
24,Sergio Bohorquez
25,Julian Acosta
29,Andres  Maldonado
33,SERGIO RICARDO RODRIGUEZ ACOSTA
68,Felipe Joya
70,Juan Felipe Velosa
76,Christian Chavarro
88,John Rodriguez
b,r,e,a,k
Impulse,12
00,Max Sheppard
00,Russell Ruffolo
00,Tynan Englert
02,Robert Lincoln
04,Ryan Mann
06,AUSTIN RUEDIGER
07,Noah Weintraub
09,Andrew Rechenberg
10,Travis Terrell
11,Nadeem Demian
14,Nick Haser
15,SAHIL DADOO
17,Matthew Hanna
20,Richard Szabo
21,DEREK SANCHIOLI
22,KEVIN TRIMBLE
23,Jake Davis
33,Max Thompson
42,Ben Morgenstern
48,Jimmy Towle
49,JARED LANDIS
92,Wally Gaida
b,r,e,a,k
Midnight Meat Train,17
0,Alex Horn
0,Gabriel Anzivino
0,Adam Koehler
0,Mike Zaagman
0,Tyler Hanna
12,Conner Carrico
16,Jeff Martin
19,Luke Rynbrandt
22,Joe Deppe
23,Marty Dekker
23,Tyler Denooyer
27,Nathan Sherman
49,JACOB BAXTER
74,JONATHAN CERNANEC
79,NATHAN EMMERT
b,r,e,a,k
Chicago YCC U-19,20
01,MARK YELLON
03,Karl Beck
07,Jack Shanahan
12,Jeremy Burril
