Chicago Invite College,College - Women ,28,3,2014
Chicago,IL,2014-03-28,2014-03-30
https://play.usaultimate.org/events/Chicago-Invite-College/schedule/Women/CollegeWomen/
North Park,8
0,POLLY KALANTZIS
0,Kirstin Lee
0,Kate Morris
0,AIMEE FONDELL
0,Allie Murray
0,Kierra Daniels
0,JAMIE  SLADKEY
0,EMILY RUEPING
0,MARISSA YUKUS
0,KARA GABRIELSON
0,Ellie Weihsmann
0,Kajsa Nelson
0,Katherine Bast
0,Laura Raymond
0,Kennedy Brown
20,Kristen Coughlin
26,Kelsey Stevens
b,r,e,a,k
Michigan State,22
0,SUSANNA LAGORY
0,Allison Trudgeon
0,Brooke Gundersen
0,Megan Fryling
0,MOLLY GAUDETTE
0,BRITTNEY URICH
2,MICHELLE RIZOR
4,Renee O'Connell
5,Lindy Torvinen
6,Emily D'Imperio
7,Brandi Skanes
8,Jenna Ray
09,Lindsey Kappen
11,Isabel Greene
12,Laura Immonen
19,Ida  Ahmady
23,SARAH ZIMMERMAN
24,Kotomi Obayashi
26,Gretchen Mills
33,Kelsey Bowe
34,KAYTLYN Voirol
48,Kaye Eshelman
88,Misaki Komatsu
b,r,e,a,k
Eastern Michigan,19
01,Devan Derricotte
04,Samm Ryan
05,AMBER RIGALI
07,Monika Kvasys
11,MELISSA MURAKAMI
12,Brittany Doctor
17,Alexa Gullitti
19,CHELSEA ALLEN
23,Kathryn Kembitzky
28,Jamie  Reder
40,Grace Tummel
b,r,e,a,k
Fryz Ultimate,32
0,MAXIE JOLLY
0,Maya Powell
0,Sophia Johansen
0,ELENA HARRISS-BAUER
0,Madeleine Buchman
0,Josie Gillett
0,Miyo McGinn
0,Madeline Gilbert
0,Alissa Soo
7,Frances Gellert
10,Evelyn Reding
21,Kate Daugherty
22,Jack Verzuh
23,Linnea Soo
23,Michelle Yee
35,Rose Soiffer-Kosins
84,Hallie Dunham
b,r,e,a,k
Notre Dame,16
0,NICOLE VUJOSEVICH
0,Kelly Gilmour
0,ANASTASIA TYLKA
0,EMILY DOWLING
0,BRIANNA BOCKER
0,MK Andersen
0,Eliza Herrero
0,MARA JURKOVIC
0,KRISTEN COLLINS
0,Rachel Francis
0,Jennifer Mohrig
0,KIMBERLY KOWALSKI
0,AMALIA CARMONA
0,GIULIANA CAROZZA
0,Heather Fredrickson
0,ELAINE ROSE
5,Kelsey Fink
8,Julia Butterfield
9,MARA STOLEE
37,Mary Hermann
b,r,e,a,k
Truman State,1
0,Callie Warren
0,Jessica Zilch
3,CARLI STANDEN
4,Lauren Kells
6,Emma Randolph
7,Emily Royer
11,PRIYA MAILLACHERUVU
13,Kristina Kohl
14,STEPHANIE SHERMAN
15,LYNN KOCH
17,EMILY FIRSCHING
18,Haley Johnson
20,Christy Crouse
21,Mahliyah Adkins-Threats
23,Madeline Reynolds
24,Jessica Derry
26,Jennifer May
27,MEREDITH HOWARD
31,Corlin Clark
32,Jordan Noland
34,Samantha Daugherty
44,Julianne Crockett
45,Gwendolyn Beckemeier
54,Hanna Mohesky
77,EMILY OTTO
96,JORDAN GANTER
b,r,e,a,k
St Olaf,17
1,JANNA JANSEN
2,Lauren Hagen
4,Tanya Natwick
5,Marika Lundeberg
9,Callyssa Ozzello
10,Beret Amundson
12,Alison Schmitz
13,LAUREN HALAC
14,STEPHANIE VAN DYKE
16,Emma Keiski
17,Grace Freeman
18,Emily Verticchio
19,AUBREY TYLER
21,KIRSTEN WHITE
22,Emilia Lewis
33,Martha (Mattie) Melin
35,ABBY WHITE
47,Laurel Oswald
55,BRITT LETCHER
77,CATE CAVALIER
b,r,e,a,k
Illinois,2
1,Allison Fish
3,Thyra Sandstrom
4,Joline Chang
10,Ariel Choi
11,TAYLOR FRANZEN
13,Kaytee Meagher
17,Anusha Nagabandi
18,Sydney Olund
20,Alex Ballinger
23,Bonnie Lin
24,Loren Goodrich
25,BREANA WINTERS
26,MELISSA KRAMER
27,Michelle Cabahug
30,Jean Huang
32,Vivian Chu
36,Bianca Delgado
42,Monica Oplawski
73,SIDNEY LONG
b,r,e,a,k
Case Western Reserve,18
0,REMY NIMAN
0,ANNABELLE DAVEY
0,Anne Drake
0,Taylor Diesslin
0,MORGAN MACBETH
0,Kristen Stultz
0,JUSTINE KO
0,BETHANY PATELLOS
0,Christina Poole
0,Amanda Noonan
0,Tesia Thomas
0,Danielle Runzo
0,Sharon Yee
0,Lucy Adelson
0,Adele Zawada
