Cooler Classic,Club - Mixed ,16,8,2014
Hartland,WI,2014-08-16,2014-08-17
https://play.usaultimate.org/events/Cooler-Classic/schedule/Mixed/Club-Mixed
NOISE,1
0,ANDREW OTTO
0,CHLOE RIES
0,Michelle VanSchyndel
0,Kevin Herrera
5,Eric Alexander
8,Maria Signore Becker
9,Sam Loveland
01,Francis Kelley
02,Ben Finkelstein
07,Josh Davidson
11,Brittany Hoegh
12,AMANDA LORENTZEN
13,Anna Shanedling
14,Jerome McGinnis
17,Emily Dayton
19,Ari Davidson
21,Adam Trautman
22,Stephen Haynes
24,Lauren Roach
27,Michael Swain
32,Meredith Bray
34,Matthew Becker
44,ASHLEY WEST
65,Josh Levin
66,Michael Gionet
80,Kelly Donovan
88,Claire Kelley
b,r,e,a,k
Des Moines Metro,8
00,Mike Braunsky
03,Ethan Levine
05,Matt Stoker
06,Jonathan Kramer
08,Jennifer Perry
10,Brian Lucido
11,Robert Johnson
12,Michael Brisbois
13,Neal Patel
14,Elyssa Yesnes
15,LYNN KOCH
17,Janani Ragothaman
18,Sarah Leichty
19,Rebekah Reynolds
21,Alexis Rose
23,Jordan Queckboerner
24,Curtis Nuzback
27,SAMANTHA SAUERBREI
29,Adam Levine
42,JESSICA LANGR
44,Jessica Derry
54,Joel Stam
54,Alec Sauerbrei
66,Sarah Stoker
84,Sara Stuedemann
b,r,e,a,k
Love Tractor,4
04,Alison Ling
05,David Protter
06,John (Clay) Heinzel-Nelson
08,Betsy Andrews
09,Nathan Dauchy
11,Liza Boyle
12,JACLYN PHIPPS
15,Lauren Rindels
16,Pete Gadomski
25,Vincent Powell
27,Jesse Kuroiwa
33,David Kamin
38,ERIN NEIL
44,Jacob Zax
51,Scott Forrester
74,Stanley Strunk
77,Tania Reitz
96,KATHERINE NEWBURGH
99,Rhys Lindmark
b,r,e,a,k
panIC,5
02,Rob Hirsch
04,Tyler Roberts
05,Alison Vandegrift
06,Audrey Sanchez
07,Ryan Spaulding
08,ERIC SIEVERS
09,CHRISTOPHER BROWN
11,Bryan Brooks
13,Rebekah Coenen
14,WILLIAM FLANARY
19,Nicole Johnson
21,James Hean
22,Nick Sanchez
23,Patrick Lansdon
28,Cole Stiegler
33,James (Drew) Walters
37,Thomas Kindred
42,Elizabeth Gronert
59,Dana Schrader
66,Tyler Stutzman
84,Nicole Havel
87,Hayley Dennison
88,WILLIAM DONNELLY
93,Lisa Lansdon
99,Dana Demmert
b,r,e,a,k
Interrobang!,2
0,STEVE MEYER
01,Keenan Plew
02,ALEX BASHAM
03,Megan Grygiel
04,Anastasia Foster
08,Peter Carleton
09,Aaron Del Real
11,Anne Hemmelgarn
12,SARAH CRADDOCK
13,Blake Vanderbush
14,HANS RASMUSSEN
15,Robbie Craven
17,Kristin Dudley
20,MATT ANDRES
21,BRIDGET  WELLMAN
22,Aaron Schwartz
23,MONICA LASLEY
24,Colton Steiner
25,Julianne Schmitt
26,Emily Beasley
31,CHRISTOPHER MALACKANY
33,SPENCER LOSCAR
39,Antoine Cava
45,Kristen Kaweck
78,Michael Ames
81,Jamie Smets
99,Mya Hernandez
b,r,e,a,k
Minnesota Star Power,6
0,Ashley Green
02,Julie Bender-Awalt
03,Sierra Barthen
06,Tyler Smith
07,BEN SWANSON-HYSELL
08,Lloyd Vogel
09,ANDI LEISTICO
10,Alex Kensgaard
11,Eva Popp
12,Cloid Green
13,Colette Meller
16,Rebecca Morales
19,Eric Vandermolen
24,JAMES WAGNER
26,Erik Bredesen
28,Erin Henry
33,THOMAS GRUND
34,Scott Schultz
77,Soham Shah
78,Jeremy Keiser
88,DAVID WEHMHOFF
93,SAMUEL TORGERSON
99,Lauren Keiser
b,r,e,a,k
