East New England Mixed Sectionals,Club - Mixed ,13,9,2014
Devens,MA,2014-09-13,2014-09-14
https://play.usaultimate.org/events/East-New-England-Mixed-Sectionals/schedule/Mixed/Club-Mixed
The Ghosts,1
0,Herman (Alex) Weck
0,Eric Anderson
0,JASON SHARRIGAN
0,OLIVER BUCKLIN
0,Daniel Cohen
0,PAUL ALBERT
17,MICHAEL CHAITKIN
b,r,e,a,k
Beezer Ultimate,15
teamInfo,,"Durham, New Hampshire",,,https://twitter.com/beezerultimate
0,AUDREY PHILLIPS
0,Kendall Sebastian
0,DEREK GERVAIS
0,Michael Quinlan
0,MEGAN SELLAROLE
07,Michael Arsenault
11,Jesse Schwartz
12,Keefer Welsh
12,Emma Notini
16,Brady Page
17,BRENDAN LAFLEUR
29,Lydia McLaughlin
44,Daniel Del Tufo
53,Nathaniel Kaplan
54,Jacob Schwartz
84,Grace Cardarelli
b,r,e,a,k
Mixed Nuts,6
teamInfo,,"Boston, Massachusetts",,,
0,SARAH MCARA
0,Matthew Branham
0,Axis Sivitz
0,Conny Morrison
0,Charlotte Zhu
0,Brian Buck
0,Hannah Schurman
1,Alex Gaman
3,BRANDON TRAN
3,TITUS SAMUEL
8,DILLON GARDNER
9,Jarod Payne
02,WILLIAM (BILL) BLINN
11,JESSICA SHEEHAN
12,Jenny Liu
20,Brandon Nadres
20,KESAVAN YOGESWARAN
22,Albert Lee
24,REBECCA VASQUEZ
25,Grant Thomas-Lepore
26,Alex (Wei Yuh) Chang
31,Rob Stone
33,Shi-Min Chin
35,HEATHER BEEM
44,Katherine Buckingham 
85,Richard Schaffer
b,r,e,a,k
Pleasuretown,3
teamInfo,,"Boston, Massachusetts",,,
0,Christopher Tonry
0,KALI JOSEPH
0,ANDREW ROBERTS
0,Laura Masulis
0,Claudia Vasquez
0,JOSEPH LIOTTA
0,KEITH SHAPIRO
0,ELIZABETH NICHOLS
0,Tyler Robinson
0,ROSE GREELEY
0,CHRISTINA KELLEY
0,Rhiannon Myers
0,MATTHEW PACE
0,SUSAN WALTON
0,Timothy Glover
0,CHRIS VASICH
7,Katherine England
7,Grant Fiddyment
8,LOUISA CONNAUGHTON
11,Kiersten Mailler
17,Nadav Pearl
18,ALLISON WEBSTER
19,Garrett Braun
20,Donnelly Roberts
21,Ian Darling
30,George Eichman IV
50,Harrison Greene
b,r,e,a,k
SuckerPunch,11
teamInfo,,"Boston/NH, Massachusetts",,,
0,AARON MAGIL
0,Meriden Estes
0,Trevor Yandow
0,SHIRA Smith
0,Curt Spencer
0,Andrea Parise
0,Daniel Brubaker
0,JOHN OBELENUS
9,Katherine Dennis
15,BLAIR BAILEY
27,Ginie Kwan
34,Joshua Dennis
b,r,e,a,k
Dead Reckoning,14
teamInfo,,"Portland , Maine",,,
0,GABRIEL VICKERY
0,Ashley Damboise
0,Christopher Dean
0,Jason Eisenhuth
05,LEAH BOCH
06,Matthew Brezinski
08,Jacqueline Rogers
16,Mark Hibben
18,Jill Jacobs
22,Kenny Volock
23,Hannah Hyde
31,CHRISTOPHER SHUBERT
33,Charles Wesley
39,Bryan Pringle
71,MICHAEL PAGE
73,AMIE HOLMES
77,Michael Callahan
83,JASON WENTWORTH
88,MICHAEL WEBSTER
b,r,e,a,k
Darkwing,5
teamInfo,,"Mansfield, Massachusetts",,,
0,Michelle Gagnon
0,ALYSSA NEBORSKY
0,Nick Goelz
0,Kathryn Hickey
0,STEPHEN MARVEL-COEN
0,Harriet Booth
0,TOM CONFORT
0,ALEXANDER PINKHAM
0,Claire Staines Hoogeboom
0,Andrew Fredrickson
0,Andrew Schwartz
0,Julie Kafka
0,Erica Tangney
0,Stephen Panasuik
7,Christopher Drury
7,Joe Scully
14,Emily Jensen
15,Daniel Dimascio
17,Ellen Goldberg
23,TAYLOR STRICKLAND
28,Sam Stefanik
33,JUSTINE BUCCI
35,Russell Katz
b,r,e,a,k
Ursidae,4
teamInfo,,"Portland, Maine",,,
0,Brian York
0,Andrew Applegate
0,Madeleine Purcell
0,Kelley Kirwin
0,SIMONE BEAUBIEN
0,Silas Lunetta
0,Marc Flore
0,DEREK WYMAN
0,JACK CHEN
0,Kacy Thibodeau-Harvey
0,Kylie Thibodeau-Harvey
0,Jared Jandreau
0,Bailey Kirwin
0,Scott Stailing
0,Tim Cardoso
0,April Flore
0,Charles Cleary
0,KELLIE WATERMAN
4,JEREMY TOWNE
14,Zachary Janosik
19,Kathleen Janosik
21,Dave Sinnett
22,Samuel Shapiro
41,Lewis Seton
43,Jessica Jandreau
b,r,e,a,k
Drunk in Space,13
teamInfo,,"Boston, Massachusetts",http://drunkinspace.wordpress.com/,,https://twitter.com/drunkinspace_
0,BRIAN CORDES
0,Andy Zentner
0,ALICIA GREEN
0,Tess Geers
0,JILLIAN SERAPHIN
0,Orna Feighery
0,PAUL COUTURE
0,Daniel Miller
0,RHYS THOMAS
0,Lauren Thorpe
0,Hyun Kim
0,LEILA QUINN
5,Michael Downing
8,Damien Sulla-Menashe
10,Anna Luberoff
12,Jon Diamond
12,Isabel Yannatos
13,CLAIRE BURNS
15,Tyler Starr
22,Meg Gatza
23,Evan Ritt
28,Jennifer Ng
34,Bethany Kaplan
37,Alex Margolis
45,Sarah Jeung
51,Nathan Kaplan
57,Kathryn Haapala
b,r,e,a,k
DTH,12
teamInfo,,"Cambridge, Massachusetts",,,@downtohuck
02,Davin Lyons
10,SAM DESROSIERS
11,ELIAS MCQUAID
12,Dan Kwass
13,Sarah Bates
14,ABBY PANOZZO
18,Christopher Shaikh
23,Alex Kostadinov
30,David Wong
33,Victoria Zhang
38,Michael Hill
39,VICTOR LESNIEWSKI
44,RANDY HALL
46,DYLAN DESROSIERS
49,Shimrit Markette
50,Olivia Hampton
50,Tate Molaghan
50,Rachel E Marks
54,Margot Lieblich
65,VIET NGUYEN
79,Laura Shields
85,Joel Solarte
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A Games to 13
The Ghosts,Reading Rainbow,13,0,"09/13/2014, 09:00",Pool A Games to 13,Final
WHUF,Masters In Terror,13,4,"09/13/2014, 09:00",Pool A Games to 13,Final
The Ghosts,WHUF,13,3,"09/13/2014, 11:00",Pool A Games to 13,Final
Blackfly,Masters In Terror,13,0,"09/13/2014, 11:00",Pool A Games to 13,Final
Masters In Terror,Reading Rainbow,11,13,"09/13/2014, 13:00",Pool A Games to 13,Final
Blackfly,WHUF,7,13,"09/13/2014, 13:00",Pool A Games to 13,Final
The Ghosts,Masters In Terror,13,0,"09/13/2014, 15:00",Pool A Games to 13,Final
Blackfly,Reading Rainbow,13,7,"09/13/2014, 15:00",Pool A Games to 13,Final
The Ghosts,Blackfly,13,1,"09/13/2014, 17:00",Pool A Games to 13,Final
WHUF,Reading Rainbow,13,2,"09/13/2014, 17:00",Pool A Games to 13,Final
pool,Pool B Games to 13
Lions,Huckin' for Love,13,4,"09/13/2014, 09:00",Pool B Games to 13,Final
HAOS,Beezer Ultimate,13,5,"09/13/2014, 09:00",Pool B Games to 13,Final
Lions,HAOS,14,12,"09/13/2014, 11:00",Pool B Games to 13,Final
Providence Mob,Beezer Ultimate,13,3,"09/13/2014, 11:00",Pool B Games to 13,Final
Beezer Ultimate,Huckin' for Love,7,13,"09/13/2014, 13:00",Pool B Games to 13,Final
Providence Mob,HAOS,9,13,"09/13/2014, 13:00",Pool B Games to 13,Final
Lions,Beezer Ultimate,13,5,"09/13/2014, 15:00",Pool B Games to 13,Final
Providence Mob,Huckin' for Love,13,9,"09/13/2014, 15:00",Pool B Games to 13,Final
Lions,Providence Mob,13,3,"09/13/2014, 17:00",Pool B Games to 13,Final
HAOS,Huckin' for Love,8,10,"09/13/2014, 17:00",Pool B Games to 13,Final
pool,Pool C Games to 15
Pleasuretown,SuckerPunch,15,7,"09/13/2014, 11:00",Pool C Games to 15,Final
Mixed Nuts,Dead Reckoning,15,3,"09/13/2014, 11:00",Pool C Games to 15,Final
Mixed Nuts,SuckerPunch,15,5,"09/13/2014, 13:00",Pool C Games to 15,Final
Pleasuretown,Dead Reckoning,15,7,"09/13/2014, 15:00",Pool C Games to 15,Final
SuckerPunch,Dead Reckoning,15,8,"09/13/2014, 17:00",Pool C Games to 15,Final
Pleasuretown,Mixed Nuts,12,13,"09/13/2014, 17:00",Pool C Games to 15,Final
pool,Pool D Games to 15
Ursidae,DTH,15,9,"09/13/2014, 11:00",Pool D Games to 15,Final
Darkwing,Drunk in Space,15,8,"09/13/2014, 11:00",Pool D Games to 15,Final
Darkwing,DTH,15,9,"09/13/2014, 13:00",Pool D Games to 15,Final
Ursidae,Drunk in Space,15,6,"09/13/2014, 15:00",Pool D Games to 15,Final
DTH,Drunk in Space,3,15,"09/13/2014, 17:00",Pool D Games to 15,Final
Ursidae,Darkwing,14,15,"09/13/2014, 17:00",Pool D Games to 15,Final
b,r,e,a,k
brackets,Sunday Brackets
bracket,1st Place bracket
The Ghosts,Mixed Nuts,15,6,"09/14/2014, 13:00",Championship,Final
The Ghosts,Darkwing,1,0,"09/14/2014, 09:00",Semis,Final
Lions,Mixed Nuts,8,15,"09/14/2014, 09:00",Semis,Final
bracket,2nd Place Bracket
Mixed Nuts,Pleasuretown,4,15,"09/14/2014, 15:00",2nd/3rd,Final
Lions,Pleasuretown,6,13,"09/14/2014, 13:00",2nd place Rd 3,Final
Lions,Ursidae,1,0,"09/14/2014, 11:00",2nd place Rd 2,Final
Pleasuretown,Darkwing,1,0,"09/14/2014, 11:00",2nd place Rd 2,Final
WHUF,Ursidae,1,0,"09/14/2014, 09:00",2nd place Rd1,Final
Pleasuretown,HAOS,1,0,"09/14/2014, 09:00",2nd place Rd1,Final
bracket,4th Place bracket
Lions,Darkwing,15,5,"09/14/2014, 15:00",4th/5th,Final
Ursidae,Darkwing,0,1,"09/14/2014, 13:00",4th place Rd 3,Final
bracket,6th Place bracket
Ursidae,WHUF,15,4,"09/14/2014, 15:00",6th/7th Game to go,Final
HAOS,WHUF,0,1,"09/14/2014, 13:00",6th place Rd 3,Final
HAOS,Drunk in Space,1,0,"09/14/2014, 11:00",6th place Rd 2,Final
SuckerPunch,WHUF,0,1,"09/14/2014, 11:00",6th place Rd 2,Final
Blackfly,Drunk in Space,0,1,"09/14/2014, 09:00",6th place Rd 1,Final
SuckerPunch,Providence Mob,15,8,"09/14/2014, 09:00",6th place Rd 1,Final
bracket,8th Place bracket
HAOS,SuckerPunch,0,1,"09/14/2014, 15:00",8th/9th,Final
Drunk in Space,SuckerPunch,0,1,"09/14/2014, 13:00",8th place rd 3,Final
bracket,10th Place Bracket
Drunk in Space,Blackfly,0,1,"09/14/2014, 15:00",10th/11th,Final
Providence Mob,Blackfly,12,13,"09/14/2014, 13:00",10th place Rd 3,Final
Providence Mob,Reading Rainbow,15,8,"09/14/2014, 11:00",10th place Rd 2,Final
Huckin' for Love,Blackfly,0,1,"09/14/2014, 11:00",10th place Rd 2,Final
Reading Rainbow,DTH,13,11,"09/14/2014, 09:00",10th place Rd 1,Final
Dead Reckoning,Huckin' for Love,6,15,"09/14/2014, 09:00",10th place Rd 1,Final
bracket,12th Place Bracket
Providence Mob,Huckin' for Love,1,0,"09/14/2014, 15:00",12th/13th,Final
Reading Rainbow,Huckin' for Love,6,10,"09/14/2014, 13:00",12th place Rd 3,Final
b,r,e,a,k
pools,15th - 18th Placement
pool,Pool E
Masters In Terror,Beezer Ultimate,0,0,"09/14/2014, 15:00",Pool E,Scheduled
b,r,e,a,k
