Presidents' Day Invitational 2014,College - Women ,15,2,2014
La Jolla,CA,2014-02-15,2014-02-17
https://play.usaultimate.org/events/Presidents-Day-Invitational-2014/schedule/Women/CollegeWomen/
Oregon,1
02,Jesse Shofner
03,LAETITIA GUILLET
04,LILY HERD
05,Gabrielle Aufderheide
06,Angela Tocchi
07,Alex Ode
08,Ashley Young
09,OLIVIA BARTRUFF
10,Sophie Darch
11,Bethany Kaylor
12,KASEY HARRIS
13,Amelia (Molly) Lanning
14,Sarafina Angstadt-Leto
15,ANDREA FONTENOT
16,Adrienne (Adie) Bovee
19,Lillian Weaver
20,Hope Zima
22,Rachel Hershey
25,Foley Galvin
27,Hayley Wahlroos
44,KAITLIN BRUNIK
b,r,e,a,k
Texas,8
0,Marissa Land
3,Naomi Clarke
4,Laura Moreno-Vasquez
5,Shereen Rabie
6,ANALISA MAURICE
7,KELLY LAVINE
8,Diana Charrier
12,Rachel Wong
13,ANGELA LEE
14,Andrea Esparza
15,Sydney Overman
17,Brady Cowiestoll
18,LAUREN MCKENNA
20,Susan Gilbert
26,LAURA VARGAS
33,Kayla Ramirez
77,JOURDIN STEWART
85,Jasmine Venzant
89,Shiru Liu
b,r,e,a,k
UCLA,9
1,CELAENA POWDER
02,MEGAN BECK
03,Jamie Lam
06,Anjali Mehta
07,KELLYANNE TANG
08,Alexa Cohen
10,Kristen Pojunis
12,Chip Chang
13,Alexis Whitaker
14,Julia Tang
16,Alyssa Worsham
17,Margot Stert
18,Camille Wilson
19,Ann Lee
20,Vivian Griffey
21,Ellen Smith
22,Kaitlin Swinnerton
23,BREANNA DIRKSE
25,Han Chen
31,Kathleen Lo
87,Kelcie Ralph
89,Tiana Rangchi
99,Maria Kazantsev
b,r,e,a,k
California-Davis,16
0,Amanda Meroux
0,Lindsay Hedgecock
0,Michaela Lee
0,ELISE ZARRI
0,GRACE KO
0,LAUREN YAMAMOTO
0,JAZMIN JORDAN
0,HANNAH GRINBERG
0,Veronica Chan
0,Kelsey Clausen
0,Cheryl Hsu
0,MAIA NOFAL
0,Neena Kashyap
0,Zhimin Xie
0,Amy Zhong
0,ROXANNE BANKER
6,Kalene Morozumi
6,HEATHER KENNY
16,Sarah Sanders
21,Christine Truong
23,Kristina Geddert
b,r,e,a,k
Southern California,17
0,Connie Chan
2,EVANGELINE ANG
3,Lily Dai
4,Amy Lee
5,KATHRYN FOWLER
7,Merrilyn Chew
8,Becklin Davis
9,Yuchen Jin
01,CLAIRE BAZLEY
10,Julia Johnson
11,Rona Sheen
12,Linda Hamon
13,MALLA KEEFE
14,Sammi Wong
15,Rachel Chang
16,Lian Lash-Rosenberg
17,Joyce Wen
18,ALAINA GEORGE
20,Zoe Serbin
21,Kristine Brown
22,HELEN YUAN
24,Avalon Igawa
34,DANIELLE LEE
55,Kelly Billings
57,CARLA FRANKENBACH
90,Annie Lee
b,r,e,a,k
Washington,2
2,Miranda Moore
3,Samantha Hing
4,ALYSIA LETOURNEAU
9,MICHELLE HERMAN
10,Shira Stern
11,Nora Landri
12,Lucia Williams
13,Kit Carle
14,Nicole Cramer
16,Kate Wilburn
17,VICKIE SU
18,Allison Tjader
20,Grace Noah
21,Camille Canter
22,SARAH EDWARDS
25,Molly Boyd
36,GEORGIA SEYFRIED
37,BAILEY KILMER
47,Amanda Kostic
67,Kelley Hall
99,Noelle Takahashi
b,r,e,a,k
Whitman,7
0,Alex Hardesty
6,Jessica Shatkin
7,Arianne Lozano
8,Amanda Lu
9,Brenna Bailey
04,Corinne Pingul
10,Julia Bladin
12,KATHERINE BENJAMIN
15,KARI PAUSTIAN
16,Julia Gesenway
20,Annie Want
21,CELINE VALENTIN
22,Melanie Jochheim-Atkins
28,Claire Revere
33,Margo Heffron
38,Amber Lombard
42,Elissa Picozzi
54,MARLENA SLOSS
b,r,e,a,k
California-San Diego,15
0,Shelby Triplitt
0,Elizabeth Cowan
0,HANNAH PEREZ
0,MELISSA STINE
0,AMELIA WONG
0,MARISSA RUXIN
0,CHELSEA HERRMANN
0,ERIKA DANDREA
0,ANYA DIAMOND
0,Julia Salvacion
0,Cristina Kuizon
0,Maria Zavala
0,Katie Tam
0,Rachel Ling
0,Alyssa Lopez
0,Jillian Du
2,RACHEL KATE HOMER
11,Cynthia Yee
16,Jorie Moore
17,Marion Alberty
19,Juliana Jordan
22,Sheliemae Lai
29,Katrina Kalantar
b,r,e,a,k
California-Santa Cruz,18
0,Casidee McDonough
0,MOLLY NAGLE
0,DAPHNE GORMAN
0,WINNIE ELLERMAN
0,Delphine Wartelle
0,Emily Kolanz
0,KELCIE MEYER
0,Esperanza Ramos
0,BRITTANY ALIADO
0,Madison Jeong
0,Emily Healy
0,Hannah Cheng
0,Nikki Stokman
0,FRANCESCA CAMPOS
3,Brieana Polk-Perez
25,Justine Rouleau
28,Judith Wang
29,BAILEY RAMOS
37,Frances Hamkins-Indik
b,r,e,a,k
Arizona State,10
05,Brianna Kuna
07,Cynthia Thomas
11,Katlyn Kaiser
18,BRITTNEY POTZLER
20,KATELYN PITMAN
23,Megan Mendieta
28,Melissa Dunn
32,ROSA FRANKLIN
33,KELLY PAYNE
34,RONIS ABA
34,Kristen Bennett
42,Nithya Subramanian
44,Ximenna Hofsetz
54,ROBIN MALANOWSKI
69,YASMEINE ABBASSI
b,r,e,a,k
Victoria,3
0,KIRA BEUKEBOOM
0,Patricia Massel
0,Nicola Parker
0,TASHA CAMERON
0,Shannon McFadyen
0,JENNIFER BROWN
0,JOANNA STRATTON
0,Natasha Wong
0,Jessie Bell
0,Paige Quinn
0,MAIRIN BEREZAN
0,Katie Hikida
0,MARY CAMERON
0,MONICA WHITNEY-BROWN
0,ALEXANDRA OMAND
7,JILLIAN OQUINN
8,KATE SCARTH
13,CORINNE DUNWOODY
17,Allison Short
32,Danie Proby
33,Maria Walker
81,Lillian Pham
93,Naomi Redmond
b,r,e,a,k
Michigan,6
1,Alyssa Abbey
3,Kati Turner
4,Becky Moore
11,Tracey Lo
14,Theresa Zettner
20,Emma Boyd
21,Meeri Chang
22,Meghan Drews
24,Charlotte Wilson
27,Bailey Besser
34,Carolyn Vlach
37,Hannah Henkin
44,Grace Denney
72,Jacqueline Jarik
b,r,e,a,k
Harvard,19
02,Jacqueline Martinez
03,Eliza Chang
06,Pin-Wen Wang
