Easterns Qualifier,College - Men ,22,2,2014
https://play.usaultimate.org/events/Easterns-Qualifier/schedule/Men/CollegeMen/
North Carolina-Wilmington,1
00,Tate Tabtieng
00,Rally Steinmetz
00,Xinran Wang
00,DEV PATEL
00,SEAN ANDERSON
00,Grant Steiger
00,Connor Boyle
00,Emilie Mohler
00,ANDREW BIAESCH
06,Doug Roman
09,Himalaya Mehta
b,r,e,a,k
Massachusetts,7
0,SAMUEL RICHARDSON
0,PETER MCGINN
0,Maxwell Perham
0,JOSH HIRSCHMAN
0,ELLIOT JERRY
0,Brian Rodriguez
0,Benjamin Katz
0,Casey Clapp
0,DAVID DIBIASE
0,Kevin Norton
0,GEORGE MILNE
0,DAVID LUNETTA
2,Benjamin Tseytlin
3,Elliot Lee
8,Ben Sadok
10,Wesley Johnson
11,Conor Kline
21,Manit Munshi
28,Aaron Raskin
31,Jeffrey Babbitt
44,Giancarlo Cincotta
47,Alec Zabrecky
b,r,e,a,k
North Carolina State,2
0,Ryan Sawaya
00,MITCHELL JONES
00,REED BERGER
00,Daniel Rolando
00,Jamie Haigh
00,Brandon Libro
00,JACOB VOLLMER
00,MICHAEL BLEYER
00,Kiron Allen
00,Patrick Cheeves
00,Samuel Hancock Jr
00,Clayton Carey
00,Alex Bienkowski
00,Mason Gardner
00,Alec Grusky
00,Daniel Bayha
00,Blaine Taylor
00,TYLER CANINGTON
00,John Luke Sumerel
00,Danny Schmitt
00,Jacob McGoogan
00,Jeff Wiltgen
00,Davis Mossman
00,D. Paul Barnes
00,ANDREW MOORE
b,r,e,a,k
Maryland,18
01,ALAN BRANSON
02,DAVIDSON GIRARD
03,Eric Biggs
04,Robert Krasnansky
05,ZACHARY JEFFREY
06,JOSEPH NEVILLE
07,Liam Toal
10,Geoffrey Chan
11,Lucas Denit
12,DOUGLAS LAVIN
13,DANIEL MONGEON
14,ALEXANDER MOSES
15,JARED BRODY
17,Tom Noll
18,Nate Pascale
19,Garrett Yung
20,Isaac Kinton
21,Max Cassell
22,Ryan Swift
24,Peter Mancini
33,Mark Lin
37,Chip Selden
39,Taylor Knapp
42,Sean Manning
43,Nathan Prior
49,ZACHARY ARGUELLES
64,RYAN KIRK
74,Andrew Creighton
85,Kevin Ludwig
87,MARK MIFSUD
b,r,e,a,k
Ohio State,10
1,Andrew Farrand
2,DAN ARTERS
3,KEVIN SMEARSOLL
5,GARRETT MARKLEY
6,ETHAN SPADE
7,Cody Fox
8,Zachary Weaver
9,Ryan Kindell
04,Eric Schumacher
11,DAVID ABOOD
13,Wilson Gardner
14,DUSTIN KLEIS
15,Ethan Stahlman
17,Ben Krumpelman
18,Amifred Williams
19,Paul Arters
20,Andrew Klarner
21,Zach Sieber
24,JEREMY MOSS
25,Dan Urbanek
26,Jon Simpson
35,Mitchell O'Connor
66,BRYAN BARRETT
88,Zach Peugh
b,r,e,a,k
Rutgers,15
00,KYLE POTKAY
00,Curtis Wang
00,Brian Schumm
00,RICHARD WONG
00,ALEXANDER KONG
00,Christian Weisenbacher
00,ANDREW ZHANG
00,Shashank Alladi
06,Jibran Mieser
09,Jonathan Rosen
11,Scott Xu
16,Justin Lamarche
19,Andrew Auyeung
43,Josue Alorro
59,Drew Rasmussen
61,Matthew Weintraub
88,Sean Stratton
89,MICHAEL KICHURA
b,r,e,a,k
Appalachian State,23
0,BRYAN MAASS
3,Ryan  Schanz
5,RURICK KELLERMANN
8,Benj Thomsen
11,Adam Russell
12,Austin Olive
17,NICHOLAS GILLIAM
20,Alex Riek
23,Jeff Nordgren
27,KEVIN BYRLEY
29,Mark Stumpf
33,Jeffrey Colby
46,Brian Hee
47,Alexander Nicholos
49,Ryan Rhodes
83,Ian Barry
93,Ian Combest
99,Santino Thornton
b,r,e,a,k
Virginia,3
0,ROSS HARDING
1,JACK CRAWFORD-BROWN
2,MAX MULCAHY
3,NAZZARENO SPURIO
4,Dane Warner
5,EVAN SACKS
6,MIKE PURZYCKI
7,HENRY LEGARD
8,Eric Gillwald
9,PHILIP ADDINGTON
11,Richard Young
12,Jacob Merlin
13,JOSHUA CRUZ
17,Michael Parente
18,JARED PASETSKY
19,JORDAN ROBARGE
23,Emilio Craddock
24,PATRICK DONOVAN
28,ANDREW KAIDEN
33,BRANDON HENTON
35,COLBY ISENBERG
44,JACOB BARNES
55,GRAHAM SNOW
81,Tyler Berkeley
86,DANIEL HESS
b,r,e,a,k
Minnesota-Duluth,6
00,David Huber
01,JACOB ANDERSON
02,Adam Shearen
03,Andrew Pipp
05,DAVID MACH
06,BEN CAMMACK
07,Josh Lemieux
09,Carlos Wolle
10,Tristan Grovender
12,Frank Fairchild
13,Jordan Vlastuin
14,JACOB PROVART
15,Dylan Brandell
22,Robert  Kostick
23,WILLIAM DOHERTY
24,ANDREW ROBERTS
28,Brian LaFrance
30,Curtis Cammack
34,James Kittlesen
35,Shaun LaFrance
42,Matt Burkhardt
73,Chizoba Anosike
92,Martin Stecker
b,r,e,a,k
Georgetown,11
0,Houston Parks
01,Matthew Javitt
02,Nick Stabile
03,Greg Przedpelski
04,Taylor Culman
05,IVAN ROBINSON
07,Kevin Donlin
09,Danton Noriega-Goodwin
12,John Recchia
13,Nico Lake
17,Cooper Joy
19,Scott Hampton
21,Aidan McLeod
22,THOMAS CHIN
23,ADAM DORKO
24,ALEX LAWRENCE
25,Charlie Patten
26,CHARLES PETITPAS
27,Steven Wartinbee
29,LUKE CARTER
55,Joshua Tsung
80,Troy Holland
88,CHARLES ZHOU
b,r,e,a,k
James Madison,19
00,SAMUEL FENSTERMACHER
02,Bjorn Johnson
03,Cam Barnhardt
05,BRETT WOODWARD
06,James Friscia
07,MATT MURPHY
08,William Strauss
09,Griffin Lang
11,Andrew Crumpler
12,BRIAN SCHOLL
17,Kevin O'Malley
20,Kyle Woodward
21,Benjamin Green
25,John Dickerson
28,ABNER REYES
30,Quinn Bergeron
