Colorado Cup (TCT Elite-Select Challenge),Club - Men ,2,8,2014
Aurora,CO,2014-08-02,2014-08-03
https://play.usaultimate.org/events/Colorado-Cup-TCT-Elite-Select-Challenge/schedule/Men/Club-Men/
Rhino,9
teamInfo,,"Portland, Oregon",,,
0,Tyler Cable
01,Jacob Janin
03,Tanner Marshall
04,ELI BLACKMAN
05,Peter Woodside
06,Cody Bjorklund
07,Eli Friedman
09,Chris Hancock
11,Steve Kenton
13,Timmy Perston
17,Raphael Hayes
20,James Shaw
21,Benjamin McGinn
22,Grant Cole
27,Trevor Smith
31,Kevin Minderhout
36,Adam Fagin
42,Ben Lohre
51,Russell Mayhew
55,Dylan Freechild
70,Christopher Strub
77,Jason Holleran
86,Jack Slevin
88,DAN SUPPNICK
99,KELLYN VAN ARSDALE
b,r,e,a,k
Ring of Fire,1
teamInfo,,"Raleigh, North Carolina",,,
coaches,Michael Denardis
0,Micah Hood
0,Mark Evans
0,JARRETT BOWEN
0,Josh Mullen
0,Jonathan Nethercutt
0,Josh Norris
0,Tristan Green
0,Ken Porter
0,Ben Dieter
0,Jacob McGoogan
0,Kristjan Loorits
0,Justin Allen
0,Matt Bode
0,Shane Sisco
0,Noah Saul
0,Stephen Bender
0,Joey Cretella
1,DANIEL KANTOR
2,Hunter Taylor
5,Taylor Pope
8,Terrence Mitchell
11,DENNIS TARASI
17,Brian Clark
22,Brian Casey
29,Christian Johnson
51,Tim McAllister
b,r,e,a,k
Boost FC,8
teamInfo,,"Crescent City, California",,,https://twitter.com/boostultimate
coaches,Daniel Silverstein
01,Joaquin Nagle
04,Charles Cao
06,DREW KIM
07,KEVIN AHA
08,James Pollard
09,Tommy Adams
10,Kohji Sugioka
11,THOMAS LASSETTER
14,Kris Thomson
15,Lucas Young
16,CHRIS MCCARTY
17,NOLAN WALSH
18,Cullen Coyne
20,Kirkwood Alex Cloud
21,Jackson Stearns
24,Jason Yun
25,Gary Dixon
42,Brandon Fein
54,Daniel Chazin
57,Ian Meyer
73,Elliott Chartock
b,r,e,a,k
Dire Wolf,16
teamInfo,,"Pittsburgh, Pennsylvania",,,
0,Vivek Devaraj
0,Scott Trimble
0,JARED MANZO
0,Andrew Willig
0,ADAM KNOWLTON
0,Griffin Lang
0,AARON KANE
0,MASON STRAWSER
0,ALLEN RAKERS
0,Aaron Weiss
0,CHRISTOPHER GATTI
0,Tad Wissel
0,Michael Pannone
4,Ben Banyas
8,Jeremy Kanter
8,Nicholas Audette
11,Jeff Truskin
13,Brice Dunn
13,Jesse Kummer
18,Jed Farber
24,Alexander Thomas
25,Marcus Thaw
32,Steven Mogielski
84,Dave Angeletti
b,r,e,a,k
PoNY,2
teamInfo,,"New York, New York",modules/common/www.pony-ultimate.com,https://www.facebook.com/ponyultimate,https://twitter.com/PrideofNY
0,Chris Neitzey
0,Sean Childers
0,Quinn Hunziker
0,Robert (Robbie) Gillies
0,William Katz
0,Michael Brenner
4,ANDREW WILKES
5,Michael Sender
6,Chris Mazur
7,Taylor Brooks
8,Jack Marsh
10,David Ferraro
13,Alberto Alarcon
14,David Vuckovich
17,Matthew Stevens
24,Daniel Glatt
26,Andrew Bosco
31,John Wodatch
33,Jake Herman
42,Ben Van Heuvelen
42,John Geraghty
50,Milo Snyder
b,r,e,a,k
Madison Club,10
teamInfo,,"Madison, Wisconsin",http://madisonultimate.blogspot.com/,https://www.facebook.com/pages/Madison-Club-Ultimate/121863521240182,https://twitter.com/MadisonClub
0,FRANKLIN LI
01,ADAM DREWS
02,Logan Pruess
03,Benjamin Sullender
04,Davis Whitehead
06,Bill Everhart
07,Hector Valdivia
08,Benjy Keren
09,Andrew Meshnick
