Northeast Mixed Regionals,Club - Mixed ,28,9,2014
Devens,MA,2014-09-27,2014-09-28
https://play.usaultimate.org/events/Northeast-Mixed-Regionals/schedule/Mixed/Club-Mixed
Wild Card,1
0,Seth Reinhardt
0,PETER SCHMIDT
0,William Dean
0,LEE FARNSWORTH
0,Adrian Banerji
0,Hailey Alm
0,Denis Agniel
0,Shellie Cohen
0,Lauren Sheffels
0,Samuel Dinning
0,JOSEPH SOTTOSANTI
0,Emily Eisner
0,Lauren Nelson
0,Lily Steponaitis
0,Lee-Or Ankori-Karlinsky
0,Anna Chute
0,Ian Engler
0,Katharine Sullivan
0,Eva Petzinger
0,Kara Hammer
0,Laura McFeely
7,Alyson Steinfeld
11,Lloyd Olson
16,Vincenzo Vitiello
24,David Reshef
33,Scott Gatto
35,Cody McInnis
b,r,e,a,k
Slow White,2
0,Shaun Krieger
0,Jeff Smith
0,DAN PATISTEAS
0,Aimie Kawai
0,Alison Main
0,Julie Sussman
0,Geoa Geer
0,India Stubbs
0,Hannah Baranes
0,Annie Fisher
0,PHOEBE SHAMBAUGH
0,Todd Herman
0,Ernest Svenson
2,CASSIDY EDWARDS
4,Dave Truesdale
5,Shaun Doherty
8,Ryan Richardson
10,Michael Miller
11,Evan Patisteas
12,Christopher Waite
17,Kirsten Lundquist
21,Stephen Sullivan
24,Andy Schachter
25,Alexander Trahey
35,Corey Flynn
42,Mary Glickman
69,Adrienne Altobelli
b,r,e,a,k
The Ghosts,4
00,Hannah Walter
03,Sophia Herscu
04,Jackie Booth
05,COURTNEY MOORES
07,MICHAEL WISEMAN
08,Casey Terp
09,Chelsey Burrows
11,Mathieu Bordeleau
13,Amber Sinicrope
14,Mei Bruist
16,TERRY ROTH
18,Timothy Spittle
20,Kathryn Flood
21,PAUL VANDENBERG
24,Misha (Michael) Horowitz
25,Amelia Murphy
27,Courtney Verhaalen
29,Eric Stevens
31,Beth Nakamura
32,Anne Lightbody
46,Ruozhou Ye
47,SEAN FARRELL
49,David Wheeler
50,JOSHUA TORELL
72,JEROME BOUCHER
73,Andrew Medeiros
75,Paul Batten
b,r,e,a,k
SHUYAMOUF,6
0,Joseph Anderson
0,William Olli
0,Caitlin O'Connell
0,Sean Murray
0,JEFFREY HO
0,Elizabeth Gupta-Harrison
0,Eugene Yum
