D-I College Championships,College - Men ,23,5,2014
Mason,OH,2014-05-23,2014-05-26
https://play.usaultimate.org/events/USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/
Colorado,1
teamInfo,Mamabird,"Boulder, Colorado",,,
00,Mark Rauls
02,ZACHARY KRIEGER
07,Hidde Snieder
08,Pawel Janas
09,Peter Gleason
10,Max Trotter
11,Joshua Crane
12,Tim Morrissy
15,Dennison Bechis
17,Tristan Voss
18,Philip Sun
20,Jack Barrow
21,J Wesley Chow
23,Jimmy Mickle
24,Matt Bubernak
26,Stanley Peterson
27,Andrew Commander
28,Andrew Nelson
29,Matt Gleason
35,Todd Wolma
44,Jesse Fisher
80,Jeremy Harker
92,Joseph Carrara
b,r,e,a,k
Harvard,8
teamInfo,Red Line,"Cambridge, Massachusetts",http://www.hcs.harvard.edu/~disc/,https://www.facebook.com/HarvardUltimate,https://twitter.com/harvardultimate
01,Andrew O'Rourke
02,Ryan Kerr
04,Jeremy Nixon
05,DANNY BROUDY
06,James Thurm
07,Adrian Pforzheimer
08,JACOB (JAKE) MCNAMARA
10,Mark Vandenberg
11,JOHNATHON DAVIS
12,Benjamin Scharfstein
13,Michael Aderhold
14,John Stubbs
17,Tsuki Hoshijima
18,Harry Stone
19,William Dean
22,Alexander Hem
24,David Reshef
25,WES WELCH
26,Matthew Thiman
30,Wynn Tucker
38,FRASIER LILJESTRAND
71,JONAH HAHN
b,r,e,a,k
Wisconsin,12
teamInfo,Hodags,"Madison, Wisconsin",http://www.hodags.org/,https://www.facebook.com/pages/Wisconsin-Hodags/118125241585256?ref=br_tf,@hodaglove
coaches,Hector Valdivia
00,BRIAN NOVOTNY
06,ARTHUR HERLITZKA
07,Avery Johnson
09,Erik Jorgensen
10,Jordan O'Neill
11,Sterling Knoche
12,Chris Wilen
14,WILLIAM KLUENDER
16,DANIEL  STULIGROSS
17,Thomas Gallagher
19,Sam Loveland
20,NICK ZEMAN
22,Aaron Speiss
23,Graeme Kernick
25,Ross Barker
32,Colin Camp
37,Jan Szmanda
41,Colin Sunde
44,Nicholas Ladas
57,Austin Reif
76,BEN REHMANN
