Metro East D-I College Men's Regionals,College - Men ,3,5,2014
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/
Cornell,1
0,Russell Gray
0,Robert Rickert
0,Alex Eacker
0,ETHAN KANNEL
0,Nick James
0,Jordan Diamond
0,Carsten Thue-Bludworth
0,Yi Fan Wang
0,FRANKLIN LI
0,AUSTIN HARTLEY
0,Christopher Perrotti
0,DAN GOLDBERG
0,Adah Shih
0,Kyle Glavey-Weiss
0,JAKE STEVELMAN
1,Matt Chun
2,Jamie McClintock
6,Gordon Peterson
11,Joe Thompson
15,Alex Semaca
18,John Brancato
24,Walter Cai
54,Robert Vander Meulen
68,Andrew Parmet
69,JACOB HERNANDEZ
77,Jacob Herrera
87,Daniel Wekstein
88,Nate August
b,r,e,a,k
NYU,8
0,MATAN YAH BEN ZION
02,Jayson Lian
03,Samuel Pollack
04,Jaime Perez
05,Nelson Ng
07,Christopher Tian
09,Gerald Tigol
10,STIJN TALLOEN
11,Max Cohen
15,Rohith Rao
16,Ian Guerin
19,Jesse Rice
20,Christopher Harvey
21,Richard Kim
23,Ross Perkel
27,Jason Angell
30,Rajat  Pillai
42,Chris Granger
44,KEANAR YEE
52,Anton Boutkov
55,BRIAN MASON
99,Antonio Vayas
b,r,e,a,k
Rowan,12
0,SHANE PHILIPPI
0,NICHOLAS COSTANTINI
0,tyler bishof
0,Christopher Lesniak
0,SCOTT PEDERSEN
0,KEVIN RODIER
0,Eric Ulbrich
0,ANDREAS GABRIELSEN
0,WILLIAM HOFFMAN
0,Christopher Alaimo
1,RYAN SHAMY
3,ANDREW HAUPIN
4,Robert Altieri
16,BRANDON RUSSO
18,DAVID NELSON
22,Collin Hurler
42,CHRISTOPHER GALLO
57,RYAN MURPHY
72,Michal Helmstetter
81,ANDREW WEIDNER
85,Michael Campanella
b,r,e,a,k
Hofstra,13
0,Graham Potters
0,Ryan Lopez
0,ETHAN MAGEE
0,Joseph Murphy
0,Brandon Ciappina
0,Kyle Meranus
0,Brian Stieglitz
0,Eric Katzen
0,SAMUEL KAPLAN
0,Zach Zain
0,Ryder Moriarty
0,Ryan Reyes
0,Julio Macario
0,Sam Casadevall
0,Danny Lee
0,Zach Sakaan
2,Brian Kelly
3,RICH DEMAIO
4,Anthony Giambrone
7,Eric Moore
10,THOMAS BUTLER
15,Kenton Scott
22,TYLER GRIES
26,COLIN ADAMS
27,KRISHNA DAVE
28,THOMAS CARUANA
66,SPENCER RIGGINS
85,Patrick Francois
b,r,e,a,k
Connecticut,2
0,CHRISTOPH HARRIS
01,Kevin Chubet
02,NICHOLAS SILBART
06,Phil Case
11,Corey Danko
12,MILES RADIN
14,Owen Casey
15,CHARLES MORGAN
20,Will Percival
22,Michael Arcata
25,Richard McFadden
28,RYAN POSSARDT
30,Bryan Pfalzgraf
31,John Wodatch
33,Daniel Reilly
57,Michael Rice
62,Tom Bertrand
70,Umang Gangwar
74,Geoffrey McCallum
96,Pat Kunkel
99,Gavin Clemmey
b,r,e,a,k
Columbia,7
0,DEREK YAN
