D-I College Championships,College - Women ,23,5,2014
Mason,OH,2014-05-23,2014-05-26
https://play.usaultimate.org/events/USA-Ultimate-D-I-College-Championships/schedule/Women/CollegeWomen/
Ohio State,1
teamInfo,Fever,"Columbus, Ohio",http://feverultimate.org.ohio-state.edu/,modules/common/www.facebook.com/OSUFever,https://twitter.com/FeverUltimate
coaches,Nick Hamilton,Brent Reeb,DeAnna Ball
00,Paige Soper
03,Alaine Wetli
05,Stephanie (Stevie) Miller
06,MICHELLE HABLITZEL
07,Emily Steedman
08,Caitlin Harley
12,Katie Backus
14,Cassandra Swafford
15,Emma Schroder
16,CAITIE SHEBAN
17,Lauren Franke
19,Jenna Galletta
22,Kristi Muhlenkamp
24,Elizabeth Gates
27,CORINNE MURPHY
28,ANNA DORFI
44,Malika Smoot
71,Olivia Bayer
99,Caitlin Duffner
b,r,e,a,k
Virginia,13
teamInfo,Hydra,"Charlottesville, Virginia",,,
coaches,David Allison
00,Audrey Isaac
01,Emma Price
07,Janie Mockrish
08,Theresa Hackett
09,Laura Landis
10,Nada Tramonte
11,Kathryn Hannum
12,Emily Leivy
13,Alika Johnston
14,Amy Wedmore
18,Melanie Chastka
23,Michele Derieux
24,Kelly Ross
27,Rebecca Meeker
30,Brogan Jones
31,Sarah Hansen
32,Rebecca Driver
34,IBBY HAN
44,Keila Strick
52,Tess Warner
b,r,e,a,k
Michigan,8
teamInfo,Flywheel,"Ann Arbor, Michigan",modules/common/www.flywheelultimate.com,,@UmichFlywheel
coaches,KRISTIN ESSARY,Julia Weinert
01,Alyssa Abbey
02,Maggie Price
03,Kati Turner
04,Becky Moore
06,AMANDA WHITEHOUSE
11,Tracey Lo
14,Theresa Zettner
17,Maya Grumeretz
20,Emma Boyd
21,Meeri Chang
22,Meghan Drews
24,Charlotte Wilson
27,Bailey Besser
34,Carolyn Vlach
37,Hannah Henkin
44,Grace Denney
72,Jacqueline Jarik
b,r,e,a,k
Victoria,12
teamInfo,Vixens,"Victoria, British Columbia CA",modules/common/uvicultimate.com,,@uvixensultimate
03,Patricia Massel
04,MAIRIN BEREZAN
05,JENNIFER BROWN
07,Naomi Redmond
08,KATE SCARTH
09,JOANNA STRATTON
11,Katie Hikida
12,KIRA BEUKEBOOM
13,CORINNE DUNWOODY
15,MARY CAMERON
16,Jessie Bell
17,Allison Short
21,ALEXANDRA OMAND
