Motown Throwdown,Club - Mixed ,26,7,2014
https://play.usaultimate.org/events/Motown-Throwdown-2014/schedule/Mixed/Club-Mixed
Santa Maria,1
00,Greg Eckhart
00,Nathan Buddemeyer
00,David Bentrovato
00,Nick Hamilton
00,Nancy Haskell
00,Jenna Galletta
00,Stephen Booth
00,Paige Soper
00,Timothy San Pedro
00,Katie Backus
00,Janine Walker
00,Alaine Wetli
00,Kristen Smiach
00,CHRIS RATCLIFF
00,Daniel Shonk
00,Caitlin Harley
00,Eliot Alexander
00,Michael (Mike) Ford
00,Nathan Landry
00,Andrew Farrand
00,Kevin Kula
00,Stephanie (Stevie) Miller
00,KILLIAN HOLLO
00,Elizabeth Gates
00,Sarah San Pedro
05,Jeff Kula
b,r,e,a,k
ELevate,9
0,Lisa Paluszkiewicz
2,Kevin Schwartzenberg
4,Matthew Nickels
6,KATELYN REYNOLDS
7,Brian Murphy
8,Hannah Nickels
9,Jenna Peterson
10,George Tobin
13,ANNA SMYLIE
14,Matt Finley
16,Andrew Gubernick
17,Dylan Zeigler
19,KEVIN GOETSCH
21,MOLLY SCHULMAN
24,REBECCA LEDER
25,Sean Mills
29,Allison Hill
30,Austin Power
36,Talia Fishman-Strait
42,Ryan Albright
66,Taylor Dall
71,Matt Gubernick
77,Amelia Lentz
84,ZACH GROSSMAN
91,Robert Geer
b,r,e,a,k
Cake,16
0,BRODY THOMAS
0,Mark Carr
2,Alex Hamilton
2,James Marsh
2,Nathan Huster
5,Matt Summers
7,JAY CUSTIS
8,Mary Zellmer
10,Megan Chan (Enyeart)
11,STEPHEN CHAN
12,NICHOLAS HECHT
15,Kevin Daley
17,Amanda Gellhaus
18,MICHELLE TIMMERMAN
18,Tess McGrew
20,Richard Salmon
21,zachary skaggs
22,NINA CAMERON
22,Rachel Huster
23,Xavier Payne
24,Courtney Montague
28,Heather Summers
44,Tracie Anderson
49,Reuben Griggs
49,Jennifer Naumovitz
54,RAY HUPFER
b,r,e,a,k
Boomtown Pandas,8
01,RICHARD PHANNENSTILL
02,Rebecca Roden
05,Ryan Pakula
07,Benjamin Hsu
08,Adam Ruffner
09,ASHLEY SATTERLEE
10,Kristen Brenner
11,JEFF POSKIN
12,Jon Fok
19,Sarah Edlund
20,RACHAEL MORITZ
21,John Schaefer
23,Debra Minahan
24,Matt Coogan
25,JENNIFER DAVIDSON
28,Emily Orner
34,Elise Garton
43,Toby Wex
44,ALEXANDRIA HALL
66,Laura Hsu
74,Daniel Rubenstein
84,Vincent Hsu
88,KARL BRENNER
96,John Bryan
98,Chris Davis
b,r,e,a,k
Carlos Danger,17
0,Josh Fortney
0,Amanda Davila
0,MONICA MAZDA
0,JEFF BLEICHER
0,Katelyn Loscar
0,Bradley Hills
0,MATHEW TAYLOR
0,ANDREW BAKER
0,LISA BEACH
0,Jon Johnson
0,Tyler Glanz
2,Robert Slemenda
10,Jenna Jarvis
11,Emma Sirkin
24,Brian Price
37,Caroline Kaplan
45,Adam Wagner
50,Kent Hiquet
89,David Stierwalt
92,Anthony Panozzo
b,r,e,a,k
Omertà,2
3,Ryan Kurka
4,Jacob Ward
5,Alexandra Hasan
01,CASSANDRA SAKAI
02,Hayley Banas
12,Alan Broering
13,Jimmy Robin
15,JOSEPH DECHERY
16,BRANDON TARBET
17,Kaetlynn Daoust
18,Tyler Claypool
19,CAROLYN BLOOD
21,Brendan Kremer
22,Emily Eddy
23,Cameron Hodgkinson
24,James Sykora
25,Bradley Johnson
26,Patrick Kaufmann
27,Sarah Schram
31,VALERIE IEHL
36,Emily Fridberg
39,Phoebe Evans
49,BRIAN HERRMANN
64,Steven Stanish
77,DOUG CAPADONA
88,Samuel Fishman-Strait
91,Maggie Paoli
b,r,e,a,k
Handlebar,10
0,Joseph Besser
0,Benjamin Murphy
0,Maggie Price
0,Bailey Besser
0,Grace Tummel
0,AMY CHIANG
0,Luke Denison
0,Anna Kilbourn
0,SUSANNA MICHAEL
0,GARY GRANT
0,RYAN MARIOUW
0,GRACE WHITEFORD
0,SETH STEPHENS
0,EVAN PRIEST
0,Austin Engel
3,Bryan Bush
11,Tracey Lo
13,Ryan Donnelly
16,Mitch Herz
31,Scott Hetu
41,Chelsea Grindle
74,Ariane Donnelly
b,r,e,a,k
Bob Marlin,18
0,Ian Koskinen
0,MOLLY GAUDETTE
0,JUSTIN ILOWITE
0,GABRIEL VANHORSSEN
0,Tom O'Brien
0,Allison Trudgeon
0,William Lorick
2,MARA JURKOVIC
5,Alexander Potoniec
6,Ian Stirton
9,MATT HILL
9,ERIC GAVIGLIO
11,Lindy Torvinen
14,Jay Andreani
34,KAYTLYN Voirol
37,EITAN SPIVAK
54,Sam Reenders
84,Andi Trubiano
90,Michael Giles
99,JOSH FENDRICK
b,r,e,a,k
Cream City Crooks,7
02,Oliver Rytman
03,KELLY RIPPL
04,Daniel Fiorino
06,MAEVE DWYER
07,JEREMY MAJORS
08,MARYKAY DREISILKER
09,Joshua Wilson
10,Laura Nelson
11,Jacob Scobey-Polacheck
16,Andrew Patten
17,Dan Laurila
18,Rachel Burge
19,Michael Morrison
21,JESSICA BAHLING
22,ANDREA SAVAGLIO
23,MICHAEL KEMPF
24,Justin Simanson
27,MICHAEL LIANG
33,Jason Sauve
36,Henry Arends
37,Molly Lindsay
42,Austin Hinz
54,Lauren Guzman
82,Andrew Czekalski
87,Austin Prucha
88,TESSA DANIELSON
99,Kelsey Morrison
b,r,e,a,k
Pizza Party!,15
0,ADAM VELK
01,Will Hsieh
03,CINNAMON PORTER
04,Monica Oplawski
06,Shannon Clancy
07,Naomi Slaughter
12,Ashley Betke
15,ZACHARY FRERICHS
23,SHANE O'FARRELL
28,ANDREW BEROWSKI
41,Jackson Todd
48,Kathryn Kembitzky
51,Stephen Gard
52,MEGAN WISNOWSKI
73,Michelle Mingay
77,MATT RADES
88,KAITLIN KINAHAN
93,Nick Storter
b,r,e,a,k
Mad Udderburn,3
1,Grace Compton
2,Kevin Pochatila
4,James Kersten
6,REBEKAH DREWS
9,KEVIN SHEA
11,BRIAN NELB
12,Martin Granick
13,Christopher Reichel
16,John Dugan
17,Chris Schroeder
23,Lizabeth Held
24,TYLER NIELSEN
25,Nina Nelsestuen
26,Molly Berkholtz
27,Clay Schelitzche
32,Adam Zingsheim
33,SARAH ZINGSHEIM
41,Molly Schelitzche
44,Laura Meyer
86,Christopher Chang
b,r,e,a,k
Snow Day,6
0,Joseph Sheets
0,Brooke Gundersen
1,Michael Mansfield
3,CONRAD BUDZYNSKI
7,Jason Litke
8,Stephanie Ellwood
9,Lindsey Kappen
10,Sarah Dikeman
12,Holly Russell
13,David Danks
14,Jenna Ray
15,Kimberly Sabo
16,KEVIN TARCZON
17,Logan Bollaert
17,Connor Lukas
18,Eric Kas
20,Zach Jawahir
22,ANDREW WADAGA
23,Tamara Kas
25,Justin Browne
31,MARISSA Korodan
48,Kaye Eshelman
84,Michael Weber
88,Corie Auger
98,Dan Donovan
b,r,e,a,k
Stack Cats,19
00,Matthew Bonges
00,Luke Joyner
00,Benton Fletcher
00,Alex Kim
00,MICHAEL NAGEL
00,ANDREW MALONE
00,Matt Afryl
00,BOB WEDSTER
00,Saul Lipton
00,Timothy Scalzo
00,BETSY MERBITZ
00,David Lindsey
00,Krystle Ocampo
00,Halley McLean
00,CATIE NEWHOUSE
00,Elizabeth Fakadej
00,Vincent Curkov
00,Rachel Hunt
00,Matt Tansley
b,r,e,a,k
Liquid Hustle,11
0,Freddie Dixson
0,Lizzie Stierwalt
0,Kate Cairl
0,Kali Frost
0,Benjamin Hannan
0,Nathan Partenheimer
0,Daniel Clement
0,Julie Raduenz
0,Franklin Hankins
0,Kate Meiners
0,Kelly Kerker
0,Jacob Landman
5,KATHERINE SHIRO
13,Joshua Kemmerling
17,Robert Stasi
26,Kennedy Clark
27,Emilie Garnier
34,Ben Lauer
35,Paul Avilez
59,Todd Miller
77,Rachel Clark
86,Dusty (Dustin) Hughes
b,r,e,a,k
Happy Days,14
0,Grant Hellestad
0,MICHELLE HAWKINS
3,Tyler Ignatowski
5,Matthew Pagel
10,DEVON ARMSTRONG
22,Evan Handley
28,AUSTIN LANDGRAF
