Queen City Tune-Up,College - Women ,8,2,2014
https://play.usaultimate.org/events/Queen-City-Tune-Up/schedule/Women/CollegeWomen/
Ohio State,1
0,Olivia Bayer
0,CAITIE SHEBAN
0,Paige Soper
0,CAITLYN VALENTINE
2,CATELEN RAMSEY
3,Alaine Wetli
5,Stephanie (Stevie) Miller
6,MICHELLE HABLITZEL
8,Caitlin Harley
9,STEFANIE Bruns
9,Ashley Bickel
10,Kelly Ross
12,Katie Backus
13,ERICA HOWARD
14,Cassandra Swafford
14,Emily Steedman
15,Emma Schroder
17,Lauren Franke
19,Jenna Galletta
22,Kristi Muhlenkamp
24,Elizabeth Gates
27,CORINNE MURPHY
28,ANNA DORFI
42,Rachael Beeman
44,Malika Smoot
71,Caitlin Duffner
78,Tiffany Lim
88,MICKELLEA TENNIS
b,r,e,a,k
Colorado,9
03,Amy Elizabeth Leder
04,Nhi Nguyen
05,Leilani Nelson
06,Jackie Turner
07,Karla Rosario
08,Jean Russell
09,Kirstin Johnson
13,Andrea Willson
14,SARAH SAFFARI
15,Dorothe Franklin
16,Megan Cousins
18,STEPHANIE FROST
19,Christina Mickle
22,FRANCES OLIVER
33,ZOE HAWTHORNE-LOIZEAUX
42,KATHARINE HEIL
44,CLARA MOORE
65,Megan Ives
89,Rebecca Mitchell
99,Kelsey Bennett
b,r,e,a,k
James Madison,8
0,Monica Klock
0,Hannah Elledge
0,Madeline Baker
0,Cecily Leahy
0,Caitlin Wilson
0,Emily Wingate
0,Eli Crisler
0,Anna Toth
0,Allison Wallace
0,KATIE MACCALL
0,Olivia Kirk
0,Julia Petro
0,ANNA  ALBRIGHT
0,JENNA BEHRINGER
0,Madelyn King
0,CLAUDIA DIMICK
0,EMILY TWIGG
0,Lara Duffy
0,KIM SACCHI
0,KATELYN COLVIN
2,Lauren Privette
8,Victoria Elmore
23,GRACE CORAPI
b,r,e,a,k
Dartmouth,17
0,Madeline Parish
0,AISLINN MCLAUGHLIN
