Jungle Love Remix,College - Women ,1,3,2014
Towson,MD,2014-03-01,2014-03-01
https://play.usaultimate.org/events/Jungle-Love-Remix1/schedule/Women/CollegeWomen/
Towson,4
0,GRETA VAN VELDHUISEN
0,Tracy Karpinski
0,Mariah Grosko
0,Olivia Piper
1,LARA WARD
3,AILEEN VIRELLA
5,Kerri Morris
8,Shelby Awde
9,Marie Collins
11,Isabel Decolin
13,CALYND GEE
14,EMILY BUCKINGHAM
16,Emily Beer
18,Alexandra Zorbach
21,LEAH STRAUSS
23,Lexie Shaffer
33,Amy Samilton
69,Kristina Humm
94,Abigail Wenck
b,r,e,a,k
Johns Hopkins,2
00,MARGARET KEENER
00,Olivia Shumaker
00,Erin Rhoads
00,Elizabeth Sherwood
00,CAITLIN BARRETT
00,MARGARET KNEIFEL
00,SARAH RAGEN
00,ZIXIAN XUN
00,MEGAN MAHONEY
00,Laura Marlowe
00,Tiffany Chung
00,BONNIE ETTER
00,ALLISON TSE
00,Noemie Keller
00,KATHARINA ERTMAN
00,Linnea Metcalf
b,r,e,a,k
Goucher,3
0,Mackenzie Brown
0,Hillary Blunt
0,Kirsten Cianci
0,Emma Trisolini
0,JENNIFER MASON
0,Hannah Moloney
0,Rebecca Hazany
0,Madeline Clewell
0,LEAH HIRSCHMAN
3,Kate Van Note
6,Therese Robbins
b,r,e,a,k
Maryland-Baltimore County,1
00,ROBYN FIELDS
00,GLORIA DIEDERICH
00,Eliza Grace
00,Jada Oglesby
00,Julia Lopez
00,MARGARET KEMPER
00,Sophia Houtzer
00,JULIANNE HORNER
00,Marlie Somers
00,LISA MCPHERSON
00,KAITLYN GOLDEN
00,KRIZIA-IVANA UDQUIM
00,Wei Gao
00,Rosa Rada
00,NATASHA NAJMI
00,Caitlin McEleney
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Maryland-Baltimore County,Goucher,5,8,"03/01/2014, 04:00",Pool A,Final
Johns Hopkins,Towson,1,9,"03/01/2014, 04:00",Pool A,Final
Maryland-Baltimore County,Towson,1,11,"03/01/2014, 05:30",Pool A,Final
Johns Hopkins,Goucher,9,3,"03/01/2014, 05:30",Pool A,Final
Maryland-Baltimore County,Johns Hopkins,5,10,"03/01/2014, 07:00",Pool A,Final
Goucher,Towson,1,11,"03/01/2014, 07:00",Pool A,Final
b,r,e,a,k
