Chesapeake Open,Club - Mixed ,2,8,2014
Poolesville,MD,2014-08-02,2014-08-03
https://play.usaultimate.org/events/Chesapeake-Open/schedule/Mixed/Club-Mixed
SHUYAMOUF,1
0,Olivia Robinson
1,Sam Alston
01,Paul Butterfoss
03,Chris Muller
08,Anastasia Mark
10,Andrew Fine
10,TERESA LIN
14,Matthew Hassink
16,JING JING ZHANG
21,Matt Williams
22,Emily Wilson
24,Colby Clarkson
24,Mark Modak
25,ANDREW MCCLAIN
27,David Ohls
31,Bridget Van Fleet
52,Emilie Mohler
61,Rachael Burke
73,Mark Flores
b,r,e,a,k
The Muff 'n Men,4
teamInfo,,"Pittsburgh, Pennsylvania",www.themuffnmen.com,www.facebook.com/themuffnmen,twitter.com/muffnmen
3,Maria Bajzek
5,David Nernberg
10,Stephanie Kane
11,Jodi Lincoln
12,Nicole Fiorentino
13,ALLEN PENG
14,Lauren Franke
17,Eric Page
19,MEGUMI MATSUSHITA
22,Mark Pitts
24,Megan Briggeman
25,Rachel Olszewski
27,STEVE OLDRATI
29,JOHN MONTOYA
31,Greg Wilson
33,Eliana Bonifacino
39,Taha Udyawar
47,CAROLYN NORWOOD
57,Bryan Bernard
58,Matthew Huber
66,DAVID BIGBEE
73,Svetlana Romanova
80,Jay Walker
82,Isaac Smith
86,Robert Paolini
88,BRYAN RUSSELL
90,Brady Zbikowski
b,r,e,a,k
Tyrannis,5
teamInfo,,"Charlottesville, Virginia",cvillemixed.wordpress.com,https://www.facebook.com/pages/Tyrannis-Ultimate/300757090061321,https://twitter.com/tyrannisorus
00,Timothy Wallace
01,Brittany Taylor
02,KEVIN CHEN
03,BRANDON HENTON
04,Dane Warner
05,RONALD IMBERT
06,Nicholas Kwan
07,Janie Mockrish
08,Ashley Sylvester
10,Audrey Isaac
11,Nada Tramonte
12,James (Jim)  Boley
13,EDWARD BROWN
14,ZACHARY BRANSON
15,Elliott Isaac
18,Tim Pennucci
19,JOSEPH GOODELL
21,PATRICK DONOVAN
23,Kelly Ross
24,Shoshana Levi
25,EVAN SACKS
27,Ryan Donahue
30,Brogan Jones
31,Sarah Hansen
52,Tess Warner
b,r,e,a,k
FLI,20
teamInfo,,"Long Island, New York",,https://www.facebook.com/pages/Frisbee-of-Long-Island-FLI/389689407841902,
0,Siobhan Bissonette
0,Matthew Delos Santos
0,Karl Wissemann
0,Lewis Boble
0,Ruthie Tabatchnick
0,Arista Hennessey
0,Jennifer Voce-Nelson
0,Chris Ambrosio
0,ANTHONY FIGALORA
0,Ryan Smith
0,Colin Aldrich
0,Scott Mulderig
0,Jessica Whelan
0,Nicholas Cortina
0,Eric Moore
0,Karen Chalif
0,MATTHEW BABOULIS
0,Joe Moyles
2,Jamie McClintock
54,Genevieve Leo
65,Christopher Grenier
b,r,e,a,k
Rail Yard,12
teamInfo,,"Roanoke , Virginia",,https://www.facebook.com/pages/Rail-Yard-Ultimate/367071083431198,
0,Emily Hume
0,Kaitlyn Clay
03,Sarah Beach
06,John Johnston
07,Chris Hurley
08,Justine Crowley
11,PHILIP O'MARA
13,Stacey Liou
14,Victoria Dippold
16,Deanna Swain
17,MARGAUX MILES
19,Kevin Foster
21,MARK MECHAK
22,Jodi (Joanna) Meyer
23,Donte Jackson
25,ANNA RITZ
26,James  Chilton
27,MATT RAITEN
29,John Wang
32,Kevin Hill
34,Jeremy Via
71,BRAD BELLINGER
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
SHUYAMOUF,RedLine,13,8,"08/02/2014, 09:00",Pool A,Final
BITMAP,Swing Vote,12,10,"08/02/2014, 09:00",Pool A,Final
SHUYAMOUF,BITMAP,13,6,"08/02/2014, 10:45",Pool A,Final
Death By Jubilee,Swing Vote,12,8,"08/02/2014, 10:45",Pool A,Final
Swing Vote,RedLine,11,12,"08/02/2014, 12:30",Pool A,Final
Death By Jubilee,BITMAP,13,5,"08/02/2014, 12:30",Pool A,Final
SHUYAMOUF,Swing Vote,13,3,"08/02/2014, 14:15",Pool A,Final
Death By Jubilee,RedLine,13,7,"08/02/2014, 14:15",Pool A,Final
SHUYAMOUF,Death By Jubilee,13,9,"08/02/2014, 16:00",Pool A,Final
BITMAP,RedLine,9,11,"08/02/2014, 16:00",Pool A,Final
pool,Pool B
Ant Madness,Key Party!,13,8,"08/02/2014, 09:00",Pool B,Final
Bang!,Throws of Passion,13,7,"08/02/2014, 09:00",Pool B,Final
Ant Madness,Bang!,13,9,"08/02/2014, 10:45",Pool B,Final
American Hyperbole,Throws of Passion,13,5,"08/02/2014, 10:45",Pool B,Final
Throws of Passion,Key Party!,13,9,"08/02/2014, 12:30",Pool B,Final
American Hyperbole,Bang!,11,12,"08/02/2014, 12:30",Pool B,Final
Ant Madness,Throws of Passion,13,3,"08/02/2014, 14:15",Pool B,Final
American Hyperbole,Key Party!,13,6,"08/02/2014, 14:15",Pool B,Final
Ant Madness,American Hyperbole,13,6,"08/02/2014, 16:00",Pool B,Final
Bang!,Key Party!,13,4,"08/02/2014, 16:00",Pool B,Final
pool,Pool C
Identity Crisis,Clue,11,12,"08/02/2014, 09:00",Pool C,Final
Mixed Nuts,Los Penguinos,11,9,"08/02/2014, 09:00",Pool C,Final
Identity Crisis,Mixed Nuts,10,12,"08/02/2014, 10:45",Pool C,Final
Hooray for Coed Hooray!,Los Penguinos,13,10,"08/02/2014, 10:45",Pool C,Final
Los Penguinos,Clue,11,8,"08/02/2014, 12:30",Pool C,Final
Hooray for Coed Hooray!,Mixed Nuts,11,9,"08/02/2014, 12:30",Pool C,Final
Identity Crisis,Los Penguinos,13,7,"08/02/2014, 14:15",Pool C,Final
Hooray for Coed Hooray!,Clue,12,11,"08/02/2014, 14:15",Pool C,Final
Identity Crisis,Hooray for Coed Hooray!,9,11,"08/02/2014, 16:00",Pool C,Final
Mixed Nuts,Clue,13,2,"08/02/2014, 16:00",Pool C,Final
pool,Pool D
The Muff 'n Men,FLI,13,8,"08/02/2014, 09:00",Pool D,Final
Rail Yard,Sparkle Ponies,4,13,"08/02/2014, 09:00",Pool D,Final
The Muff 'n Men,Rail Yard,13,5,"08/02/2014, 10:45",Pool D,Final
Tyrannis,Sparkle Ponies,8,13,"08/02/2014, 10:45",Pool D,Final
Sparkle Ponies,FLI,13,4,"08/02/2014, 12:30",Pool D,Final
Tyrannis,Rail Yard,13,4,"08/02/2014, 12:30",Pool D,Final
The Muff 'n Men,Sparkle Ponies,13,11,"08/02/2014, 14:15",Pool D,Final
Tyrannis,FLI,12,5,"08/02/2014, 14:15",Pool D,Final
The Muff 'n Men,Tyrannis,9,12,"08/02/2014, 16:00",Pool D,Final
Rail Yard,FLI,6,8,"08/02/2014, 16:00",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,Championship Bracket
SHUYAMOUF,Hooray for Coed Hooray!,13,5,"08/03/2014, 14:15",Finals,Final
SHUYAMOUF,American Hyperbole,13,9,"08/03/2014, 12:30",Semi Finals,Final
Ant Madness,Hooray for Coed Hooray!,8,10,"08/03/2014, 12:30",Semi Finals,Final
SHUYAMOUF,Identity Crisis,13,8,"08/03/2014, 10:45",Quarterfinals,Final
Sparkle Ponies,American Hyperbole,7,11,"08/03/2014, 10:45",Quarterfinals,Final
Ant Madness,The Muff 'n Men,13,5,"08/03/2014, 10:45",Quarterfinals,Final
Hooray for Coed Hooray!,Tyrannis,13,6,"08/03/2014, 10:45",Quarterfinals,Final
Bang!,Identity Crisis,8,13,"08/03/2014, 09:00",Pre-Quarters,Final
Mixed Nuts,American Hyperbole,10,13,"08/03/2014, 09:00",Pre-Quarters,Final
The Muff 'n Men,RedLine,13,7,"08/03/2014, 09:00",Pre-Quarters,Final
Death By Jubilee,Tyrannis,11,12,"08/03/2014, 09:00",Pre-Quarters,Final
bracket,9th Place Bracket
Bang!,Death By Jubilee,11,5,"08/03/2014, 12:30",Finals,Final
Bang!,Mixed Nuts,13,10,"08/03/2014, 10:45",Round Name,Final
RedLine,Death By Jubilee,8,10,"08/03/2014, 10:45",Round Name,Final
bracket,5th Place Bracket
Sparkle Ponies,Tyrannis,3,7,"08/03/2014, 14:15",Finals,Final
Identity Crisis,Sparkle Ponies,12,13,"08/03/2014, 12:30",Round Name,Final
The Muff 'n Men,Tyrannis,9,10,"08/03/2014, 12:30",Round Name,Final
b,r,e,a,k
brackets,13th Place Bracket
bracket,13th Place
BITMAP,Clue,6,13,"08/03/2014, 12:30",Finals,Final
Throws of Passion,BITMAP,7,13,"08/03/2014, 10:45",Semi Finals,Final
Clue,FLI,11,8,"08/03/2014, 10:45",Semi Finals,Final
Throws of Passion,Los Penguinos,13,8,"08/03/2014, 09:00",Quarterfinals,Final
BITMAP,Rail Yard,13,3,"08/03/2014, 09:00",Quarterfinals,Final
Clue,Key Party!,12,11,"08/03/2014, 09:00",Quarterfinals,Final
FLI,Swing Vote,12,8,"08/03/2014, 09:00",Quarterfinals,Final
bracket,17th Place
Los Penguinos,Swing Vote,0,0,"08/03/2014, 14:15",Finals,Cancelled
Los Penguinos,Rail Yard,12,8,"08/03/2014, 12:30",Round Name,Final
Key Party!,Swing Vote,9,13,"08/03/2014, 12:30",Round Name,Final
b,r,e,a,k
