Nor Cal Mixed Sectionals,Club - Mixed ,6,9,2014
Morgan Hills,CA,2014-09-06,2014-09-07
https://play.usaultimate.org/events/Nor-Cal-Mixed-Sectionals/schedule/Mixed/Club-Mixed
Groove,1
02,Jason Edelman
03,Meggan Cooperrider
04,Nate Paymer
08,Adam Koren
10,Kyle Ord
13,HEATHER ARMSTRONG
15,Jeffrey Voss
17,Brooke Ray Smith
20,NICOLE COPTI
22,Eric Rivera
23,NICOLE JOHNSON
25,Samantha Applegate
27,Nicholas Thompson
28,Jordan Gatti
30,Grant Farrington
31,JENNIE YANG
32,Meghan Berry
40,Brett Mitchell
43,Georgia Valentine
55,Eric Richardson
69,Reena Badyal
73,Kimmey Hardesty
77,Alec Surmani
80,Ally Mitchell
81,Caner Cooperrider
86,Jannon Frank
88,Bill Liu
b,r,e,a,k
Alchemy,7
1,AI TRAN
2,WILLIAM CARY
3,Patricia Li
4,Elizabeth Leon
5,Maya Ziv
7,Emily Paris
8,GABRIEL PEAL
9,LAUREN CHAIN
11,Ginger Wong
13,Brett Naul
14,Rachel Eastman
20,Eric Hartge
21,Jesse White
22,EDWARD PARSONS
26,Anthony Havens
27,CHASE BOWMAN
32,Harris Masket
33,Cathleen Hartge
36,Sara Nolan
37,STACIE DRESE
40,Michelle Levinson
42,David Morley
47,MICHAEL LOPEZ
54,Nick Riker
55,Kwai Philpott
79,COLYN FLYNN
81,J Tyler Walker
b,r,e,a,k
Gummi Bears,16
0,Louis Eisenberg
0,LESLIE ROGERS
0,TOLY RINBERG
0,Carlos Roque
0,Andrew Wasserman
0,Meredith Tosta
0,GRACE LAIDLAW
0,STEPHANIE WU
0,Julia James
0,CHRIS O'BRIEN
0,REBECCA HOFER
0,Jon Moldover
0,Sara Maatta
0,ALBERT HO
0,Robert Bruggner
0,ANGUS PACALA
0,RYAN GERLACH
7,Youngsoo (Ellen) Rim
47,Charles Cheever
b,r,e,a,k
Mission Impossible,10
00,Alison Mathews
00,Jackson Valler
00,Brendan Champlin
00,Sarafina Angstadt-Leto
00,Elizabeth Curtiss
00,Sam Kunz
00,Michelle Slaughter
00,ROYALE PRIVITTE
00,Lauren Yamasaki-Liske
00,Eric Hytönen
