Garden State IV,College - Women ,29,3,2014
https://play.usaultimate.org/events/Garden-State-IV/schedule/Women/CollegeWomen/
Hofstra,17
00,Rachel Beaton
00,Kelsey Kresge
00,Allyson Loy
00,LAUREN CURLETT
00,MADI SCHEFFER
04,Ruthie Tabatchnick
22,Arista Hennessey
24,JACLYN CASTORO
26,VERONICA SIPP
37,Katherine Capants
93,MEAGHAN D'AMICO
b,r,e,a,k
SUNY-Cortland,33
0,AMANDA SAUNDERS
0,Holly Norsen
0,Elizabeth Blanchard
0,Jessica Whelan
0,MARY MCGOVERN
0,Nicole LaFreniere
0,Marisa Balestrieri 
0,KATHRYN  DELANEY
0,Taylor Vermilyea
0,Anna Muller
0,Sydney Goldstein
0,Stefania Buta
b,r,e,a,k
Ottawa,1
05,PASCALE ROBINEAU-CHARETTE
07,Maude Carrier-LaForte
08,Hannah Dawson
16,Corrine Giorgetti
17,Sarah Innes
19,Kaylee Sparks
20,Myriam  Sarazin-Frey
21,Rebecca Jacobs
22,Kaleigh Newson
24,Sophie Cutt
37,MICKAELA CHURCHILL
51,Lauren Murphy
71,JAHLEEL BONAOBRA
84,Nadina Saini
b,r,e,a,k
Franklin & Marshall,32
0,Alyssa Dorman
2,LYDIA OLSON
4,ALEJANDRA ZAVALA
5,Emma  Brown
6,GINA DIBENEDETTO
9,Grace Riley-Adams
10,Phoebe Walsh
11,Katherine Oxman
12,Goda Tarcijonas
14,Sarah Berger
17,Julia Lake
18,BRENNA SNYDER
19,Sally Wynn
22,Courtney Flynn
23,Claire Perreault
28,Halley Gradus
44,LYDIA STOREY
b,r,e,a,k
Wesleyan,16
0,SADICHCHHA ADHIKARI
0,ANDREA SCHINDLER
0,YAEL DAVIDOV
0,Eva Steinberg
0,KYLIE MOYNIHAN
0,Madeline Scher
0,LUCY SALWEN
0,Roxanne Capron
0,Emily Schwed
12,Katherine Gibbel
92,JESSICA TITLEBAUM
b,r,e,a,k
Haverford,2
0,DIPAALI REDDY
0,Fern Beetle Moorcroft
0,Rosemary Ventura
0,MARINA RELMAN
0,RUTHIE  CARTWRIGHT
0,Iris Lippert
0,Larkin Johnson
0,PAULINA CUETO
