Santa Barbara Invite,College - Men ,24,1,2014
Goleta,CA,2014-01-24,2014-01-26
https://play.usaultimate.org/events/Santa-Barbara-Invite/schedule/Men/CollegeMen/
Arizona State,9
teamInfo,Prime,"Tempe, Arizona",http://www.arizonastateultimate.com/,https://www.facebook.com/ASUPRIME,https://twitter.com/ASU_Ultimate
0,MARK KARLSRUD
0,Josh Walker
0,Nathan Bridges
0,GREG SCALIA
0,Zachary Semerad
0,Travis Dunn
0,Daniel Bellissimo
0,Chad James
0,Aaron Flegenheimer
0,JARED AHERN
0,Andrew Kohl
3,Jonathan Bridges
4,Cody Vander Weyst
9,Dylan George-Sills
13,JACOB KUNA
14,MICHAEL GRAZZINI
18,Daniel Howe
20,Alexander Tomlinson
30,CONNOR ROTH
b,r,e,a,k
Tulane,8
teamInfo,Rex,"New Orleans, Louisiana",,,
2,RICKY POLLOCK
4,TIM PATTERSON
8,Patrick Dougherty
9,DYLAN BARNES
11,SPENCER MANN
12,PATRICK MURPHY
14,Gregory Cousins
15,BENJAMIN DUHE
17,JAMES BRIER
21,DAVID  MONDSCHEIN
23,Shamit Dua
24,SAM TABACHNIK
26,ANDREW GROSS
44,Benjamin Lamport
76,DAVID LEVY
82,NATHAN WINSHALL
b,r,e,a,k
California-Davis,1
teamInfo,Davis Dogs,"Davis, California",http://www.ucdavisultimate.com/,https://www.facebook.com/davis.dogz?fref=ts&ref=br_tf,
0,Elijah Kerns
0,Nathan White
0,DAVID HWANG
0,Benjamin Souvey
0,MICHAEL NORCIA
0,Gabriel Edwards
0,Bradley Santi
0,KEEAN JOYE
0,Jeremy Weidner
0,Kramer Straube
0,Brett Stewart
0,Nicholas Helms
0,Sam Asin
0,Douglas Fox
0,Sean Frawley
0,Anthony Sorbera
0,Nathan Hatch
0,Bryan LoCoco
0,Daniel Ellison
0,Theodore Sun
11,KEVIN LIANTONO
14,Fredric Murolo
23,Steve Purugganan
55,Joshua Cohen
b,r,e,a,k
UCLA,16
teamInfo,Smaug,"Los Angeles, California",http://smaugultimate.com/,https://www.facebook.com/UclaSmaugUltimate,https://twitter.com/uclaultimate
0,Michael Bergman
0,Andrew Tingley
0,Thomas Murray
0,BEN KRAHENBUHL
0,DANIEL SHINNERS
0,Matthew Yee
0,William Jones
0,Jarett King
0,JACK CRAMER
0,Jason Lee
0,NATHAN BURROUGHS
0,TOMMY HUANG
0,Alexander Julian
08,Jeffrey Voss
09,ANDREW PADULA
12,Nicholas Alexander
14,SAM MCCLURE
15,AUSTIN ZEHR
18,Geoffrey Iyer
19,Joseph Schatzlein
20,Ryan Flamberg
22,Jackson Valler
23,Nils Clauson
26,Joshua Adler
34,Jacob Bartholomew
b,r,e,a,k
Cal Poly-SLO,17
teamInfo,SloCore,"San Luis Obispo, California",,,https://twitter.com/CORE_ultimate
6,DAVID HAZLEBECK
01,Sean Bybee
02,Brennan Bryant
03,Simon Krauter
05,Aaron Shi
08,Benjamin Kato
11,Reggie Sung
12,KEVIN SPERLING
13,Christopher McCoy
14,Christopher Cogswell
16,Thomas Konogeris
19,GRIFFIN PAUL
23,DAVID HIRSCHEY
24,Cameron Wariner
27,JONATHAN YAU
28,Joseph Gagliano
29,Casey Wu
44,Tim Okita
47,Joshua Fankhauser
53,Matthew Ferrari
77,Kyle Sisson
82,Joel Anton
b,r,e,a,k
Arizona,2
teamInfo,Sunburn,"Tucson, Arizona",sunburnultimate.com,https://www.facebook.com/SunburnUltimate,https://twitter.com/SunburnUltimate
02,Zack Erlick
03,Brice Dixon
04,DANIEL GUYLL
05,Brad Vanek
06,Nolan Schmalenberger
07,NATE HATTERSLEY
08,SAM OUIMET
09,AJ GARNELLO
11,Mark Fleckenstein
14,John Patinella
18,Trey Leonard
20,Sawyer Thein
24,Benjamin Lacy
31,Kyle Taylor
33,REILLY CLEAL
45,RYAN FULLEMAN
56,Christopher Metz
87,JAMES SCHOONMAKER
92,Sam Locke
b,r,e,a,k
Washington,7
teamInfo,Sundodgers,"Seattle, Washington",washingtonultimate.org,facebook.com/uwultimate,twitter.com/sundodgers
2,Tian Chuan Yen
3,Khalif El-Salaam
4,ROBIN BREEN
5,KYLE STEEN
6,CURTIS RUSCH
8,Marcello Molinaro
9,Bryan Bednarski
10,Dongyang Chen
12,Tomas Delgado
13,Adam Fischette
15,JAMES GENDREAU
17,CONNOR SMITH
20,Julian Peterson
21,IAN HASH
24,Anton William Cwik
30,CASEY MACPHEE
37,William Gagne-Maynard
44,DAVID DE FRATES
84,Jonathan Stacey
b,r,e,a,k
California-Santa Barbara,10
