Heavyweights,Club - Mixed ,23,8,2014
Rockford,IL,2014-08-23,2014-08-24
https://play.usaultimate.org/events/Heavyweights/schedule/Mixed/Club-Mixed
Des Moines Metro,4
0,Mike Braunsky
6,Jonathan Kramer
7,Kenneth Yuhui Wee
02,Joel Stam
03,Ethan Levine
05,Matt Stoker
08,Jennifer Perry
10,Brian Lucido
11,Robert Johnson
12,Michael Brisbois
13,Neal Patel
14,Elyssa Yesnes
15,LYNN KOCH
17,Janani Ragothaman
18,Sarah Leichty
19,Rebekah Reynolds
21,Alexis Rose
23,Jordan Queckboerner
24,Curtis Nuzback
27,SAMANTHA SAUERBREI
29,Adam Levine
42,JESSICA LANGR
44,Jessica Derry
54,Alec Sauerbrei
66,Sarah Stoker
84,Sara Stuedemann
b,r,e,a,k
Steamboat,1
1,Travis Knight
3,Eddie Mack
5,Ryan Gorman
6,Stephanie Mack
8,Tim Settles
9,Kelly Ramsburg
9,HAJNAL SALANKI
10,Jennifer Golan
11,JOHN  SIEMER
13,Kate McInerney
14,William Huffer
15,Aaron Bacon
18,Kellan Gibboney
21,MARK ANDERSON
22,Brittany Winner
23,Kendalyn Paulin
27,Christopher Powers
28,Jeff Haney
30,Lucia Derks
38,Joe Mozloom Jr
40,Peter Mancini
44,Jason Mickey
47,Allison Knight
55,Emily Kraft
74,Collin McCartney
99,Kristi Schmeling
b,r,e,a,k
NOISE,5
0,Michelle VanSchyndel
0,ANDREW OTTO
0,CHLOE RIES
0,Kevin Herrera
1,Francis Kelley
2,Ben Finkelstein
4,Alexander Smith
5,Eric Alexander
7,Josh Davidson
8,Maria Signore Becker
11,Brittany Hoegh
12,AMANDA LORENTZEN
13,Anna Shanedling
14,Jerome McGinnis
17,Emily Dayton
19,Ari Davidson
21,Adam Trautman
22,Stephen Haynes
24,Lauren Roach
26,Andy Holt
27,Michael Swain
32,Meredith Bray
34,Matthew Becker
44,ASHLEY WEST
65,Josh Levin
80,Kelly Donovan
88,Claire Kelley
b,r,e,a,k
Mesteño,8
0,Rhonda Kracker
01,Steven Havenar
02,JACOB MEYERS
03,Kelcie Glick
04,ANNETTE Whitescarver
05,Emily Hanson
06,LAURA MEDINA
07,ENESSA JANES
08,Noel Brennan
09,Jamian Jacobs
10,James Cantwell
11,Nate Roth
12,JORDAN WHITE
14,Natalie Kallhoff
17,CHRIS ROBERTSON
21,Nic Whitescarver
22,Vincent Ciaramitaro
24,JASON SCHAFER
26,Drew Parker
31,DANA GUBER
32,Keith Richardson
41,Emma Richardson
56,Luke Perkins
88,ELLEN SCHIEBER
99,Scott Salvati
b,r,e,a,k
Interrobang!,3
0,STEVE MEYER
01,Keenan Plew
02,ALEX BASHAM
03,Megan Grygiel
04,Anastasia Foster
08,Peter Carleton
09,Aaron Del Real
11,Anne Hemmelgarn
12,SARAH CRADDOCK
13,Blake Vanderbush
14,HANS RASMUSSEN
15,Robbie Craven
17,Kristin Dudley
20,MATT ANDRES
21,BRIDGET  WELLMAN
22,Aaron Schwartz
23,MONICA LASLEY
24,Colton Steiner
25,Julianne Schmitt
26,Emily Beasley
27,Mike Dehnbostel
31,CHRISTOPHER MALACKANY
33,SPENCER LOSCAR
45,Kristen Kaweck
78,Michael Ames
81,Jamie Smets
99,Mya Hernandez
b,r,e,a,k
Santa Maria,2
0,Nick Hamilton
0,Nancy Haskell
0,Caitlin Harley
0,Paige Soper
0,Katie Backus
0,Andrew Farrand
0,STEVEN MYERS
0,Kevin Kula
0,Greg Eckhart
0,David Bentrovato
0,Nathan Buddemeyer
0,Nathan Landry
0,Kristen Smiach
0,KILLIAN HOLLO
0,Eliot Alexander
0,CHRIS RATCLIFF
0,Stephen Booth
0,Cassandra Swafford
0,Daniel Shonk
0,Jeff Kula
3,Alaine Wetli
5,Stephanie (Stevie) Miller
9,Janine Walker
11,Michael (Mike) Ford
19,Jenna Galletta
24,Elizabeth Gates
25,Timothy San Pedro
b,r,e,a,k
Bird,7
01,TY THORSEN
03,Bryan Vohnoutka
04,Emma Peaslee
08,Clayton Thomas
09,Tavis Leighton
10,Tristan Grovender
11,Mara Saltzman
12,Michael Ruble
13,GORDON STECKLEIN
14,Katherine Zimmermann
15,Daniel Schmit
17,Ryan Oto
18,Katherine Claiborne
19,Brian Larson
20,JILLIAN MERKLE
21,JANNA JANSEN
22,Tobie Miller
23,EMILY PETERSEN
24,ANDREW KELLEY
25,Hannah Masuga
33,Nihal Bhakta
43,Michael Loper
44,Lukas Powers
52,Erynn Schroeder
93,Justin Hill
96,Brian Edgerton
97,Andrea Uhl
b,r,e,a,k
Mad Udderburn,6
6,REBEKAH DREWS
01,Grace Compton
02,Kevin Pochatila
03,Eric Wallendal
04,James Kersten
07,Kate Fasbender
08,JESSE ROHOWETZ
09,KEVIN SHEA
10,Evan Doucett
11,BRIAN NELB
12,Martin Granick
16,Frank Qin
17,Chris Schroeder
18,Brittany Faust
19,Annie McNally
23,Lizabeth Held
24,TYLER NIELSEN
25,Nina Nelsestuen
26,Molly Berkholtz
27,Clay Schelitzche
28,Megan Wallendal
32,Adam Zingsheim
33,SARAH ZINGSHEIM
41,Molly Schelitzche
44,Laura Meyer
86,Christopher Chang
b,r,e,a,k
Omertà,9
4,Jacob Ward
01,CASSANDRA SAKAI
12,Alan Broering
13,Jimmy Robin
14,Kristen Turner
15,JOSEPH DECHERY
16,BRANDON TARBET
17,Kaetlynn Daoust
18,Tyler Claypool
21,Brendan Kremer
22,Emily Eddy
23,Cameron Hodgkinson
24,James Sykora
25,Bradley Johnson
26,Patrick Kaufmann
27,Sarah Schram
31,VALERIE IEHL
36,Emily Fridberg
39,Phoebe Evans
49,BRIAN HERRMANN
64,Steven Stanish
77,DOUG CAPADONA
81,Erika Wagner
88,Samuel Fishman-Strait
92,ANDREW FREDRICKSON
b,r,e,a,k
Food Fight,24
0,MICHAEL KOUSKOULAS
0,JACQUELINE LUEDTKE
0,WILLIAM TAUKE
0,BRETT RIGGS
0,NICHOLAS MUNYAN
0,ABIGAIL NAPPIER
0,JOHN JAKIMIAK
0,TIFFANY BOOKER
0,PERSEFONI LAUHON
0,JANNA EMELANDER
0,DREW HOPPER
0,RICHARD WOODS
0,GAVIN KONKEL
0,MICHAEL SEROTA
0,Mathew Peltier
0,Alissa Neff
0,RICHARD VANAMBURG
0,AUDREY MICHNIAK
4,David Rhodes
15,Brittany  Dooley
24,Patrick Abeli
50,Carl Aanestad
55,CHRIS BOROZAN
69,THOMAS AFTON
99,STEPHANIE  CARLSON
b,r,e,a,k
Happy Days,25
0,Grant Hellestad
0,Ashley Schlapper-Sevcik
0,Chris Chapman
0,MICHELLE HAWKINS
0,Luke Schedler
0,SEAN BRADLEY
3,Tyler Ignatowski
5,Matthew Pagel
10,DEVON ARMSTRONG
19,Nathaniel Wurzer
22,Evan Handley
23,Amanda Hellestad
28,AUSTIN LANDGRAF
29,Mike Armstrong
30,Jessica Johnson
37,Abby Butzen
40,Amanda Wach
55,CHRISTOPHER PEROUTKA
69,DANIEL FIX
84,CAROLINE MILLER
b,r,e,a,k
Thoroughbred,10
0,Danielle Blatt
2,Bryan Esmond
4,Hannah Volpert-Esmond
5,Howard Place
6,Kathleen Horton
7,Laura Reed
8,Patrick Austermann
13,Megan Epperson
16,Max Morgan
