Heavyweights,Club - Men ,23,8,2014
Rockford,IL,2014-08-23,2014-08-24
https://play.usaultimate.org/events/Heavyweights/schedule/Men/Club-Men/
Chicago Machine,1
0,Jonathan Helton
01,Craig Poeppelman
04,Patrick Shriwise
06,Xtehn Frame
07,Brett Kolinek
08,Stephan Mance
09,Charlie Hubbard
10,Von Alanguilan
11,Bob Liu
15,Andrew Sheehan
17,Tom Annen
18,Cullen Geppert
19,Jack Shey
20,Gregory Slover
21,David Wiseman
25,Ron Kubalanza
26,Kevin Kelly
29,Taylor Kraemer
31,Walden Nelson
36,Timothy Fergus
37,Daniel Williams
51,Andrew (AJ) Nelson
58,Christopher Vandervoort
64,Neal Phelps
76,BEN REHMANN
b,r,e,a,k
Truck Stop,4
02,RUSSELL HOWD
03,Keven Moldenhauer
04,Delrico Johnson
05,David Cranston
06,Bobby Gordon
07,Ben Feng
08,Peter Prial
09,Tom Doi
10,Samuel Trachtman
11,Jonathan Neeley
12,Brent Bellinger
20,Glenn Poole
21,John Agan
22,Brian Marshall
23,Mark Vandenberg
24,BEN FLEMING
25,Matthew Gordon
27,Collier Cobb
31,Chris Kocher
33,Mark Lin
34,David Boylan-Kolchin
42,Ryan Nam
45,Jeff Wodatch
61,Erik Salmi
88,Calvin Oung
90,Markham Shofner
99,Alan Kolick
b,r,e,a,k
Patrol,9
0,Benjamin Johnson
0,Nicholas Mathison
0,Simon Feeman
1,Colin McIntyre
2,Kenneth Wells
3,Charles McCutcheon
4,Roger Chu
7,Jesse Gormley
8,Charles Weinberg
9,Patrick Diviney
10,Matt Esser
11,Ross Littauer
13,David Brandolph
17,SAM PEEZICK
18,MATT SATELL
20,David Baer
22,Casey Startzell
24,Ethan Peck
27,Jake Rainwater
28,Michael Baer
30,Brian McAloon
31,Patrick Lindsey
36,CORY MORRIS
38,Jonah Wisch
49,Jordan Winey
76,MARSHALL WARD
84,Garrett Bowen
b,r,e,a,k
Madcow,5
0,Stephen Mckinney
01,Shawn McCarthy
02,JOE TARIS
03,Justin Baumann
04,Eric Schumacher
07,Cody Fox
08,JESSE WOHL
11,Christopher Misleh
12,Michael Meilstrup
12,David Langhals
13,Tim Meyers
14,HAMZA DODO
15,Ethan Stahlman
19,Andrew Theiss
23,Paul Arters
25,Scott Schriner
27,Brandon Thomas
41,Adam Turner
45,Kevin Baumann
47,Phil Cherosky
50,Jon DeAmicis
66,Zachary Ford
70,Jacob Turner
99,Kevin Ryan
b,r,e,a,k
Streetgang,8
1,Justin Goodman
2,Kory Helms
3,ZEKE IVERS
4,Nikhar ABBAS
5,Brian Moore 
7,STEVEN PRODAN
8,Michael Tran
10,Benjamin Eto
11,Steven Milardovich
12,Christopher Liu
13,Mark Leggio
14,XAVIER CHING
15,Ben Clark
17,Will Griffin
21,Reggie Sung
22,ZACHARY SCHAKNER
27,DAVID FLOCK
28,Michael Padula
29,Casey Wu
31,Ryan Slaughter
42,MARK SLADER
44,Nicholas Smith
49,Matthew Parisi
50,Trevor Purdy
68,Allen Lai
84,Jesse Cohen
99,Maxwell Hume
b,r,e,a,k
Madison Club,3
1,ADAM DREWS
02,Logan Pruess
03,Benjamin Sullender
04,Davis Whitehead
06,Bill Everhart
07,Hector Valdivia
08,Benjy Keren
09,Andrew Meshnick
10,Jordan O'Neill
10,David Meinecke
11,Andrew Brown
12,Chris Wilen
13,Brian Hart
15,DAVID LONG
16,DANIEL  STULIGROSS
24,Rodrigo Valdivia
25,Ross Barker
26,Peter Graffy
32,Colin Camp
41,Colin Sunde
48,Thomas Coolidge
55,Kelsen Alexander
68,Benjamin Nelson
81,Dayu Liu
84,CRAIG COX
86,Patrick Donovan
b,r,e,a,k
HIGH FIVE,6
01,Alex Edinger
02,Christo Ferguson
03,Matt Wilken
05,Travis Martin
06,James Highsmith
07,Jesse Ellwood
08,ELI LEONARD
09,John-Michael Guest
10,Nate Pascale
11,ALEXANDER HEATLIE
12,KRISTOPHER COLEY
15,Sam Greenwood
17,CHARLES HYDE
20,Tierney Fitzgerald
21,Ben Ayres
22,Michael Dagher-Margosian
27,Andy Barnhart
28,Michael Jahn
32,Alexander Russomanno
33,Noah Fisher
34,Jesse Buchsbaum
42,Ryan Schechtman
44,Nicholas Kolderman
55,Johnny Bansfield
77,David Wozniak
82,Seth Buchsbaum
98,Braeden Emrick
b,r,e,a,k
Temper,10
0,Ethan Beardsley
0,Jacob Christian
0,Alex Thorne
0,Anson Reppermund
2,Joseph Bender
2,CHRIS BRENENBORG
4,David Vatz
5,ALEC ASSAAD
7,Mark Fedorenko
8,Tyler Kunsa
9,Carl Morgenstern
03,Patrick Earles
10,Max Thorne
11,Nick Kaczmarek
12,KEVIN TANG
16,Trent Dillon
18,Michael Reeves
21,Robert Dulabon
23,Edward Peters
24,Sam Schurer
29,Sam VanDusen
41,PATRICK HAMMONDS
42,Marcus Ranii-Dropcho
59,AARON WATSON
77,William Brotman
81,Tyler DeGirolamo
b,r,e,a,k
Prairie Fire,7
0,Logan Nesseth
0,Jay Froude
0,Christian Simpson
0,CAMERON BOND
0,Jesse White
0,Colin Lord
0,Peter (PJ) Matulka
0,BEN DENEKA
0,LEE N CLARK
0,Brett Hidaka
0,DANIEL AGNE
0,TAYLOR BOYD
0,Robert Coffin
1,Joe Nickels
2,Zach Hunter
3,Matthew Hudspith
4,Joe Young
5,Allen Jones
13,Clarence Dennis
15,Cameron Hunter
17,Joe Wheelock
20,KYLE WELCH
24,Danny Kurz
34,AARON DUFF
77,Tim Robbins
85,Valley Renshaw
b,r,e,a,k
PoNY,2
0,Chris Neitzey
0,Sean Childers
0,Quinn Hunziker
0,Michael Brenner
7,Taylor Brooks
01,Markian Kuzmowycz
02,Ben Van Heuvelen
04,ANDREW WILKES
05,Michael Sender
06,Chris Mazur
10,David Ferraro
10,Matt Hennessy
13,Alberto Alarcon
14,David Vuckovich
16,Samuel Taylor
17,Matthew Stevens
22,Jack Marsh
23,William Katz
24,Daniel Glatt
26,Andrew Bosco
31,John Wodatch
33,Jake Herman
42,John Geraghty
43,Josue Alorro
44,Robert (Robbie) Gillies
97,Zack Smith
b,r,e,a,k
Garden State Ultimate,19
0,James Kulinski
0,Andrew Manganelli
0,Isaac Saul
0,Jonathan Casey
0,GEOFFREY IRVING
0,Matthew Wilson
0,Alon Brown
0,Sean Mott
0,Saul Graves
0,Paul Klimkowski
2,Ari Weitzman
3,Carl Frederik Brasz
4,ROSS SMITH
5,Kevin Venose
5,FRANKLIN LI
5,Elijah Graves
6,Justin Carter
9,Himalaya Mehta
11,Scott Xu
21,Codi Wood
22,Jonathan Lee
33,CONNOR DOYLE
61,Matthew Weintraub
66,Jibran Mieser
77,Bo Li
80,John Irvine
82,Marques Brownlee
b,r,e,a,k
Sprawl,15
0,Josh Findley
03,Josh Walker
04,Justin Gries
06,Kevin Coulter
07,Mark Davis
08,Kyle Weigand
09,Joshua Kohl
10,Thomas McClintock
11,Vince Noe
14,Kenny Furdella
17,DAVID WATTS
18,Daniel Howe
19,Nathan Bridges
20,Jonathan Miller
22,Nathan Holzinger
23,Jia Xie
24,Benjamin Lacy
29,Marshall Crawford
30,Scott Rivoir
31,MICHAEL GRAZZINI
32,Ryan Lacy
34,Fernando Lugo
50,Bradley Cislo
80,Travis Dunn
b,r,e,a,k
Dire Wolf,11
0,ADAM KNOWLTON
0,Griffin Lang
0,AARON KANE
0,MASON STRAWSER
0,ALLEN RAKERS
0,Aaron Weiss
0,CHRISTOPHER GATTI
0,Tad Wissel
0,Jesse Holloway
0,Vivek Devaraj
0,Michael Pannone
0,Scott Trimble
0,JARED MANZO
0,Andrew Willig
4,Ben Banyas
8,Jeremy Kanter
8,Nicholas Audette
11,Jeff Truskin
13,Jesse Kummer
13,Brice Dunn
18,Jed Farber
24,Alexander Thomas
25,Marcus Thaw
