Trouble In Vegas,College - Men ,1,3,2014
Las Vegas,NV,2014-03-01,2014-03-02
https://play.usaultimate.org/events/Trouble-In-Vegas/schedule/Men/CollegeMen/
Florida,1
0,Jason Silverman
02,Billy O'Bryan
03,James Dahl
06,Danny Bishop
08,Bradley Seuntjens
09,Bobby Ley
10,Matt Thompson
11,Jacob Dummeldinger
15,Tanner Repasky
16,ROB BRICE
26,Aaron Spector
32,Patrick Gettino
b,r,e,a,k
Brigham Young,16
1,CODY SIMMONS
3,JACOB REDFORD
4,Conner Bingham
5,Spencer Hodson
7,CHRISTOPHER (MICHAEL) BJORLING
9,Brad McKeen
10,Ben Olpin
11,ROBERT BODILY
13,Seokhee Burningham
14,DANE BERRY
15,MATTHEW  DELANGE
21,BRYANT BOYER
22,Lance Gardner
24,Patrik Connole
26,BRIAN LARSEN
32,Nacody de la Rosa
64,Jason McKeen
93,Nathan Freystaetter
b,r,e,a,k
Boise State,32
0,Rusty  Rehl
0,Dakota Vegwert
04,John Martin
05,Sage Taylor
06,JAMIE SUHR
07,Mathew Gossard
10,Anthony Gossard
12,Joe Warnecke
17,CAMERON DELANGE
19,AUSTIN ROTH
21,Justin Warnecke
39,Emmett Poole
44,Nick Degnan
55,Aaron Bartz
98,MATT VON LINTIG
b,r,e,a,k
Arizona State (B),33
01,VINCE QUINTANA
02,NICHOLAS LEFFERS
03,TYLER HOLLMANN
08,Andrew North
11,Dalton Heppler
13,BRYSON OLSON
15,Tyler Prime
16,JORDAN BARENBAUM
21,William Hanson
25,MICHAEL O'KEEFE
28,GLENNON MONTGOMERY
30,JAMES DURST
33,Mitchell Marois
36,ARANA SCHULKE
37,ERNEST MANTELL
51,Maximilian Christman
88,Thomas Balls
95,Kolton Nelder
b,r,e,a,k
Southern California (B),17
0,KEVIN SUI
0,Ryan Su
0,Daniel Mansperger
0,MATT CHIANG
0,Derek Corbin
0,DAVE PASCARELLA
0,Zachary Manta
0,ALEXANDER HUANG
0,Alex Koh
46,ZACHARY BERGENFELD
b,r,e,a,k
San Diego State,2
0,William Valle
0,Max Monroe
0,ZEKE IVERS
0,NICHOLAS CROOKSTON
0,Beeman Rabut
0,Erik McCoy
0,Kyle Schmid
0,STEVEN GREENE
0,THOMAS BRADFORD
0,BENJAMIN LINDLEY
0,Austin Clark
0,IAN GARDNER
0,Maxwell Hume
0,Hayden Shenefield
0,JEFF DIXON
0,Josiah Reeve
3,LUCAS DILLOW
3,Michael Tran
7,KYLE GOOSSENS
24,ALEX KALE
32,Alec Benton
35,ELIJAH AUER
38,ALAN GUARDADO
42,MARK SLADER
45,Douglas Brantley
b,r,e,a,k
Utah,15
2,Oliver Atkinson
5,Ivan Martins
6,SETH JOHNSON
7,Bharath Velagapudi
8,NATHAN MIKULSKI
9,Thomas Newell
03,Joshua Letsinger
10,Tyler Perry
13,COLLIN MILLER
14,Julian Kessler
24,Andrew West Singleton
31,Alexander Benjamin
33,Hans Harris
42,Philip Hornberger
50,Ryan Hahn
75,Jeffrey Santry
b,r,e,a,k
Colorado (B),31
0,JASPER SCHNEIDER
0,Kevin McGuire
0,DARIN BROCK
0,NATHAN GREEN
0,Patrick Ellsworth
0,JAKE DICKERSON
0,ALEX MAJOR
0,Anthony Shu
0,BRIAN MCDONALD
1,MATTHEW ROBINSON
3,Elliott Woodward
32,ANDY COLE
40,Dan Nowicki
b,r,e,a,k
New Mexico,18
01,Garrett Harder
02,Elias Romero
05,Jason Denning
06,INDIGO BROWN
07,Jabari Garrette
10,BRYAN DOHERTY
11,Kasey Anderson
12,Brandon Waters
13,Kevin Hedrich
15,Spencer Tibbs
17,KAHLIL SIMPSON
19,RYAN LAROSA-LOPRESTI
21,MICHAEL STACKS JR
22,Thomas Cushman
23,Sain Larlee-Matthews
32,Nathan Kennedy
47,Jacob Stewart
69,Corey Vowell
99,HANS WHITEFIELD
b,r,e,a,k
Provo Club,14
00,David Kroupa
00,Jordan Kerr
