Garden State IV,College - Men ,29,3,2014
Mercer,NJ,2014-03-29,2014-03-30
https://play.usaultimate.org/events/Garden-State-IV/schedule/Men/CollegeMen/
St Joseph's,17
b,r,e,a,k
NYU,1
0,BRIAN MASON
0,Gerald Tigol
0,Chris Granger
0,Rajat  Pillai
0,Anton Boutkov
0,Jayson Lian
0,Samuel Pollack
0,Max Cohen
0,Christopher Tian
0,Christopher Harvey
0,Nelson Ng
0,Ian Guerin
0,MATAN YAH BEN ZION
0,Rohith Rao
0,Ross Perkel
0,STIJN TALLOEN
0,KEANAR YEE
2,Antonio Vayas
4,Jaime Perez
19,Jesse Rice
27,Jason Angell
30,Richard Kim
b,r,e,a,k
Indiana (Pennsylvania),33
b,r,e,a,k
Villanova,32
0,Ethan Fortin
0,Robert Schweizer
0,Michael Mooney
0,Ryan Cullen
0,Micahel Clancy
0,Brian Cullinan
0,DENIS MCPHILLIPS
8,BRIAN LAI
10,Chris Dixon
18,Brendan Merrick
27,Chris Keane
b,r,e,a,k
Marist,16
0,Conor Kincart
01,Daniel Jast
02,DYLAN BRECH
05,Raymond Tetreault
07,Kyle Byrne
09,Parker Rennels
10,Daniel Lemmen
11,Michael Wallace
12,ANDREW MAGEE
19,BRYAN ROCKWOOD
20,BRANDON FLEISCHHACKER
21,Alexander Warfel
22,Matt Hunt
23,Paul Nemergut
26,Michael O'Rourke
27,DAVID CENTOPANTI
28,Jonathan Malloy
30,Chris Sanfilippo
32,AVERY DECKER
35,KEVIN GAFFNEY
42,PAUL MCCUSKER
66,GREGORY MILLER
b,r,e,a,k
West Chester,34
0,John Denman
2,Brendan Bittle
3,Chris Schauble
4,Jimmy Thomas
6,Dominick Bussanich
9,Steven Broome
11,Ben Crescenzo
12,ALEX FRYE
13,Christopher Pokorny
14,Eric Lachance
15,Jonathan Anthony
16,Richard Robinson
17,Devin Foster
21,Michael Jendzurski
28,THOMAS KLOTZ
34,Dustin Sullivan
36,Bryce Livers
42,Will Hoehne
43,DANIEL RUTH
44,Nicholas Moon
52,ROBERT RODRIGUEZ
64,Nathaniel Aponte
98,Garrett Copeland
b,r,e,a,k
Williams,2
01,Conor Dowling
02,Douglas Wassarman
05,Victor Luo
06,Hartley Greenwald
08,JOSH NIMER
09,Llewellyn Smith
10,JACOB BLAU
11,THOMAS ENGLEBY
13,AMIR HAY
14,Brian Cintron
15,Willem Humes
17,Samuel Austin
19,DAVID KRUGER
21,Harrison Gatlin
25,Emmett Blau
31,Matthew Jang
37,JACKSON SCHER
42,Matt Radford
54,Chris Stefanik
72,Matthew Goss
91,DANIEL LEVINE
99,JOHN RUSSELL
b,r,e,a,k
Temple,31
0,John Hardie
0,TYLER  WILSON
0,Jake Gilbert
0,LOUIS GRAUP
0,Joseph Connolly
0,Chey Jones
0,William Shutt
0,Matthew Kirk
2,Evan Maynard
8,Evan Kashan
9,BRANDON SHAIN
19,Elliott Lamborn
25,Andrew Peezick
26,WILLIAM ELLIS
37,Ryan Coughlan
b,r,e,a,k
Rowan,15
0,tyler bishof
0,Christopher Lesniak
0,SHANE PHILIPPI
0,NICHOLAS COSTANTINI
0,KEVIN RODIER
0,SCOTT PEDERSEN
0,Eric Ulbrich
0,ANDREAS GABRIELSEN
0,WILLIAM HOFFMAN
0,Christopher Alaimo
1,RYAN SHAMY
3,ANDREW HAUPIN
4,Robert Altieri
16,BRANDON RUSSO
18,DAVID NELSON
22,Collin Hurler
42,CHRISTOPHER GALLO
57,RYAN MURPHY
72,Michal Helmstetter
81,ANDREW WEIDNER
85,Michael Campanella
b,r,e,a,k
Bucknell,18
03,JOEL WOOD
07,Bradley Smith
09,Drew English
10,Thomas Grigg
12,Daniel Steinberg
17,JEREMY SHUI
19,Ethan Krokonko
21,JOHN LAWRENCE
26,DYLAN SMITH
27,BEN MASSEY
b,r,e,a,k
SUNY-Geneseo,3
1,Matt Cook
5,GREG SPITZ
7,David Abbott
8,Matthew Rybak
9,Mitchell Harris
10,Kyle Morgan
11,Patrick Stegemoeller
16,Karl Wissemann
17,Colin Peartree
21,Alec Friedman
22,Matthew Keys
23,Stephen Ruswick
24,Gabriel Ponce
34,Jacob Owen Ryder
35,Galen Gibian
38,Dillon Peterson
42,Matthew Liebling
44,Dylan Eldred
54,Daniel Stern
70,JACOB WUKOVITS
72,Matthew Viglucci
88,JUSTIN ILOWITE
b,r,e,a,k
Dickinson,14
00,GRAHAM WILLIAMS
00,Marshall Hairston
00,James Post
00,BRIAN MILSTEIN
00,Aaron Drake
00,Kellen Edmondson
00,LUCAS LESLIE
00,MAX RUBINSTEIN
00,Sam Kilburn
00,Lev Gerstle
00,Mike Goemaat
00,BRENDAN MURTHA
00,DANE GABRIELSON
00,Daniel Day
00,MICHAEL DODEK
00,STEVEN FINLEY
00,Zachary Keller-Coffey
00,GEOFF HARTMAN
00,JOSEPH RINALDO
00,TUCKER MITCHELL
00,JOSHUA DZICZEK
00,Jesse Aldin
00,Joel Prushan
00,Dennis Ealy
00,RYAN EMERY
00,Samuel Moller
00,MATT BOULTON
00,Trevor Griesman
00,DAVID GOLDEN
00,Michael Niu
00,Phillip Safran
07,Simon Feeman
13,Adam Berman
b,r,e,a,k
Keene State,30
0,Robert Lanfranchi
0,GREGORY SHANNON
0,GREGORY LEFKO
0,ANDREW WALLACE
0,Brendan Morris
0,MATTHEW COLLINS
0,RENN BAUHAN
0,MYLES DUMAS
0,MITCHELL DENONCOURT
0,Timothy Smith
0,Ken Mortensen
0,DAN AUNE
0,JASON CYR
0,TJ Ledbury
1,BRYAN LAKE
2,JARED SUMNER
7,Daniel Bullard
20,Sam Hovey
b,r,e,a,k
Ithaca,19
0,Scott Goodheart
0,Will D'Agostino
0,KELLEN BECK
0,Noah siegel
0,Adam Linden
0,BRENDAN VOGT
0,PETER FULTON
0,Kevin Doubleday
0,Alec Tucker
0,Zachary Lisien
3,Adam Sharabi
11,Quentin LeVant
13,Bret Coffey
14,CONNOR BROWN
25,Christopher Falcone
44,Alex McKeen
b,r,e,a,k
SUNY-Brockport,35
0,Kevin Ward
0,Kyle Eberle
0,Jorge Chavez
0,Trevor Smith
0,Kevin Berend
0,Haden De Leon
0,Andrew DiMarino
0,Jeremiah Zehr
0,Nick Giruzzi
0,DANIEL GUBNITSKY
0,JOHN STARR
0,Alex Steria
18,BRAD ECKERT
47,THEODORE RYAN
85,Derek Richmond
b,r,e,a,k
Amherst,4
0,DANIEL WEBBER
0,LAURENCE PEVSNER
0,Alexus Strong
0,SAMUEL HENDEL
0,SETH HELLER
0,MICHAEL MILOV
0,KEVIN HOOGSTRATEN
0,Allen Krieg
1,ERIC STEINBROOK
2,Owen Marschall
3,VARUN IYENGAR
6,Robert (Bob) Neel
7,Charles McAllister
9,Andrew Edelman
15,Juleon Robinson
16,Lucas Giaco Robert Corsiglia
19,Andrew Chang
21,MATTHEW GOODSMITH
24,MATT DEBUTTS
33,RAINER LEMPERT
47,CHARLIE  RAY
54,DANIEL ADLER
80,PETER SUECHTING
b,r,e,a,k
Messiah,13
4,TAYLOR SCHOCK
11,Christian Becker
12,Michael Stephan
14,CALEB MCKENNEY
18,AARON SWARR
20,Daniel Rusling
24,Ethan Peck
25,JOSEPH BANKERT
26,CONNOR POWER
28,TREVOR LANDIS
29,JM Rallo
34,JOSHUA SCHEA
42,MARK LARSEN
44,COREY FISHER
55,Shawn Marker
56,Peter Burt
72,Zachary Sizemore
92,PETER WARREN
99,Eric Witmer
b,r,e,a,k
Drexel,29
04,Conor McTaggart
05,ALEXANDER HAYNES
06,Michael Schickling
07,Matthew Geib
09,DAVID NEHRING
10,Mathieu Savarit-Cosenza
11,James Hane
15,Nick Patel
18,Brian Doherty
22,John Nabial
23,Allan Michel
25,Michael Kaiserian
27,Tim Brant
28,JIM NOLAN
33,Zachary Jacobs
34,IAN NETLAND
37,EVAN OSTROW
39,MATHEW ZHANG
42,SEAN LAYTON
43,ERIC DLUHY
44,Patrick Bowlin
b,r,e,a,k
Pennsbury High School,20
0,Willem McCullough
1,Zachary Sands
2,THOMAS ARIAS
3,Mac Rushing
4,LUKE KOWAL
5,PATRICK WARD
7,Colby Gordon
8,BLAKE MCDONALD
10,Nick Argenti
13,Christian Duess
15,ZACHARY WALL
16,Sean Johnson
17,Tyler Cohen
18,Jake Doyle
20,Jacob Wall
23,Alec Hunziker
24,Max Rooney
31,Drew Ficarotta
33,SPENCER HICKMAN
69,JAKE WATSON
89,Cole Drummond
b,r,e,a,k
Cumberland County,36
b,r,e,a,k
Worcester Polytech,5
00,Louie Mistretta
00,August Beers
00,Andrew Pic
00,Conrad Ruiz
00,JARRETT JACOBSON
00,Timothy Whitworth
03,Patrick Kane
04,NICHOLAS KEPKA CALVETTI
07,ANTHONY ROMEO
10,Ryan Turner
11,Joe Sabatino
12,Daniel Benson
17,JEFFREY PAQUETTE
25,STEPHEN COUITT
26,Jackson Gillenwaters
