Huck Finn,College - Men ,8,3,2014
https://play.usaultimate.org/events/Huck-Finn/schedule/Men/CollegeMen/
Missouri,3
0,Benjamin Garbus
0,Evan Holliday
0,Robert Lewis-Nash
0,MIKE PLOTZ
0,Alexander Abramowitz
0,TY WAGNER
0,Eli Steiker-Ginzberg
0,Jy Francis
8,Jason Freedman
11,Alex Kapiamba
12,Ben Rabin
23,NIKHIL KALATHIL
b,r,e,a,k
Illinois State,11
0,Ben Gibbons
0,Matthew Trygg
0,ANDY KIESER
0,SAM GESESSEW
0,Aaron MIller
0,Stephen McCracken
3,Blake Kiefner
5,JAMES TUNNEY
16,Kevin DeAngelis
23,SHANE O'FARRELL
64,CHASE ANDREE
71,MATT RADES
73,Justin Reeverts
83,BRADLEY CLARK
92,TJ Czop
93,Nick Storter
b,r,e,a,k
Minnesota (B),19
0,MICHAEL BURKE
0,Bradley Malmsten
0,LOREN BAHR
0,BREYEN COFFIN
0,GRAHAM JENICH
0,STEPHEN WALKER
0,Jim Laven
0,Karl Rehfuss
0,Ben Jones
2,HARRY STEBBINS
6,RYAN FRANKLIN
7,RANJI RAMROOP
47,Dan Wylie
66,Jack Laven
b,r,e,a,k
Luther,1
0,COLE PUFFER
0,Samuel Hedrick
0,NATHAN CONVERSE
0,JOE  MARSHALL
0,Chase Claflin
0,Brandon Lafferty
0,BRADY BRINKMEYER
0,WILL HARREN
2,JOSHUA JOHNSON
3,Colin Berry
4,Scott Boehm
6,Grayson Pangburn
8,JOSEPH BALLANDBY
9,Joe Simonelli
18,Sam Berglund
24,BEN NORDQUIST
28,Jack Rosenwinkel
42,Evan Berg
47,Ian Andre-Knudsen
52,Nathaniel Koch
b,r,e,a,k
Missouri S&T,14
0,Steven James Richardson
0,William (Billy) Imming
0,Tyler Kemner
0,Jason Jarquio
0,Anthony  Innes
0,Richard Murphy
0,Tyler Hembrock
0,Ryan Hill
1,Byron Erand
5,Mark McBride
7,Dillon Feely
8,NICHOLAS MOLONEY
9,WESLEY MUNIE
10,David Dalton
15,MICHAEL STARSHAK
16,David Druzynski
18,EVIN BARBER
19,Eric LaPietra
21,Brody Johnson
25,Kelly Mauntel
28,Zachary Johnson
32,Cedric Jones
40,Neil Wessling
44,ROBERT REYNOLDS
52,JUSTIN  LAMBERT
80,Nicholas Spitznagel
83,JEREMY COVEY
86,Matt LaFever
b,r,e,a,k
Kansas State,8
0,Ryan Irvin
0,Mark Brook
0,Erick  Neilson
0,Jordan Spratt
0,Nathan Witters
0,Christian Kaufman
0,Chris Brettell
0,Blake Smethers
0,SEAN REED
3,Matthew Hudspith
10,Sam Nichols
16,STEPHEN SHELTON
17,Clayton Smith
19,Branden Schneider
22,ANTHONY BUCCERO
24,Danny Kurz
88,Matthew Price
b,r,e,a,k
Purdue,9
0,Trevor Kyle
0,WILLIAM HOGGATT
0,Bobby Leroy
0,RYAN FERGUSON
0,Collin Koury
0,Kevin Hamilton
0,CHRISTOPHER MALACKANY
0,Dylan Neff
0,Isaac Mock
0,Grant Wagner
0,Samson Zhou
0,NEIL BROWN
7,Mike Dehnbostel
11,Colton Steiner
18,Mike Kobyra
19,Daniel Blanc
52,Jacob Fella
59,Todd Miller
69,Nick Loughran
74,Jacob Greenberg
86,Michael Lee
87,ZACH NELSON
b,r,e,a,k
Kentucky,17
0,Kyle Cornell
0,Adam Garner
0,RYAN ADAMS
0,Brandon Guyton
0,Gordon Kaye
0,CHESTON ROBBINS II
0,Daniel White
0,Wei Yang
0,ROBERT GAGALA
0,DEVIN DAVIDSON
0,Christopher Meriwether
0,EDWARD LANNOM
0,Sanders Platt
0,Rodion Svynarenko
0,STEPHEN CHAN
0,Charles Cunningham
0,JON BULLENS
10,Larry Farmer Jr
13,Michael Harr
27,Wyatt Driskell
63,Gabriel Cabrera
69,Pramod Venkatesh
73,Neville Fogarty
94,Austin Obenauf
99,David Mathews
b,r,e,a,k
Washington University (B),21
0,Geoffrey Cheng
0,PAUL GOODMAN
0,Robert Brachman
0,Jacob Pepe
0,Josh Epstein
0,NAN ZHAO
16,Robert Hsu
18,Avery Suter
20,Daniel Cohen
22,ANDREW SCHOER
29,ADAM FRANK
96,ZACHARY FRAZER
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Missouri,Truman State,13,6,"03/08/2014, 14:30",Pool A
St Louis,John Brown,11,10,"03/08/2014, 14:30",Pool A
Missouri,Wisconsin-Stevens Point,10,11,"03/08/2014, 16:00",Pool A
John Brown,Truman State,10,13,"03/08/2014, 16:00",Pool A
Wisconsin-Stevens Point,John Brown,12,10,"03/08/2014, 17:30",Pool A
St Louis,Truman State,9,8,"03/08/2014, 17:30",Pool A
St Louis,Wisconsin-Stevens Point,13,9,"03/08/2014, 19:00",Pool A
Missouri,John Brown,13,4,"03/08/2014, 19:00",Pool A
Missouri,St Louis,13,1,"03/08/2014, 20:30",Pool A
Wisconsin-Stevens Point,Truman State,10,13,"03/08/2014, 20:30",Pool A
pool,Pool B
Iowa,Grinnell,11,5,"03/08/2014, 14:30",Pool B
Brown,Illinois State (B),13,1,"03/08/2014, 14:30",Pool B
Illinois State (B),Grinnell,1,13,"03/08/2014, 16:00",Pool B
Pacific Lutheran,Brown,1,13,"03/08/2014, 16:00",Pool B
Iowa,Illinois State (B),13,0,"03/08/2014, 17:30",Pool B
Pacific Lutheran,Grinnell,12,9,"03/08/2014, 17:30",Pool B
Iowa,Pacific Lutheran,11,7,"03/08/2014, 19:00",Pool B
Brown,Grinnell,12,4,"03/08/2014, 19:00",Pool B
Iowa,Brown,8,11,"03/08/2014, 20:30",Pool B
Pacific Lutheran,Illinois State (B),13,2,"03/08/2014, 20:30",Pool B
pool,Pool C
Illinois State,Washington University,8,12,"03/08/2014, 14:30",Pool C
Iowa State,Minnesota (B),13,2,"03/08/2014, 14:30",Pool C
Illinois State,Minnesota (B),11,6,"03/08/2014, 16:00",Pool C
Oberlin,Iowa State,5,13,"03/08/2014, 16:00",Pool C
Washington University,Minnesota (B),13,3,"03/08/2014, 17:30",Pool C
Illinois State,Oberlin,9,13,"03/08/2014, 17:30",Pool C
Illinois State,Iowa State,9,13,"03/08/2014, 19:00",Pool C
