North Central D-I College Men's Regionals,College - Men ,3,5,2014
Hartland,WI,2014-05-03,2014-05-04
https://play.usaultimate.org/events/North-Central-D-I-College-Mens-Regionals/schedule/Men/CollegeMen/
Minnesota,1
2,HARRY STEBBINS
6,RYAN FRANKLIN
7,RANJI RAMROOP
18,James Nguyen
47,Dan Wylie
66,Chris Humphrey
66,Jack Laven
67,DJ Rekstad
b,r,e,a,k
Wisconsin,2
teamInfo,Hodags,"Madison, Wisconsin",http://www.hodags.org/,https://www.facebook.com/pages/Wisconsin-Hodags/118125241585256?ref=br_tf,@hodaglove
coaches,Hector Valdivia
0,BRIAN NOVOTNY
6,ARTHUR HERLITZKA
7,Avery Johnson
9,Erik Jorgensen
10,Jordan O'Neill
11,Sterling Knoche
12,Chris Wilen
14,WILLIAM KLUENDER
16,DANIEL  STULIGROSS
17,Thomas Gallagher
19,Sam Loveland
20,NICK ZEMAN
22,Aaron Speiss
23,Graeme Kernick
25,Ross Barker
32,Colin Camp
33,SHANE SADDISON-BRADFORD
37,Jan Szmanda
41,Colin Sunde
44,Nicholas Ladas
57,Austin Reif
76,BEN REHMANN
84,CRAIG COX
88,Peter Guerin
b,r,e,a,k
Iowa State,7
teamInfo,ISUC,"Ames, Iowa",http://www.isucultimate.com/,https://www.facebook.com/IowaStateUltimate,https://twitter.com/UltimateISU
0,JOHN JACK HUPP
2,Evan Moe
6,Brett Sullivan
7,Zach Bark
9,Andrew Moore
14,Brian Wandrei
15,SPENCER PETERSON
16,TANNER CLEVENGER
17,Drew Ryan
19,Landon Thomas
20,Will Black
21,Ethan Sabado
23,Jamison DiSalvo
24,JOSEPH WANDREI
25,Ryan Tucker
27,Lucas Boyle
28,Niko Beauchamp
29,Jeffry Breitfelder
45,Tanner Boyle
54,Alec Sauerbrei
56,Matt Stegemann
72,Joel Morton
81,Lukas Nesheim
b,r,e,a,k
Northern Iowa,9
teamInfo,AmmUNItion,"Cedar Falls, Iowa",https://sites.google.com/site/ammunitionultimate/home,https://www.facebook.com/UNI.ultimate,https://twitter.com/UNIUltimate
0,Nicholas Wood
1,Trent Cooper
3,Robert Dennis
4,BROCK MUHLBAUER
7,DEREK BYRNES
10,JOEL HEILMAN
11,Daniel Tarasi
12,Peter Rethwisch
13,Payton Burken
14,JOSH PURMAN
15,Jonathan Beavers
16,Cody Rohlf
17,LUKE BORMANN
18,Tanner Smith
19,Blade Schilling
20,RYNE STAJCAR
21,William Dehogues
22,Josh Stanley
23,KEVIN CASEY
24,NICK ROUDABUSH
27,PARKER WOLFE
33,ETHAN KUMBERA
42,BEN HOWARD
64,Austen Bruns
b,r,e,a,k
Winona State,16
teamInfo,Experience,"Winona, Minnesota",,https://www.facebook.com/WinonaSateExperienceFanClub,
0,SEBASTIAN ROMAN
1,TYLER HEATH
3,Robert  Amerling
4,ALEX LYZHOFT
6,Luis Caballero
9,JOSEPH WYMORE
10,ALEX CARDA
12,Brent Gothmann
13,Hans Hollander
14,BRIAN BARBELN
15,Benjamin Streukens
18,Jesse Illian
20,Michael Czeiska
21,Cody Rondeau
22,ARDEN PIFER
24,Ryan Baillif
26,NATHANIEL LILL
28,Caleb Bednarski
29,Nicholas Helberg
32,Spencer Ellerbusch
33,Tyrie Williams
34,COLIN HANZEL
42,Brandon Matis
44,Austin Carda
55,ADAM FREDERICK
77,WILL AHLBERG
99,SEAN KELLEY
b,r,e,a,k
Luther,3
teamInfo,Lufda,"Decorah, Iowa",,,
0,COLE PUFFER
0,Samuel Hedrick
0,NATHAN CONVERSE
0,JOE  MARSHALL
0,Chase Claflin
0,SEAN DEMPSEY
0,JOHN MELZAREK
0,Brandon Lafferty
0,BRADY BRINKMEYER
0,WILL HARREN
0,Matthias Broner
2,JOSHUA JOHNSON
3,Colin Berry
4,Scott Boehm
6,Grayson Pangburn
8,JOSEPH BALLANDBY
9,Joe Simonelli
18,Sam Berglund
19,Joseph Novak
24,BEN NORDQUIST
27,PETER STORVICK
28,Jack Rosenwinkel
42,Evan Berg
47,Ian Andre-Knudsen
52,Nathaniel Koch
b,r,e,a,k
Wisconsin-Milwaukee,6
teamInfo,Black Cat,"Milwaukee, Wisconsin",,,
1,ALEX PIER
2,Logan Pruess
3,Jacob Hoffman
4,TAYLOR DAVIS
5,SEAN BRADLEY
6,Ryan Sutter
7,MIKE KAMMER
8,Nicholas Pritzl
9,Greg Maddox
11,Kevin Brown
12,Jay Kinzel
13,MATTHEW BENDER
15,Andrew Goff
16,Troy Roberts
17,Drew Chapman
19,Joshua Wilson
21,Nick Wismans
22,Alec Lenczner 
23,MITCHELL GRIFFIN
32,Chase Leonardi
38,Joseph Blankenheim
42,EVAN GILLEN
44,TYLER STREICH
49,Tim Posl
77,Dan Margulis
81,Joseph Pederson
84,JACK SUSSMAN
b,r,e,a,k
Northern Michigan,12
teamInfo,Riptide,"Marquette, Michigan",http://www.nmu.edu/sportsrecsports/node/85,https://www.facebook.com/WildcatsUltimate,https://twitter.com/MightyFitz
0,MICHAEL MARIUZZA
02,ANDREW JOHNSON
03,MIKE HERMANSON
05,JACOB GAUDETTE
07,JOSEPH PAULSON
10,NOLAN WARN
11,RYAN STUART
13,THOMAS MCDONALD
15,John Schenning
16,ERIC LEINONEN
17,ADAM NOEL
18,Connor Boudreau
22,Michael  Srodes
27,Nathan Sherman
27,Matthew Sundell
37,TRAVIS MELLAND
42,Eric Martin
52,JOSH COLLINS
69,TIM SMITH
77,Adam Knapp
88,Zach Taggart
99,Stefan DeLong
b,r,e,a,k
Wisconsin-La Crosse,13
teamInfo,LUC,"La Crosse, Wisconsin",https://uwlmyorgs.collegiatelink.net/organization/mensultimate,https://www.facebook.com/LaCrosseUltimateClub,https://twitter.com/UltimateLUC
coaches,Andrew Dornbush
0,NICK OPGENORTH
0,MARTIN TOUCHETT
0,MARK MIRESSE
0,Tyler Havel
0,Tommy Treb
0,Tyler Latham
0,ALEC FLYNN
0,JAMES WERDAL
0,Christopher Verga
0,Ryan Sneath
0,ALEX FREY
0,Aaron Bennett
0,Simon Stuttgen
0,Evan Handley
0,Jesse Wolfe
0,MICHAEL KEMPF
0,Daniel McKee
0,Ross Canales
7,SHAUN FLEISCHHACKER
10,Andy Conway
11,Marcus Menzel
13,CORY NOLTEMEYER
25,Jeremy Schroeder
34,Chase O'Brien
84,Jake Kretschmer
89,Ryder Mack
b,r,e,a,k
Carleton College,4
teamInfo,CUT),"Northfield, Minnesota",http://orgs.carleton.edu/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
coaches,Philip Bowen
00,Robert Olney
03,Eli Miller
05,LOUIS COHEN
07,Jesse Bolton
08,Michael Goodgame
11,DUNCAN SALLSTROM
12,James Adams
13,Simon Johansen
14,Kenneth Lim
17,Alexander Trautman
18,Paxton Harvieux
20,NATHANIEL GRANT
21,Tyler Mahony
23,Sef van Kan
27,Elliot Mawby
33,Conor Eckert
40,Galen Ryan
48,BENJAMIN CAFFREY
50,Nick Petru
55,Jake Ritmire
91,Russell Hanson
95,Natan Lee-Engel
b,r,e,a,k
Marquette,11
teamInfo,Birdhouse,"Milwaukee, Wisconsin",,https://www.facebook.com/marquetteultimate,https://twitter.com/BirdhouseMU
1,ERIC HASSE
2,Daniel Kress
3,RYAN MCHUGH
4,Keenan McAuliffe
5,Evan Swiatek
6,John Devine
7,Matthew Caballero
8,Evan Fischer
9,Wyatt Meyer
10,Joseph Lindsay
11,David Mohan
12,PATRICK MULLEN
13,Brian Hart
14,Dan Magnant
15,Anthony Marino
17,Elias Magallanes Jr.
18,DAN NOYES
20,David Kaftan
21,Nicholas Hapak
23,Matt Scholz
24,ANDREW WALKER
25,Sean Andryauskas
28,MARK MAURER
34,BRYAN FITZPATRICK
36,Madison Olesen
49,BRIAN CHENETTE
b,r,e,a,k
Minnesota-Duluth,5
teamInfo,Northern Lights,"Duluth, Minnesota",,,
0,David Huber
01,JACOB ANDERSON
02,Adam Shearen
03,Andrew Pipp
05,DAVID MACH
06,BEN CAMMACK
07,Josh Lemieux
10,Tristan Grovender
12,Frank Fairchild
13,Jordan Vlastuin
14,JACOB PROVART
15,Dylan Brandell
22,Robert  Kostick
23,WILLIAM DOHERTY
24,ANDREW ROBERTS
28,Brian LaFrance
30,Curtis Cammack
34,James Kittlesen
35,Shaun LaFrance
42,Matt Burkhardt
55,Carlos Wolle
71,Chizoba Anosike
92,Martin Stecker
b,r,e,a,k
Wisconsin (B),14
teamInfo,Wisconsin - B,"Madison, Wisconsin",,,
0,Branavan Yogarajah
0,ELIAS DEVOE
0,ANDREW EITER
3,Travis Husman
4,Gregory Smail
7,ERIC WALSH
9,MICHAEL SCHULENBERG
10,ELI GOMEZ
11,DANIEL CHANTIGIAN
12,Michael Gionet
15,CONNOR HARTIGAN
16,Brian Paulus
17,JOEL PRINCE
18,Scott Groux
23,ISAIAH MITCHELL
29,JOEL DEUTSCH
34,KEVIN ETZEL
37,Beau Rigstad
42,Andrew Ishikawa
44,MATTHEW BONELLO
46,Amien Paust
67,LUKE WENNEN
84,Andreas Noack
99,ERIC WEISPFENNING
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play 16.1.3.
pool,Pool A
Minnesota,Wisconsin-Eau Claire,15,7,"05/03/2014, 09:00",Pool A,Final
Iowa,Minnesota (B),15,2,"05/03/2014, 09:00",Pool A,Final
Minnesota,Minnesota (B),15,2,"05/03/2014, 11:00",Pool A,Final
Iowa,Wisconsin-Eau Claire,15,5,"05/03/2014, 11:00",Pool A,Final
Minnesota,Iowa,15,5,"05/03/2014, 13:00",Pool A,Final
Wisconsin-Eau Claire,Minnesota (B),14,10,"05/03/2014, 13:00",Pool A,Final
pool,Pool B
Wisconsin,Northern Iowa,15,3,"05/03/2014, 09:00",Pool B,Final
Iowa State,Winona State,15,5,"05/03/2014, 09:00",Pool B,Final
Wisconsin,Winona State,15,9,"05/03/2014, 11:00",Pool B,Final
Iowa State,Northern Iowa,15,11,"05/03/2014, 11:00",Pool B,Final
Wisconsin,Iowa State,15,5,"05/03/2014, 13:00",Pool B,Final
Northern Iowa,Winona State,15,10,"05/03/2014, 13:00",Pool B,Final
pool,Pool C
Luther,Northern Michigan,15,5,"05/03/2014, 09:00",Pool C,Final
Wisconsin-Milwaukee,Wisconsin-La Crosse,15,1,"05/03/2014, 09:00",Pool C,Final
Luther,Wisconsin-La Crosse,15,2,"05/03/2014, 11:00",Pool C,Final
Wisconsin-Milwaukee,Northern Michigan,15,7,"05/03/2014, 11:00",Pool C,Final
Luther,Wisconsin-Milwaukee,10,8,"05/03/2014, 13:00",Pool C,Final
Northern Michigan,Wisconsin-La Crosse,15,9,"05/03/2014, 13:00",Pool C,Final
pool,Pool D
Carleton College,Marquette,15,12,"05/03/2014, 09:00",Pool D,Final
Minnesota-Duluth,Wisconsin (B),12,10,"05/03/2014, 09:00",Pool D,Final
Carleton College,Wisconsin (B),15,3,"05/03/2014, 11:00",Pool D,Final
Minnesota-Duluth,Marquette,12,14,"05/03/2014, 11:00",Pool D,Final
Carleton College,Minnesota-Duluth,15,9,"05/03/2014, 13:00",Pool D,Final
Marquette,Wisconsin (B),15,13,"05/03/2014, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
Carleton College,Wisconsin,5,15,"05/04/2014, 12:30",Championship,Final
Minnesota,Carleton College,12,14,"05/04/2014, 15:00",4 top teams,Final
Luther,Wisconsin,8,10,"05/04/2014, 15:00",4 top teams,Final
bracket,2nd Place
Carleton College,Minnesota,15,13,"05/04/2014, 14:30",2nd Place,Final
Minnesota,Luther,13,12,"05/04/2014, 12:30",Sun. Rd. 3,Final
Minnesota,Minnesota-Duluth,15,8,"05/04/2014, 10:30",Sun. Rd. 2,Final
Northern Iowa,Luther,11,15,"05/04/2014, 10:30",Sun. Rd. 2,Final
Minnesota-Duluth,Iowa State,15,14,"05/04/2014, 08:30",Sun. Rd. 1,Final
Northern Iowa,Marquette,15,11,"05/04/2014, 08:30",Sun. Rd. 1,Final
Wisconsin-Milwaukee,Minnesota-Duluth,9,14,"05/04/2014, 15:00",Sat. Rd. 4,Final
Wisconsin-Eau Claire,Iowa State,7,15,"05/04/2014, 15:00",Sat. Rd. 4,Final
Iowa,Northern Iowa,13,14,"05/04/2014, 15:00",Sat. Rd. 4,Final
Northern Michigan,Marquette,2,8,"05/04/2014, 15:00",Sat. Rd. 4,Final
bracket,7th place
Iowa State,Marquette,13,11,"05/04/2014, 10:30",7th/8th,Final
bracket,9th Place
Wisconsin-Milwaukee,Iowa,6,15,"05/04/2014, 10:30",9/10th,Final
Wisconsin-Milwaukee,Wisconsin-Eau Claire,15,8,"05/04/2014, 08:30",9:00 am,Final
Iowa,Northern Michigan,15,7,"05/04/2014, 08:30",9:00 am,Final
bracket,11th Place
Northern Michigan,Wisconsin-Eau Claire,15,10,"05/04/2014, 10:30",11th/12th,Final
bracket,13th Place
Wisconsin (B),Winona State,15,6,"05/04/2014, 10:30",13th/14th,Final
Minnesota (B),Wisconsin (B),5,15,"05/04/2014, 08:30",9:00 am,Final
Wisconsin-La Crosse,Winona State,10,15,"05/04/2014, 08:30",9:00 am,Final
bracket,15th Place
Wisconsin-La Crosse,Minnesota (B),13,12,"05/04/2014, 10:30",15th/16th,Final
b,r,e,a,k
