Youth Club Championships,Youth Club U-20 - Boys ,9,8,2014
Blaine,MN,2014-08-09,2014-08-10
https://play.usaultimate.org/events/Youth-Club-Championships/schedule/Boys/youth-club-u-20-boys/
ATLiens,1
teamInfo,,"Atlanta, Georgia",,,@ATLiensYCC
coaches,Matthew Knowles,Chris Goodson
00,Daniel Sperling
01,CHRISTOPHER BROWN
02,Michael Dillard
03,Drew Teachout
04,Noah Cohen
06,RILEY  ERICKSON
07,Jacques Perivier
08,Sebastian Di Francesco
10,JACK SMITH
11,Leo Warren
13,Vincent James
15,Griffin Kish
16,Anders Olsen
17,William Syre
18,Josh Weinstock
19,Stanley Birdsong
22,Noah Li
24,Conor Brownell
36,Henry Laseter
72,Rylan Gordon
85,CHRISTOPHER CARSON
88,NATHAN HASKELL
b,r,e,a,k
DEVYL,3
teamInfo,,"Westfield, New Jersey",,,
coaches,Anthony Nunez,Michelle Jones
0,Michael Ing
0,Alec Hunziker
0,Zachary Cincotta
0,PATRICK WARD
0,NIM STEN
0,VARUN RAJESH
0,Eric Weber
0,Saul Graves
0,Andrew Lehmberg
0,Nicholas LaRue
0,Drew Ficarotta
0,Christian Duess
0,Max Rooney
0,JAMES BRIER
1,John Venezia
5,Mac Rushing
14,Mike Alexander
18,Jake Doyle
27,Ethan Schwab
47,Kyle Isler
84,Christopher McGlynn
89,Cole Drummond
97,Kevin Lin
b,r,e,a,k
Colorado Cutthroat,8
teamInfo,,"Denver/Boulder, Colorado",http://denveryouthultimate.org/,,
coaches,Jonathan Monforti,Phil Lohre
5,Son Nguyen
01,CHRIS SCHENKELBERG
02,Kerry Athey
03,David Miller
05,JAMES RUYBAL
06,Quinn Finer
08,RYAN BENNETT
09,John Lowrey
10,TIMMY KING
11,Steven Pearlman
13,Gregory Blumer
16,THARYN MCCONNELL
20,James Miller
23,Mo Scott
27,HUY TRAN
34,Michael Fruge
42,Will Lohre
88,Jeremy Snyder
90,Kendrick Hougen
b,r,e,a,k
Impulse,5
teamInfo,,"Pittsburgh, Pennsylvania",http://pittsburgh-ultimate.org/youth-club-teams,,https://twitter.com/impulseultimate/media
coaches,Nick Kaczmarek
00,Russell Ruffolo
00,Max Sheppard
00,Tynan Englert
