Warm Up: A Florida Affair,College - Men ,14,2,2014
Tampa,FL,2014-02-14,2014-02-16
https://play.usaultimate.org/events/Warm-Up-A-Florida-Affair/schedule/Men/CollegeMen/
Pittsburgh,1
2,Joseph Bender
3,Patrick Earles
4,CHRISTOPHER MANGOGNA
5,Saul Graves
7,Richard Boyle
8,Tyler Kunsa
10,Max Thorne
11,Marquis Cofer
15,Dylan Best
16,Trent Dillon
17,PETER MCCLOSKEY
18,Stephen Shaw
21,Patrick Asinger
22,CHRISTIAN PITTS
24,Sam VanDusen
33,CONNOR KAZMIERCZAK
35,KEVIN TANG
38,Jonah Wisch
42,Marcus Ranii-Dropcho
43,Daniel O'Connor
48,Jimmy Towle
59,AARON WATSON
61,Carl Morgenstern
66,Chen Su
77,Dillon Tranquillo
83,Daniel Wickens
88,Ryan Del Casino
b,r,e,a,k
Tufts,12
01,Nicholas Adolph
02,GAVIN MURPHY
03,Nicholas Roberts
04,Tyler Chan
05,Carter Thallon
07,Yukinobu Tanimoto
08,Sam Dushay
09,Eric Shaw
10,Dylan Gully
12,Skyler Tom
18,Jack (John) Spiva
19,Jason Shnipes
20,Gene Buonaccorsi
21,Jinhyun Shin
24,Daniel Pavitt
25,WILLIAM WONG
31,Sam Isaac
32,David Lyle
33,DAVID TAYLOR
41,JESSE MAHLER
52,Michael Hagenow
70,SETH DREW
82,Ariel Rascoe
94,Eamon Wick
b,r,e,a,k
South Florida,13
0,Shane Voshell
01,Jody Louis
02,JASON TACKETT
04,Rocco Davis
07,HANIF CARROLL
10,EVAN DYKE
21,Keith Patterson
23,ZACK BENHAM
25,Craig Johnson
33,JESSE GOLDSMITH
35,Joseph Stephenson
39,CHRISTIAN AVILA
40,ADAM WOODARD
43,JORDAN WILLIAMS
47,ALEX KNAPP
66,STEPHEN KAYWELL
87,TAD PALMER
88,Matt Chandler
99,Garth Reimann
b,r,e,a,k
Arizona State,11
0,Andrew Kohl
0,GREG SCALIA
0,Daniel Bellissimo
0,JARED AHERN
0,MARK KARLSRUD
0,Zachary Semerad
0,Nathan Bridges
0,Josh Walker
0,Chad James
0,Travis Dunn
0,Aaron Flegenheimer
3,Jonathan Bridges
4,Cody Vander Weyst
9,Dylan George-Sills
13,JACOB KUNA
14,MICHAEL GRAZZINI
18,Daniel Howe
20,Alexander Tomlinson
30,CONNOR ROTH
b,r,e,a,k
Central Florida,2
00,Zachary Marks
01,Brawley Adams
02,MATTHEW NORTHAM
03,Terence Murphy
04,Kyle Reedy
05,Michael Fairley
07,JOHN COLLINS
08,Alex Bullock
09,JACOB RADFORD
11,Jonah Larsen
12,Matt Helms
13,JOHN FELDMAN
15,Chad Russom
19,Collin Mackett
25,Jeremy Langdon
27,Austin Mercadante
30,Andrew McKelvey
32,Austin Malone
33,John Best
34,GARRETT PELTON
42,Mike Ogren
44,DAVID HANKIN
47,SETH CALHOUN
69,ERIC  BUENROSTRO
74,Stuart Little
77,Quentin Voorhees
99,Matthew Aberman
b,r,e,a,k
Georgia Tech,14
0,David Egbert
2,Ashwin Anantharaman
3,Clay Williams
4,Nick Ryan
5,Brian Walsh
6,Wesley Howell
12,Edward Foyle
16,John Dugan
17,Patrick Panuski
18,William Steindorf
21,BOBBY ELLINGTON
22,AUSTIN DAVIS
24,Stephen Burkot
26,Colin Tardrew
30,PARTHA UNNAVA
32,Karl Staber
33,Devon Rogers
39,MICHAEL PREUS
48,ROBERT KANTLEHNER
64,Kenneth Lawler
77,Willy Goal
92,Geoffrey 'Bo' Price
98,Michael Tillotson
b,r,e,a,k
Florida,10
0,Jason Silverman
4,Bradley Seuntjens
8,JOSEPH SUTHERLAND
02,Billy O'Bryan
03,James Dahl
05,DAYAN D'ANIELLO
06,Danny Bishop
09,Bobby Ley
10,Matt Thompson
11,Jacob Dummeldinger
12,BRENNEN ZINCKGRAF
13,MATTHEW TERZA
15,Tanner Repasky
16,ROB BRICE
17,ANDREW RANON
18,Hayden Wachob
18,Gabriel Lucas
19,Doug Terza
26,Aaron Spector
32,Patrick Gettino
33,BRIAN BENGE
45,Bryan Redden
b,r,e,a,k
Carleton College,3
0,Robert Olney
3,Eli Miller
8,Michael Goodgame
10,John Raynolds
12,James Adams
13,Simon Johansen
18,Paxton Harvieux
21,Tyler Mahony
27,Elliot Mawby
33,Conor Eckert
48,BENJAMIN CAFFREY
55,Jake Ritmire
b,r,e,a,k
Dayton,15
00,Timothy Willer
05,Michael Mills
07,Mark Fedorenko
16,BRANDON RUSH
18,JOHN BAYER
19,Dylan Corwin
33,Ian Cannon
43,Stephen Moore
44,STEPHEN JIRA
50,Alan Huels
99,Robert Strohmeyer
b,r,e,a,k
Wisconsin,4
0,BRIAN NOVOTNY
06,ARTHUR HERLITZKA
07,Avery Johnson
09,Erik Jorgensen
12,Chris Wilen
14,WILLIAM KLUENDER
16,DANIEL  STULIGROSS
17,Thomas Gallagher
19,Sam Loveland
20,NICK ZEMAN
25,Ross Barker
32,Colin Camp
33,SHANE SADDISON-BRADFORD
37,Jan Szmanda
41,Colin Sunde
44,Nicholas Ladas
57,Austin Reif
76,BEN REHMANN
84,CRAIG COX
88,Peter Guerin
b,r,e,a,k
Texas A&M,9
0,John Abuhamad
0,BENSON WELLS
0,Jared Schueler
0,DAVID SMITH
0,KYLE ZAWIEJA
0,IAN SMITH
0,RYAN  JONES
0,DRAKE FORNEY
0,AUSTIN DELK
0,Robert Lewis
0,DANIEL EHRIG
0,Charles Coleman
0,JOSEPH OWENS
0,John David Newman
0,DAVID NA
0,Jonathan Nance
0,Nick Ochoa
2,Matthew Bennett
7,Ben Lewis
8,Garrett Krebs
13,Dalton Smith
14,LUKE YANKER
18,Kevin Land
23,Thomas Slack
80,Connor Cole
b,r,e,a,k
Tulane,16
02,RICKY POLLOCK
04,TIM PATTERSON
08,Patrick Dougherty
10,Jack Baba
11,SPENCER MANN
14,Gregory Cousins
15,BENJAMIN DUHE
17,JAMES BRIER
21,DAVID  MONDSCHEIN
23,Shamit Dua
24,SAM TABACHNIK
26,ANDREW GROSS
44,Benjamin Lamport
81,AUSTIN KING
82,NATHAN WINSHALL
b,r,e,a,k
Texas,5
2,MATTHEW REESE
6,Garrett Idler
7,Jordan Taylor
11,Dillon Larberg
12,Casey LeMay
13,Nash Mock
14,DENNIS MERWORTH
16,Michael Hays
17,AARYAMAN SINGHAL
19,Jonathan Clutton
21,Mitchell Bennett
30,Carlos Vargas
31,Chris Brooks
32,Joel Clutton
42,Whit Perkins
48,David Miller
57,William Driscoll
b,r,e,a,k
Florida State,8
01,Jason Holleran
02,Bobby Patterson
03,Andrew Roney
05,Thomas Mazza
06,MARCUS JOHNS
07,Clark Cofer
08,CHENTE ORTIZ
09,DAVID CROMER
10,JAMES KOERNER
11,LIAM RAWSON
12,WAYDE VOSS
13,Scotty Bohrer
14,Austin Bass
15,MORGAN STANLEY
16,ZACH WERNICK
17,JOSH PUTTBACH
18,Chris LaRocque
21,ZACHARY MAINES
22,Ryan MacFadyen
23,Peter Van Brussel
25,Cole Friedes
27,Connor Holcombe
28,Andrew Larocque
33,Kody Cotton
46,Brian Phillips
88,Scott Moore
99,Gabriel Bidot
b,r,e,a,k
Cincinnati,17
0,SCOTT ALVERSON
01,Scott Schriner
02,Kieran Kelly
04,DANIEL SCHUSTER
07,CHRIS KIESSLING
08,Timothy Hale
09,Brandon Cannell
10,IAN COLLINS
11,Christopher Misleh
14,Jacob Turner
15,Zachary Radcliff
16,Kyle Klingler
19,Joshua Fisher
21,Daniel Latz
23,Steven Kolp
24,Alex Flamm
28,JOSHUA BRUGGEMAN
29,Grant  Dinan
31,Gregory Dinan
32,KEVIN STREET
33,Justin Latz
41,Adam Turner
85,CHRIS KISH
98,Lucas Tarnowski
b,r,e,a,k
Northwestern,18
02,Benjamin Spielman
03,Max Shepherd
04,Anthony Colucci
15,SAMUEL HANSON
16,ZACK WOODRUFF
17,Nathan Yeazel
22,Alex Champe
27,Edward Speyer
