New England Open 2014,College - Men ,29,3,2014
South Hamilton,MA,2014-03-29,2014-03-30
https://play.usaultimate.org/events/New-England-Open-2014/schedule/Men/CollegeMen/
Tufts,1
1,Nicholas Adolph
2,GAVIN MURPHY
3,Nicholas Roberts
4,Tyler Chan
5,Carter Thallon
7,Yukinobu Tanimoto
8,Sam Dushay
9,Eric Shaw
10,Dylan Gully
12,Skyler Tom
18,Jack (John) Spiva
19,Jason Shnipes
20,Gene Buonaccorsi
21,Jinhyun Shin
24,Daniel Pavitt
25,WILLIAM WONG
31,Sam Isaac
32,David Lyle
33,DAVID TAYLOR
41,JESSE MAHLER
52,Michael Hagenow
70,SETH DREW
82,Ariel Rascoe
94,Eamon Wick
b,r,e,a,k
Cornell,13
0,Russell Gray
0,Robert Rickert
0,ETHAN KANNEL
0,Nick James
0,Jordan Diamond
0,Carsten Thue-Bludworth
0,Yi Fan Wang
0,Adah Shih
0,FRANKLIN LI
0,AUSTIN HARTLEY
0,Christopher Perrotti
0,DAN GOLDBERG
0,JAKE STEVELMAN
1,Matt Chun
2,Jamie McClintock
6,Gordon Peterson
11,Joe Thompson
15,Alex Semaca
18,John Brancato
24,Walter Cai
54,Robert Vander Meulen
68,Andrew Parmet
69,JACOB HERNANDEZ
77,Jacob Herrera
87,Daniel Wekstein
b,r,e,a,k
Boston College,24
0,DANIEL CATTOLICA
0,NICK CRAIN
0,MICHAEL CAMUS
0,MATTHEW AUKER
0,SAVI TUBER
0,DYLAN WOLFF
0,Connor McKnight
0,STEPHAN HALAREWICZ
0,MASON TIPPY
0,JOSH BABBIN
0,GARRETT SULLIVAN
1,Patrick Jerome
2,Ryan Cardinal
4,Ryan Woodhouse
10,ALEX SHAPIRO
11,CONNOR MARR
33,Jonathan Young
38,Chris Bonifati
39,ANDREW FAIZ
73,DAVE CONNORS
b,r,e,a,k
Georgetown,12
0,Houston Parks
01,Matthew Javitt
02,Nick Stabile
03,Greg Przedpelski
04,Taylor Culman
05,IVAN ROBINSON
07,Kevin Donlin
09,Danton Noriega-Goodwin
12,John Recchia
13,Nico Lake
17,Cooper Joy
19,Scott Hampton
21,Aidan McLeod
22,THOMAS CHIN
23,ADAM DORKO
24,ALEX LAWRENCE
25,Charlie Patten
27,Steven Wartinbee
29,LUKE CARTER
55,Joshua Tsung
80,Troy Holland
88,CHARLES ZHOU
b,r,e,a,k
San Diego State,14
0,Hayden Shenefield
0,Erik McCoy
0,NICHOLAS CROOKSTON
0,Beeman Rabut
0,ALEX KALE
0,THOMAS BRADFORD
0,Austin Clark
0,Maxwell Hume
0,ZEKE IVERS
0,Max Monroe
0,STEVEN GREENE
0,JEFF DIXON
0,Josiah Reeve
3,Michael Tran
5,ALEC ARATOW
7,KYLE GOOSSENS
00,LUCAS DILLOW
38,ALAN GUARDADO
42,MARK SLADER
45,Douglas Brantley
b,r,e,a,k
Dartmouth,11
01,EVAN RHEINGOLD
02,Spencer Diamond
03,DANIEL LOWENSTEIN
04,Daniel Rosengard
05,Andrew Pillsbury
07,GERBEN SCHERPBIER
08,Peter Lobel
09,BRETT SZALAPSKI
10,SAM HILLS
11,Arthur Bledsoe
12,Daniel Harris
13,Leo Blooston
14,DANIEL FINCH
15,CALEB LADUE
16,Henry Frost
17,SEAN HOWE
20,David Friedman
22,NATHAN LEHRER
23,Jon Xu
25,Sean Griffin
27,THEODORE OWENS
31,Nicholas Golini
33,DAVID CLEMENS-SEWALL
44,Cedar Farwell
50,SEAN DERROW
64,DAVID KLINGES
b,r,e,a,k
Penn State,2
0,Richard Devasagayaraj
02,Alexander Paulos
04,Adam Shrager
09,SAM DELL
10,DEREK KEIGHTLY
11,David Sellers
13,DYLAN ARNOLD
15,Matt Duffy
17,Alex Liu
19,PAUL PHAM
20,Graham Walker
21,Codi Wood
22,Kevin Carbonnier
25,Marcus Thaw
32,Jacob Smith
33,Samuel May
44,KEIL TOSO
47,Matt Doughten
48,Benjamin Broser
51,Patrick Dougherty
71,TRISTAN BELLA
85,Richard Schaffer
86,Brett Wall
91,COLIN MCNULTY
95,DANIEL HENKIN
99,MASON STRAWSER
b,r,e,a,k
Connecticut,23
0,CHRISTOPH HARRIS
01,Kevin Chubet
02,NICHOLAS SILBART
06,Phil Case
11,Corey Danko
12,MILES RADIN
14,Owen Casey
15,CHARLES MORGAN
20,Will Percival
22,Michael Arcata
25,Richard McFadden
28,RYAN POSSARDT
30,Bryan Pfalzgraf
31,John Wodatch
33,Daniel Reilly
53,ERIC  WOYDEN
57,Michael Rice
62,Tom Bertrand
70,Umang Gangwar
74,Geoffrey McCallum
77,Jake Hansen
96,Pat Kunkel
99,Gavin Clemmey
b,r,e,a,k
Bentley,3
0,Mackenzie Magner
0,KEVIN SPARACINO
0,Justin Ondrof
0,ROSS DENKIN
0,Daniel Schofer
0,JACOB VAN BERKUM
0,Daniel Wojtak
0,BLAIR POTTER
0,SCOTT SEIFERT
0,Mark Adamiak
0,RYAN PETERS
0,JOSEPH MILLER
2,DEREK BOND
4,ZACH CANTOR
5,Peter Jacobs
7,Maxwell Rick
8,Walter Aspinwall
9,MICHAEL DEVITO
11,Daniel Muller
12,Patrick Michaud
16,Matthew Keegan
17,Andrew Zaccardi
19,Alec Parzych
44,Corey Lerner
45,SIGMUND TY
77,Alex Foo
82,Kyle Saroka
91,NATHAN SURGENOR
99,AJ ARENA
b,r,e,a,k
Pennsylvania,10
3,Sean Cohen
4,KAUSTUBH DEO
5,Emilie Mohler
7,JACOB LEVITT
8,PETER ARRIAZA
00,Rally Steinmetz
06,Doug Roman
09,Himalaya Mehta
10,Xinran Wang
11,PHILLIP CHENG
12,SEAN ANDERSON
13,CHRIS LU
14,CHIMBU CHINNIAH
15,Lewis Ellis
18,Connor Boyle
19,Daniel Hartsoe
20,Grant Steiger
24,DEV PATEL
26,ANDREW BIAESCH
29,Tate Tabtieng
36,David Shields
39,ZACHARY TAYLOR
42,PHILIP CHOU
86,Surya Murty
99,Neil Brett Zhang
b,r,e,a,k
Bryant,22
0,JIM RUBINO
2,Dan Cappiello
4,James Phillips
5,SPENCER FITZGERALD
9,Tyler Horton
10,Jacob Garfinkel
14,Austin Kelson
21,KYLE IRVING
23,John-Paul Saggal
24,Lucas Anderson
29,Adrian Alonso-Tavera
36,Jacob Garfinkel
45,STEVEN ADAMS
48,HAROLD VEILLEUX
55,TYLER PARDEE
69,Joe Scully
70,Jon Malchiodi
99,Michael Bighinatti
b,r,e,a,k
Middlebury,15
0,Brendan Willerford
0,OLIVER SUTRO
0,TIANFANG HE
0,BENJAMIN SAVARD
0,Andrew Bridgers
0,Nathaniel Henning
0,Sam Hage
0,Jeffrey Hetzel
0,CODY CINTRON
0,Gabe Doble
0,Asa Julien
0,Philip Chang
0,TEDDY SMYTH
0,JASON LEEHOW
0,Eric Hemphill
0,MATTHEW BROPHY
7,Patrick Adelstein
14,Ian McInerney
26,JACOB BRADY
45,Jacob Hobbie
69,SAM TAUKE
b,r,e,a,k
Northeastern,4
2,David McDevitt
03,Brian Wyer
04,ROBERT AYERS
06,Jonathan Aldieri
07,SAMUEL THERRIEN
08,ALEX CHAO
09,JESSE HARRIS
11,Samuel Letcher
12,YEEHIN LI
13,SEAN FARRELL
17,Ben Goossen
20,Jonah Kurman-Faber
21,MATTHEW GROTE
22,NICK MARINI
23,Walker Mayerchak
24,John Capreol
27,DYLAN LEWIS
32,Matthew Schwartz
33,Tristan You
39,Benjamin Meltzer
40,Liam Henry
44,ROBERT BASSO
46,Ruozhou Ye
47,Kevin Chen
64,Dillon Roberts
b,r,e,a,k
New Hampshire,9
3,Austin Power
5,Jordan Taylor
8,Thomas Edmonds
9,Timothy  Fitzpatrick
10,JOHNSON WHIPPIE
11,Jesse Schwartz
12,Keefer Welsh
15,Calvin Conant
21,Cole Matthews
22,Samuel Johnson
24,Lucas Davies
28,Trevor Yandow
31,DEREK GERVAIS
33,ANDREW UCCELLO
36,STEPHEN LEONARDO
45,Henry Briggs
53,Nathaniel Kaplan
76,Michael Quinlan
80,Eric Bower
91,Jacob Shillue
b,r,e,a,k
Princeton,21
0,Alex Fogg
1,Kiffa Conroy
2,JONATHAN CHEN
4,ROSS SMITH
5,DANIEL TEEHAN
10,STEPHEN WANG
11,Julian Helguero-Kelley
12,Sean Treacy
14,Peter Luo
15,ADAM SMYLES
16,Jae Lee
17,DEAN MAKINO
18,DAVID BECK
19,Zach Weed
21,Anthony Markowitz
27,Matthew Rogers
28,THOMAS KELLY
63,Jarred Mihalik
82,Malcolm Deck
88,MATTHEW MATL
99,Matine Yuksel
b,r,e,a,k
SUNY-Buffalo,16
0,ETHAN GUTHMAN
0,Sean Bowers
0,Paul Sperr
0,Seth Wittlinger
0,Christopher Kizis
0,Sian Ho Ng
1,Robert Smith
2,Jeffrey Harvey
6,Miles Eckardt
7,Peter Barth
10,Sean Amundsen
13,CJ Colicchio
23,Jack Rossetti
43,HARBIR SINGH
92,Ian Dipace
95,Benson Chen
99,Jackson Donnelly
b,r,e,a,k
Rhode Island,5
0,David Powers
0,Evan Stamps
0,Michael Ricci
0,Johann Becker
0,Joshua Bolt
0,Paulo Villanueva
6,TRAVIS WINTER
7,MICHAEL (MIKE) KENSLEA
8,TREVOR MASON
11,Riley Tuttle
13,Nicholas Tierney
14,Kevin Wicke
18,MICHAEL BRANCATO
19,NATE CRESSMAN
21,Richard Higginbotham
23,Patrick Blum
24,Nicholas Gomes
28,NICK BLENIS
31,Eric Lemoi
34,Jason Schwartz
38,JOSEPH LEIGHTON
40,Alex Jenkins
80,ERIC NICKOLS
92,Derek Wiseman
b,r,e,a,k
Yale,17
0,GREGORY MEYER
0,SAGAR RAJU
0,Sang Won Lee
0,JOSHUA JACOBS
0,DAVID KELLNER
0,MATT ANTOSZYK
0,ROBERT DAVIES
0,AVI ARFIN
0,VISHAAL PRABHU
0,Alexander Dobner
0,VINCENT KENNEDY
0,Patrick Kelleher
0,Tavis Leighton
0,Scott  Casleton
2,KEVIN SHAIN
5,Ulices Rodriguez
10,Jonathan Lao
13,Elton Zhou
18,JON DORSCH
55,Theodore Weisman
64,JEREMY LIU
69,Isaiah Lyons-Galante
91,Benjamin Scuton
b,r,e,a,k
Wentworth,8
0,ROBBY MOSS
0,MICHAEL FORTIER
0,MARC PERELLA
0,TRAVIS ARCHAMBAULT
0,CHRIS PIERSON
0,Matthew Delissio
0,BRETT POWERS
0,Eric Franzen
0,TOM CHIARELLI
2,Matthew Silverman
12,Michael Carando
15,TYLER GAUCH
20,Mackenzie Kirby
29,ALEXANDER KRIGER
31,Neil Franklin
52,DANIEL JERSEY
53,NATHANIAL NELSON
98,Zackery Smith
b,r,e,a,k
Berklee,20
01,ZACHARY CALDERON
03,MAURICIO JIMENEZ
06,RICHARD GOTO
08,ELISABETH BECKWITT
11,Lucas Celedon
12,Christopher Lewis
13,ETHAN ANDERSON-CARTER
16,KatieJane Brashier
18,ROB BALLANTINE
19,Raz Ezra
20,Anthony Cantlin
22,JASON CHAMBLISS
53,Almodine Thompson
55,Alexandra Zablotsky
69,Tony Fuentes
96,David Lin
b,r,e,a,k
Boston University,7
0,MALIK ODEH
0,THOMAS COHEN
0,KYLE LANDIS
0,Ahu Su
0,Jeffrey Baker
0,STEVEN RODRIGUEZ
2,GREG HOWARD
3,AARON PLOSKER
4,Zachary Decker
5,Kevin Liang
7,ANDREW HARTMAN
8,Nicholas Murphy
9,Joe Rafalak
10,Benjamin Gagne-Maynard
10,Brad Kutler
11,Quang Le
13,Luke Lanoue
25,Eric Schmidt
36,JOEY DRAPER
95,Martin Yim
98,DYLAN MAWBY
b,r,e,a,k
Bates,18
0,ROBIN JONES
0,ALDEN CORBETT
3,Alex Brown
4,HORACE HENRIQUES
5,ANDREW NO
6,David Smith
9,Jared Krawitz
10,Charles Beatty
11,PETER KRIEG
13,Christopher Eddy
15,SEAN MURPHY
17,David Shipway
17,Benjamin Mardin
18,SPENCER GOOSSENS
21,JOSH GIESLER
22,Nate Levin
23,MILES SCHELLING
24,ERICK MACLEAN
25,Chris Fox
27,Nathaniel Wells
29,NATHAN DANA
60,Randy Peralta
73,MICHAEL LEPLEY
b,r,e,a,k
Central Connecticut State,6
0,DANIEL FAVALE
0,MATTHEW BOLLARO
0,Steven Lee
3,Christopher Monroe
02,Andrew Thai
04,Eric Renkewith
06,Christopher Cox
07,Ricky Lewandowski
16,Eric Dollinger
17,James Vitali
24,Jordan Revis
29,DAVID JUSTICE
30,DANIEL STEVENS
32,ETHAN GIRARD
66,Garrett Santi
77,Matthew Fasano
96,Jacob Aldrich
97,Jack Kusinski
b,r,e,a,k
Holy Cross,19
02,Greg Schmitt
03,Jack Barton
04,Nicholas Matthews
04,Nick Mastas
05,Aaron Bosse
06,Angelo Gemma
08,Stephan  Duncan 
08,Alexander Kochenburger
09,Charles Ramsden
10,MICHAEL PAULIN
11,JOHN ROMANO
12,PATRICK COLLINS
13,Daniel Arnold
14,Jack Connelly
15,STEPHAN WAZNY
16,Tony Van
19,Matthew Rial
20,Michael Aldana-Proulx
22,NICHOLAS LEE
23,ROBERT CALDERA
24,CHRISTOPHER CERTO
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Georgetown,Boston College,9,12,"03/29/2014, 09:00",Pool A,Final
Tufts,Cornell,13,8,"03/29/2014, 10:45",Pool A,Final
Tufts,Boston College,13,10,"03/29/2014, 12:30",Pool A,Final
Georgetown,Cornell,10,9,"03/29/2014, 12:30",Pool A,Final
Tufts,Georgetown,13,9,"03/29/2014, 14:15",Pool A,Final
Cornell,Boston College,13,8,"03/29/2014, 14:15",Pool A,Final
pool,Pool B
Penn State,San Diego State,10,13,"03/29/2014, 09:00",Pool B,Final
Dartmouth,Connecticut,15,13,"03/29/2014, 09:00",Pool B,Final
Penn State,Connecticut,13,7,"03/29/2014, 10:45",Pool B,Final
Dartmouth,San Diego State,8,13,"03/29/2014, 10:45",Pool B,Final
Penn State,Dartmouth,11,13,"03/29/2014, 12:30",Pool B,Final
San Diego State,Connecticut,13,9,"03/29/2014, 14:15",Pool B,Final
pool,Pool C
Bentley,Middlebury,13,10,"03/29/2014, 09:00",Pool C,Final
Pennsylvania,Bryant,13,11,"03/29/2014, 09:00",Pool C,Final
Bentley,Bryant,13,7,"03/29/2014, 10:45",Pool C,Final
Pennsylvania,Middlebury,11,8,"03/29/2014, 10:45",Pool C,Final
Bentley,Pennsylvania,13,9,"03/29/2014, 14:15",Pool C,Final
Middlebury,Bryant,12,13,"03/29/2014, 14:15",Pool C,Final
pool,Pool D
Northeastern,SUNY-Buffalo,12,9,"03/29/2014, 09:00",Pool D,Final
New Hampshire,Princeton,13,2,"03/29/2014, 09:00",Pool D,Final
Northeastern,Princeton,13,6,"03/29/2014, 12:30",Pool D,Final
New Hampshire,SUNY-Buffalo,13,8,"03/29/2014, 12:30",Pool D,Final
Northeastern,New Hampshire,12,8,"03/29/2014, 14:15",Pool D,Final
SUNY-Buffalo,Princeton,9,13,"03/29/2014, 14:15",Pool D,Final
pool,Pool E
Rhode Island,Yale,13,10,"03/29/2014, 10:45",Pool E,Final
Wentworth,Berklee,13,5,"03/29/2014, 10:45",Pool E,Final
Rhode Island,Berklee,13,9,"03/29/2014, 12:30",Pool E,Final
Wentworth,Yale,11,12,"03/29/2014, 12:30",Pool E,Final
Rhode Island,Wentworth,13,8,"03/29/2014, 14:15",Pool E,Final
Yale,Berklee,13,7,"03/29/2014, 14:15",Pool E,Final
pool,Pool F
Central Connecticut State,Bates,10,11,"03/29/2014, 09:00",Pool F,Final
